"","state","n_households","percent_pet_households","n_pet_households","percent_dog_owners","n_dog_households","avg_dogs_per_household","dog_population","percent_cat_owners","n_cat_households","avg_cats_per_household","cat_population"
"1","Alabama",1828,59.5,1088,44.1,807,1.7,1410,27.4,501,2.5,1252
"2","Arizona",2515,59.5,1497,40.1,1008,1.8,1798,29.6,743,1.9,1438
"3","Arkansas",1148,62.4,716,47.9,550,2,1097,30.6,351,2.3,810
"4","California",12974,52.9,6865,32.8,4260,1.6,6687,28.3,3687,1.9,7118
"5","Colorado",1986,61.3,1217,42.5,845,1.6,1349,32.3,642,1.9,1191
"6","Connecticut",1337,54.4,728,28.3,379,1.3,507,31.9,427,1.9,796
"7","Delaware",334,56.6,189,33.7,113,1.4,163,33.7,113,1.7,187
"8","District of Columbia",287,21.9,63,13.1,38,1.1,42,11.6,33,1.9,63
"9","Florida",7609,54.4,4138,35.7,2718,1.5,4210,27.3,2079,2.1,4375
"10","Georgia",3798,55.1,2093,40.1,1522,1.6,2479,27.3,1037,2.1,2162
"11","Idaho",568,62,352,42.7,242,1.5,357,34.6,196,2,393
"12","Illinois",5026,51.8,2602,32.4,1627,1.5,2365,26.3,1321,1.9,2453
"13","Indiana",2478,59.9,1484,39.9,989,1.6,1619,34.4,852,2.2,1912
"14","Iowa",1219,53.6,654,33.4,407,1.5,610,30.3,370,2.2,805
"15","Kansas",1133,61,691,42.3,480,1.6,774,33.3,378,1.9,731
"16","Kentucky",1777,61.6,1094,45.9,816,1.9,1531,36.8,654,2.1,1349
"17","Louisiana",1702,55.1,937,36.4,619,1.8,1115,25.9,441,2,877
"18","Maine",548,62.9,345,34.6,190,1.6,300,46.4,254,1.9,498
"19","Maryland",2169,52.3,1134,30.8,667,1.4,915,29.8,645,2.6,1677
"20","Massachusetts",2618,50.4,1318,23.6,618,1.4,850,34.1,892,1.8,1593
"21","Michigan",3804,55.4,2108,34.6,1318,1.5,2036,31.3,1192,2,2420
"22","Minnesota",2163,53,1146,31.9,690,1.4,934,29.7,643,2,1264
"23","Mississippi",1115,56.4,629,45.2,504,1.7,846,29.1,324,2.1,668
"24","Missouri",2498,61.4,1534,45.9,1148,1.7,1978,32.2,805,2.1,1653
"25","Montana",410,61.3,251,41.2,169,1.7,282,33.6,138,2,277
"26","Nebraska",710,51.3,364,33.8,240,1.6,374,31.3,222,2.3,514
"27","Nevada",986,55.6,548,37.1,366,1.6,578,30.3,299,2.1,625
"28","New Hampshire",508,56.8,289,30.3,154,1.4,212,34.2,174,1.8,309
"29","New Jersey",3177,50.7,1611,32.4,1028,1.3,1340,25.3,803,1.8,1468
"30","New Mexico",773,67.6,523,46,356,2,703,32,247,2.2,533
"31","New York",7512,50.6,3802,29,2177,1.4,3054,29.1,2189,1.9,4261
"32","North Carolina",3701,56.4,2089,40.3,1491,1.7,2518,29.5,1090,2,2220
"33","North Dakota",272,53.9,147,36.1,98,1.4,139,31.4,85,2,174
"34","Ohio",4661,57.4,2677,36.6,1708,1.6,2730,33.3,1553,2.4,3786
"35","Oklahoma",1479,58.9,872,43.2,638,2.1,1327,32.6,482,2.2,1041
"36","Oregon",1505,63.6,957,38.8,584,1.6,917,40.2,605,2,1185
"37","Pennsylvania",5172,56.9,2942,32.9,1702,1.5,2485,33.8,1748,2,3544
"38","Rhode Island",434,53,230,29.3,127,1.3,161,27.6,120,1.8,212
"39","South Carolina",1759,54.1,951,38.6,678,1.8,1191,27.8,490,2.1,1039
"40","South Dakota",333,65.6,219,42.8,143,1.5,220,39.1,130,2.2,290
"41","Tennessee",2583,59.6,1540,44.1,1140,1.9,2157,29.8,770,2.3,1749
"42","Texas",9002,58.5,5265,44,3960,1.8,7163,28.3,2544,2.2,5565
"43","Utah",930,51.2,476,29.4,273,1.5,410,24.6,229,2,455
"44","Vermont",265,70.8,188,37.7,100,1.4,142,49.5,131,1.8,234
"45","Virginia",3017,53.4,1611,35.4,1069,1.6,1699,29,876,2.1,1855
"46","Washington",2632,62.7,1649,36.3,954,1.7,1609,39,1028,1.8,1844
"47","West Virginia",765,62.1,475,45.8,350,1.8,648,38.1,291,2.2,628
"48","Wisconsin",2350,57.5,1352,33.9,796,1.4,1138,33,776,1.9,1510
"49","Wyoming",221,61.8,137,38.8,86,1.5,125,33.9,75,1.9,144
