"","gender_rank","occupation","gender","individuals","average_taxable_income"
"1",795,"Abattoir process worker; Meat process worker; Meatworker – meatworker’s labourer","Female",5961,36359
"2",881,"Abattoir process worker; Meat process worker; Meatworker – meatworker’s labourer","Male",17241,40954
"3",699,"Aboriginal and Torres Strait Islander education worker","Female",1386,40926
"4",828,"Aboriginal and Torres Strait Islander education worker","Male",636,44077
"5",641,"Aboriginal and Torres Strait Islander health liaison officer; Aboriginal and Torres Strait Islander health worker","Female",1878,43545
"6",760,"Aboriginal and Torres Strait Islander health liaison officer; Aboriginal and Torres Strait Islander health worker","Male",903,47833
"7",200,"Accountant; Bank accountant; Chartered accountant; Financial analyst","Female",78380,71552
"8",136,"Accountant; Bank accountant; Chartered accountant; Financial analyst","Male",77112,105107
"9",157,"Accounting practice manager; Architectural practice manager; Legal practice manager; Manager – other practice; Veterinary practice manager","Female",28263,77421
"10",99,"Accounting practice manager; Architectural practice manager; Legal practice manager; Manager – other practice; Veterinary practice manager","Male",46486,115908
"11",577,"Accounts clerk; Finance officer","Female",81718,47153
"12",508,"Accounts clerk; Finance officer","Male",16628,64667
"13",827,"Actor","Female",2670,34736
"14",936,"Actor","Male",3481,36624
"15",491,"Actuarial clerk; Statistical clerk Clerical and office","Female",614,51681
"16",532,"Actuarial clerk; Statistical clerk Clerical and office","Male",498,62893
"17",35,"Actuary","Female",577,136819
"18",45,"Actuary","Male",1208,196144
"19",801,"Acupuncturist","Female",208,35944
"20",829,"Acupuncturist","Male",139,43983
"21",639,"Administration assistant; Office worker","Female",293738,43604
"22",803,"Administration assistant; Office worker","Male",36889,45784
"23",566,"Administrative service officer – levels 1–2; Public servant – administrative service officer – levels 1–2","Female",26782,47529
"24",592,"Administrative service officer – levels 1–2; Public servant – administrative service officer – levels 1–2","Male",6992,58373
"25",433,"Administrative service officer – levels 3–4; Public servant – administrative service officer – levels 3–4","Female",44509,54990
"26",492,"Administrative service officer – levels 3–4; Public servant – administrative service officer – levels 3–4","Male",14636,65541
"27",267,"Administrative service officer – levels 5–6; Program or project administrator; Public servant – administrative service officer – levels 5–6","Female",64080,64863
"28",259,"Administrative service officer – levels 5–6; Program or project administrator; Public servant – administrative service officer – levels 5–6","Male",31434,85567
"29",669,"Admissions clerk","Female",5667,42435
"30",776,"Admissions clerk","Male",899,47179
"31",206,"Advertising director; Advertising manager","Female",3507,70895
"32",139,"Advertising director; Advertising manager","Male",2614,104132
"33",378,"Advertising specialist; Media planner","Female",2871,58258
"34",392,"Advertising specialist; Media planner","Male",1709,73201
"35",923,"Aerobics instructor; Fitness instructor; Gym instructor","Female",9978,31358
"36",957,"Aerobics instructor; Fitness instructor; Gym instructor","Male",6079,35808
"37",169,"Aeronautical engineer","Female",182,75029
"38",165,"Aeronautical engineer","Male",2280,99207
"39",185,"Aeroplane pilot","Female",626,73412
"40",71,"Aeroplane pilot","Male",8281,133526
"41",903,"Aged or disabled carer; Home companion; Respite carer","Female",103676,32044
"42",925,"Aged or disabled carer; Home companion; Respite carer","Male",18884,37642
"43",614,"Agent – travel; Travel agent or consultant","Female",15796,44876
"44",661,"Agent – travel; Travel agent or consultant","Male",3467,53365
"45",341,"Agricultural engineer","Female",36,60195
"46",352,"Agricultural engineer","Male",348,76288
"47",465,"Agricultural field officer","Female",640,52744
"48",487,"Agricultural field officer","Male",1598,65808
