YEAR,NUMBER OF FIRES,ACRES BURNED,DOLLAR DAMAGE
1933,1994.0,129210.0,318636.0
1934,2338.0,363052.0,563710.0
1935,1447.0,127262.0,165543.0
1936,3805.0,756696.0,1877147.0
1937,2907.0,71312.0,151584.0
1938,4150.0,221061.0,404225.0
1939,2491.0,513620.0,847579.0
1940,4497.0,156015.0,272178.0
1941,5460.0,278599.0,515737.0
1942,5236.0,573597.0,1484864.0
1943,2163.0,553328.0,1502027.0
1944,2034.0,648838.0,1365126.0
1945,2594.0,509998.0,2085984.0
1946,2643.0,234879.0,622265.0
1947,2473.0,256472.0,2251605.0
1948,1973.0,133223.0,717564.0
1949,2608.0,132253.0,605102.0
1950,2264.0,303393.0,2025079.0
1951,2159.0,148360.0,1160098.0
1952,2263.0,120974.0,1120460.0
1953,2080.0,125150.0,686677.0
1954,2017.0,140072.0,1349158.0
1955,1941.0,161488.0,6732934.0
1956,1758.0,64617.0,764612.0
1957,2936.0,124316.0,547181.0
1958,3087.0,146159.0,1125731.0
1959,3167.0,147658.0,3012055.0
1960,2869.0,123743.0,2634066.0
1961,5005.0,327951.0,4538514.0
1962,5371.0,130098.0,1347064.0
1963,4672.0,37222.0,570967.0
1964,6262.0,219552.0,6472419.0
1965,5878.0,253138.0,5183049.0
1966,7638.0,119368.0,8042547.0
1967,4572.0,163160.0,6405532.0
1968,5696.0,121039.0,2537330.0
1969,5859.0,79195.0,1554437.0
1970,5170.0,208479.0,21032477.0
1971,6001.0,45008.0,5435880.0
1972,6167.0,64714.0,6697033.0
1973,6984.0,117669.0,9958751.0
1974,8509.0,93898.0,8538021.0
1975,8029.0,93967.0,10860095.0
1977,8132.0,123904.0,41657801.0
1978,8496.0,88586.0,26799516.0
1979,10038.0,247006.0,30474267.0
1980,9159.0,160291.0,17584633.0
1981,7497.0,209825.0,55070300.0
1982,5709.0,69158.0,22939500.0
1983,5969.0,70773.0,27922600.0
1984,7830.0,103670.0,23656700.0
1985,7238.0,223282.0,42981100.0
1986,7149.0,53631.0,19761900.0
1987,8063.0,86945.0,46814999.0
1988,8130.0,190835.0,64958220.0
1989,6635.0,73601.0,27365313.0
1990,7283.0,212142.0,95707749.0
1991,6238.0,23154.0,26904193.0
1992,7939.0,191490.0,170775023.0
1993,6988.0,122606.0,54077726.0
1994,7207.0,140792.0,42004781.0
1995,6601.0,121198.0,32457602.0
1996,7237.0,232624.0,100283172.0
1997,6835.0,57788.0,81919419.0
1998,5227.0,92456.0,27431318.0
1999,7562.0,285272.0,134258534.0
2000,5177.0,72718.0,29876853.0
2001,6223.0,90985.0,87295001.0
2002,5759.0,122809.0,173976860.0
2003,5961.0,404328.0,974186857.0
2004,5574.0,168134.0,126790417.0
2005,4908.0,74004.0,49392943.0
2006,4805.0,222896.0,60270382.0
2007,4111.0,530232.0,254172735.0
2008,4052.0,439717.0,889308348.0
2009,3391.0,107031.0,33956897.0
2010,3153.0,30234.0,3397442.0
2011,3555.0,151357.0,254534704.0
2012,3420.0,140818.0,28213200.0
2013,4152.0,142924.0,29799753.0
2014,3215.0,167532.0,20034168.0
2015,3543.0,297647.0,3061836666.0
2016,3233.0,250996.0,148266893.0
