"","objectid","year_","state","agency","unit_id","fire_name","inc_num","alarm_date","cont_date","cause","comments","report_ac","gis_acres","c_method","objective","fire_num","shape_length","shape_area","fire_cause","plot_date"
"1",1,2007,"CA","CCO","LAC","OCTOBER","246393",2007-10-21,2007-10-23,14,NA,NA,25.7367134094238,8,1,"233414",1902.4390512932,104152.781054466,"Unknown",2017-10-21
"2",2,2007,"CA","CCO","LAC","MAGIC","233077",2007-10-22,2007-10-25,14,NA,NA,2824.87719726562,8,1,"233077",20407.9656622567,11431872.5100921,"Unknown",2017-10-22
"3",3,2007,"CA","USF","ANF","RANCH","166",2007-10-20,2007-11-15,2,NA,54716,58410.3359375,7,1,"166",169150.715690138,236378245.16902,"Human",2017-10-20
"4",4,2007,"CA","CCO","LAC","EMMA","201384",2007-09-11,2007-09-11,14,NA,NA,172.214950561523,8,1,"201384",6117.77708615572,696929.169753288,"Unknown",2017-09-11
"5",5,2007,"CA","CCO","LAC","CORRAL","259483",2007-11-24,2007-11-27,14,NA,NA,4707.9970703125,8,1,"259483",22907.1821739912,19052588.5082272,"Unknown",2017-11-24
"6",6,2007,"CA","CCO","LAC","GORMAN","109398",2007-05-19,2007-05-22,14,NA,NA,2373.84497070312,8,1,"109398",19693.2088221895,9606609.35199816,"Unknown",2017-05-19
"7",7,2007,"CA","CCO","LAC","WEST","148311",2007-07-07,2007-07-08,14,NA,NA,245.233963012695,8,1,"148311",5881.59045421812,992426.638872278,"Unknown",2017-07-07
"8",8,2007,"CA","CCO","LAC","PEARBLOSSOM","177427",2007-08-13,2007-08-14,14,NA,NA,81.0335006713867,8,1,"177427",4123.60776066209,327930.933578308,"Unknown",2017-08-13
"9",9,2007,"CA","CCO","LAC","SKYLINE","183643",2007-08-21,2007-08-23,14,NA,NA,95.4185562133789,8,1,"183643",3590.08716263554,386145.195977632,"Unknown",2017-08-21
"10",10,2007,"CA","CCO","LAC","SESNON","231876",2007-10-21,2007-10-21,14,NA,NA,30.3014183044434,8,1,"231876",1675.72825031691,122625.490133596,"Unknown",2017-10-21
"11",11,2007,"CA","CCO","LAC","SOLEDAD","233414",2007-10-22,2007-10-23,14,NA,NA,44.1677703857422,8,1,"233414",2054.3523122711,178740.620699354,"Unknown",2017-10-22
"12",12,2007,"CA","CCO","LAC","Y","233912",2007-10-23,NA,14,NA,NA,22.4917297363281,NA,1,"233912",1661.0259250996,91020.7999436423,"Unknown",2017-10-23
"13",13,2007,"CA","CDF","MVU","ANGEL 3","9233",2007-09-15,2007-09-25,4,NA,837,832.126525878906,7,1,"0",17923.8461798703,3367496.61342472,"Human",2017-09-15
"14",14,2007,"CA","CDF","MVU","BANNER","6310",2007-07-01,2007-07-03,14,NA,NA,95.1512603759766,7,1,"0",3492.89109333815,385063.478906282,"Unknown",2017-07-01
"15",15,2007,"CA","CDF","HUU","CHAMBERS","3235",2007-07-27,2007-07-29,7,NA,55,54.6963577270508,2,1,"0",3032.16069290071,221348.302921848,"Human",2017-07-27
"16",16,2007,"CA","CDF","HUU","BROWN","2877",2007-07-08,2007-07-08,2,NA,20,18.7317733764648,2,1,"0",1469.31244722598,75804.7998026628,"Human",2017-07-08
"17",17,2007,"CA","CDF","HUU","DRIFTWOOD","4908",2007-10-25,2007-11-05,14,NA,70,52.9729537963867,1,1,"0",4353.27129529316,214373.935629802,"Unknown",2017-10-25
"18",18,2007,"CA","CDF","HUU","CAPPEL","4049",2007-09-05,2007-09-11,14,NA,20,12.8941459655762,1,1,"0",1604.37552847899,52180.757491473,"Unknown",2017-09-05
"19",19,2007,"CA","CCO","KRN","MOUNTAIN","717959",2007-07-19,2007-07-19,14,NA,840.56,840.558288574219,1,1,"717959",10229.1152259677,3401618.78078835,"Unknown",2017-07-19
"20",20,2007,"CA","CCO","KRN","WHITE","18055",2007-06-24,2007-06-29,2,NA,12432.15,12432.16015625,7,1,"718055",42225.3116657647,50311168.4686577,"Human",2017-06-24
"21",21,2007,"CA","USF","KRN","WOFFORD","0",2007-05-09,2007-05-13,9,NA,567,567.456604003906,2,1,"713610",7154.99834958985,2296415.40117854,"Human",2017-05-09
"22",22,2007,"CA","CCO","LAC","PEARBLOSSOM","80271",2007-04-12,2007-04-13,14,NA,77,77.8027725219727,8,1,"80271",5171.84818244885,314856.650064661,"Unknown",2017-04-12
"23",23,2007,"CA","CCO","LAC","ISLAND","102481",2007-05-10,2007-05-17,14,NA,4750,4722.9658203125,8,1,"102481",30713.9036968778,19113165.5467755,"Unknown",2017-05-10
"24",24,2007,"CA","CCO","LAC","CANYON","148415",2007-07-07,NA,14,NA,743,743.479919433594,NA,1,"148415",12308.8669532033,3008756.59234069,"Unknown",2017-07-07
"25",25,2007,"CA","CCO","LAC","FAIRMONT","193853",2007-09-01,2007-09-08,14,NA,211,211.621948242188,8,1,"193853",4739.28524493179,856403.615350964,"Unknown",2017-09-01
"26",26,2007,"CA","CDF","FKU","AUBERRY","9400",2007-08-28,2007-09-03,10,NA,150,150.936065673828,2,1,"9400",3302.73528655313,610816.557678597,"Human",2017-08-28
"27",27,2007,"CA","CDF","FKU","GATOS","9688",2007-09-02,2007-09-05,1,NA,100,83.0522003173828,2,1,"9688",2298.98836595739,336100.326571061,"Natural",2017-09-02
"28",28,2007,"CA","LRA","MVU","CORONADO HILLS","10492",2007-10-22,NA,14,NA,NA,58.7947463989258,3,1,"0",1800.91840945851,237933.901236151,"Unknown",2017-10-22
"29",29,2007,"CA","CCO","LAC","MEADOW RIDGE","233523",2007-10-23,2007-10-25,14,NA,NA,39.1084671020508,8,1,"233523",3372.74965795864,158266.356219012,"Unknown",2017-10-23
"30",30,2007,"CA","CDF","MMU","HIGHWAY 41/ RD 209 3","5998",2007-05-20,NA,14,NA,NA,329.080932617188,6,1,"0",5371.20450517997,1331743.23131215,"Unknown",2017-05-20
"31",31,2007,"CA","BLM","MVU","BORDER #34","9128",2007-09-12,2007-09-16,14,NA,NA,109.224609375,6,1,"0",3036.53767714282,442016.323651099,"Unknown",2017-09-12
"32",32,2007,"CA","LRA","MVU","78 #4","6655",2007-07-09,2007-07-10,10,NA,70,99.9742202758789,6,1,"0",3524.30684243789,404581.301205116,"Human",2017-07-09
"33",33,2007,"CA","CDF","MVU","BORDER #25","6524",2007-07-06,2007-07-07,4,NA,50,136.209930419922,6,1,"0",3660.2365387801,551222.055071849,"Human",2017-07-06
"34",34,2007,"CA","CDF","MVU","VUELTA","5764",2007-06-16,2007-06-18,14,NA,120,214.813354492188,6,1,"0",6221.77084686383,869318.83221431,"Unknown",2017-06-16
"35",35,2007,"CA","CDF","LMU","WILLOW","3020",2007-07-06,2007-07-17,1,"Timber",75,73.3600082397461,1,2,"0",3120.04984780131,296877.424841904,"Natural",2017-07-06
"36",36,2007,"CA","CDF","LMU","LOOKOUT","4945",2007-10-02,2007-10-03,5,"Grass and Brush Mix",64,64.5118103027344,1,1,"0",3350.44808422162,261070.049143409,"Human",2017-10-02
"37",37,2007,"CA","CDF","LMU","PINE","2692",2007-06-23,2007-07-29,5,"Grass and Brush Mix",314,481.780029296875,1,1,"0",5880.53993733071,1949694.61955041,"Human",2017-06-23
"38",38,2007,"CA","CDF","LMU","ISLAND","2269",2007-06-01,2007-06-04,1,"Grass and sagebrush, outside of SRA.",518,517.562927246094,1,1,"0",7971.95349516488,2094502.87930345,"Natural",2017-06-01
"39",39,2007,"CA","CDF","LNU","HWY 128","5933",2007-08-14,2007-08-15,14,NA,368,508.351104736328,6,1,"0",6142.00176322882,2057223.92948423,"Unknown",2017-08-14
"40",40,2007,"CA","CDF","LNU","PEAK","4843",2007-07-11,2007-07-11,2,NA,60,46.3219909667969,5,1,"0",2689.41362950928,187458.452504713,"Human",2017-07-11
"41",41,2007,"CA","CDF","LNU","MOUNTAIN","4247",2007-06-24,2007-06-27,14,NA,45,49.2782363891602,7,1,"0",1815.51001916429,199421.942833482,"Unknown",2017-06-24
"42",42,2007,"CA","CDF","LNU","SPRUCE","4982",2007-07-15,2007-07-15,11,NA,NA,129.011093139648,5,1,"0",4042.51437267613,522089.376489864,"Human",2017-07-15
"43",43,2007,"CA","CDF","LNU","BRAYE","3042",2007-05-18,2007-05-22,14,NA,450,636.530212402344,6,1,"0",7055.14105290655,2575946.26060572,"Unknown",2017-05-18
"44",44,2007,"CA","CDF","LNU","ROBINSON","5400",2007-07-28,2007-07-30,7,"Started on Robinson Rancheria",128,121.548217773438,1,1,"0",4377.86846340335,491888.19633603,"Human",2017-07-28
"45",45,2007,"CA","CDF","LNU","WEST","5195",2007-07-22,2007-07-22,10,NA,40,36.9946098327637,6,1,"0",2128.27975800986,149711.866976831,"Human",2017-07-22
"46",46,2007,"CA","LRA","LAC","GRIFFITH PARK","0",2007-05-08,NA,3,"NPS from BARC imagery and air photo interp. Presumed accuracy 30m",NA,747.898376464844,7,1,"2",12410.5784528132,3026637.43768651,"Human",2017-05-08
"47",47,2007,"CA","LRA","LAC","BARHAM","0",2007-03-30,2007-03-31,8,"NPS from BARC, air photo interp. Presumed accuracy 30m. Suppress by LA City?",NA,224.32763671875,7,1,"1",5068.36084039532,907821.717689327,"Human",2017-03-30
"48",48,2007,"CA","CCO","VNC","SMALL HIGHWAY","0",2007-06-08,2007-06-08,10,"NPS by ground GPS, presumed cause = automobile, suppressed by VTA Co?",NA,0.132265999913216,1,1,"2",113.154902806083,535.261487792686,"Human",2017-06-08
"49",49,2007,"CA","CCO","VNC","RABBIT HILL","0",2007-10-21,2007-10-21,14,"VTACO prob suppress. NPS map by recon & airpic interp. Cause unkn. Accuracy 15m",NA,16.8409633636475,7,1,"3",993.489282239056,68152.9643601658,"Unknown",2017-10-21
"50",50,2007,"CA","CCO","VNC","ROADSIDE","0",2007-04-30,2007-04-30,9,"VTACO prob suppress.  NPS map ground GPS, in threat zone, accuracy 10m",NA,0.32058396935463,1,1,"1",196.323416449846,1297.35735401187,"Human",2017-04-30
"51",51,2007,"CA","CCO","VNC","DEER RIDGE","239",2007-04-01,2007-04-01,9,"By NPS LE (ground GPS?), presumed accuracy 30m. cause unkn, presumed human",0.3,0.308961540460587,7,1,"239",125.50716180727,1250.32300198572,"Human",2017-04-01
"52",52,2007,"CA","CCO","LAC","TRIUNFO","313",2007-05-09,2007-05-09,9,"NPS from unkn source. Presumed accuracy 30m, cause unkn, presumed human",0.2,0.308980941772461,8,1,"313",125.511117474601,1250.40152545198,"Human",2017-05-09
"53",53,2007,"CA","CCO","ORC","241 (HAYSTACK)","0",2007-05-26,NA,10,NA,NA,0.238220185041428,NA,1,"0",533.423036252121,964.04288417462,"Human",2017-05-26
"54",54,2007,"CA","CCO","ORC","PIONEER","0",2007-05-26,NA,8,NA,NA,0.338818043470383,NA,1,"34237",192.416166983973,1371.14802915154,"Human",2017-05-26
"55",55,2007,"CA","CCO","ORC","FREEMONT/IRVINE LAKE","0",2007-06-22,NA,16,NA,NA,9.4887638092041,NA,1,"39619",1121.61834127195,38399.6652506373,"Human",2017-06-22
"56",56,2007,"CA","CCO","ORC","ANTONIO","0",2007-06-25,NA,11,NA,NA,0.879535853862762,NA,1,"7040974",238.572471257219,3559.35526581748,"Human",2017-06-25
"57",57,2007,"CA","CCO","ORC","FREEWAY INCIDENT","0",2007-09-18,NA,8,NA,NA,2.45462560653687,NA,1,"60896",763.708799386806,9933.51748072204,"Human",2017-09-18
"58",58,2007,"CA","CCO","ORC","CROWN VALLEY","0",2007-07-13,NA,8,NA,NA,22.8726654052734,NA,1,"7045332",1886.90016025418,92562.3931897229,"Human",2017-07-13
"59",59,2007,"CA","CCO","ORC","261 INCIDENT","0",2007-07-27,NA,10,NA,NA,89.767936706543,NA,1,"7048570",2815.55181952511,363277.963581198,"Human",2017-07-27
"60",60,2007,"CA","CDF","RRU","ROCA","91948",2007-10-21,2007-10-21,11,NA,256,270.026519775391,7,1,"0",5652.82777082253,1092758.51851818,"Human",2017-10-21
"61",61,2007,"CA","CCO","SBC","CEMETERY","6785",2007-08-20,2007-08-23,8,"Children playing with fire",490,501.578674316406,7,1,"6785",7608.32231140417,2029816.89828421,"Human",2017-08-20
"62",62,2007,"CA","CCO","SBC","MARIPOSA","7295",2007-09-03,2007-09-04,11,NA,187,188.254623413086,7,1,"7295",4578.86400110899,761839.417985837,"Human",2017-09-03
"63",63,2007,"CA","CCO","SBC","SEDGWICK","8758",2007-10-21,2007-10-23,11,"CA-LPF-001783",710,808.829223632812,7,1,"8758",8061.13235199976,3273215.65356712,"Human",2017-10-21
"64",64,2007,"CA","LRA","LAC","GRIFFITH PARK","0",2007-08-14,2007-08-14,14,"perim = 5ac circle, by NPS, from oblique air photo. Cause unknown",NA,4.96196937561035,5,1,"3",502.544619256715,20080.3771908111,"Unknown",2017-08-14
"65",65,2007,"CA","CCO","LAC","AGOURA","420",2007-06-21,2007-06-21,9,"NPS by ground GPS. Accuracy 20m. cause = ukn, presumed human",0.8,0.80840140581131,1,1,"420",324.591819672568,3271.48452751932,"Human",2017-06-21
"66",66,2007,"CA","CCO","LAC","KANAN","457",2007-07-03,2007-07-03,2,"NPS by ground GPS. Accuracy 20m. presumed cause = weed abatement",0.5,0.51394385099411,1,1,"457",202.524944541181,2079.85701074183,"Human",2017-07-03
"67",67,2007,"CA","CCO","LAC","FLORES","535",2007-08-05,2007-08-05,10,"NPS by ground GPS. Cause = vehicle fire, accuracy 10m",0.1,0.093504287302494,1,1,"535",69.0450443091512,378.398439466099,"Human",2017-08-05
"68",68,2007,"CA","CCO","LAC","AGOURA 2","677",2007-10-07,2007-10-07,7,"NPS by ground GPS. arson suspected, accuracy 20m",2,2.01441216468811,1,1,"677",320.272635716511,8152.03711221463,"Human",2017-10-07
"69",69,2007,"CA","CCO","LAC","VIRGENES","717",2007-11-03,2007-11-03,9,"Cause unkn, presumed human, NPS by driveby recon, presumed accuracy 90m",0.1,0.016780473291874,7,1,"717",29.2499829152065,67.9081649878868,"Human",2017-11-03
"70",70,2007,"CA","LRA","RRU","RIVER","37425",2007-04-28,2007-04-28,14,NA,488,158.041610717773,7,1,"0",5723.41174726922,639571.677491727,"Unknown",2017-04-28
"71",71,2007,"CA","CDF","RRU","ROSA","92560",2007-10-22,2007-10-22,14,NA,200,409.634552001953,7,1,"0",8714.26027475536,1657732.27884382,"Unknown",2017-10-22
"72",72,2007,"CA","CCO","ORC","LAGUNA CANYON","0",2007-03-08,2007-03-08,3,NA,NA,2.84257340431213,8,1,"0",585.384835909491,11503.4867634445,"Human",2017-03-08
"73",73,2007,"CA","CCO","ORC","241 INCIDENT","0",2007-03-11,2007-03-13,7,NA,NA,1618.07922363281,7,1,"7016557",17664.2166228911,6548134.43680477,"Human",2017-03-11
"74",74,2007,"CA","CCO","ORC",NA,"0",2007-01-07,2007-01-07,8,NA,NA,14.8033580780029,8,1,"0",1667.95691854779,59907.065201896,"Human",2017-01-07
"75",75,2007,"CA","CCO","ORC","ROSE","0",2007-04-12,2007-04-12,11,NA,2.5,8.33595561981201,8,1,"24073",1221.36777278356,33734.4151009108,"Human",2017-04-12
"76",76,2007,"CA","CDF","AEU","BAYNE","11527",2007-07-01,2007-07-01,7,NA,126,125.960571289062,1,1,"0",3807.51253809074,509744.361029142,"Human",2017-07-01
"77",77,2007,"CA","CDF","AEU","PLACERVILLE","10561",2007-06-18,2007-06-18,14,NA,1.2,0.981788158416748,6,1,"0",242.142276949559,3973.15581271791,"Unknown",2017-06-18
"78",78,2007,"CA","DOD","MCP","AMMO","0",2007-10-23,2007-11-01,14,NA,21084,21493.908203125,8,1,"1111",55925.9944745108,86982761.4227948,"Unknown",2017-10-23
"79",79,2007,"CA","CDF","BDU","RED STAR","287",2007-01-07,2007-01-07,14,"CAL FIRE Wildland Contract area.",209,208.714447021484,1,1,"0",7933.45796378879,844637.392510662,"Unknown",2017-01-07
"80",80,2007,"CA","USF","KNF","BACK","34",2007-07-06,2007-07-14,1,"Part of the China-Back Complex",28,28.2099418640137,8,1,"34",2520.28903168496,114161.587220468,"Natural",2017-07-06
