"","yearly_rank","region","state","loc_id","city","airport_name","airport_classification","hub_type","year","passengers"
"1",58,"AL","AK","ANC","Anchorage","Ted Stevens Anchorage International","Primary","Medium",2013,2325030
"2",121,"AL","AK","FAI","Fairbanks","Fairbanks International","Primary","Small",2013,457372
"3",138,"AL","AK","JNU","Juneau","Juneau International","Primary","Nonhub",2013,359291
"4",199,"AL","AK","BET","Bethel","Bethel","Primary","Nonhub",2013,152084
"5",222,"AL","AK","KTN","Ketchikan","Ketchikan International","Primary","Nonhub",2013,109433
"6",226,"AL","AK","ENA","Kenai","Kenai Municipal","Primary","Nonhub",2013,99821
"7",244,"AL","AK","ADQ","Kodiak","Kodiak","Primary","Nonhub",2013,79930
"8",249,"AL","AK","SIT","Sitka","Sitka Rocky Gutierrez","Primary","Nonhub",2013,67989
"9",258,"AL","AK","OTZ","Kotzebue","Ralph Wien Memorial","Primary","Nonhub",2013,61274
"10",264,"AL","AK","OME","Nome","Nome","Primary","Nonhub",2013,58020
"11",275,"AL","AK","BRW","Barrow","Wiley Post-Will Rogers Memorial","Primary","Nonhub",2013,51568
"12",279,"AL","AK","SCC","Deadhorse","Deadhorse","Primary","Nonhub",2013,48588
"13",285,"AL","AK","5KE","Ketchikan","Ketchikan Harbor","General Aviation",NA,2013,45477
"14",295,"AL","AK","HOM","Homer","Homer","Primary","Nonhub",2013,37705
"15",299,"AL","AK","AKN","King Salmon","King Salmon","Primary","Nonhub",2013,35450
"16",316,"AL","AK","DUT","Unalaska","Unalaska","Primary","Nonhub",2013,28556
"17",319,"AL","AK","DLG","Dillingham","Dillingham","Primary","Nonhub",2013,26632
"18",326,"AL","AK","LHD","Anchorage","Lake Hood","Primary","Nonhub",2013,24026
"19",339,"AL","AK","PSG","Petersburg","Petersburg James A Johnson","Primary","Nonhub",2013,20046
"20",357,"AL","AK","CDV","Cordova","Merle K (Mudhole) Smith","Primary","Nonhub",2013,15772
"21",363,"AL","AK","ANI","Aniak","Aniak","Primary","Nonhub",2013,14334
"22",366,"AL","AK","GAL","Galena","Edward G Pitka Sr","Primary","Nonhub",2013,14141
"23",368,"AL","AK","UNK","Unalakleet","Unalakleet","Primary","Nonhub",2013,14011
"24",369,"AL","AK","KSM","St Mary's","St Mary's","Primary","Nonhub",2013,13949
"25",375,"AL","AK","MRI","Anchorage","Merrill Field","Primary","Nonhub",2013,13440
"26",377,"AL","AK","VDZ","Valdez","Valdez Pioneer Field","Primary","Nonhub",2013,13318
"27",388,"AL","AK","MBA","Manokotak","Manokotak","Primary","Nonhub",2013,11903
"28",389,"AL","AK","WRG","Wrangell","Wrangell","Primary","Nonhub",2013,11807
"29",405,"AL","AK","DGG","Red Dog Mine","Red Dog","General Aviation",NA,2013,10473
