"",,TICt  (millions,,proportion of,,,TICt  (millions,,proportion of,,,TICt  (millions,,proportion of
Rank Country,,US$),mean GDP,GDP,Rank Country,,US$),mean GDP,GDP,Rank Country,,US$),mean GDP,GDP
1 Malawi,,"$1,071","$3,000",0.3569,43 Philippines,,"$4,839","$113,050",0.0428,85 Latvia,,$187,"$17,470",0.0107
2 Burundi,,$398,"$1,121",0.3551,44 Morocco,,"$2,531","$60,211",0.0420,86 Czech Republic,,"$1,336","$129,245",0.0103
3 Guinea,,$978,"$3,380",0.2892,45 Nicaragua,,$264,"$6,361",0.0415,87 Panama,,$161,"$16,229",0.0099
4 Guinea-Bissau,,$114,$513,0.2226,46 Cape Verde,,$41,"$1,004",0.0406,88 Slovakia,,$573,"$59,518",0.0096
5 Mozambique,,"$1,218","$6,423",0.1897,47 India,,"$33,065","$844,053",0.0392,89 Jordan,,$116,"$13,919",0.0084
6 Madagascar,,"$1,074","$5,842",0.1838,48 Belize,,$42,"$1,100",0.0384,90 Poland,,"$2,449","$306,063",0.0080
7 Cambodia,,"$1,121","$6,487",0.1728,49 Bulgaria,,"$1,112","$29,331",0.0379,91 Estonia,,$102,"$13,669",0.0075
8 Nepal,,"$1,411","$8,411",0.1678,50 Azerbaijan,,$731,"$19,359",0.0377,92 Portugal,,"$1,365","$182,864",0.0075
9 Laos,,$508,"$3,134",0.1622,51 Macedonia,,$218,"$6,094",0.0358,93 Barbados,,$20,"$2,998",0.0068
10 Ethiopia,,"$2,312","$14,344",0.1612,52 Brazil,,"$33,760","$953,030",0.0354,94 New Zealand,,$640,"$96,355",0.0066
11 Vietnam,,"$7,490","$55,702",0.1345,53 Mauritius,,$228,"$6,494",0.0350,95 Cyprus,,$108,"$16,483",0.0066
12 Moldova,,$388,"$3,130",0.1238,54 Congo (Republic of),,$213,"$6,084",0.0350,96 Russian Federation,,"$5,084","$786,992",0.0065
13 Tajikistan,,$297,"$2,579",0.1152,55 Romania,,"$3,524","$101,757",0.0346,97 Canada,,"$6,694","$1,070,980",0.0063
14 Paraguay,,"$1,012","$9,127",0.1109,56 Fiji,,$87,"$2,619",0.0333,98 France,,"$12,532","$2,039,069",0.0061
15 Kyrgyzstan,,$302,"$2,756",0.1096,57 Sri Lanka,,$829,"$25,653",0.0323,99 USA,,"$70,381","$12,156,820",0.0058
16 Burkina Faso,,$558,"$5,244",0.1064,58 Indonesia,,"$9,550","$314,522",0.0304,100 Denmark,,"$1,417","$244,969",0.0058
17 Cameroon,,"$1,574","$16,009",0.0983,59 Turkey,,"$13,267","$439,621",0.0302,101 Slovenia,,$202,"$35,224",0.0057
18 Mali,,$505,"$5,365",0.0941,60 Tunisia,,$949,"$31,917",0.0297,102 Spain,,"$5,576","$1,066,190",0.0052
19 Nigeria,,"$10,251","$110,790",0.0925,61 Iraq,,"$1,234","$41,518",0.0297,103 Japan,,"$23,490","$4,499,994",0.0052
20 Bangladesh,,"$5,623","$60,967",0.0922,62 Bosnia and Herzegovina,,$327,"$11,055",0.0296,104 Austria,,"$1,304","$293,944",0.0044
21 Rwanda,,$255,"$2,842",0.0898,63 Algeria,,"$2,862","$98,448",0.0291,105 Belgium,,"$1,351","$360,905",0.0037
22 Albania,,$637,"$7,864",0.0810,64 El Salvador,,$475,"$16,994",0.0280,106 Israel,,$518,"$144,913",0.0036
23 Ukraine,,"$6,953","$86,051",0.0808,65 Dominican Republic,,$873,"$32,263",0.0271,107 Netherlands,,"$1,981","$613,761",0.0032
24 Jamaica,,$872,"$10,813",0.0806,66 Ecuador,,$935,"$35,335",0.0265,108 Finland,,$601,"$189,615",0.0032
25 Honduras,,$794,"$10,042",0.0791,67 Costa Rica,,$557,"$21,335",0.0261,109 Saudi Arabia,,$804,"$293,502",0.0027
26 Ghana,,"$1,114","$14,338",0.0777,68 Uruguay,,$509,"$20,428",0.0249,110 Switzerland,,$924,"$378,837",0.0024
27 Togo,,$153,"$2,088",0.0734,69 Mongolia,,$65,"$2,777",0.0233,111 Malta,,$14,"$5,947",0.0024
