species,max_impact_percent,rank
Apiognomonia veneta,0,1
Atherigona miliaceae,0.3,2
Cryptophlebia illepida,4,3
Conogethes punctiferalis,5,4
Dysaphis plantaginea,5.2,5
Bathycoelia thalassina,9,6
Amrasca biguttula biguttula,9.2,7
Apiosporina morbosa,10,8
Argyrotaenia citrana,10,9
Ascochyta sorghi,10,10
Asproparthenis punctiventris,10,11
Brachycerus muricatus,10,12
Ceratocystis paradoxa,10,13
Dasineura mali,10,14
Agromyza frontella,11,15
Balansia oryzae-sativae,11,16
Cinara cupressi,12,17
Busseola fusca,15,18
Cochliobolus sativus,15,19
Corcyra cephalonica,15,20
Diaporthe phaseolorum var. meridionalis,15,21
Anaphothrips obscurus,16,22
Chalara elegans,19,23
Alternaria citri,20,24
Alternaria dianthicola,20,25
Cercospora sorghi,20,26
Choanephora cucurbitarum,20,27
Ceutorhynchus assimilis,21,28
Chilo infuscatellus,22,29
Chrysomphalus dictyospermi,23,30
Cydia splendana,23,31
Agromyza oryzae,25,32
Aspidiotus destructor,25,33
Aulacaspis tegalensis,25,34
Cephus cinctus,25,35
Cronartium quercuum,25,36
Dysmicoccus brevipes,25,37
Chlorops oryzae,26,38
Cyclaneusma minus,26,39
Chilo auricilius,29,40
Acleris gloverana,30,41
Bruchus pisorum,30,42
Chrysophtharta bimaculata,30,43
Colletotrichum truncatum,30,44
Diatraea saccharalis,30,45
Colletotrichum capsici,35,46
Brevicoryne brassicae,37,47
Alternaria,40,1
Amblypelta,40,2
Bemisia,40,3
Darna,40,4
Alternaria,42,5
Cosmopolites,44,6
Drepanopeziza,45,7
Anoplophora,46,8
Anomis,48,9
Aphis,48,10
Agrotis,50,11
Alternaria,50,12
Anthonomus,50,13
Anthonomus,50,14
Botrytis,50,15
Ceratocystis,50,16
Colletotrichum,50,17
Colletotrichum,50,18
Delia,50,19
Diatraea,50,20
Didymella,50,21
Anthonomus,51,22
Botrytis,51,23
Dorysthenes,51,24
Aphis,52,25
Antigastra,53,26
Cercospora,55,27
Cephus,56,28
Cladosporium,57,29
Alternaria,59,30
Acalymma,60,31
Alternaria,60,32
Alternaria,60,33
Bactrocera,60,34
Chaetocnema,60,35
Colletotrichum,60,36
Alternaria,62,37
Diaporthe,62,38
Blumeria,63,39
Basilepta,66,40
Colletotrichum,67,41
Acraea,70,42
Aphis,70,43
Didymella,70,44
Didymella,70,45
Dryocosmus,70,46
Dysdercus,70,47
Alternaria,71,1
Anarsia,71,2
Anthonomus,75,3
Choristoneura,75,4
Colletotrichum,75,5
Aspergillus,76,6
Aleurotrachelus,79,7
Aonidomytilus,80,8
Aphis,80,9
Atherigona,80,10
Colletotrichum,80,11
Coniella,80,12
Corticium,80,13
Cylas,80,14
Delia,80,15
Diuraphis,80,16
Alternaria,82,17
Armillaria,85,18
Bactrocera,85,19
Adoretus,90,20
Amblypelta,90,21
Amblypelta,90,22
Bactrocera,90,23
Bactrocera,90,24
Carpomya,90,25
Ceratocystis,90,26
Bactrocera,91,27
Ciborinia,95,28
Colletotrichum,95,29
Cronartium,95,30
Bactrocera,99,31
Adelges,100,32
Adelphocoris,100,33
Agrilus,100,34
Agrius,100,35
Amritodus,100,36
Anisogramma,100,37
Aonidiella,100,38
Bactrocera,100,39
Bactrocera,100,40
Calopepla,100,41
Chrysomphalus,100,42
Chrysomyxa,100,43
Cicadulina,100,44
Cylas,100,45
Didymella,100,46
