"","year","icpsr_state_code","alphanumeric_state_code","state","votes","eligible_voters"
"1",2014,0,0,"United States",83262122,227157964
"2",2014,41,1,"Alabama",1191274,3588783
"3",2014,81,2,"Alaska",285431,520562
"4",2014,61,3,"Arizona",1537671,4510186
"5",2014,42,4,"Arkansas",852642,2117881
"6",2014,71,5,"California",7513972,24440416
"7",2014,62,6,"Colorado",2080071,3800664
"8",2014,1,7,"Connecticut",1096556,2577311
"9",2014,11,8,"Delaware",238110,681526
"10",2014,55,9,"District of Columbia",177176,495899
"11",2014,43,10,"Florida",6026802,13914216
"12",2014,44,11,"Georgia",2596947,6725041
"13",2014,82,12,"Hawaii",369554,1012123
"14",2014,63,13,"Idaho",445307,1119882
"15",2014,21,14,"Illinois",3680417,9028752
"16",2014,22,15,"Indiana",1387622,4829510
"17",2014,31,16,"Iowa",1142284,2269179
"18",2014,32,17,"Kansas",887023,2048164
"19",2014,51,18,"Kentucky",1459409,3247300
"20",2014,45,19,"Louisiana",1503975,3349433
"21",2014,2,20,"Maine",616996,1051557
"22",2014,52,21,"Maryland",1745104,4154546
"23",2014,3,22,"Massachusetts",2186789,4896296
"24",2014,23,23,"Michigan",3188956,7383958
"25",2014,33,24,"Minnesota",1992613,3935121
"26",2014,46,25,"Mississippi",NA,2181131
"27",2014,34,26,"Missouri",1509025,4493722
"28",2014,64,27,"Montana",373831,787748
"29",2014,35,28,"Nebraska",552115,1334453
"30",2014,65,29,"Nevada",552546,1867644
"31",2014,4,30,"New Hampshire",495565,1025862
"32",2014,12,31,"New Jersey",1955042,6014127
"33",2014,66,32,"New Mexico",NA,1449503
"34",2014,13,33,"New York",3930310,13553426
"35",2014,47,34,"North Carolina",2939767,7143737
"36",2014,36,35,"North Dakota",255128,567221
"37",2014,24,36,"Ohio",3149876,8701243
"38",2014,53,37,"Oklahoma",825607,2755091
"39",2014,72,38,"Oregon",1541782,2887517
"40",2014,14,39,"Pennsylvania",3535576,9689491
"41",2014,5,40,"Rhode Island",329212,776286
"42",2014,48,41,"South Carolina",1261611,3584461
"43",2014,37,42,"South Dakota",282291,630989
"44",2014,54,43,"Tennessee",1430117,4799476
"45",2014,49,44,"Texas",NA,16675420
"46",2014,67,45,"Utah",577973,1905801
"47",2014,6,46,"Vermont",202445,495884
"48",2014,40,47,"Virginia",2194346,5962456
"49",2014,73,48,"Washington",2123901,4928407
"50",2014,56,49,"West Virginia",462864,1447652
"51",2014,25,50,"Wisconsin",2422248,4260427
"52",2014,68,51,"Wyoming",171153,431434
"53",2012,0,0,"United States",130292355,222474111
"54",2012,41,1,"Alabama",NA,3539217
"55",2012,81,2,"Alaska",301694,511792
"56",2012,61,3,"Arizona",2323579,4387900
"57",2012,42,4,"Arkansas",1078548,2109847
"58",2012,71,5,"California",13202158,23681837
"59",2012,62,6,"Colorado",2596173,3675871
"60",2012,1,7,"Connecticut",1560640,2543202
"61",2012,11,8,"Delaware",NA,663967
"62",2012,55,9,"District of Columbia",294254,477582
"63",2012,43,10,"Florida",8538264,13495057
"64",2012,44,11,"Georgia",3919355,6606607
