lat,long,county,carries,yr_built,bridge_condition,avg_daily_traffic,total_improve_cost_thousands,inspection_mo,inspection_yr,owner,responsibility,vehicles
39.22499847,-76.66166687,Anne Arundel County,IS 695,1958,Fair,128182,NA,07,16,State Highway Agency,State Highway Agency,128182 vehicles
39.22333145,-76.65833282,Anne Arundel County,IS 695,1951,Fair,128182,158,02,16,State Highway Agency,State Highway Agency,128182 vehicles
39.20166779,-76.63166809,Anne Arundel County,IS 695 IL,1957,Fair,92102,1168,11,15,State Highway Agency,State Highway Agency,92102 vehicles
39.20166779,-76.63166809,Anne Arundel County,IS 695 OL,1957,Fair,92102,NA,11,15,State Highway Agency,State Highway Agency,92102 vehicles
39.18166733,-76.61333466,Anne Arundel County,MD 2,1937,Good,31511,NA,06,15,State Highway Agency,State Highway Agency,31511 vehicles
39.14500046,-76.60666656,Anne Arundel County,MD 2,1936,Fair,23961,NA,11,15,State Highway Agency,State Highway Agency,23961 vehicles
39.01944351,-76.5027771,Anne Arundel County,MD 2 RAMP 8,1953,Good,20393,419,03,16,State Highway Agency,State Highway Agency,20393 vehicles
39.01944351,-76.5027771,Anne Arundel County,US 50  RAMP 6,1953,Fair,2833,388,01,16,State Highway Agency,State Highway Agency,2833 vehicles
38.95166779,-76.55500031,Anne Arundel County,MD 2,1983,Fair,53221,13504,10,15,State Highway Agency,State Highway Agency,53221 vehicles
39.2228472222222,-76.65250555555555,Anne Arundel County,MD 168,1949,Fair,13660,222,10,16,State Highway Agency,State Highway Agency,13660 vehicles
39.2173638888889,-76.6635111111111,Anne Arundel County,HAMMONDS FERRY RD,1949,Fair,2892,220,03,16,State Highway Agency,State Highway Agency,2892 vehicles
39.2122555555556,-76.67831111111111,Anne Arundel County,WEST NURSERY ROAD,1949,Fair,9020,266,05,15,State Highway Agency,State Highway Agency,9020 vehicles
39.2048277777778,-76.689375,Anne Arundel County,WINTERSON ROAD,1990,Good,7530,NA,06,15,State Highway Agency,State Highway Agency,7530 vehicles
39.20166779,-76.69166565,Anne Arundel County,MD 295 SB RAMP B,1990,Good,10897,NA,08,15,State Highway Agency,State Highway Agency,10897 vehicles
39.20000076,-76.70555878,Anne Arundel County,MD 295 NBR,1950,Fair,88882,NA,12,15,State Highway Agency,State Highway Agency,88882 vehicles
39.20000076,-76.70555878,Anne Arundel County,MD 295 SB,1950,Fair,88882,NA,12,15,State Highway Agency,State Highway Agency,88882 vehicles
39.1976055555556,-76.7026,Anne Arundel County,RIDGE ROAD,1950,Fair,1100,NA,03,16,State Highway Agency,State Highway Agency,1100 vehicles
39.1866684,-76.71666718,Anne Arundel County,MD 295 NBR,1950,Fair,42696,NA,05,15,State Highway Agency,State Highway Agency,42696 vehicles
39.1866684,-76.71666718,Anne Arundel County,MD 295 SBR,1950,Fair,42696,NA,05,15,State Highway Agency,State Highway Agency,42696 vehicles
39.18000031,-76.72166443,Anne Arundel County,MD 295,1950,Fair,88882,NA,04,16,State Highway Agency,State Highway Agency,88882 vehicles
39.1400055555556,-76.75534722222223,Anne Arundel County,MD 175,1952,Fair,19272,NA,05,16,State Highway Agency,State Highway Agency,19272 vehicles
39.1883316,-76.68499756,Anne Arundel County,IS 195,1998,Good,56601,NA,08,16,State Highway Agency,State Highway Agency,56601 vehicles
38.95666504,-76.68000031,Anne Arundel County,IS 595,1950,Fair,81102,NA,09,16,State Highway Agency,State Highway Agency,81102 vehicles
38.96166611,-76.65499878,Anne Arundel County,MD 424,1994,Good,13992,NA,05,15,State Highway Agency,State Highway Agency,13992 vehicles
38.96166611,-76.65499878,Anne Arundel County,MD 424,1994,Good,13992,NA,05,15,State Highway Agency,State Highway Agency,13992 vehicles
38.97499847,-76.6333313,Anne Arundel County,IS 595,1950,Good,101670,NA,07,16,State Highway Agency,State Highway Agency,101670 vehicles
38.98166656,-76.60500336,Anne Arundel County,IS 595,1950,Good,101670,NA,03,15,State Highway Agency,State Highway Agency,101670 vehicles
38.98333359,-76.58833313,Anne Arundel County,IS 595,1950,Fair,101670,NA,01,16,State Highway Agency,State Highway Agency,101670 vehicles
38.98500061,-76.54333496,Anne Arundel County,IS 595,1991,Good,106360,NA,12,16,State Highway Agency,State Highway Agency,106360 vehicles
38.98666763,-76.53333282,Anne Arundel County,IS 595,1991,Good,123940,NA,04,16,State Highway Agency,State Highway Agency,123940 vehicles
38.99000168,-76.52500153,Anne Arundel County,IS 595,1953,Fair,123940,NA,03,15,State Highway Agency,State Highway Agency,123940 vehicles
