tag,JD,launch_date,launch_year,type,variant,mission,agency,state_code,category,agency_type
1967-065,2439671.38,1967-06-29,1967,Thor Burner 2,,Secor Type II S/N 10,US,US,O,state
1967-080,2439725.7,1967-08-23,1967,Thor Burner 2,,DAPP 3419,US,US,O,state
1967-096,2439774.83,1967-10-11,1967,Thor Burner 2,,DAPP 4417,US,US,O,state
1968-042,2439999.69,1968-05-23,1968,Thor Burner 2,,DAPP 5420,US,US,O,state
1968-092,2440152.69,1968-10-23,1968,Thor Burner 2,,DAPP 6422,US,US,O,state
1969-062,2440425.69,1969-07-23,1969,Thor Burner 2,,DAPP 7421,US,US,O,state
1970-012,2440628.86,1970-02-11,1970,Thor Burner 2,,DAPP Block 5A F-1,US,US,O,state
1970-070,2440832.86,1970-09-03,1970,Thor Burner 2,,DAPP Block 5A F-2,US,US,O,state
1971-012,2440999.66,1971-02-17,1971,Thor Burner 2,,DAPP Block 5A F-3,US,US,O,state
1971-054,2441111.08,1971-06-08,1971,Thor Burner 2,,P70-1,US,US,O,state
1971-087,2441238.83,1971-10-14,1971,Thor Burner 2A,,DMSP Block 5B F-1 (SV-2),US,US,O,state
1972-018,2441400.87,1972-03-24,1972,Thor Burner 2A,,DMSP Block 5B F-2 (SV-1),US,US,O,state
1972-089,2441630.64,1972-11-09,1972,Thor Burner 2A,,DMSP Block 5B F-3,US,US,O,state
1973-054,2441911.7,1973-08-17,1973,Thor Burner 2A,,DMSP Block 5B F-4,US,US,O,state
1974-015,2442122.83,1974-03-16,1974,Thor Burner 2A,,DMSP Block 5B F-5,US,US,O,state
1974-063,2442268.64,1974-08-09,1974,Thor Burner 2A,,DMSP Block 5C F-1,US,US,O,state
1975-043,2442556.64,1975-05-24,1975,Thor Burner 2A,,DMSP Block 5C F-2,US,US,O,state
1976-016,2442827.83,1976-02-19,1976,Thor Burner 2A,,DMSP Block 5C F-3,US,US,O,state
1976-091,2443032.83,1976-09-11,1976,Thor DSV-2U,,DMSP Block 5D S-1,US,US,O,state
1977-044,2443299.62,1977-06-05,1977,Thor DSV-2U,,DMSP Block 5D S-2,US,US,O,state
1978-042,2443629.63,1978-05-01,1978,Thor DSV-2U,,DMSP Block 5D S-3,US,US,O,state
