Year,Cheddar,American Other,Mozzarella,Italian other,Swiss,Brick,Muenster,Cream and Neufchatel,Blue,Other Dairy Cheese,Processed Cheese,Foods and spreads,Total American Chese,Total Italian Cheese,Total Natural Cheese,Total Processed Cheese Products
1970,5.79,1.2,1.19,0.87,0.88,0.1,0.17,0.61,0.15,0.41,3.32,2.2,7,2.05,11.37,5.53
1971,5.91,1.42,1.38,0.92,0.94,0.11,0.19,0.62,0.15,0.41,3.55,2.31,7.32,2.29,12.03,5.86
1972,6.01,1.67,1.57,1.02,1.06,0.1,0.22,0.63,0.17,0.56,3.51,2.62,7.68,2.59,13.01,6.13
1973,6.07,1.76,1.76,1.03,1.06,0.11,0.21,0.66,0.18,0.65,3.31,2.68,7.83,2.8,13.49,5.99
1974,6.31,2.16,1.86,1.09,1.18,0.11,0.23,0.7,0.16,0.61,3.42,2.92,8.47,2.95,14.41,6.34
1975,6.04,2.11,2.11,1.12,1.09,0.09,0.24,0.74,0.16,0.57,3.35,3.35,8.15,3.23,14.27,6.69
1976,6.45,2.44,2.31,1.24,1.25,0.09,0.25,0.77,0.18,0.53,3.89,2.59,8.88,3.55,15.51,6.48
1977,6.8,2.42,2.46,1.26,1.21,0.07,0.25,0.8,0.18,0.55,3.88,3.23,9.21,3.72,15.99,7.12
1978,6.94,2.59,2.68,1.37,1.33,0.08,0.27,0.89,0.19,0.51,3.84,3.23,9.53,4.05,16.83,7.07
1979,6.93,2.67,2.8,1.42,1.35,0.06,0.28,0.94,0.18,0.53,3.83,3.12,9.6,4.22,17.16,6.94
1980,6.84,2.78,3.01,1.42,1.32,0.07,0.31,1,0.17,0.62,3.96,3.09,9.62,4.42,17.52,7.05
1981,7.03,3.12,2.96,1.47,1.27,0.06,0.29,1.04,0.16,0.78,3.63,3.14,10.15,4.43,18.18,6.77
1982,8.72,2.58,3.24,1.54,1.29,0.06,0.3,1.12,0.16,0.9,4.66,3.29,11.31,4.77,19.9,7.95
1983,9.11,2.5,3.66,1.59,1.25,0.06,0.3,1.15,0.16,0.79,5.09,3.32,11.61,5.26,20.56,8.41
1984,9.54,2.31,4.02,1.72,1.24,0.07,0.32,1.17,0.17,0.91,4.46,3.3,11.85,5.75,21.47,7.76
1985,9.77,2.41,4.6,1.82,1.28,0.08,0.34,1.22,0.17,0.85,4.6,3,12.19,6.41,22.54,7.6
1986,9.77,2.35,5.17,1.79,1.29,0.08,0.37,1.33,0.17,0.79,4.77,3.18,12.12,6.96,23.12,7.96
1987,10.61,1.8,5.6,2.01,1.23,0.12,0.38,1.41,0.17,0.77,5.23,3.18,12.4,7.61,24.1,8.41
1988,9.52,1.97,5.99,2.12,1.28,0.1,0.34,1.53,0.17,0.69,4.6,3.75,11.5,8.1,23.71,8.34
1989,9.18,1.85,6.4,2.06,1.23,0.07,0.37,1.61,0.16,0.87,4.61,3.57,11.03,8.46,23.79,8.17
1990,9.05,2.07,6.88,2.04,1.35,0.07,0.4,1.71,0.17,0.87,4.79,3.84,11.13,8.92,24.61,8.63
1991,9.04,1.99,7.15,2.13,1.21,0.06,0.42,1.75,0.16,1.02,4.88,3.75,11.03,9.28,24.94,8.63
