date,fixed_rate_30_yr,fees_and_pts_30_yr,fixed_rate_15_yr,fees_and_pts_15_yr,adjustable_rate_5_1_hybrid,fees_and_pts_5_1_hybrid,adjustable_margin_5_1_hybrid,spread_30_yr_fixed_and_5_1_adjustable
1971-04-02,7.33,NA,NA,NA,NA,NA,NA,NA
1971-04-09,7.31,NA,NA,NA,NA,NA,NA,NA
1971-04-16,7.31,NA,NA,NA,NA,NA,NA,NA
1971-04-23,7.31,NA,NA,NA,NA,NA,NA,NA
1971-04-30,7.29,NA,NA,NA,NA,NA,NA,NA
1971-05-07,7.38,NA,NA,NA,NA,NA,NA,NA
1971-05-14,7.42,NA,NA,NA,NA,NA,NA,NA
1971-05-21,7.44,NA,NA,NA,NA,NA,NA,NA
1971-05-28,7.46,1,NA,NA,NA,NA,NA,NA
1971-06-04,7.52,NA,NA,NA,NA,NA,NA,NA
1971-06-11,7.52,NA,NA,NA,NA,NA,NA,NA
1971-06-18,7.54,1.2,NA,NA,NA,NA,NA,NA
1971-06-25,7.54,NA,NA,NA,NA,NA,NA,NA
1971-07-02,7.54,NA,NA,NA,NA,NA,NA,NA
1971-07-09,7.54,NA,NA,NA,NA,NA,NA,NA
1971-07-16,7.6,1.2,NA,NA,NA,NA,NA,NA
1971-07-23,7.65,NA,NA,NA,NA,NA,NA,NA
1971-07-30,7.69,NA,NA,NA,NA,NA,NA,NA
1971-08-06,7.66,NA,NA,NA,NA,NA,NA,NA
1971-08-13,7.73,NA,NA,NA,NA,NA,NA,NA
1971-08-20,7.71,1.3,NA,NA,NA,NA,NA,NA
1971-08-27,7.69,NA,NA,NA,NA,NA,NA,NA
1971-09-03,7.71,NA,NA,NA,NA,NA,NA,NA
1971-09-10,7.67,NA,NA,NA,NA,NA,NA,NA
1971-09-17,7.7,1.1,NA,NA,NA,NA,NA,NA
1971-09-24,7.67,NA,NA,NA,NA,NA,NA,NA
1971-10-01,7.67,NA,NA,NA,NA,NA,NA,NA
1971-10-08,7.63,NA,NA,NA,NA,NA,NA,NA
1971-10-15,7.63,NA,NA,NA,NA,NA,NA,NA
1971-10-22,7.58,1.1,NA,NA,NA,NA,NA,NA
1971-10-29,7.63,NA,NA,NA,NA,NA,NA,NA
1971-11-05,7.59,NA,NA,NA,NA,NA,NA,NA
1971-11-12,7.56,NA,NA,NA,NA,NA,NA,NA
1971-11-19,7.54,1,NA,NA,NA,NA,NA,NA
1971-11-26,7.51,NA,NA,NA,NA,NA,NA,NA
1971-12-03,7.49,NA,NA,NA,NA,NA,NA,NA
1971-12-10,7.47,NA,NA,NA,NA,NA,NA,NA
1971-12-17,7.48,NA,NA,NA,NA,NA,NA,NA
1971-12-24,7.48,NA,NA,NA,NA,NA,NA,NA
1971-12-31,7.48,1,NA,NA,NA,NA,NA,NA
1972-01-07,7.46,1,NA,NA,NA,NA,NA,NA
1972-01-14,7.46,0.9,NA,NA,NA,NA,NA,NA
1972-01-21,7.43,1,NA,NA,NA,NA,NA,NA
1972-01-28,7.4,0.9,NA,NA,NA,NA,NA,NA
1972-02-04,7.35,0.9,NA,NA,NA,NA,NA,NA
1972-02-11,7.33,0.9,NA,NA,NA,NA,NA,NA
1972-02-18,7.31,0.9,NA,NA,NA,NA,NA,NA
