department,year,gcc_spending
NASA,NA,159e7
NSF,NA,256e6
Commerce (NOAA),NA,91e6
Energy,NA,154e6
Agriculture,NA,76e6
Interior,NA,36e6
All Other,NA,104e6
NASA,NA,1573e6
NSF,NA,242e6
Commerce (NOAA),NA,124e6
Energy,NA,155e6
Agriculture,NA,68e6
Interior,NA,36e6
All Other,NA,112e6
NASA,NA,1435e6
NSF,NA,248e6
Commerce (NOAA),NA,131e6
Energy,NA,154e6
Agriculture,NA,73e6
Interior,NA,34e6
All Other,NA,117e6
NASA,NA,1676e6
NSF,NA,261e6
Commerce (NOAA),NA,359e6
Energy,NA,155e6
Agriculture,NA,87e6
Interior,NA,33e6
All Other,NA,116e6
NASA,NA,1494e6
NSF,NA,271e6
Commerce (NOAA),NA,305e6
Energy,NA,167e6
Agriculture,NA,88e6
Interior,NA,35e6
All Other,NA,122e6
NASA,NA,1349e6
NSF,NA,242e6
Commerce (NOAA),NA,314e6
Energy,NA,155e6
Agriculture,NA,75e6
Interior,NA,33e6
All Other,NA,113e6
NASA,NA,1128e6
NSF,NA,233e6
Commerce (NOAA),NA,278e6
Energy,NA,153e6
Agriculture,NA,72e6
Interior,NA,31e6
All Other,NA,105e6
NASA,NA,1249e6
NSF,NA,238e6
Commerce (NOAA),NA,212e6
Energy,NA,145e6
Agriculture,NA,7e7
Interior,NA,31e6
All Other,NA,96e6
NASA,NA,1224e6
NSF,NA,233e6
Commerce (NOAA),NA,307e6
Energy,NA,144e6
Agriculture,NA,73e6
Interior,NA,38e6
All Other,NA,47e6
NASA,NA,1212e6
NSF,NA,3e8
Commerce (NOAA),NA,473e6
Energy,NA,175e6
Agriculture,NA,52e6
Interior,NA,5e7
All Other,NA,81e6
NASA,NA,1242e6
NSF,NA,354e6
Commerce (NOAA),NA,401e6
Energy,NA,189e6
Agriculture,NA,125e6
Interior,NA,69e6
All Other,NA,129e6
NASA,NA,1552e6
NSF,NA,348e6
Commerce (NOAA),NA,37e7
Energy,NA,202e6
Agriculture,NA,93e6
Interior,NA,69e6
All Other,NA,99e6
NASA,NA,1514e6
NSF,NA,355e6
Commerce (NOAA),NA,347e6
Energy,NA,225e6
Agriculture,NA,122e6
Interior,NA,62e6
All Other,NA,67e6
NASA,NA,1418e6
NSF,NA,33e7
Commerce (NOAA),NA,315e6
Energy,NA,218e6
Agriculture,NA,112e6
Interior,NA,57e6
All Other,NA,47e6
NASA,NA,1468e6
NSF,NA,322e6
Commerce (NOAA),NA,308e6
Energy,NA,223e6
Agriculture,NA,114e6
Interior,NA,55e6
All Other,NA,45e6
NASA,NA,1454e6
NSF,NA,336e6
Commerce (NOAA),NA,316e6
Energy,NA,217e6
Agriculture,NA,97e6
Interior,NA,58e6
All Other,NA,42e6
NASA,NA,1549e6
NSF,NA,339e6
Commerce (NOAA),NA,283e6
Energy,NA,238e6
Agriculture,NA,98e6
Interior,NA,57e6
All Other,NA,45e6
NASA,NA,1632e6
NSF,NA,348e6
Commerce (NOAA),NA,342e6
Energy,NA,242e6
Agriculture,NA,124e6
Interior,NA,63e6
All Other,NA,49e6
