year,occupation,major_category,minor_category,total_workers,workers_male,workers_female,percent_female,total_earnings,total_earnings_male,total_earnings_female,wage_percent_of_male
2013,Chief executives,"Management, Business, and Financial",Management,1024259,782400,241859,23.6,120254,126142,95921,76.04207956112951
2013,General and operations managers,"Management, Business, and Financial",Management,977284,681627,295657,30.3,73557,81041,60759,74.97316173294999
2013,Legislators,"Management, Business, and Financial",Management,14815,8375,6440,43.5,67155,71530,65325,91.32531804837132
2013,Advertising and promotions managers,"Management, Business, and Financial",Management,43015,17775,25240,58.7,61371,75190,55860,74.29179412155872
2013,Marketing and sales managers,"Management, Business, and Financial",Management,754514,440078,314436,41.7,78455,91998,65040,70.69718906932759
2013,Public relations and fundraising managers,"Management, Business, and Financial",Management,44198,16141,28057,63.5,74114,90071,66052,73.33325931764941
2013,Administrative services managers,"Management, Business, and Financial",Management,109703,72873,36830,33.6,62187,66579,55079,82.7272863815918
2013,Computer and information systems managers,"Management, Business, and Financial",Management,489048,354369,134679,27.5,99167,101318,90940,89.75700270435658
2013,Financial managers,"Management, Business, and Financial",Management,990611,460842,529769,53.5,70456,90278,57406,63.58802809100778
2013,Compensation and benefits managers,"Management, Business, and Financial",Management,14656,3387,11269,76.9,71927,97552,68207,NA
2013,Human resources managers,"Management, Business, and Financial",Management,307004,125240,181764,59.2,67669,75328,64662,85.84059048428207
2013,Training and development managers,"Management, Business, and Financial",Management,41185,20111,21074,51.2,74735,80754,71091,88.03402927409168
2013,Industrial production managers,"Management, Business, and Financial",Management,218198,177200,40998,18.8,72414,74623,65033,87.14873430443697
2013,Purchasing managers,"Management, Business, and Financial",Management,175540,96499,79041,45,71237,81528,62785,77.0103522716122
2013,"Transportation, storage, and distribution managers","Management, Business, and Financial",Management,185512,151841,33671,18.2,52058,52017,52259,100.46523252013763
2013,"Farmers, ranchers, and other agricultural managers","Management, Business, and Financial",Management,499775,446121,53654,10.7,40638,41691,25310,60.70854620901394
2013,Construction managers,"Management, Business, and Financial",Management,469706,434849,34857,7.4,68101,69556,62198,89.42147334521823
2013,Education administrators,"Management, Business, and Financial",Management,708239,272330,435909,61.5,66889,78115,60580,77.55232669781732
2013,Architectural and engineering managers,"Management, Business, and Financial",Management,132575,120777,11798,8.9,121336,121690,113507,93.27553619853727
2013,Food service managers,"Management, Business, and Financial",Management,740359,407357,333002,45,36586,41164,31578,76.71266154892623
2013,Funeral service managers,"Management, Business, and Financial",Management,5439,4421,1018,18.7,70805,71617,52125,NA
2013,Gaming managers,"Management, Business, and Financial",Management,17294,10632,6662,38.5,51221,52127,47845,91.78544708116715
2013,Lodging managers,"Management, Business, and Financial",Management,96419,47382,49037,50.9,41824,50610,36533,72.18533886583678
2013,Medical and health services managers,"Management, Business, and Financial",Management,546042,171661,374381,68.6,69563,84450,64765,76.69034931912374
2013,Natural sciences managers,"Management, Business, and Financial",Management,16766,8633,8133,48.5,94448,121164,85416,70.49618698623354
2013,Postmasters and mail superintendents,"Management, Business, and Financial",Management,28282,12394,15888,56.2,65191,77465,56317,72.69992900019363
2013,"Property, real estate, and community association managers","Management, Business, and Financial",Management,414232,203818,210414,50.8,47936,57059,41743,73.15760879090064
2013,Social and community service managers,"Management, Business, and Financial",Management,279952,96503,183449,65.5,55473,62367,51933,83.26999855692915
2013,Emergency management directors,"Management, Business, and Financial",Management,6422,4662,1760,27.4,73381,73478,73102,NA
2013,"Managers, all other","Management, Business, and Financial",Management,3034121,2056582,977539,32.2,75912,81462,63917,78.46235054381184
2013,"Agents and business managers of artists, performers, and athletes","Management, Business, and Financial",Business and Financial Operations,28413,17494,10919,38.4,51244,51910,47043,90.62415719514544
2013,"Buyers and purchasing agents, farm products","Management, Business, and Financial",Business and Financial Operations,7184,5882,1302,18.1,51036,51063,50742,NA
2013,"Wholesale and retail buyers, except farm products","Management, Business, and Financial",Business and Financial Operations,170412,86522,83890,49.2,42170,41619,42990,103.29416852879693
2013,"Purchasing agents, except wholesale, retail, and farm products","Management, Business, and Financial",Business and Financial Operations,220927,107988,112939,51.1,54632,60957,50058,82.12018307987597
2013,"Claims adjusters, appraisers, examiners, and investigators","Management, Business, and Financial",Business and Financial Operations,257730,98587,159143,61.7,51134,60097,46520,77.4081900926835
2013,Compliance officers,"Management, Business, and Financial",Business and Financial Operations,193020,95524,97496,50.5,62311,66724,60054,90.00359690666028
2013,Cost estimators,"Management, Business, and Financial",Business and Financial Operations,105744,91484,14260,13.5,57333,60249,49443,82.06443260469052
2013,Human resources workers,"Management, Business, and Financial",Business and Financial Operations,571108,158154,412954,72.3,54989,63034,51765,82.12234667005109
2013,"Compensation, benefits, and job analysis specialists","Management, Business, and Financial",Business and Financial Operations,53127,13895,39232,73.8,50968,61089,47927,78.454386223379
2013,Training and development specialists,"Management, Business, and Financial",Business and Financial Operations,105954,50856,55098,52,52417,59310,50024,84.34328106558759
2013,Logisticians,"Management, Business, and Financial",Business and Financial Operations,97563,63756,33807,34.7,52109,54698,50410,92.1605908808366
2013,Management analysts,"Management, Business, and Financial",Business and Financial Operations,589692,346499,243193,41.2,80220,89151,72006,80.76858363899451
2013,"Meeting, convention, and event planners","Management, Business, and Financial",Business and Financial Operations,78856,15208,63648,80.7,47088,47876,46973,98.1138775169187
2013,Fundraisers,"Management, Business, and Financial",Business and Financial Operations,63985,18678,45307,70.8,60802,69292,57730,83.31409109276684
2013,Market research analysts and marketing specialists,"Management, Business, and Financial",Business and Financial Operations,230432,102417,128015,55.6,67154,80508,60673,75.36269687484474
2013,"Business operations specialists, all other","Management, Business, and Financial",Business and Financial Operations,211970,98399,113571,53.6,56945,67442,51378,76.18101479790042
2013,Accountants and auditors,"Management, Business, and Financial",Business and Financial Operations,1651199,683411,967788,58.6,61270,72805,54720,75.15967309937504
2013,Appraisers and assessors of real estate,"Management, Business, and Financial",Business and Financial Operations,75414,49592,25822,34.2,55227,61056,45643,74.75596174004193
2013,Budget analysts,"Management, Business, and Financial",Business and Financial Operations,41799,14880,26919,64.4,70429,78667,65830,83.6818488057254
2013,Credit analysts,"Management, Business, and Financial",Business and Financial Operations,23011,9607,13404,58.3,53869,56903,51602,90.68414670579759
2013,Financial analysts,"Management, Business, and Financial",Business and Financial Operations,65367,44484,20883,31.9,84140,100081,63424,63.37266813880756
2013,Personal financial advisors,"Management, Business, and Financial",Business and Financial Operations,283136,196273,86863,30.7,82142,98126,60359,61.511729816766206
2013,Insurance underwriters,"Management, Business, and Financial",Business and Financial Operations,94336,33432,60904,64.6,58402,75372,52283,69.36660828955048
2013,Financial examiners,"Management, Business, and Financial",Business and Financial Operations,10413,5134,5279,50.7,71779,77263,60411,NA
2013,Credit counselors and loan officers,"Management, Business, and Financial",Business and Financial Operations,285649,130778,154871,54.2,54535,69726,46394,66.53758999512377
2013,"Tax examiners and collectors, and revenue agents","Management, Business, and Financial",Business and Financial Operations,50960,17617,33343,65.4,49380,66754,45704,68.46630913503311
2013,Tax preparers,"Management, Business, and Financial",Business and Financial Operations,51485,24538,26947,52.3,56047,70641,47997,67.94496114154668
2013,"Financial specialists, all other","Management, Business, and Financial",Business and Financial Operations,58785,26520,32265,54.9,61323,81859,48869,59.69899461268767
2013,Computer and information research scientists,"Computer, Engineering, and Science",Computer and mathematical,12993,9222,3771,29,95918,100222,88006,NA
2013,Computer systems analysts,"Computer, Engineering, and Science",Computer and mathematical,441538,280626,160912,36.4,75886,81174,69346,85.42883189198511
2013,Information security analysts,"Computer, Engineering, and Science",Computer and mathematical,50853,40681,10172,20,84140,86349,80245,92.93101251896374
2013,Computer programmers,"Computer, Engineering, and Science",Computer and mathematical,374314,298175,76139,20.3,80512,81508,75088,92.1234725425725
2013,"Software developers, applications and systems software","Computer, Engineering, and Science",Computer and mathematical,924888,741308,183580,19.8,94025,96868,83808,86.51773547507949
2013,Web developers,"Computer, Engineering, and Science",Computer and mathematical,136446,95672,40774,29.9,60056,61566,53995,87.70262807393692
2013,Computer support specialists,"Computer, Engineering, and Science",Computer and mathematical,458736,339470,119266,26,52063,53960,49001,90.80985915492957
2013,Database administrators,"Computer, Engineering, and Science",Computer and mathematical,101323,61969,39354,38.8,75824,84609,61378,72.54311007103263
2013,Network and computer systems administrators,"Computer, Engineering, and Science",Computer and mathematical,195372,160376,34996,17.9,67246,68363,61699,90.25203692055645
2013,Computer network architects,"Computer, Engineering, and Science",Computer and mathematical,91709,84233,7476,8.2,96372,96549,94445,97.82079565816322
2013,"Computer , all other","Computer, Engineering, and Science",Computer and mathematical,354952,277889,77063,21.7,66550,66971,65329,97.54819250123188
2013,Actuaries,"Computer, Engineering, and Science",Computer and mathematical,23200,16642,6558,28.3,112191,116019,106759,92.01854868599109
2013,Mathematicians,"Computer, Engineering, and Science",Computer and mathematical,1933,1603,330,17.1,79256,73799,99362,NA
2013,Operations research analysts,"Computer, Engineering, and Science",Computer and mathematical,123636,65206,58430,47.3,77172,86748,68925,79.45428136671738
2013,Statisticians,"Computer, Engineering, and Science",Computer and mathematical,31319,16117,15202,48.5,81209,87488,74291,84.91564557425019
2013,Miscellaneous mathematical science ,"Computer, Engineering, and Science",Computer and mathematical,3686,1974,1712,46.4,70370,75221,56018,NA
2013,"Architects, except naval","Computer, Engineering, and Science",Architecture and Engineering,145439,114341,31098,21.4,71305,75395,60518,80.267922276013
2013,"Surveyors, cartographers, and photogrammetrists","Computer, Engineering, and Science",Architecture and Engineering,31315,24924,6391,20.4,59354,61190,50876,83.14430462493871
2013,Aerospace engineers,"Computer, Engineering, and Science",Architecture and Engineering,117942,105914,12028,10.2,100701,101260,90023,88.90282441240372
2013,Agricultural engineers,"Computer, Engineering, and Science",Architecture and Engineering,2952,2425,527,17.9,70585,73207,39356,NA
2013,Biomedical engineers,"Computer, Engineering, and Science",Architecture and Engineering,12371,10765,1606,13,78629,77459,85248,NA
2013,Chemical engineers,"Computer, Engineering, and Science",Architecture and Engineering,53119,45725,7394,13.9,100231,100632,95507,94.9071865808093
2013,Civil engineers,"Computer, Engineering, and Science",Architecture and Engineering,257802,228722,29080,11.3,81233,81911,71854,87.72203977487762
2013,Computer hardware engineers,"Computer, Engineering, and Science",Architecture and Engineering,51453,44773,6680,13,91967,95258,76236,NA
2013,Electrical and electronics engineers,"Computer, Engineering, and Science",Architecture and Engineering,180122,163656,16466,9.1,91895,93351,81167,86.94818480787565
2013,Environmental engineers,"Computer, Engineering, and Science",Architecture and Engineering,25988,19105,6883,26.5,77406,80413,72478,90.13219255593002
2013,"Industrial engineers, including health and safety","Computer, Engineering, and Science",Architecture and Engineering,172367,136669,35698,20.7,75131,76487,66498,86.94026435864917
2013,Marine engineers and naval architects,"Computer, Engineering, and Science",Architecture and Engineering,11147,10288,859,7.7,81250,85451,70430,NA
2013,Materials engineers,"Computer, Engineering, and Science",Architecture and Engineering,27975,23360,4615,16.5,80011,80877,73038,NA
2013,Mechanical engineers,"Computer, Engineering, and Science",Architecture and Engineering,206515,191858,14657,7.1,79565,80193,72416,90.30214607259985
2013,"Mining and geological engineers, including mining safety engineers","Computer, Engineering, and Science",Architecture and Engineering,8430,7886,544,6.5,87279,86617,108500,NA
2013,Nuclear engineers,"Computer, Engineering, and Science",Architecture and Engineering,4813,4205,608,12.6,84017,86028,71482,NA
2013,Petroleum engineers,"Computer, Engineering, and Science",Architecture and Engineering,23225,20619,2606,11.2,110560,109564,120253,NA
2013,"Engineers, all other","Computer, Engineering, and Science",Architecture and Engineering,439749,388864,50885,11.6,90913,91800,81702,89
2013,Drafters,"Computer, Engineering, and Science",Architecture and Engineering,124267,102941,21326,17.2,51609,52296,47123,90.10823007495793
2013,"Engineering technicians, except drafters","Computer, Engineering, and Science",Architecture and Engineering,371566,307644,63922,17.2,54623,56847,43517,76.5510932854856
2013,Surveying and mapping technicians,"Computer, Engineering, and Science",Architecture and Engineering,45449,40811,4638,10.2,48685,49813,42403,NA
2013,Agricultural and food scientists,"Computer, Engineering, and Science","Life, Physical, and Social Science",22154,15764,6390,28.8,60826,62867,53805,85.58544228291473
2013,Biological scientists,"Computer, Engineering, and Science","Life, Physical, and Social Science",60924,31860,29064,47.7,57426,57653,57107,99.05295474650062
2013,Conservation scientists and foresters,"Computer, Engineering, and Science","Life, Physical, and Social Science",20271,15850,4421,21.8,56075,58798,52387,89.09656791047314
2013,Medical scientists,"Computer, Engineering, and Science","Life, Physical, and Social Science",112826,53210,59616,52.8,71375,80113,66860,83.45711682248823
2013,"Life scientists, all other","Computer, Engineering, and Science","Life, Physical, and Social Science",1043,706,337,32.3,61321,54143,70276,NA
2013,Astronomers and physicists,"Computer, Engineering, and Science","Life, Physical, and Social Science",9359,7563,1796,19.2,101983,100930,105332,NA
2013,Atmospheric and space scientists,"Computer, Engineering, and Science","Life, Physical, and Social Science",10661,8657,2004,18.8,69873,76668,56603,NA
2013,Chemists and materials scientists,"Computer, Engineering, and Science","Life, Physical, and Social Science",71161,42953,28208,39.6,69780,71853,65582,91.2724590483348
2013,Environmental scientists and geoscientists,"Computer, Engineering, and Science","Life, Physical, and Social Science",65341,45052,20289,31.1,71065,77333,61583,79.63353290315906
2013,"Physical scientists, all other","Computer, Engineering, and Science","Life, Physical, and Social Science",171530,106686,64844,37.8,74592,85195,61217,71.85515581900346
2013,Economists,"Computer, Engineering, and Science","Life, Physical, and Social Science",20957,14810,6147,29.3,105834,120076,82427,68.6456910623272
2013,Survey researchers,"Computer, Engineering, and Science","Life, Physical, and Social Science",836,358,478,57.2,70521,117685,70443,NA
2013,Psychologists,"Computer, Engineering, and Science","Life, Physical, and Social Science",115139,37071,78068,67.8,66764,76903,62146,80.81089164271876
2013,Urban and regional planners,"Computer, Engineering, and Science","Life, Physical, and Social Science",17145,10824,6321,36.9,67392,71693,62266,86.8508780494609
2013,"Miscellaneous social scientists and related workers, including sociologists","Computer, Engineering, and Science","Life, Physical, and Social Science",32080,15884,16196,50.5,59540,68632,52123,75.94562303298753
2013,Agricultural and food science technicians,"Computer, Engineering, and Science","Life, Physical, and Social Science",24559,15509,9050,36.9,42576,45910,39464,85.95948595077326
2013,Biological technicians,"Computer, Engineering, and Science","Life, Physical, and Social Science",13985,8785,5200,37.2,45798,46823,41644,88.93919654870469
2013,Chemical technicians,"Computer, Engineering, and Science","Life, Physical, and Social Science",51689,34926,16763,32.4,50982,51831,47360,91.37388821361733
2013,Geological and petroleum technicians,"Computer, Engineering, and Science","Life, Physical, and Social Science",16156,11467,4689,29,61110,62243,52394,NA
2013,Nuclear technicians,"Computer, Engineering, and Science","Life, Physical, and Social Science",3722,3265,457,12.3,100455,110076,71540,NA
2013,Social science research assistants,"Computer, Engineering, and Science","Life, Physical, and Social Science",4333,2950,1383,31.9,40464,40888,35803,NA
2013,"Miscellaneous life, physical, and social science technicians","Computer, Engineering, and Science","Life, Physical, and Social Science",100831,55051,45780,45.4,44561,48138,40792,84.739706676638
2013,Counselors,"Education, Legal, Community Service, Arts, and Media",Community and Social Service,482328,146849,335479,69.6,42349,42299,42369,100.1654885458285
2013,Social workers,"Education, Legal, Community Service, Arts, and Media",Community and Social Service,627085,124774,502311,80.1,41940,42821,41795,97.6039793559235
2013,Probation officers and correctional treatment specialists,"Education, Legal, Community Service, Arts, and Media",Community and Social Service,83568,42704,40864,48.9,45909,47561,44385,93.32225983473855
2013,Social and human service assistants,"Education, Legal, Community Service, Arts, and Media",Community and Social Service,94377,20048,74329,78.8,35643,34967,35766,102.28501158234906
2013,"Miscellaneous community and social service specialists, including health educators and community health workers","Education, Legal, Community Service, Arts, and Media",Community and Social Service,68388,25669,42719,62.5,41900,47966,39620,82.6001751240462
2013,Clergy,"Education, Legal, Community Service, Arts, and Media",Community and Social Service,339774,289076,50698,14.9,44422,45350,40754,89.86549062844543
2013,"Directors, religious activities and education","Education, Legal, Community Service, Arts, and Media",Community and Social Service,34970,16961,18009,51.5,40736,43053,38681,89.84507467540008
2013,"Religious workers, all other","Education, Legal, Community Service, Arts, and Media",Community and Social Service,41694,19827,21867,52.4,36496,40454,35612,88.03084985415533
2013,Lawyers,"Education, Legal, Community Service, Arts, and Media",Legal,852860,568201,284659,33.4,120617,127337,101640,79.81969105601671
2013,Judicial law clerks,"Education, Legal, Community Service, Arts, and Media",Legal,11115,4920,6195,55.7,55545,54778,55883,NA
2013,"Judges, magistrates, and other judicial workers","Education, Legal, Community Service, Arts, and Media",Legal,55881,32209,23672,42.4,100619,115636,83173,71.92656266214674
2013,Paralegals and legal assistants,"Education, Legal, Community Service, Arts, and Media",Legal,307815,45422,262393,85.2,46562,50498,46061,91.21351340647155
2013,Miscellaneous legal support workers,"Education, Legal, Community Service, Arts, and Media",Legal,148521,40412,108109,72.8,46748,60958,43663,71.62800616818137
2013,Postsecondary teachers,"Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",836986,457786,379200,45.3,65463,71414,60359,84.51984204777774
2013,Preschool and kindergarten teachers,"Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",316025,8298,307727,97.4,24347,30067,24257,80.67648917417768
2013,Elementary and middle school teachers,"Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",2282888,503434,1779454,77.9,48874,51986,47521,91.41114915554188
2013,Secondary school teachers,"Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",541598,240315,301283,55.6,50810,52819,49048,92.86052367519264
2013,Special education teachers,"Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",165928,25578,140350,84.6,47264,46932,47378,100.95031108838319
2013,Other teachers and instructors,"Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",359794,169655,190139,52.8,43740,50250,40132,79.86467661691542
2013,"Archivists, curators, and museum technicians","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",31925,13316,18609,58.3,51704,58285,46130,79.14557776443338
2013,Librarians,"Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",111952,19727,92225,82.4,48892,51879,48005,92.53262399043929
2013,Library technicians,"Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",16163,3583,12580,77.8,31698,38063,31014,NA
2013,Teacher assistants,"Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",371321,44030,327291,88.1,21125,25873,20748,80.19170563908321
2013,"Other education, training, and library workers","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",88624,26398,62226,70.2,51516,55834,50756,90.90518322169288
2013,Artists and related workers,"Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",116825,75425,41400,35.4,49197,54669,37261,68.1574566939216
2013,Designers,"Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",552419,303391,249028,45.1,50461,55658,44269,79.53753278953609
2013,Actors,"Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",12456,8445,4011,32.2,40438,40745,37149,NA
2013,Producers and directors,"Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",117967,73980,43987,37.3,63715,62368,66226,106.18586454592098
2013,"Athletes, coaches, umpires, and related workers","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",114456,83451,31005,27.1,43373,46602,36682,78.71335994163341
2013,Dancers and choreographers,"Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",5424,1239,4185,77.2,31678,50701,30782,NA
2013,"Musicians, singers, and related workers","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",60370,48227,12143,20.1,42746,42988,42279,98.35070252163395
2013,"Entertainers and performers, sports and related workers, all other","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",14230,9381,4849,34.1,40633,42245,32475,NA
2013,Announcers,"Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",25670,20703,4967,19.3,40913,40829,41437,NA
2013,"News analysts, reporters and correspondents","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",52566,29289,23277,44.3,50711,55156,45994,83.38893320762926
2013,Public relations specialists,"Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",97408,38545,58863,60.4,63966,76638,58483,76.31070748192803
2013,Editors,"Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",117721,59523,58198,49.4,52746,55899,51884,92.81740281579278
2013,Technical writers,"Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",43977,19964,24013,54.6,69242,75598,61511,81.36590915103574
2013,Writers and authors,"Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",121198,57902,63296,52.2,53964,60192,51219,85.09270334928229
2013,Miscellaneous media and communication workers,"Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",45120,17870,27250,60.4,42033,46135,40256,87.25696325999783
2013,"Miscellaneous media and communications equipment workers, including broadcast and sound engineering technicians and radio operators","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",68484,62777,5707,8.3,50514,50378,52954,NA
2013,Photographers,"Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",80489,48494,31995,39.8,38052,44513,30455,68.41821490351133
2013,"Television, video, and motion picture camera operators and editors","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",28620,25400,3220,11.3,50835,51081,42205,NA
2013,Chiropractors,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,34499,27139,7360,21.3,70513,72468,60223,83.10288679141138
2013,Dentists,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,97562,74382,23180,23.8,141557,151071,102460,67.82241462623534
2013,Dietitians and nutritionists,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,61437,7250,54187,88.2,47997,49001,47717,97.37964531336095
2013,Optometrists,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,25610,16298,9312,36.4,103805,120521,96186,79.80849810406485
2013,Pharmacists,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,205734,98972,106762,51.9,116468,120792,111809,92.56324922180276
2013,Physicians and surgeons,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,737546,495061,242485,32.9,182232,202533,140036,69.14231261078442
2013,Physician assistants,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,100572,35720,64852,64.5,81522,93791,76396,81.45344436033308
2013,Podiatrists,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,6757,5184,1573,23.3,120367,126978,62064,NA
2013,Audiologists,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,10771,3078,7693,71.4,76440,82289,75339,NA
2013,Occupational therapists,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,59239,6903,52336,88.3,68270,75740,67164,88.67705307631371
2013,Physical therapists,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,136392,49118,87274,64,72260,80411,70509,87.68576438546964
2013,Radiation therapists,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,14694,5731,8963,61,75639,84219,68886,NA
2013,Recreational therapists,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,9144,3265,5879,64.3,41923,42004,41782,NA
2013,Respiratory therapists,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,84482,32234,52248,61.8,54303,60677,51864,85.47555086770934
2013,Speech-language pathologists,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,77904,3626,74278,95.3,60695,68346,60552,NA
2013,"Miscellaneous therapists, including exercise physiologists",Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,99008,24425,74583,75.3,46743,50295,46040,91.5399145044239
2013,Veterinarians,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,57599,29223,28376,49.3,86490,96582,80681,83.53626969828747
2013,Registered nurses,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,2061647,238183,1823464,88.4,62265,67990,61946,91.11045742020886
2013,Nurse anesthetists,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,21664,8259,13405,61.9,147152,150870,142185,94.24338834758402
2013,Nurse midwives,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,2817,0,2817,100,90174,NA,90174,NA
2013,Nurse practitioners,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,81140,8332,72808,89.7,91766,106141,91276,85.99504432782807
2013,"Health diagnosing and treating practitioners, all other",Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,10251,4314,5937,57.9,48175,52729,42025,NA
2013,Clinical laboratory technologists and technicians,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,245751,65488,180263,73.4,45326,46941,44623,95.06188619756716
2013,Dental hygienists,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,61825,3320,58505,94.6,52043,53709,51972,NA
2013,Diagnostic related technologists and technicians,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,237127,74756,162371,68.5,55482,60703,52950,87.22797884783289
2013,Emergency medical technicians and paramedics,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,157684,110916,46768,29.7,41670,43647,37023,84.82369922331432
2013,Health practitioner support technologists and technicians,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,350939,73031,277908,79.2,31788,35640,31292,87.80022446689114
2013,Licensed practical and licensed vocational nurses,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,442709,43277,399432,90.2,40031,42442,39562,93.21426888459546
2013,Medical records and health information technicians,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,90186,9831,80355,89.1,31530,36960,31126,84.21536796536796
2013,"Opticians, dispensing",Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,39047,11901,27146,69.5,35580,42128,32267,76.59276490695025
2013,Miscellaneous health technologists and technicians,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,90586,33686,56900,62.8,41660,47830,39277,82.1179176249216
2013,Other healthcare practitioners and technical ,Healthcare Practitioners and Technical,Healthcare Practitioners and Technical,72636,44786,27850,38.3,55942,60786,47405,77.98670746553483
2013,"Nursing, psychiatric, and home health aides",Service,Healthcare Support,1397113,219944,1177169,84.3,25909,30408,25362,83.40568271507497
2013,Occupational therapy assistants and aides,Service,Healthcare Support,10875,1945,8930,82.1,48814,50311,48606,NA
2013,Physical therapist assistants and aides,Service,Healthcare Support,44581,12122,32459,72.8,41994,46313,41098,88.73966272968713
2013,Massage therapists,Service,Healthcare Support,57261,13680,43581,76.1,29253,29272,29240,99.89068051380158
2013,Dental assistants,Service,Healthcare Support,147438,8460,138978,94.3,30308,26823,30399,NA
2013,Medical assistants,Service,Healthcare Support,330718,24072,306646,92.7,28760,29894,28661,95.87542650699137
2013,Medical transcriptionists,Service,Healthcare Support,31868,1221,30647,96.2,31933,40429,31772,NA
