Date,Chief Sealth TRL North of Thistle Total,Ped South,Ped North,Bike South,Bike North
01/01/2014 12:00:00 AM,0,0,0,0,0
01/01/2014 01:00:00 AM,0,0,0,0,0
01/01/2014 02:00:00 AM,0,0,0,0,0
01/01/2014 03:00:00 AM,2,1,1,0,0
01/01/2014 04:00:00 AM,0,0,0,0,0
01/01/2014 05:00:00 AM,0,0,0,0,0
01/01/2014 06:00:00 AM,0,0,0,0,0
01/01/2014 07:00:00 AM,2,1,1,0,0
01/01/2014 08:00:00 AM,3,1,2,0,0
01/01/2014 09:00:00 AM,3,1,2,0,0
01/01/2014 10:00:00 AM,2,1,1,0,0
01/01/2014 11:00:00 AM,0,0,0,0,0
01/01/2014 12:00:00 PM,0,0,0,0,0
01/01/2014 01:00:00 PM,4,1,3,0,0
01/01/2014 02:00:00 PM,5,2,2,0,1
01/01/2014 03:00:00 PM,0,0,0,0,0
01/01/2014 04:00:00 PM,2,0,0,1,1
01/01/2014 05:00:00 PM,0,0,0,0,0
01/01/2014 06:00:00 PM,0,0,0,0,0
01/01/2014 07:00:00 PM,0,0,0,0,0
01/01/2014 08:00:00 PM,0,0,0,0,0
01/01/2014 09:00:00 PM,0,0,0,0,0
01/01/2014 10:00:00 PM,0,0,0,0,0
01/01/2014 11:00:00 PM,2,1,0,0,1
01/02/2014 12:00:00 AM,0,0,0,0,0
01/02/2014 01:00:00 AM,0,0,0,0,0
01/02/2014 02:00:00 AM,0,0,0,0,0
01/02/2014 03:00:00 AM,0,0,0,0,0
01/02/2014 04:00:00 AM,0,0,0,0,0
01/02/2014 05:00:00 AM,0,0,0,0,0
01/02/2014 06:00:00 AM,2,2,0,0,0
01/02/2014 07:00:00 AM,5,1,2,0,2
01/02/2014 08:00:00 AM,1,0,0,1,0
01/02/2014 09:00:00 AM,0,0,0,0,0
01/02/2014 10:00:00 AM,0,0,0,0,0
01/02/2014 11:00:00 AM,4,2,1,0,1
01/02/2014 12:00:00 PM,5,2,1,1,1
01/02/2014 01:00:00 PM,1,0,0,0,1
01/02/2014 02:00:00 PM,3,1,1,1,0
01/02/2014 03:00:00 PM,4,1,3,0,0
01/02/2014 04:00:00 PM,5,3,2,0,0
01/02/2014 05:00:00 PM,2,0,0,2,0
01/02/2014 06:00:00 PM,0,0,0,0,0
01/02/2014 07:00:00 PM,0,0,0,0,0
01/02/2014 08:00:00 PM,0,0,0,0,0
01/02/2014 09:00:00 PM,1,0,0,1,0
01/02/2014 10:00:00 PM,0,0,0,0,0
01/02/2014 11:00:00 PM,0,0,0,0,0
01/03/2014 12:00:00 AM,0,0,0,0,0
01/03/2014 01:00:00 AM,0,0,0,0,0
01/03/2014 02:00:00 AM,1,0,1,0,0
01/03/2014 03:00:00 AM,2,1,1,0,0
01/03/2014 04:00:00 AM,0,0,0,0,0
01/03/2014 05:00:00 AM,0,0,0,0,0
01/03/2014 06:00:00 AM,0,0,0,0,0
01/03/2014 07:00:00 AM,1,0,1,0,0
01/03/2014 08:00:00 AM,9,5,3,1,0
01/03/2014 09:00:00 AM,3,0,1,0,2
01/03/2014 10:00:00 AM,1,0,1,0,0
01/03/2014 11:00:00 AM,2,1,0,0,1
01/03/2014 12:00:00 PM,6,2,4,0,0
01/03/2014 01:00:00 PM,4,0,0,2,2
01/03/2014 02:00:00 PM,4,0,2,2,0
01/03/2014 03:00:00 PM,5,5,0,0,0
01/03/2014 04:00:00 PM,1,0,0,1,0
01/03/2014 05:00:00 PM,1,0,0,0,1
01/03/2014 06:00:00 PM,0,0,0,0,0
01/03/2014 07:00:00 PM,1,1,0,0,0
01/03/2014 08:00:00 PM,0,0,0,0,0
01/03/2014 09:00:00 PM,1,0,0,1,0
01/03/2014 10:00:00 PM,0,0,0,0,0
01/03/2014 11:00:00 PM,0,0,0,0,0
01/04/2014 12:00:00 AM,0,0,0,0,0
01/04/2014 01:00:00 AM,0,0,0,0,0
01/04/2014 02:00:00 AM,0,0,0,0,0
01/04/2014 03:00:00 AM,0,0,0,0,0
01/04/2014 04:00:00 AM,0,0,0,0,0
01/04/2014 05:00:00 AM,0,0,0,0,0
01/04/2014 06:00:00 AM,0,0,0,0,0
01/04/2014 07:00:00 AM,2,1,1,0,0
01/04/2014 08:00:00 AM,2,1,1,0,0
01/04/2014 09:00:00 AM,5,3,2,0,0
01/04/2014 10:00:00 AM,3,0,0,3,0
01/04/2014 11:00:00 AM,3,2,1,0,0
01/04/2014 12:00:00 PM,5,1,3,0,1
01/04/2014 01:00:00 PM,2,1,0,1,0
01/04/2014 02:00:00 PM,5,0,1,3,1
01/04/2014 03:00:00 PM,4,2,1,0,1
01/04/2014 04:00:00 PM,3,2,1,0,0
01/04/2014 05:00:00 PM,0,0,0,0,0
01/04/2014 06:00:00 PM,0,0,0,0,0
01/04/2014 07:00:00 PM,1,0,0,1,0
01/04/2014 08:00:00 PM,1,0,0,0,1
01/04/2014 09:00:00 PM,0,0,0,0,0
01/04/2014 10:00:00 PM,0,0,0,0,0
01/04/2014 11:00:00 PM,1,1,0,0,0
01/05/2014 12:00:00 AM,0,0,0,0,0
01/05/2014 01:00:00 AM,0,0,0,0,0
01/05/2014 02:00:00 AM,0,0,0,0,0
01/05/2014 03:00:00 AM,0,0,0,0,0
01/05/2014 04:00:00 AM,0,0,0,0,0
01/05/2014 05:00:00 AM,0,0,0,0,0
01/05/2014 06:00:00 AM,0,0,0,0,0
01/05/2014 07:00:00 AM,3,0,1,2,0
01/05/2014 08:00:00 AM,1,1,0,0,0
01/05/2014 09:00:00 AM,4,2,2,0,0
01/05/2014 10:00:00 AM,6,3,3,0,0
01/05/2014 11:00:00 AM,2,0,0,1,1
01/05/2014 12:00:00 PM,9,2,3,3,1
01/05/2014 01:00:00 PM,9,1,4,1,3
01/05/2014 02:00:00 PM,5,3,1,0,1
01/05/2014 03:00:00 PM,5,1,2,1,1
01/05/2014 04:00:00 PM,1,1,0,0,0
01/05/2014 05:00:00 PM,0,0,0,0,0
01/05/2014 06:00:00 PM,0,0,0,0,0
01/05/2014 07:00:00 PM,0,0,0,0,0
01/05/2014 08:00:00 PM,0,0,0,0,0
01/05/2014 09:00:00 PM,2,0,0,1,1
01/05/2014 10:00:00 PM,0,0,0,0,0
01/05/2014 11:00:00 PM,0,0,0,0,0
01/06/2014 12:00:00 AM,0,0,0,0,0
01/06/2014 01:00:00 AM,0,0,0,0,0
01/06/2014 02:00:00 AM,0,0,0,0,0
01/06/2014 03:00:00 AM,0,0,0,0,0
01/06/2014 04:00:00 AM,0,0,0,0,0
01/06/2014 05:00:00 AM,0,0,0,0,0
01/06/2014 06:00:00 AM,0,0,0,0,0
01/06/2014 07:00:00 AM,3,1,1,0,1
01/06/2014 08:00:00 AM,3,1,1,1,0
01/06/2014 09:00:00 AM,0,0,0,0,0
01/06/2014 10:00:00 AM,2,1,1,0,0
01/06/2014 11:00:00 AM,2,0,0,2,0
01/06/2014 12:00:00 PM,6,0,6,0,0
01/06/2014 01:00:00 PM,0,0,0,0,0
01/06/2014 02:00:00 PM,1,1,0,0,0
01/06/2014 03:00:00 PM,0,0,0,0,0
01/06/2014 04:00:00 PM,1,1,0,0,0
01/06/2014 05:00:00 PM,4,1,0,3,0
01/06/2014 06:00:00 PM,0,0,0,0,0
01/06/2014 07:00:00 PM,2,1,1,0,0
01/06/2014 08:00:00 PM,0,0,0,0,0
01/06/2014 09:00:00 PM,0,0,0,0,0
01/06/2014 10:00:00 PM,0,0,0,0,0
01/06/2014 11:00:00 PM,0,0,0,0,0
01/07/2014 12:00:00 AM,0,0,0,0,0
01/07/2014 01:00:00 AM,0,0,0,0,0
01/07/2014 02:00:00 AM,0,0,0,0,0
01/07/2014 03:00:00 AM,0,0,0,0,0
01/07/2014 04:00:00 AM,0,0,0,0,0
01/07/2014 05:00:00 AM,0,0,0,0,0
01/07/2014 06:00:00 AM,1,0,0,0,1
01/07/2014 07:00:00 AM,4,1,1,0,2
01/07/2014 08:00:00 AM,1,0,0,1,0
01/07/2014 09:00:00 AM,1,0,0,0,1
01/07/2014 10:00:00 AM,0,0,0,0,0
01/07/2014 11:00:00 AM,0,0,0,0,0
01/07/2014 12:00:00 PM,6,3,1,1,1
01/07/2014 01:00:00 PM,2,0,0,0,2
01/07/2014 02:00:00 PM,1,0,1,0,0
01/07/2014 03:00:00 PM,4,1,2,1,0
01/07/2014 04:00:00 PM,1,0,0,0,1
01/07/2014 05:00:00 PM,1,0,0,1,0
01/07/2014 06:00:00 PM,1,0,0,1,0
01/07/2014 07:00:00 PM,0,0,0,0,0
01/07/2014 08:00:00 PM,0,0,0,0,0
01/07/2014 09:00:00 PM,2,0,0,1,1
01/07/2014 10:00:00 PM,0,0,0,0,0
01/07/2014 11:00:00 PM,0,0,0,0,0
01/08/2014 12:00:00 AM,0,0,0,0,0
01/08/2014 01:00:00 AM,0,0,0,0,0
01/08/2014 02:00:00 AM,0,0,0,0,0
01/08/2014 03:00:00 AM,0,0,0,0,0
01/08/2014 04:00:00 AM,0,0,0,0,0
01/08/2014 05:00:00 AM,0,0,0,0,0
01/08/2014 06:00:00 AM,0,0,0,0,0
01/08/2014 07:00:00 AM,1,0,0,1,0
01/08/2014 08:00:00 AM,0,0,0,0,0
01/08/2014 09:00:00 AM,1,0,0,0,1
01/08/2014 10:00:00 AM,6,3,2,1,0
01/08/2014 11:00:00 AM,2,1,1,0,0
01/08/2014 12:00:00 PM,0,0,0,0,0
01/08/2014 01:00:00 PM,0,0,0,0,0
01/08/2014 02:00:00 PM,1,1,0,0,0
01/08/2014 03:00:00 PM,2,1,1,0,0
01/08/2014 04:00:00 PM,2,1,1,0,0
01/08/2014 05:00:00 PM,0,0,0,0,0
01/08/2014 06:00:00 PM,0,0,0,0,0
01/08/2014 07:00:00 PM,3,0,1,2,0
01/08/2014 08:00:00 PM,0,0,0,0,0
01/08/2014 09:00:00 PM,0,0,0,0,0
01/08/2014 10:00:00 PM,0,0,0,0,0
01/08/2014 11:00:00 PM,0,0,0,0,0
01/09/2014 12:00:00 AM,3,2,1,0,0
01/09/2014 01:00:00 AM,0,0,0,0,0
01/09/2014 02:00:00 AM,0,0,0,0,0
01/09/2014 03:00:00 AM,0,0,0,0,0
01/09/2014 04:00:00 AM,0,0,0,0,0
01/09/2014 05:00:00 AM,0,0,0,0,0
01/09/2014 06:00:00 AM,0,0,0,0,0
01/09/2014 07:00:00 AM,3,1,0,0,2
01/09/2014 08:00:00 AM,3,0,2,1,0
01/09/2014 09:00:00 AM,2,0,0,0,2
01/09/2014 10:00:00 AM,1,0,1,0,0
01/09/2014 11:00:00 AM,1,0,1,0,0
01/09/2014 12:00:00 PM,2,1,1,0,0
01/09/2014 01:00:00 PM,1,0,1,0,0
01/09/2014 02:00:00 PM,1,0,1,0,0
01/09/2014 03:00:00 PM,6,1,3,1,1
01/09/2014 04:00:00 PM,1,0,0,1,0
01/09/2014 05:00:00 PM,1,0,0,1,0
01/09/2014 06:00:00 PM,1,0,0,1,0
01/09/2014 07:00:00 PM,0,0,0,0,0
01/09/2014 08:00:00 PM,0,0,0,0,0
01/09/2014 09:00:00 PM,2,0,0,1,1
01/09/2014 10:00:00 PM,0,0,0,0,0
01/09/2014 11:00:00 PM,0,0,0,0,0
01/10/2014 12:00:00 AM,0,0,0,0,0
01/10/2014 01:00:00 AM,0,0,0,0,0
01/10/2014 02:00:00 AM,0,0,0,0,0
01/10/2014 03:00:00 AM,0,0,0,0,0
01/10/2014 04:00:00 AM,0,0,0,0,0
01/10/2014 05:00:00 AM,0,0,0,0,0
01/10/2014 06:00:00 AM,1,0,0,0,1
01/10/2014 07:00:00 AM,1,0,0,1,0
01/10/2014 08:00:00 AM,0,0,0,0,0
01/10/2014 09:00:00 AM,2,1,1,0,0
01/10/2014 10:00:00 AM,3,1,1,0,1
01/10/2014 11:00:00 AM,3,0,2,1,0
01/10/2014 12:00:00 PM,2,0,2,0,0
01/10/2014 01:00:00 PM,1,1,0,0,0
01/10/2014 02:00:00 PM,1,1,0,0,0
01/10/2014 03:00:00 PM,1,0,0,0,1
01/10/2014 04:00:00 PM,0,0,0,0,0
01/10/2014 05:00:00 PM,3,0,0,2,1
01/10/2014 06:00:00 PM,0,0,0,0,0
01/10/2014 07:00:00 PM,0,0,0,0,0
01/10/2014 08:00:00 PM,1,0,1,0,0
01/10/2014 09:00:00 PM,0,0,0,0,0
01/10/2014 10:00:00 PM,0,0,0,0,0
01/10/2014 11:00:00 PM,0,0,0,0,0
01/11/2014 12:00:00 AM,0,0,0,0,0
01/11/2014 01:00:00 AM,0,0,0,0,0
01/11/2014 02:00:00 AM,0,0,0,0,0
01/11/2014 03:00:00 AM,0,0,0,0,0
01/11/2014 04:00:00 AM,0,0,0,0,0
01/11/2014 05:00:00 AM,0,0,0,0,0
01/11/2014 06:00:00 AM,0,0,0,0,0
01/11/2014 07:00:00 AM,0,0,0,0,0
01/11/2014 08:00:00 AM,3,2,1,0,0
01/11/2014 09:00:00 AM,6,1,3,2,0
01/11/2014 10:00:00 AM,3,0,1,2,0
01/11/2014 11:00:00 AM,2,1,1,0,0
01/11/2014 12:00:00 PM,8,4,4,0,0
01/11/2014 01:00:00 PM,0,0,0,0,0
01/11/2014 02:00:00 PM,0,0,0,0,0
01/11/2014 03:00:00 PM,1,1,0,0,0
01/11/2014 04:00:00 PM,1,1,0,0,0
01/11/2014 05:00:00 PM,0,0,0,0,0
01/11/2014 06:00:00 PM,0,0,0,0,0
01/11/2014 07:00:00 PM,0,0,0,0,0
01/11/2014 08:00:00 PM,1,0,0,1,0
01/11/2014 09:00:00 PM,1,0,0,0,1
01/11/2014 10:00:00 PM,0,0,0,0,0
01/11/2014 11:00:00 PM,0,0,0,0,0
01/12/2014 12:00:00 AM,0,0,0,0,0
01/12/2014 01:00:00 AM,0,0,0,0,0
01/12/2014 02:00:00 AM,1,1,0,0,0
01/12/2014 03:00:00 AM,0,0,0,0,0
01/12/2014 04:00:00 AM,0,0,0,0,0
01/12/2014 05:00:00 AM,0,0,0,0,0
01/12/2014 06:00:00 AM,0,0,0,0,0
01/12/2014 07:00:00 AM,0,0,0,0,0
01/12/2014 08:00:00 AM,2,1,1,0,0
01/12/2014 09:00:00 AM,3,2,1,0,0
01/12/2014 10:00:00 AM,4,1,2,0,1
01/12/2014 11:00:00 AM,2,1,0,1,0
01/12/2014 12:00:00 PM,1,0,0,0,1
01/12/2014 01:00:00 PM,2,0,0,2,0
01/12/2014 02:00:00 PM,1,0,0,1,0
01/12/2014 03:00:00 PM,1,0,0,1,0
01/12/2014 04:00:00 PM,12,6,5,0,1
01/12/2014 05:00:00 PM,0,0,0,0,0
01/12/2014 06:00:00 PM,2,0,0,1,1
01/12/2014 07:00:00 PM,0,0,0,0,0
01/12/2014 08:00:00 PM,0,0,0,0,0
01/12/2014 09:00:00 PM,0,0,0,0,0
01/12/2014 10:00:00 PM,0,0,0,0,0
01/12/2014 11:00:00 PM,0,0,0,0,0
01/13/2014 12:00:00 AM,0,0,0,0,0
01/13/2014 01:00:00 AM,0,0,0,0,0
01/13/2014 02:00:00 AM,0,0,0,0,0
01/13/2014 03:00:00 AM,0,0,0,0,0
01/13/2014 04:00:00 AM,0,0,0,0,0
01/13/2014 05:00:00 AM,0,0,0,0,0
01/13/2014 06:00:00 AM,0,0,0,0,0
01/13/2014 07:00:00 AM,1,0,1,0,0
01/13/2014 08:00:00 AM,6,2,1,2,1
01/13/2014 09:00:00 AM,1,0,1,0,0
01/13/2014 10:00:00 AM,0,0,0,0,0
01/13/2014 11:00:00 AM,0,0,0,0,0
01/13/2014 12:00:00 PM,0,0,0,0,0
01/13/2014 01:00:00 PM,1,1,0,0,0
01/13/2014 02:00:00 PM,1,1,0,0,0
01/13/2014 03:00:00 PM,1,0,0,0,1
01/13/2014 04:00:00 PM,3,1,2,0,0
01/13/2014 05:00:00 PM,5,1,0,3,1
01/13/2014 06:00:00 PM,0,0,0,0,0
01/13/2014 07:00:00 PM,0,0,0,0,0
01/13/2014 08:00:00 PM,1,1,0,0,0
01/13/2014 09:00:00 PM,1,0,1,0,0
01/13/2014 10:00:00 PM,0,0,0,0,0
01/13/2014 11:00:00 PM,0,0,0,0,0
01/14/2014 12:00:00 AM,0,0,0,0,0
01/14/2014 01:00:00 AM,0,0,0,0,0
01/14/2014 02:00:00 AM,0,0,0,0,0
01/14/2014 03:00:00 AM,0,0,0,0,0
01/14/2014 04:00:00 AM,0,0,0,0,0
01/14/2014 05:00:00 AM,0,0,0,0,0
01/14/2014 06:00:00 AM,1,0,0,0,1
01/14/2014 07:00:00 AM,3,1,1,1,0
01/14/2014 08:00:00 AM,5,1,2,1,1
01/14/2014 09:00:00 AM,0,0,0,0,0
01/14/2014 10:00:00 AM,0,0,0,0,0
01/14/2014 11:00:00 AM,2,0,1,1,0
01/14/2014 12:00:00 PM,5,3,2,0,0
01/14/2014 01:00:00 PM,14,12,1,1,0
01/14/2014 02:00:00 PM,0,0,0,0,0
01/14/2014 03:00:00 PM,3,0,0,1,2
01/14/2014 04:00:00 PM,3,0,2,0,1
01/14/2014 05:00:00 PM,3,0,0,3,0
01/14/2014 06:00:00 PM,0,0,0,0,0
01/14/2014 07:00:00 PM,3,0,1,2,0
01/14/2014 08:00:00 PM,0,0,0,0,0
01/14/2014 09:00:00 PM,0,0,0,0,0
01/14/2014 10:00:00 PM,2,1,1,0,0
01/14/2014 11:00:00 PM,0,0,0,0,0
01/15/2014 12:00:00 AM,0,0,0,0,0
01/15/2014 01:00:00 AM,0,0,0,0,0
01/15/2014 02:00:00 AM,0,0,0,0,0
01/15/2014 03:00:00 AM,0,0,0,0,0
01/15/2014 04:00:00 AM,0,0,0,0,0
01/15/2014 05:00:00 AM,0,0,0,0,0
01/15/2014 06:00:00 AM,0,0,0,0,0
01/15/2014 07:00:00 AM,2,1,0,0,1
01/15/2014 08:00:00 AM,11,2,8,0,1
01/15/2014 09:00:00 AM,1,0,0,1,0
01/15/2014 10:00:00 AM,0,0,0,0,0
01/15/2014 11:00:00 AM,3,2,1,0,0
01/15/2014 12:00:00 PM,3,1,2,0,0
01/15/2014 01:00:00 PM,6,2,3,1,0
01/15/2014 02:00:00 PM,2,0,1,1,0
01/15/2014 03:00:00 PM,8,2,4,2,0
01/15/2014 04:00:00 PM,7,1,5,0,1
01/15/2014 05:00:00 PM,2,0,0,1,1
01/15/2014 06:00:00 PM,1,0,1,0,0
01/15/2014 07:00:00 PM,2,0,0,2,0
