Date,MTS Trail West of I-90 Bridge Total,Ped East,Ped West,Bike East,Bike West
02/28/2019 11:00:00 PM,,,,0,0
02/28/2019 10:00:00 PM,,,,0,1
02/28/2019 09:00:00 PM,,,,1,0
02/28/2019 08:00:00 PM,,,,4,1
02/28/2019 07:00:00 PM,,,,2,5
02/28/2019 06:00:00 PM,,,,23,15
02/28/2019 05:00:00 PM,,,,24,23
02/28/2019 04:00:00 PM,,,,16,23
02/28/2019 03:00:00 PM,,,,14,16
02/28/2019 02:00:00 PM,,,,5,11
02/28/2019 01:00:00 PM,,,,5,10
02/28/2019 12:00:00 PM,,,,5,4
02/28/2019 11:00:00 AM,,,,14,5
02/28/2019 10:00:00 AM,,,,3,5
02/28/2019 09:00:00 AM,,,,6,9
02/28/2019 08:00:00 AM,,,,18,9
02/28/2019 07:00:00 AM,,,,17,14
02/28/2019 06:00:00 AM,,,,1,7
02/28/2019 05:00:00 AM,,,,2,0
02/28/2019 04:00:00 AM,,,,2,0
02/28/2019 03:00:00 AM,,,,0,0
02/28/2019 02:00:00 AM,,,,0,0
02/28/2019 01:00:00 AM,,,,0,0
02/28/2019 12:00:00 AM,,,,0,0
02/27/2019 11:00:00 PM,,,,0,0
02/27/2019 10:00:00 PM,,,,0,0
02/27/2019 09:00:00 PM,,,,2,1
02/27/2019 08:00:00 PM,,,,0,2
02/27/2019 07:00:00 PM,,,,9,5
02/27/2019 06:00:00 PM,,,,7,5
02/27/2019 05:00:00 PM,,,,22,19
02/27/2019 04:00:00 PM,,,,6,13
02/27/2019 03:00:00 PM,,,,7,5
02/27/2019 02:00:00 PM,,,,3,8
02/27/2019 01:00:00 PM,,,,4,2
02/27/2019 12:00:00 PM,,,,0,4
02/27/2019 11:00:00 AM,,,,2,2
02/27/2019 10:00:00 AM,,,,1,5
02/27/2019 09:00:00 AM,,,,9,4
02/27/2019 08:00:00 AM,,,,10,12
02/27/2019 07:00:00 AM,,,,12,15
02/27/2019 06:00:00 AM,,,,5,4
02/27/2019 05:00:00 AM,,,,4,1
02/27/2019 04:00:00 AM,,,,2,0
02/27/2019 03:00:00 AM,,,,0,0
02/27/2019 02:00:00 AM,,,,0,0
02/27/2019 01:00:00 AM,,,,0,0
02/27/2019 12:00:00 AM,,,,0,0
02/26/2019 11:00:00 PM,,,,1,1
02/26/2019 10:00:00 PM,,,,0,1
02/26/2019 09:00:00 PM,,,,3,0
02/26/2019 08:00:00 PM,,,,1,2
02/26/2019 07:00:00 PM,,,,7,6
02/26/2019 06:00:00 PM,,,,24,13
02/26/2019 05:00:00 PM,,,,24,25
02/26/2019 04:00:00 PM,,,,13,22
02/26/2019 03:00:00 PM,,,,10,5
02/26/2019 02:00:00 PM,,,,10,7
02/26/2019 01:00:00 PM,,,,8,8
02/26/2019 12:00:00 PM,,,,8,7
02/26/2019 11:00:00 AM,,,,4,4
02/26/2019 10:00:00 AM,,,,2,8
02/26/2019 09:00:00 AM,,,,7,6
02/26/2019 08:00:00 AM,,,,18,10
02/26/2019 07:00:00 AM,,,,19,12
02/26/2019 06:00:00 AM,,,,4,4
02/26/2019 05:00:00 AM,,,,3,2
02/26/2019 04:00:00 AM,,,,3,0
02/26/2019 03:00:00 AM,,,,0,0
02/26/2019 02:00:00 AM,,,,0,0
02/26/2019 01:00:00 AM,,,,0,0
02/26/2019 12:00:00 AM,,,,0,0
02/25/2019 11:00:00 PM,,,,0,0
02/25/2019 10:00:00 PM,,,,0,0
02/25/2019 09:00:00 PM,,,,1,2
02/25/2019 08:00:00 PM,,,,3,2
02/25/2019 07:00:00 PM,,,,6,2
02/25/2019 06:00:00 PM,,,,13,13
02/25/2019 05:00:00 PM,,,,15,21
02/25/2019 04:00:00 PM,,,,14,20
02/25/2019 03:00:00 PM,,,,7,7
02/25/2019 02:00:00 PM,,,,8,8
02/25/2019 01:00:00 PM,,,,4,13
02/25/2019 12:00:00 PM,,,,9,3
02/25/2019 11:00:00 AM,,,,5,6
02/25/2019 10:00:00 AM,,,,3,5
02/25/2019 09:00:00 AM,,,,9,5
02/25/2019 08:00:00 AM,,,,19,12
02/25/2019 07:00:00 AM,,,,13,10
02/25/2019 06:00:00 AM,,,,5,0
02/25/2019 05:00:00 AM,,,,3,1
02/25/2019 04:00:00 AM,,,,1,0
02/25/2019 03:00:00 AM,,,,0,0
02/25/2019 02:00:00 AM,,,,0,0
02/25/2019 01:00:00 AM,,,,0,0
02/25/2019 12:00:00 AM,,,,0,0
02/24/2019 11:00:00 PM,,,,3,0
02/24/2019 10:00:00 PM,,,,0,0
02/24/2019 09:00:00 PM,,,,0,0
02/24/2019 08:00:00 PM,,,,0,0
02/24/2019 07:00:00 PM,,,,1,0
02/24/2019 06:00:00 PM,,,,0,0
02/24/2019 05:00:00 PM,,,,5,4
02/24/2019 04:00:00 PM,,,,12,13
02/24/2019 03:00:00 PM,,,,17,15
02/24/2019 02:00:00 PM,,,,16,13
02/24/2019 01:00:00 PM,,,,11,21
02/24/2019 12:00:00 PM,,,,17,24
02/24/2019 11:00:00 AM,,,,28,25
02/24/2019 10:00:00 AM,,,,8,10
02/24/2019 09:00:00 AM,,,,3,4
02/24/2019 08:00:00 AM,,,,10,10
02/24/2019 07:00:00 AM,,,,7,2
02/24/2019 06:00:00 AM,,,,2,0
02/24/2019 05:00:00 AM,,,,0,1
02/24/2019 04:00:00 AM,,,,0,0
02/24/2019 03:00:00 AM,,,,0,0
02/24/2019 02:00:00 AM,,,,0,0
02/24/2019 01:00:00 AM,,,,0,0
02/24/2019 12:00:00 AM,,,,0,0
02/23/2019 11:00:00 PM,,,,0,0
02/23/2019 10:00:00 PM,,,,1,0
02/23/2019 09:00:00 PM,,,,0,0
02/23/2019 08:00:00 PM,,,,0,0
02/23/2019 07:00:00 PM,,,,1,1
02/23/2019 06:00:00 PM,,,,2,3
02/23/2019 05:00:00 PM,,,,2,3
02/23/2019 04:00:00 PM,,,,3,2
02/23/2019 03:00:00 PM,,,,16,4
02/23/2019 02:00:00 PM,,,,10,10
02/23/2019 01:00:00 PM,,,,26,11
02/23/2019 12:00:00 PM,,,,18,13
02/23/2019 11:00:00 AM,,,,27,15
02/23/2019 10:00:00 AM,,,,27,17
02/23/2019 09:00:00 AM,,,,7,20
02/23/2019 08:00:00 AM,,,,1,7
02/23/2019 07:00:00 AM,,,,2,1
02/23/2019 06:00:00 AM,,,,1,0
02/23/2019 05:00:00 AM,,,,0,1
02/23/2019 04:00:00 AM,,,,0,0
02/23/2019 03:00:00 AM,,,,0,0
02/23/2019 02:00:00 AM,,,,0,0
02/23/2019 01:00:00 AM,,,,0,0
02/23/2019 12:00:00 AM,,,,1,0
02/22/2019 11:00:00 PM,,,,1,0
02/22/2019 10:00:00 PM,,,,0,1
02/22/2019 09:00:00 PM,,,,1,0
02/22/2019 08:00:00 PM,,,,2,3
02/22/2019 07:00:00 PM,,,,3,4
02/22/2019 06:00:00 PM,,,,7,4
02/22/2019 05:00:00 PM,,,,4,10
02/22/2019 04:00:00 PM,,,,7,7
02/22/2019 03:00:00 PM,,,,3,2
02/22/2019 02:00:00 PM,,,,2,1
02/22/2019 01:00:00 PM,,,,0,2
02/22/2019 12:00:00 PM,,,,3,2
02/22/2019 11:00:00 AM,,,,1,2
02/22/2019 10:00:00 AM,,,,3,1
02/22/2019 09:00:00 AM,,,,7,4
02/22/2019 08:00:00 AM,,,,10,10
02/22/2019 07:00:00 AM,,,,7,9
02/22/2019 06:00:00 AM,,,,4,2
02/22/2019 05:00:00 AM,,,,1,0
02/22/2019 04:00:00 AM,,,,0,0
02/22/2019 03:00:00 AM,,,,0,0
02/22/2019 02:00:00 AM,,,,0,0
02/22/2019 01:00:00 AM,,,,0,0
02/22/2019 12:00:00 AM,,,,0,0
02/21/2019 11:00:00 PM,,,,0,1
02/21/2019 10:00:00 PM,,,,0,0
02/21/2019 09:00:00 PM,,,,1,1
02/21/2019 08:00:00 PM,,,,6,3
02/21/2019 07:00:00 PM,,,,4,3
02/21/2019 06:00:00 PM,,,,14,5
02/21/2019 05:00:00 PM,,,,25,13
02/21/2019 04:00:00 PM,,,,15,32
02/21/2019 03:00:00 PM,,,,14,18
02/21/2019 02:00:00 PM,,,,12,14
02/21/2019 01:00:00 PM,,,,16,8
02/21/2019 12:00:00 PM,,,,6,9
02/21/2019 11:00:00 AM,,,,7,11
02/21/2019 10:00:00 AM,,,,3,4
02/21/2019 09:00:00 AM,,,,5,6
02/21/2019 08:00:00 AM,,,,14,10
02/21/2019 07:00:00 AM,,,,11,9
02/21/2019 06:00:00 AM,,,,2,2
02/21/2019 05:00:00 AM,,,,1,0
02/21/2019 04:00:00 AM,,,,2,1
02/21/2019 03:00:00 AM,,,,0,0
02/21/2019 02:00:00 AM,,,,0,0
02/21/2019 01:00:00 AM,,,,0,0
02/21/2019 12:00:00 AM,,,,0,0
02/20/2019 11:00:00 PM,,,,0,0
02/20/2019 10:00:00 PM,,,,1,1
02/20/2019 09:00:00 PM,,,,0,1
02/20/2019 08:00:00 PM,,,,4,0
02/20/2019 07:00:00 PM,,,,5,3
02/20/2019 06:00:00 PM,,,,6,6
02/20/2019 05:00:00 PM,,,,16,14
02/20/2019 04:00:00 PM,,,,5,7
02/20/2019 03:00:00 PM,,,,5,4
02/20/2019 02:00:00 PM,,,,3,4
02/20/2019 01:00:00 PM,,,,4,6
02/20/2019 12:00:00 PM,,,,1,6
02/20/2019 11:00:00 AM,,,,2,2
02/20/2019 10:00:00 AM,,,,4,5
02/20/2019 09:00:00 AM,,,,4,4
02/20/2019 08:00:00 AM,,,,10,11
02/20/2019 07:00:00 AM,,,,6,8
02/20/2019 06:00:00 AM,,,,3,2
02/20/2019 05:00:00 AM,,,,3,0
02/20/2019 04:00:00 AM,,,,2,0
02/20/2019 03:00:00 AM,,,,0,0
02/20/2019 02:00:00 AM,,,,0,0
02/20/2019 01:00:00 AM,,,,0,0
02/20/2019 12:00:00 AM,,,,0,0
02/19/2019 11:00:00 PM,,,,0,0
02/19/2019 10:00:00 PM,,,,0,0
02/19/2019 09:00:00 PM,,,,1,0
02/19/2019 08:00:00 PM,,,,2,1
02/19/2019 07:00:00 PM,,,,3,2
02/19/2019 06:00:00 PM,,,,7,12
02/19/2019 05:00:00 PM,,,,13,8
02/19/2019 04:00:00 PM,,,,7,12
02/19/2019 03:00:00 PM,,,,3,3
02/19/2019 02:00:00 PM,,,,3,2
02/19/2019 01:00:00 PM,,,,2,2
02/19/2019 12:00:00 PM,,,,3,2
02/19/2019 11:00:00 AM,,,,1,6
02/19/2019 10:00:00 AM,,,,4,3
02/19/2019 09:00:00 AM,,,,6,4
02/19/2019 08:00:00 AM,,,,8,11
02/19/2019 07:00:00 AM,,,,11,10
02/19/2019 06:00:00 AM,,,,1,2
02/19/2019 05:00:00 AM,,,,2,0
02/19/2019 04:00:00 AM,,,,2,0
02/19/2019 03:00:00 AM,,,,0,0
02/19/2019 02:00:00 AM,,,,0,0
02/19/2019 01:00:00 AM,,,,0,0
02/19/2019 12:00:00 AM,,,,0,0
02/18/2019 11:00:00 PM,,,,0,0
02/18/2019 10:00:00 PM,,,,0,0
02/18/2019 09:00:00 PM,,,,1,0
02/18/2019 08:00:00 PM,,,,0,0
02/18/2019 07:00:00 PM,,,,0,3
02/18/2019 06:00:00 PM,,,,7,6
02/18/2019 05:00:00 PM,,,,14,8
02/18/2019 04:00:00 PM,,,,8,11
02/18/2019 03:00:00 PM,,,,23,10
02/18/2019 02:00:00 PM,,,,8,13
02/18/2019 01:00:00 PM,,,,11,15
02/18/2019 12:00:00 PM,,,,6,8
02/18/2019 11:00:00 AM,,,,11,10
02/18/2019 10:00:00 AM,,,,7,4
02/18/2019 09:00:00 AM,,,,1,4
02/18/2019 08:00:00 AM,,,,6,8
02/18/2019 07:00:00 AM,,,,3,6
02/18/2019 06:00:00 AM,,,,1,0
02/18/2019 05:00:00 AM,,,,2,0
02/18/2019 04:00:00 AM,,,,0,0
02/18/2019 03:00:00 AM,,,,0,0
02/18/2019 02:00:00 AM,,,,0,0
02/18/2019 01:00:00 AM,,,,0,0
02/18/2019 12:00:00 AM,,,,0,0
02/17/2019 11:00:00 PM,,,,0,0
02/17/2019 10:00:00 PM,,,,0,0
02/17/2019 09:00:00 PM,,,,1,0
02/17/2019 08:00:00 PM,,,,0,0
02/17/2019 07:00:00 PM,,,,0,0
02/17/2019 06:00:00 PM,,,,1,0
02/17/2019 05:00:00 PM,,,,5,4
02/17/2019 04:00:00 PM,,,,13,8
02/17/2019 03:00:00 PM,,,,16,11
02/17/2019 02:00:00 PM,,,,16,11
02/17/2019 01:00:00 PM,,,,14,14
02/17/2019 12:00:00 PM,,,,28,18
02/17/2019 11:00:00 AM,,,,13,11
02/17/2019 10:00:00 AM,,,,13,18
02/17/2019 09:00:00 AM,,,,8,13
02/17/2019 08:00:00 AM,,,,3,11
02/17/2019 07:00:00 AM,,,,0,2
02/17/2019 06:00:00 AM,,,,0,0
02/17/2019 05:00:00 AM,,,,0,1
02/17/2019 04:00:00 AM,,,,0,0
02/17/2019 03:00:00 AM,,,,0,0
02/17/2019 02:00:00 AM,,,,0,0
02/17/2019 01:00:00 AM,,,,0,0
02/17/2019 12:00:00 AM,,,,0,0
02/16/2019 11:00:00 PM,,,,0,0
02/16/2019 10:00:00 PM,,,,0,0
02/16/2019 09:00:00 PM,,,,0,0
02/16/2019 08:00:00 PM,,,,0,0
02/16/2019 07:00:00 PM,,,,0,0
02/16/2019 06:00:00 PM,,,,1,0
02/16/2019 05:00:00 PM,,,,0,1
02/16/2019 04:00:00 PM,,,,4,1
02/16/2019 03:00:00 PM,,,,10,1
02/16/2019 02:00:00 PM,,,,8,6
02/16/2019 01:00:00 PM,,,,3,8
02/16/2019 12:00:00 PM,,,,13,4
02/16/2019 11:00:00 AM,,,,13,8
02/16/2019 10:00:00 AM,,,,4,13
02/16/2019 09:00:00 AM,,,,7,2
02/16/2019 08:00:00 AM,,,,1,0
02/16/2019 07:00:00 AM,,,,0,0
02/16/2019 06:00:00 AM,,,,0,0
02/16/2019 05:00:00 AM,,,,0,1
02/16/2019 04:00:00 AM,,,,0,0
02/16/2019 03:00:00 AM,,,,0,0
02/16/2019 02:00:00 AM,,,,0,0
02/16/2019 01:00:00 AM,,,,0,0
02/16/2019 12:00:00 AM,,,,5,11
02/15/2019 11:00:00 PM,,,,11,0
02/15/2019 10:00:00 PM,,,,0,0
02/15/2019 09:00:00 PM,,,,0,0
02/15/2019 08:00:00 PM,,,,0,2
02/15/2019 07:00:00 PM,,,,3,1
02/15/2019 06:00:00 PM,,,,2,5
02/15/2019 05:00:00 PM,,,,2,6
