name,grand_slam,date_of_birth,date_of_first_title,age
Nancy Richey,French Open,1942-08-23,1968-06-08,9421
Virginia Wade,US Open,1945-07-10,1968-09-07,8460
Billie Jean King,Wimbledon,1943-11-22,1968-07-05,8992
Margaret Court,Australian Open,1942-07-16,1969-01-26,9691
Evonne Goolagong Cawley,French Open,1951-07-31,1971-06-05,7249
Chris Evert,French Open,1954-12-21,1974-06-15,7116
Sue Barker,French Open,1956-04-19,1976-06-13,7360
Kerry Melville Reid,Australian Open (Jan.),1947-08-07,1977-01-08,10747
Mima Jaušovec,French Open,1956-07-20,1977-06-04,7624
Virginia Ruzici,French Open,1955-01-31,1978-06-10,8531
Martina Navratilova,Wimbledon,1956-10-18,1978-07-07,7932
Barbara Jordan,Australian Open,1957-04-02,1980-01-01,8309
Tracy Austin,US Open,1962-12-12,1979-09-08,6114
Hana Mandlíková,Australian Open,1962-02-19,1981-01-03,6893
Steffi Graf,French Open,1969-06-14,1987-06-06,6566
Arantxa Sánchez Vicario,French Open,1971-12-18,1989-06-10,6384
Monica Seles,French Open,1973-12-02,1990-06-09,6033
Gabriela Sabatini,US Open,1970-05-16,1990-09-08,7420
Conchita Martínez,Wimbledon,1972-04-16,1994-07-02,8112
Mary Pierce,Australian Open,1975-01-15,1995-01-28,7318
Martina Hingis,Australian Open,1980-09-30,1997-01-25,5961
Iva Majoli,French Open,1977-08-12,1997-06-07,7239
Jana Novotná,Wimbledon,1968-10-02,1998-07-04,10867
Lindsay Davenport,US Open,1976-06-08,1998-09-12,8131
Serena Williams,US Open,1981-09-26,1999-09-11,6559
Venus Williams,Wimbledon,1980-06-17,2000-07-08,7326
Jennifer Capriati,Australian Open,1976-03-29,2001-01-27,9070
Justine Henin,French Open,1982-06-01,2003-06-07,7676
Anastasia Myskina,French Open,1981-07-08,2004-06-05,8368
Maria Sharapova,Wimbledon,1987-04-19,2004-07-03,6285
Svetlana Kuznetsova,US Open,1985-06-27,2004-09-11,7016
Kim Clijsters,US Open,1983-06-08,2005-09-10,8130
Amélie Mauresmo,Australian Open,1979-07-05,2006-01-28,9704
Ana Ivanovic,French Open,1987-11-06,2008-06-07,7519
Francesca Schiavone,French Open,1980-06-23,2010-06-05,10939
Li Na,French Open,1982-02-26,2011-06-04,10690
Petra Kvitová,Wimbledon,1990-03-08,2011-07-02,7786
Samantha Stosur,US Open,1984-03-30,2011-09-11,10026
Victoria Azarenka,Australian Open,1989-07-31,2012-01-28,8216
Marion Bartoli,Wimbledon,1984-10-02,2013-07-06,10504
Flavia Pennetta,US Open,1982-02-25,2015-09-12,12252
Angelique Kerber,Australian Open,1988-01-18,2016-01-30,10239
Garbiñe Muguruza,French Open,1993-10-08,2016-06-04,8275
Jeļena Ostapenko,French Open,1997-06-08,2017-06-10,7307
Sloane Stephens,US Open,1993-03-20,2017-09-09,8939
Caroline Wozniacki,Australian Open,1990-07-11,2018-01-27,10062
Simona Halep,French Open,1991-09-27,2018-06-09,9752
Naomi Osaka,US Open,1997-10-16,2018-09-08,7632
Ann Haydon-Jones,NA,1938-10-07,NA,NA
Chris O'Neil,NA,1956-03-19,NA,NA
Ken Rosewall,French Open,1934-11-02,1968-06-09,12273
Rod Laver,Wimbledon,1938-08-09,1968-07-06,10924
Arthur Ashe,US Open,1943-07-10,1968-09-08,9192
Jan Kodeš,French Open,1946-03-01,1970-06-07,8864
John Newcombe,Wimbledon,1944-05-23,1970-07-04,9538
Stan Smith,US Open,1946-12-14,1971-08-12,9007
Andrés Gimeno,French Open,1937-08-03,1972-06-04,12724
Ilie Năstase,US Open,1946-07-19,1972-09-10,9550
Jimmy Connors,Australian Open,1952-09-02,1974-01-01,7791
Björn Borg,French Open,1956-06-06,1974-06-16,6584
Manuel Orantes,US Open,1949-02-05,1975-09-07,9710
Mark Edmondson,Australian Open,1954-06-24,1976-01-05,7865
Adriano Panatta,French Open,1950-07-09,1976-06-14,9472
Roscoe Tanner,Australian Open (January),1951-10-15,1977-01-10,9219
Guillermo Vilas,French Open,1952-08-17,1977-06-05,9058
Vitas Gerulaitis,Australian Open (December),1954-07-26,1978-01-01,8560
John McEnroe,US Open,1959-02-16,1979-09-09,7510
Brian Teacher,Australian Open,1954-12-23,1981-01-05,9510
Johan Kriek,Australian Open,1958-04-05,1982-01-02,8673
Mats Wilander,French Open,1964-08-22,1982-06-11,6502
Yannick Noah,French Open,1960-05-18,1983-06-16,8429
Ivan Lendl,French Open,1960-03-07,1984-06-12,8863
Boris Becker,Wimbledon,1967-11-22,1985-07-08,6438
Stefan Edberg,Australian Open,1966-01-19,1985-12-09,7264
Pat Cash,Wimbledon,1965-05-27,1987-07-06,8075
Michael Chang,French Open,1972-02-22,1989-06-12,6320
Andrés Gómez,French Open,1960-02-27,1990-06-10,11061
Pete Sampras,US Open,1971-08-12,1990-09-10,6969
Jim Courier,French Open,1970-08-17,1991-06-10,7602
Michael Stich,Wimbledon,1968-10-18,1991-07-08,8298
Andre Agassi,Wimbledon,1970-04-29,1992-07-06,8104
Sergi Bruguera,French Open,1971-01-16,1993-06-07,8178
Thomas Muster,French Open,1967-10-02,1995-06-12,10115
Yevgeny Kafelnikov,French Open,1974-02-18,1996-06-10,8148
Richard Krajicek,Wimbledon,1971-12-06,1996-07-08,8981
Gustavo Kuerten,French Open,1976-09-10,1997-06-09,7577
Patrick Rafter,US Open,1972-12-28,1997-09-08,9020
Petr Korda,Australian Open,1968-01-23,1998-02-01,10967
Carlos Moyá,French Open,1976-08-27,1998-06-08,7955
Marat Safin,US Open,1980-01-27,2000-09-11,7533
Goran Ivanišević,Wimbledon,1971-09-13,2001-07-09,10892
Lleyton Hewitt,US Open,1981-02-24,2001-09-10,7503
Thomas Johansson,Australian Open,1975-03-24,2002-01-28,9807
Albert Costa,French Open,1975-06-25,2002-06-10,9847
Juan Carlos Ferrero,French Open,1980-02-12,2003-06-09,8518
Roger Federer,Wimbledon,1981-08-08,2003-07-07,8003
Andy Roddick,US Open,1982-08-30,2003-09-07,7678
Gastón Gaudio,French Open,1978-12-09,2004-06-07,9312
Rafael Nadal,French Open,1986-06-03,2005-06-06,6943
Novak Djokovic,Australian Open,1987-05-22,2008-01-28,7556
Juan Martín del Potro,US Open,1988-09-23,2009-09-14,7661
Andy Murray,US Open,1987-05-15,2012-09-10,9250
Stan Wawrinka,Australian Open,1985-03-28,2014-01-26,10531
Marin Čilić,US Open,1988-09-28,2014-09-08,9476
William Bowrey,NA,1943-12-25,NA,NA
