Year,"Trade deficit with China in goods, $bn","Manufacturing employment, m"
1995,-33.7895,17.24458333
1996,-39.5202,17.23675
1997,-49.6955,17.41783333
1998,-56.9274,17.56
1999,-68.6771,17.32266667
2000,-83.833,17.26525
2001,-83.0961,16.44058333
2002,-103.0649,15.25683333
2003,-124.068154,14.5085
2004,-162.2542615,14.31475
2005,-202.2780947,14.22566667
2006,-234.1013443,14.1565
2007,-258.5059754,13.87783333
2008,-268.0397903,13.40341667
2009,-226.8772049,11.84783333
2010,-273.0415527,11.52866667
2011,-295.249709,11.72708333
2012,-315.102467,11.92725
2013,-318.683831,12.01916667
2014,-344.8632327,12.18416667
2015,-367.1729324,12.31808333
2016,-319.282077,12.28783333
,,
Sources: BLS; US Census Bureau,,
