country,account_type,year,value
Belgium,current,2009,-3755
Germany,current,2009,141234
Estonia,current,2009,360
Ireland,current,2009,-7912.1
Greece,current,2009,-29323
Spain,current,2009,-46191
France,current,2009,-10652
Italy,current,2009,-29717
Cyprus,current,2009,-1431
Latvia,current,2009,1463
Lithuania,current,2009,385.3
Luxembourg,current,2009,2662
Malta,current,2009,-523.1
Netherlands,current,2009,33816
Austria,current,2009,7479
Portugal,current,2009,-18285
Slovenia,current,2009,-203
Slovakia,current,2009,-2207.1
Finland,current,2009,2964
Belgium,current,2010,6441
Germany,current,2010,144890
Estonia,current,2010,266
Ireland,current,2010,-2006.8
Greece,current,2010,-25731
Spain,current,2010,-42388
France,current,2010,-12547
Italy,current,2010,-54742
Cyprus,current,2010,-2172
Latvia,current,2010,368
Lithuania,current,2010,-357.5
Luxembourg,current,2010,2682
Malta,current,2010,-414.5
Netherlands,current,2010,44503
Austria,current,2010,8447
Portugal,current,2010,-18260
Slovenia,current,2010,-43
Slovakia,current,2010,-3183.5
Finland,current,2010,2046
Belgium,current,2011,-4067
Germany,current,2011,165077
Estonia,current,2011,222.5
Ireland,current,2011,-2810.4
Greece,current,2011,-20713
Spain,current,2011,-34040
France,current,2011,-17690
Italy,current,2011,-49061
Cyprus,current,2011,-811
Latvia,current,2011,-641
Lithuania,current,2011,-1423.4
Luxembourg,current,2011,2611
Malta,current,2011,-139.1
Netherlands,current,2011,55912
Austria,current,2011,5057
Portugal,current,2011,-10573
Slovenia,current,2011,70
Slovakia,current,2011,-3497
Finland,current,2011,-3425
Belgium,current,2012,-210
Germany,current,2012,193589
Estonia,current,2012,-349.6
Ireland,current,2012,-4605
Greece,current,2012,-7324
Spain,current,2012,-2404
France,current,2012,-20151
Italy,current,2012,-5455
Cyprus,current,2012,-1162
Latvia,current,2012,-794
Lithuania,current,2012,-470.2
Luxembourg,current,2012,2489
Malta,current,2012,-29.4
Netherlands,current,2012,66701
Austria,current,2012,4725
Portugal,current,2012,-3018
Slovenia,current,2012,775.3
Slovakia,current,2012,683.7
Finland,current,2012,-4548
Belgium,current,2013,-1247
Germany,current,2013,190091
Estonia,current,2013,98.5
Ireland,current,2013,2787
Greece,current,2013,-3685
Spain,current,2013,15591
France,current,2013,-10797
Italy,current,2013,15847
Cyprus,current,2013,-896
Latvia,current,2013,-621
Lithuania,current,2013,292.1
Luxembourg,current,2013,2518
Malta,current,2013,9.8
Netherlands,current,2013,64403
Austria,current,2013,6294
Portugal,current,2013,2689
Slovenia,current,2013,1593.9
Slovakia,current,2013,1379
Finland,current,2013,-4571
Belgium,current,2014,-3482
Germany,current,2014,218966
Estonia,current,2014,161.7
Ireland,current,2014,2093
Greece,current,2014,-2916
Spain,current,2014,11217
France,current,2014,-20553
Italy,current,2014,30960
Cyprus,current,2014,-760
Latvia,current,2014,-411
Lithuania,current,2014,1157.7
Luxembourg,current,2014,2569
Malta,current,2014,493.6
Netherlands,current,2014,56934
Austria,current,2014,8242
Portugal,current,2014,141
Slovenia,current,2014,2178.8
Slovakia,current,2014,870.5
Finland,current,2014,-3754
Belgium,current,2015,-4199
Germany,current,2015,271402
Estonia,current,2015,381
Ireland,current,2015,11556
Greece,current,2015,-1438
Spain,current,2015,12555
France,current,2015,-8090
Italy,current,2015,24412
