country,pop_65_percent,gov_spend_percent_gdp
Australia,15.04,5.2
Austria,18.76,13.86
Belgium,18.22,10.36
Brazil,7.84,12
Canada,16.14,4.31
Chile,11,3.25
Czech Republic,18.08,9.09
Denmark,18.96,8.45
Estonia,18.76,6.99
Finland,20.48,11.45
France,19.12,14.18
Germany,21.24,10.59
Greece,21.4,14.66
Hungary,17.82,10.54
Iceland,13.71,2.6
Ireland,13.14,5.8
Israel,11.24,4.92
Italy,22.41,15.96
Japan,26.34,11.86
South Korea,13.13,2.37
Luxembourg,13.98,7.73
Mexico,6.47,1.85
Netherlands,18.23,6.41
New Zealand,14.86,4.86
Norway,16.33,7.43
Poland,15.53,10.88
Portugal,20.79,13.15
Slovakia,13.85,7.27
Slovenia,17.97,11.55
Spain,18.79,11.24
Sweden,19.94,9.85
Switzerland,18.04,6.86
Turkey,7.54,7.64
Britain,17.76,6.14
United States,14.79,6.75
