year,trade_deficit,manufacture_employment
1995,-33789499999.999996,17244583.330000002
1996,-39520200000,17236750
1997,-49695500000,17417833.330000002
1998,-56927400000,17560000
1999,-68677099999.99999,17322666.67
2000,-83833000000,17265250
2001,-83096100000,16440583.329999998
2002,-103064900000,15256833.33
2003,-124068154000,14508500
2004,-162254261500,14314750
2005,-202278094700,14225666.67
2006,-234101344300,14156500
2007,-258505975400,13877833.33
2008,-268039790300,13403416.67
2009,-226877204900,11847833.33
2010,-273041552700,11528666.67
2011,-295249709000,11727083.33
2012,-315102467000,11927250
2013,-318683831000,12019166.67
2014,-344863232700,12184166.67
2015,-367172932400,12318083.33
2016,-319282077000,12287833.33
