Species Family Collisions Flight Call Habitat Stratum
Zonotrichia albicollis Passerellidae 10133 Yes Forest Lower
Junco hyemalis Passerellidae 6303 Yes Edge Lower
Melospiza melodia Passerellidae 5124 Yes Edge Lower
Melospiza georgiana Passerellidae 4910 Yes Open Lower
Seiurus aurocapilla Parulidae 4580 Yes Forest Lower
Catharus guttatus Turdidae 3729 Yes Forest Lower
Certhia americana Certhiidae 2676 Yes Forest Upper
Oreothlypis peregrina Parulidae 2515 Yes Edge Upper
Passerella iliaca Passerellidae 2443 Yes Edge Lower
Catharus ustulatus Turdidae 2331 Yes Forest Lower
Melospiza lincolnii Passerellidae 2029 Yes Edge Lower
Oreothlypis ruficapilla Parulidae 1690 Yes Forest Upper
Geothlypis trichas Parulidae 1555 Yes Open Lower
Spizelloides arborea Passerellidae 1262 Yes Edge Lower
Setophaga magnolia Parulidae 1224 Yes Forest Upper
Zonotrichia leucophrys Passerellidae 1090 Yes Edge Lower
Regulus satrapa Regulidae 1029 Yes Forest Upper
Parkesia noveboracensis Parulidae 916 Yes Forest Lower
Setophaga coronata Parulidae 887 Yes Forest Upper
Setophaga ruticilla Parulidae 868 Yes Edge Upper
Catharus minimus Turdidae 822 Yes Forest Lower
Setophaga striata Parulidae 787 Yes Forest Upper
Catharus fuscescens Turdidae 727 Yes Forest Lower
Passerina cyanea Cardinalidae 725 Yes Edge Upper
Setophaga palmarum Parulidae 694 Yes Edge Lower
Mniotilta varia Parulidae 620 Yes Forest Upper
Dumetella carolinensis Mimidae 599 No Edge Lower
Hylocichla mustelina Turdidae 500 Yes Forest Lower
Troglodytes hiemalis Troglodytidae 474 No Forest Lower
Geothlypis philadelphia Parulidae 430 Yes Edge Lower
Regulus calendula Regulidae 416 No Forest Upper
Pheucticus ludovicianus Cardinalidae 397 Yes Forest Upper
Oporornis agilis Parulidae 365 Yes Forest Lower
Spizella pusilla Passerellidae 325 Yes Open Lower
Setophaga pensylvanica Parulidae 303 Yes Edge Upper
Setophaga castanea Parulidae 287 Yes Forest Upper
Passerculus sandwichensis Passerellidae 274 Yes Open Lower	
Sitta canadensis Sittidae 260 Yes Forest Upper
Cardellina canadensis Parulidae 241 Yes Forest Lower
Oreothlypis celata Parulidae 227 Yes Edge Lower
Setophaga virens Parulidae 223 Yes Forest Upper
Setophaga fusca Parulidae 201 Yes Forest Upper
Cardellina pusilla Parulidae 185 Yes Edge Lower
Setophaga caerulescens Parulidae 183 Yes Forest Upper
Setophaga tigrina Parulidae 182 Yes Forest Upper
Empidonax traillii Tyrannidae 177 No Open Upper
Toxostoma rufum Mimidae 166 No Edge Lower
Vireo olivaceus Vireonidae 133 No Forest Upper
Piranga olivacea Cardinalidae 127 Yes Forest Upper
Ammodramus savannarum Passerellidae 106 Yes Open Lower
Troglodytes aedon Troglodytidae 104 No Edge Lower
Empidonax minimus Tyrannidae 96 No Edge Upper
Cistothorus palustris Troglodytidae 91 No Open Lower
Icterus galbula Icteridae 83 Yes Edge Upper
Pipilo erythrophthalmus Passerellidae 82 Rare Edge Lower
Setophaga petechia Parulidae 77 Yes Edge Upper
Contopus virens Tyrannidae 70 No Forest Upper
Empidonax flaviventris Tyrannidae 68 No Forest Upper
Spizella passerina Passerellidae 68 Yes Edge Lower
Cistothorus platensis Troglodytidae 60 No Open Lower
Setophaga americana Parulidae 59 Yes Forest Upper
Ammospiza nelsoni Passerellidae 55 Yes Open Lower
Vermivora chrysoptera Parulidae 53 Yes Edge Upper
Spizella pallida Passerellidae 50 Yes Open Lower
Setophaga pinus Parulidae 49 Yes Forest Upper
Myiarchus crinitus Tyrannidae 28 No Edge Upper
Ammospiza leconteii Passerellidae 25 Yes Open Lower
Sayornis phoebe Tyrannidae 24 No Edge Upper
Vireo solitarius Vireonidae 18 No Forest Upper
Geothlypis formosa Parulidae 16 Yes Forest Lower
Vermivora cyanoptera Parulidae 16 Yes Edge Upper
Icteria virens Icteriidae 15 No Edge Lower
Parkesia motacilla Parulidae 15 Yes Forest Lower
Sturnella magna Icteridae 13 Yes Open Lower
Vireo flavifrons Vireonidae 12 No Forest Upper
Vireo philadelphicus Vireonidae 12 No Forest Upper
Pooecetes gramineus Passerellidae 10 Yes Open Lower
Centronyx henslowii Passerellidae 9 Yes Open Lower
Piranga rubra Cardinalidae 9 Yes Forest Upper
Empidonax virescens Tyrannidae 7 No Forest Upper
Icterus spurius Icteridae 6 Yes Edge Upper
Polioptila caerulea Polioptilidae 6 No Forest Upper
Protonotaria citrea Parulidae 6 Yes Forest Upper
Setophaga citrina Parulidae 5 Yes Forest Upper
Contopus cooperi Tyrannidae 4 No Edge Upper
Tyrannus tyrannus Tyrannidae 4 Rare Open Upper
Setophaga cerulea Parulidae 3 Yes Forest Upper
Vireo gilvus Vireonidae 2 No Forest Upper
Zonotrichia querula Passerellidae 2 Yes Edge Lower
Lanius excubitor Laniidae 1 No Open Upper
Passerina caerulea Cardinalidae 1 Yes Edge Upper
