genus,species,date,locality,family,flight_call,habitat,stratum
Passerculus,sandwichensis,1978-10-27,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1979-10-23,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1980-04-19,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1981-09-23,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1982-05-20,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1982-09-18,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1982-09-23,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1982-09-28,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1982-09-28,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1982-10-02,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1982-10-31,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1982-10-31,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1982-11-03,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1983-04-14,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1983-04-14,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1983-04-15,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1983-04-18,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1983-05-02,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1983-05-06,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1983-05-07,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1983-10-01,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1984-03-15,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1984-04-08,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1984-05-18,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1984-05-23,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1984-05-25,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1985-04-18,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1985-04-19,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1985-04-19,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1985-04-20,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1985-04-20,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1985-04-22,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1985-05-07,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1985-09-27,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1985-10-05,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1985-10-05,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1985-10-05,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1985-10-05,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1985-10-05,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1985-10-05,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1985-10-05,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1985-10-06,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1985-10-16,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1985-10-25,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1986-04-05,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1986-04-19,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1986-04-24,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1986-04-26,MP,Passerellidae,Yes,Open,Lower
Passerculus,sandwichensis,1986-04-27,MP,Passerellidae,Yes,Open,Lower
