franchise,revenue_category,revenue,year_created,original_media,creators,owners
A Song of Ice and Fire /  Game of Thrones,Book sales,0.9,1996,Novel,George R. R. Martin,Random House WarnerMedia (AT&T)
A Song of Ice and Fire /  Game of Thrones,Box Office,0.001,1996,Novel,George R. R. Martin,Random House WarnerMedia (AT&T)
A Song of Ice and Fire /  Game of Thrones,Home Video/Entertainment,0.28,1996,Novel,George R. R. Martin,Random House WarnerMedia (AT&T)
A Song of Ice and Fire /  Game of Thrones,TV,4,1996,Novel,George R. R. Martin,Random House WarnerMedia (AT&T)
A Song of Ice and Fire /  Game of Thrones,Video Games/Games,0.132,1996,Novel,George R. R. Martin,Random House WarnerMedia (AT&T)
Aladdin,Box Office,0.76,1992,Animated film,Walt Disney Animation Hanna Diyab,The Walt Disney Company (franchise)  Sega Sammy Holdings (games/pachinko)
Aladdin,Home Video/Entertainment,1,1992,Animated film,Walt Disney Animation Hanna Diyab,The Walt Disney Company (franchise)  Sega Sammy Holdings (games/pachinko)
Aladdin,"Merchandise, Licensing & Retail",0.5,1992,Animated film,Walt Disney Animation Hanna Diyab,The Walt Disney Company (franchise)  Sega Sammy Holdings (games/pachinko)
Aladdin,Music,0.447,1992,Animated film,Walt Disney Animation Hanna Diyab,The Walt Disney Company (franchise)  Sega Sammy Holdings (games/pachinko)
Aladdin,Video Games/Games,2.2,1992,Animated film,Walt Disney Animation Hanna Diyab,The Walt Disney Company (franchise)  Sega Sammy Holdings (games/pachinko)
Angry Birds,Box Office,0.353,2009,Video game,Jaakko Iisalo,Rovio
Angry Birds,Home Video/Entertainment,0.027,2009,Video game,Jaakko Iisalo,Rovio
Angry Birds,"Merchandise, Licensing & Retail",8,2009,Video game,Jaakko Iisalo,Rovio
Angry Birds,Video Games/Games,0.1,2009,Video game,Jaakko Iisalo,Rovio
Anpanman,Box Office,0.067,1973,Manga,Takashi Yanase,Froebel-kan
Anpanman,"Merchandise, Licensing & Retail",60.025,1973,Manga,Takashi Yanase,Froebel-kan
Assassin's Creed,Box Office,0.241,2007,Video game,Patrice Désilets Jade Raymond Corey May,Ubisoft
Assassin's Creed,Home Video/Entertainment,0.012,2007,Video game,Patrice Désilets Jade Raymond Corey May,Ubisoft
Assassin's Creed,Video Games/Games,4,2007,Video game,Patrice Désilets Jade Raymond Corey May,Ubisoft
