squad_no,country,pos,player,dob,age,caps,goals,club
1,US,GK,Alyssa Naeher,1988-04-20T00:00:00Z,31,43,0,Chicago Red Stars
2,US,FW,Mallory Pugh,1998-04-29T00:00:00Z,21,50,15,Washington Spirit
3,US,MF,Sam Mewis,1992-10-09T00:00:00Z,26,47,9,North Carolina Courage
4,US,DF,Becky Sauerbrunn,1985-06-06T00:00:00Z,34,155,0,Utah Royals
5,US,DF,Kelley O'Hara,1988-08-04T00:00:00Z,30,115,2,Utah Royals
6,US,MF,Morgan Brian,1993-02-26T00:00:00Z,26,82,6,Chicago Red Stars
7,US,DF,Abby Dahlkemper,1993-05-13T00:00:00Z,26,37,0,North Carolina Courage
8,US,MF,Julie Ertz,1992-04-06T00:00:00Z,27,79,18,Chicago Red Stars
9,US,MF,Lindsey Horan,1994-05-26T00:00:00Z,25,66,8,Portland Thorns
10,US,FW,Carli Lloyd,1982-07-16T00:00:00Z,36,271,107,Sky Blue FC
11,US,DF,Ali Krieger,1984-07-28T00:00:00Z,34,99,1,Orlando Pride
12,US,DF,Tierna Davidson,1998-09-19T00:00:00Z,20,19,1,Chicago Red Stars
13,US,FW,Alex Morgan,1989-07-02T00:00:00Z,29,160,101,Orlando Pride
14,US,DF,Emily Sonnett,1993-11-25T00:00:00Z,25,31,0,Portland Thorns
15,US,FW,Megan Rapinoe,1985-07-05T00:00:00Z,33,150,44,Reign FC
16,US,MF,Rose Lavelle,1995-05-14T00:00:00Z,24,24,6,Washington Spirit
17,US,FW,Tobin Heath,1988-05-29T00:00:00Z,31,147,28,Portland Thorns
18,US,GK,Ashlyn Harris,1985-10-19T00:00:00Z,33,21,0,Orlando Pride
19,US,DF,Crystal Dunn,1992-07-03T00:00:00Z,26,83,24,North Carolina Courage
20,US,MF,Allie Long,1987-08-13T00:00:00Z,31,42,6,Reign FC
21,US,GK,Adrianna Franch,1990-11-12T00:00:00Z,28,1,0,Portland Thorns
22,US,FW,Jessica McDonald,1988-02-28T00:00:00Z,31,7,2,North Carolina Courage
23,US,FW,Christen Press,1988-12-29T00:00:00Z,30,113,47,Utah Royals
1,Thailand,GK,Waraporn Boonsing,1990-02-16T00:00:00Z,29,87,0,Bundit Asia
2,Thailand,DF,Kanjanaporn Saengkoon,1996-07-18T00:00:00Z,22,NA,NA,Bundit Asia
3,Thailand,DF,Natthakarn Chinwong,1992-03-15T00:00:00Z,27,11,0,Bundit Asia
4,Thailand,DF,Duangnapa Sritala,1986-02-04T00:00:00Z,33,25,2,Bangkok
5,Thailand,DF,Ainon Phancha,1992-01-26T00:00:00Z,27,7,3,Chonburi Sriprathum
6,Thailand,MF,Pikul Khueanpet,1988-09-20T00:00:00Z,30,44,0,Bundit Asia
7,Thailand,MF,Silawan Intamee,1994-01-22T00:00:00Z,25,14,0,Chonburi Sriprathum
8,Thailand,FW,Suchawadee Nildhamrong,1997-04-01T00:00:00Z,22,17,12,California Golden Bears
9,Thailand,DF,Warunee Phetwiset,1990-12-13T00:00:00Z,28,44,0,Chonburi Sriprathum
10,Thailand,DF,Sunisa Srangthaisong,1988-05-06T00:00:00Z,31,27,2,Bundit Asia
11,Thailand,MF,Sudarat Chucheun,1997-06-19T00:00:00Z,21,NA,NA,Sisaket
12,Thailand,MF,Rattikan Thongsombut,1991-07-07T00:00:00Z,27,21,3,Bundit Asia
13,Thailand,FW,Orathai Srimanee,1988-06-12T00:00:00Z,30,8,2,Bundit Asia
14,Thailand,FW,Saowalak Pengngam,1996-11-30T00:00:00Z,22,NA,NA,Chonburi Sriprathum
15,Thailand,MF,Orapin Waenngoen,1995-10-07T00:00:00Z,23,NA,NA,Bundit Asia
16,Thailand,DF,Khwanrudi Saengchan,1991-05-16T00:00:00Z,28,20,0,Bundit Asia
17,Thailand,FW,Taneekarn Dangda,1992-12-15T00:00:00Z,26,16,9,Bangkok
18,Thailand,GK,Sukanya Chor Charoenying,1987-11-24T00:00:00Z,31,8,0,Air Force United
19,Thailand,DF,Pitsamai Sornsai,1989-01-19T00:00:00Z,30,NA,NA,Chonburi Sriprathum
20,Thailand,MF,Wilaiporn Boothduang,1987-06-25T00:00:00Z,31,46,11,Bangkok
21,Thailand,MF,Kanjana Sungngoen,1986-09-21T00:00:00Z,32,47,30,Bangkok
22,Thailand,GK,Tiffany Sornpao,1998-05-22T00:00:00Z,21,1,0,Kennesaw State Owls
23,Thailand,DF,Phornphirun Philawan,1999-04-08T00:00:00Z,20,NA,NA,Bundit Asia
1,Sweden,GK,Hedvig Lindahl,1983-04-29T00:00:00Z,36,157,0,Chelsea
2,Sweden,DF,Jonna Andersson,1993-01-02T00:00:00Z,26,40,0,Chelsea
3,Sweden,DF,Linda Sembrant,1987-05-15T00:00:00Z,32,109,8,Montpellier
4,Sweden,DF,Hanna Glas,1993-04-16T00:00:00Z,26,21,0,Paris Saint-Germain
5,Sweden,DF,Nilla Fischer,1984-08-02T00:00:00Z,34,175,23,Wolfsburg
6,Sweden,DF,Magdalena Eriksson,1993-09-08T00:00:00Z,25,48,5,Chelsea
