year,gas_current,gas_constant
1929,0.21,2.38
1930,0.2,2.3
1931,0.17,2.18
1932,0.18,2.61
1933,0.18,2.66
1934,0.19,2.67
1935,0.19,2.62
1936,0.19,2.67
1937,0.2,2.63
1938,0.2,2.64
1939,0.19,2.56
1940,0.18,2.49
1941,0.19,2.43
1942,0.2,2.39
1943,0.21,2.3
1944,0.21,2.25
1945,0.21,2.19
1946,0.21,1.96
1947,0.23,1.97
1948,0.26,2.09
1949,0.27,2.17
1950,0.27,2.14
1951,0.27,2.03
1952,0.27,2.01
1953,0.29,2.08
1954,0.29,2.08
1955,0.29,2.05
1956,0.3,2.04
1957,0.31,2.05
1958,0.3,1.96
1959,0.31,1.94
1960,0.31,1.95
1961,0.31,1.91
1962,0.31,1.88
1963,0.3,1.84
1964,0.3,1.82
1965,0.31,1.83
1966,0.32,1.83
1967,0.33,1.84
1968,0.34,1.79
1969,0.35,1.77
1970,0.36,1.72
1971,0.36,1.67
1972,0.36,1.59
1973,0.39,1.62
1974,0.53,2.03
1975,0.57,1.98
1976,0.59,1.96
1977,0.62,1.94
1978,0.63,1.83
1979,0.86,2.31
1980,1.19,2.95
1981,1.31,2.97
1982,1.22,2.6
1983,1.16,2.37
1984,1.13,2.23
1985,1.12,2.14
1986,0.86,1.61
1987,0.9,1.64
1988,0.9,1.59
1989,1,1.7
1990,1.15,1.89
1991,1.14,1.81
1992,1.13,1.75
1993,1.11,1.68
1994,1.11,1.65
1995,1.15,1.67
1996,1.23,1.76
1997,1.23,1.74
1998,1.06,1.47
1999,1.17,1.6
2000,1.51,2.02
2001,1.46,1.91
2002,1.36,1.75
2003,1.59,2.01
2004,1.88,2.32
2005,2.3,2.74
2006,2.59,3
2007,2.8,3.16
2008,3.27,3.61
2009,2.35,2.58
2010,2.79,3.02
2011,3.53,3.75
2012,3.64,3.8
2013,3.53,3.62
2014,3.37,3.4
2015,2.45,2.45
