LEAID,LEA_NAME,ST,d_Locale_Txt,SCHOOL_YEAR,AIAN,Asian,Black,Hispanic,White,Multi,Total,diverse,variance,int_group
0100002,alabama youth services,AL,NA,1994-1995,0,0.589390962671906,71.7092337917485,0.196463654223969,27.5049115913556,NA,509,Diverse,NA,NA
0100005,albertville city,AL,town-distant,1994-1995,0,0.32071840923669,1.28287363694676,4.52212957023733,93.8742783835792,NA,3118,Extremely undiverse,NA,NA
0100005,albertville city,AL,town-distant,2016-2017,0.29373967321461403,0.5507618872774,3.19441894620892,46.7413255002754,46.7780429594272,2.44171103359648,5447,Diverse,0.0115560814900008,Highly integrated
0100006,marshall county,AL,rural-distant,1994-1995,0.104368570150589,0.134188161622186,0.37274489339496,0.909497539883704,98.4792008349486,NA,6707,Extremely undiverse,NA,NA
0100006,marshall county,AL,rural-distant,2016-2017,0.49235097590997,0.298927378231053,1.07262176894672,21.2941797081062,75.80446632671,1.03745384209601,5687,Undiverse,NA,NA
0100007,hoover city,AL,city-small,1994-1995,0.065180550123843,1.60344153304654,6.03571894146787,0.547516621040282,91.7481423543215,NA,7671,Extremely undiverse,NA,NA
0100007,hoover city,AL,city-small,2016-2017,0.0932701965848759,6.67958100157842,24.6807289424595,7.75577557755776,56.701104893098,4.08953938872148,13938,Diverse,0.0315555345249351,Highly integrated
0100008,madison city,AL,suburban-large,2016-2017,0.593869731800766,8.9176245210728,20.3735632183908,5.11494252873563,60.6992337164751,4.3007662835249,10440,Diverse,0.00265660150507411,Highly integrated
0100011,leeds city,AL,suburban-large,2016-2017,0.304105423213381,1.06436898124683,23.0106436898125,12.4683223517486,60.6183476938672,2.53421186011151,1973,Diverse,NA,NA
0100012,boaz city,AL,town-distant,2016-2017,0.502302218501465,1.17203850983675,1.9673503557974,29.7614064462118,63.7505232314776,2.84637923817497,2389,Diverse,NA,NA
0100013,trussville city,AL,suburban-large,2016-2017,0.330469266358229,1.96078431372549,11.7647058823529,1.54218990967173,81.6038775060586,2.797973121833,4539,Undiverse,NA,NA
0100030,alexander city,AL,town-distant,1994-1995,0,0.184794086589229,36.7476240760296,0.184794086589229,62.882787750792,NA,3788,Diverse,NA,NA
0100030,alexander city,AL,town-distant,2016-2017,0,1.08019639934534,40,6.67757774140753,50.1145662847791,2.12765957446809,3055,Diverse,NA,NA
0100060,andalusia city,AL,town-remote,1994-1995,0.191296030607365,0.143472022955524,24.5337159253945,0.0956480153036825,75.0358680057389,NA,2091,Undiverse,NA,NA
0100060,andalusia city,AL,town-remote,2016-2017,0.172018348623853,1.66284403669725,30.5619266055046,2.23623853211009,62.901376146789,2.46559633027523,1744,Diverse,NA,NA
0100090,anniston city,AL,city-small,1994-1995,0.0279017857142857,0.334821428571429,80.9430803571429,0.725446428571429,17.96875,NA,3584,Undiverse,NA,NA
0100090,anniston city,AL,city-small,2016-2017,0,0.193330111164814,90.2368293861769,3.62493958434026,4.63992266795553,1.30497825036249,2069,Extremely undiverse,NA,NA
0100100,arab city,AL,rural-fringe,1994-1995,0.159808230123851,0.239712345185777,0,0.159808230123851,99.4406711945665,NA,2503,Extremely undiverse,NA,NA
0100100,arab city,AL,rural-fringe,2016-2017,0.344563552833078,1.33996937212864,0.153139356814701,2.56508422664625,94.4869831546707,1.11026033690659,2612,Extremely undiverse,NA,NA
0100120,athens city,AL,town-fringe,1994-1995,0.171526586620926,0.823327615780446,24.8713550600343,1.06346483704974,73.0703259005146,NA,2915,Diverse,0.00307451087358,Highly integrated
0100120,athens city,AL,town-fringe,2016-2017,0.721709006928406,1.84757505773672,20.8140877598152,18.2448036951501,51.9919168591224,6.37990762124711,3464,Diverse,0.0035202249849399,Highly integrated
0100180,attalla city,AL,suburban-small,1994-1995,0.101677681748856,0,12.8113879003559,0.813421453990849,86.2735129639044,NA,1967,Undiverse,NA,NA
0100180,attalla city,AL,suburban-small,2016-2017,0.248292985723153,0.496585971446307,15.3941651148355,7.82122905027933,71.3221601489758,4.71756672873991,1611,Diverse,NA,NA
0100185,saraland city,AL,suburban-large,2016-2017,1.53896529142109,1.60445317616241,15.4223968565815,1.47347740667976,78.2252783235102,1.73542894564506,3054,Undiverse,NA,NA
0100188,chickasaw city,AL,suburban-large,2016-2017,0.473484848484849,0.284090909090909,70.3598484848485,3.125,25.7575757575758,0,1056,Diverse,NA,NA
0100189,satsuma city,AL,suburban-large,2016-2017,3.03458009880028,0.917431192660551,10.4446012702893,0.776287932251235,82.4276640790402,2.39943542695836,1417,Undiverse,NA,NA
0100190,alabaster city,AL,suburban-large,2016-2017,0.179914949296696,1.32482826300294,19.2181877657834,17.844291789336,58.4232908079817,3.00948642459928,6114,Diverse,0.00241287941621563,Highly integrated
0100194,pelham city,AL,suburban-large,2016-2017,0.345803206538824,2.98648223828985,13.9264382269727,28.6073561773027,51.5246777742848,2.60924237661113,3181,Diverse,NA,NA
0100195,pike road,AL,rural-fringe,2016-2017,0.0709219858156028,6.66666666666667,6.80851063829787,7.87234042553191,52.7659574468085,25.8156028368794,1410,Diverse,NA,NA
0100210,auburn city,AL,city-small,1994-1995,0.0501630298470028,5.09154752947078,35.3398545272134,0.476548783546526,59.0418861299222,NA,3987,Diverse,0.00745000614340117,Highly integrated
0100210,auburn city,AL,city-small,2016-2017,0.0702329392485075,10.6168793163994,25.1082757813414,4.74072339927426,57.9421748800187,1.52171368371766,8543,Diverse,0.00311159460725457,Highly integrated
0100240,autauga county,AL,suburban-large,1994-1995,0.013238019592269,0.225046333068573,25.8538522637013,0.291236431029918,73.6166269526079,NA,7554,Diverse,0.263789124343063,Not integrated
0100240,autauga county,AL,suburban-large,2016-2017,0.279359621790051,2.61093800365316,24.9167293435049,2.80434081873858,67.2719458472118,2.11668636510154,9307,Diverse,0.0979574850331677,Somewhat integrated
0100270,baldwin county,AL,rural-fringe,1994-1995,0.180351685787285,0.295576373929162,18.9068683933671,0.4709182906668,80.1462852562497,NA,19961,Undiverse,NA,NA
0100270,baldwin county,AL,rural-fringe,2016-2017,0.371628115589159,1.06362529634139,12.61293009547,8.25591080925226,73.3645159223425,4.33138976100468,31214,Diverse,0.0776677957411587,Highly integrated
0100300,barbour county,AL,rural-remote,1994-1995,0,0,80.3157375431672,0,19.6842624568328,NA,2027,Undiverse,NA,NA
