polla_qid,answer,votes,pollq_id,question,place,time,total_votes,percent
2,Excellent,0,2,How was Pizza Mercato?,Pizza Mercato,1344361527,13,0
2,Good,6,2,How was Pizza Mercato?,Pizza Mercato,1344361527,13,0.4615
2,Average,4,2,How was Pizza Mercato?,Pizza Mercato,1344361527,13,0.3077
2,Poor,1,2,How was Pizza Mercato?,Pizza Mercato,1344361527,13,0.0769
2,Never Again,2,2,How was Pizza Mercato?,Pizza Mercato,1344361527,13,0.1538
3,Excellent,1,3,How was Maffei's Pizza?,Maffei's Pizza,1348120800,7,0.1429
3,Good,1,3,How was Maffei's Pizza?,Maffei's Pizza,1348120800,7,0.1429
3,Average,3,3,How was Maffei's Pizza?,Maffei's Pizza,1348120800,7,0.4286
3,Poor,1,3,How was Maffei's Pizza?,Maffei's Pizza,1348120800,7,0.1429
3,Never Again,1,3,How was Maffei's Pizza?,Maffei's Pizza,1348120800,7,0.1429
4,Excellent,4,4,How was Naples 45?,Naples 45,1350496849,8,0.5
4,Good,2,4,How was Naples 45?,Naples 45,1350496849,8,0.25
4,Average,1,4,How was Naples 45?,Naples 45,1350496849,8,0.125
4,Poor,1,4,How was Naples 45?,Naples 45,1350496849,8,0.125
4,Never Again,0,4,How was Naples 45?,Naples 45,1350496849,8,0
5,Excellent,1,5,How was Ben's of SoHo 14th Street?,Ben's of SoHo 14th Street,1354210241,5,0.2
5,Good,1,5,How was Ben's of SoHo 14th Street?,Ben's of SoHo 14th Street,1354210241,5,0.2
5,Average,0,5,How was Ben's of SoHo 14th Street?,Ben's of SoHo 14th Street,1354210241,5,0
5,Poor,3,5,How was Ben's of SoHo 14th Street?,Ben's of SoHo 14th Street,1354210241,5,0.6
5,Never Again,0,5,How was Ben's of SoHo 14th Street?,Ben's of SoHo 14th Street,1354210241,5,0
6,Excellent,2,6,How was Mariella?,Mariella,1359655855,28,0.0714
6,Good,10,6,How was Mariella?,Mariella,1359655855,28,0.3571
6,Average,12,6,How was Mariella?,Mariella,1359655855,28,0.4286
6,Poor,4,6,How was Mariella?,Mariella,1359655855,28,0.1429
6,Never Again,0,6,How was Mariella?,Mariella,1359655855,28,0
8,Excellent,1,8,How Was Roio's?,Roio's,1360688763,7,0.1429
8,Good,0,8,How Was Roio's?,Roio's,1360688763,7,0
8,Average,5,8,How Was Roio's?,Roio's,1360688763,7,0.7143
8,Poor,1,8,How Was Roio's?,Roio's,1360688763,7,0.1429
8,Never Again,0,8,How Was Roio's?,Roio's,1360688763,7,0
9,Excellent,1,9,How was Vinny Vincenz?,Vinny Vincenz,1365526334,8,0.125
9,Good,3,9,How was Vinny Vincenz?,Vinny Vincenz,1365526334,8,0.375
9,Average,3,9,How was Vinny Vincenz?,Vinny Vincenz,1365526334,8,0.375
9,Poor,0,9,How was Vinny Vincenz?,Vinny Vincenz,1365526334,8,0
9,Never Again,1,9,How was Vinny Vincenz?,Vinny Vincenz,1365526334,8,0.125
10,Excellent,1,10,How was Joe's Pizza?,Joe's Pizza,1366908424,17,0.0588
10,Good,4,10,How was Joe's Pizza?,Joe's Pizza,1366908424,17,0.2353
10,Average,8,10,How was Joe's Pizza?,Joe's Pizza,1366908424,17,0.4706
10,Poor,3,10,How was Joe's Pizza?,Joe's Pizza,1366908424,17,0.1765
10,Never Again,1,10,How was Joe's Pizza?,Joe's Pizza,1366908424,17,0.0588
11,Excellent,2,11,How was Pizza Bash?,Pizza Bash,1369933799,6,0.3333
11,Good,2,11,How was Pizza Bash?,Pizza Bash,1369933799,6,0.3333
11,Average,2,11,How was Pizza Bash?,Pizza Bash,1369933799,6,0.3333
11,Poor,0,11,How was Pizza Bash?,Pizza Bash,1369933799,6,0
11,Never Again,0,11,How was Pizza Bash?,Pizza Bash,1369933799,6,0
12,Excellent,2,12,How was Fiore's?,Fiore's,1371490081,6,0.3333
12,Good,3,12,How was Fiore's?,Fiore's,1371490081,6,0.5
12,Average,1,12,How was Fiore's?,Fiore's,1371490081,6,0.1667
12,Poor,0,12,How was Fiore's?,Fiore's,1371490081,6,0
12,Never Again,0,12,How was Fiore's?,Fiore's,1371490081,6,0
13,Excellent,4,13,How was Patsy's?,Patsy's,1374677826,6,0.6667
13,Good,1,13,How was Patsy's?,Patsy's,1374677826,6,0.1667
13,Average,1,13,How was Patsy's?,Patsy's,1374677826,6,0.1667
13,Poor,0,13,How was Patsy's?,Patsy's,1374677826,6,0
13,Never Again,0,13,How was Patsy's?,Patsy's,1374677826,6,0
14,Excellent,2,14,How was Prince Street Pizza?,Prince Street Pizza,1376933037,4,0.5
14,Good,1,14,How was Prince Street Pizza?,Prince Street Pizza,1376933037,4,0.25
14,Average,1,14,How was Prince Street Pizza?,Prince Street Pizza,1376933037,4,0.25
