city,state,city_size,mode,n,percent,moe,state_abb,state_region
Aberdeen city,South Dakota,Small,Bike,110,0.8,0.5,SD,North Central
Acworth city,Georgia,Small,Bike,0,0,0.4,GA,South
Addison village,Illinois,Small,Bike,43,0.2,0.3,IL,North Central
Adelanto city,California,Small,Bike,0,0,0.5,CA,West
Adrian city,Michigan,Small,Bike,121,1.5,1,MI,North Central
Agawam Town city,Massachusetts,Small,Bike,0,0,0.2,MA,Northeast
Agoura Hills city,California,Small,Bike,84,0.8,1.1,CA,West
Aiken city,South Carolina,Small,Bike,23,0.2,0.3,SC,South
Alabaster city,Alabama,Small,Bike,0,0,0.2,AL,South
Alameda city,California,Small,Bike,576,1.5,0.4,CA,West
Alamogordo city,New Mexico,Small,Bike,35,0.3,0.2,NM,West
Albany city,Georgia,Small,Bike,77,0.3,0.2,GA,South
Albany city,New York,Small,Bike,419,0.9,0.3,NY,Northeast
Albany city,Oregon,Small,Bike,281,1.3,0.6,OR,West
Albertville city,Alabama,Small,Bike,2,0,0.1,AL,South
Alexandria city,Louisiana,Small,Bike,100,0.5,0.3,LA,South
Algonquin village,Illinois,Small,Bike,109,0.7,0.6,IL,North Central
Alhambra city,California,Small,Bike,198,0.5,0.2,CA,West
Aliso Viejo city,California,Small,Bike,85,0.3,0.2,CA,West
Allen city,Texas,Small,Bike,21,0,0.1,TX,South
Allen Park city,Michigan,Small,Bike,55,0.5,0.4,MI,North Central
Alliance city,Ohio,Small,Bike,19,0.2,0.2,OH,North Central
Alpharetta city,Georgia,Small,Bike,0,0,0.1,GA,South
Altamonte Springs city,Florida,Small,Bike,282,1.3,0.7,FL,South
Alton city,Illinois,Small,Bike,10,0.1,0.1,IL,North Central
Altoona city,Pennsylvania,Small,Bike,33,0.2,0.2,PA,Northeast
Alvin city,Texas,Small,Bike,127,1.2,0.7,TX,South
American Fork city,Utah,Small,Bike,32,0.3,0.3,UT,West
Ames city,Iowa,Small,Bike,808,2.5,0.6,IA,North Central
Anderson city,Indiana,Small,Bike,96,0.4,0.2,IN,North Central
Anderson city,South Carolina,Small,Bike,10,0.1,0.2,SC,South
Andover city,Minnesota,Small,Bike,22,0.1,0.2,MN,North Central
Ankeny city,Iowa,Small,Bike,52,0.2,0.2,IA,North Central
Annapolis city,Maryland,Small,Bike,41,0.2,0.2,MD,South
Anniston city,Alabama,Small,Bike,12,0.1,0.2,AL,South
Apache Junction city,Arizona,Small,Bike,71,0.6,0.6,AZ,West
Apex town,North Carolina,Small,Bike,0,0,0.2,NC,South
Apopka city,Florida,Small,Bike,79,0.4,0.4,FL,South
Apple Valley city,Minnesota,Small,Bike,79,0.3,0.2,MN,North Central
Apple Valley town,California,Small,Bike,21,0.1,0.1,CA,West
Appleton city,Wisconsin,Small,Bike,399,1.1,0.4,WI,North Central
Arcadia city,California,Small,Bike,90,0.4,0.2,CA,West
Ardmore city,Oklahoma,Small,Bike,19,0.2,0.3,OK,South
Arlington Heights village,Illinois,Small,Bike,154,0.4,0.2,IL,North Central
Arnold city,Missouri,Small,Bike,0,0,0.3,MO,North Central
Arvin city,California,Small,Bike,0,0,0.6,CA,West
Asheboro city,North Carolina,Small,Bike,10,0.1,0.2,NC,South
Asheville city,North Carolina,Small,Bike,428,1.1,0.3,NC,South
Ashland city,Kentucky,Small,Bike,0,0,0.4,KY,South
Ashland city,Ohio,Small,Bike,49,0.6,0.4,OH,North Central
Ashland city,Oregon,Small,Bike,560,6.2,1.9,OR,West
Atascadero city,California,Small,Bike,58,0.4,0.4,CA,West
Athens city,Alabama,Small,Bike,0,0,0.4,AL,South
Athens city,Ohio,Small,Bike,208,2.2,0.9,OH,North Central
Atlantic City city,New Jersey,Small,Bike,166,1.1,0.6,NJ,Northeast
Attleboro city,Massachusetts,Small,Bike,39,0.2,0.2,MA,Northeast
Atwater city,California,Small,Bike,18,0.2,0.2,CA,West
Auburn city,Alabama,Small,Bike,475,2,0.5,AL,South
Auburn city,Maine,Small,Bike,57,0.5,0.5,ME,Northeast
Auburn city,New York,Small,Bike,54,0.4,0.4,NY,Northeast
Auburn city,Washington,Small,Bike,97,0.3,0.2,WA,West
Auburn Hills city,Michigan,Small,Bike,43,0.4,0.4,MI,North Central
Austin city,Minnesota,Small,Bike,100,0.9,0.7,MN,North Central
Aventura city,Florida,Small,Bike,0,0,0.3,FL,South
Avon city,Ohio,Small,Bike,14,0.2,0.2,OH,North Central
Avon Lake city,Ohio,Small,Bike,78,0.7,0.7,OH,North Central
Avondale city,Arizona,Small,Bike,42,0.1,0.1,AZ,West
Azusa city,California,Small,Bike,154,0.7,0.4,CA,West
Bainbridge Island city,Washington,Small,Bike,194,1.9,0.9,WA,West
Balch Springs city,Texas,Small,Bike,0,0,0.4,TX,South
Baldwin Park city,California,Small,Bike,294,1,0.5,CA,West
Ballwin city,Missouri,Small,Bike,0,0,0.2,MO,North Central
Bangor city,Maine,Small,Bike,50,0.3,0.3,ME,Northeast
Banning city,California,Small,Bike,47,0.5,0.5,CA,West
Barberton city,Ohio,Small,Bike,8,0.1,0.1,OH,North Central
Barnstable Town city,Massachusetts,Small,Bike,49,0.2,0.2,MA,Northeast
Barstow city,California,Small,Bike,29,0.3,0.5,CA,West
Bartlesville city,Oklahoma,Small,Bike,115,0.7,0.5,OK,South
Bartlett city,Tennessee,Small,Bike,36,0.1,0.2,TN,South
Bartlett village,Illinois,Small,Bike,28,0.1,0.1,IL,North Central
Batavia city,Illinois,Small,Bike,47,0.4,0.4,IL,North Central
Battle Creek city,Michigan,Small,Bike,61,0.3,0.2,MI,North Central
Bay City city,Michigan,Small,Bike,158,1.1,0.6,MI,North Central
Bayonne city,New Jersey,Small,Bike,71,0.2,0.2,NJ,Northeast
Baytown city,Texas,Small,Bike,83,0.3,0.3,TX,South
Beaumont city,California,Small,Bike,36,0.2,0.2,CA,West
Beavercreek city,Ohio,Small,Bike,116,0.5,0.3,OH,North Central
Beaverton city,Oregon,Small,Bike,564,1.3,0.4,OR,West
Bedford city,Texas,Small,Bike,54,0.2,0.1,TX,South
Bell city,California,Small,Bike,234,1.8,0.9,CA,West
Bell Gardens city,California,Small,Bike,173,1.1,0.5,CA,West
Bella Vista town,Arkansas,Small,Bike,0,0,0.3,AR,South
Belleville city,Illinois,Small,Bike,100,0.5,0.3,IL,North Central
Bellevue city,Nebraska,Small,Bike,31,0.1,0.1,NE,North Central
Bellflower city,California,Small,Bike,177,0.6,0.3,CA,West
Bellingham city,Washington,Small,Bike,1578,4,1,WA,West
Belmont city,California,Small,Bike,42,0.3,0.3,CA,West
Beloit city,Wisconsin,Small,Bike,86,0.6,0.4,WI,North Central
Belton city,Missouri,Small,Bike,32,0.3,0.3,MO,North Central
Belvidere city,Illinois,Small,Bike,40,0.4,0.6,IL,North Central
Benbrook city,Texas,Small,Bike,42,0.4,0.4,TX,South
Bend city,Oregon,Small,Bike,844,2.3,0.7,OR,West
Benicia city,California,Small,Bike,90,0.7,0.6,CA,West
Benton city,Arkansas,Small,Bike,0,0,0.2,AR,South
Bentonville city,Arkansas,Small,Bike,24,0.1,0.2,AR,South
Bergenfield borough,New Jersey,Small,Bike,39,0.3,0.2,NJ,Northeast
Berwyn city,Illinois,Small,Bike,45,0.2,0.2,IL,North Central
Bessemer city,Alabama,Small,Bike,0,0,0.3,AL,South
Bethel Park municipality,Pennsylvania,Small,Bike,7,0,0.1,PA,Northeast
Bethlehem city,Pennsylvania,Small,Bike,84,0.3,0.1,PA,Northeast
Bettendorf city,Iowa,Small,Bike,34,0.2,0.2,IA,North Central
Beverly city,Massachusetts,Small,Bike,57,0.3,0.2,MA,Northeast
Beverly Hills city,California,Small,Bike,87,0.5,0.5,CA,West
Biddeford city,Maine,Small,Bike,88,0.8,0.6,ME,Northeast
Big Spring city,Texas,Small,Bike,33,0.4,0.4,TX,South
Biloxi city,Mississippi,Small,Bike,88,0.4,0.3,MS,South
Binghamton city,New York,Small,Bike,208,1.1,0.6,NY,Northeast
Birmingham city,Michigan,Small,Bike,21,0.2,0.3,MI,North Central
Bismarck city,North Dakota,Small,Bike,271,0.8,0.3,ND,North Central
Bixby city,Oklahoma,Small,Bike,22,0.2,0.3,OK,South
Blacksburg town,Virginia,Small,Bike,531,3.1,1,VA,South
Blaine city,Minnesota,Small,Bike,30,0.1,0.1,MN,North Central
Bloomingdale village,Illinois,Small,Bike,0,0,0.3,IL,North Central
Bloomington city,Illinois,Small,Bike,205,0.5,0.2,IL,North Central
Bloomington city,Indiana,Small,Bike,1260,3.6,0.7,IN,North Central
Bloomington city,Minnesota,Small,Bike,239,0.6,0.2,MN,North Central
Blue Island city,Illinois,Small,Bike,12,0.1,0.2,IL,North Central
Blue Springs city,Missouri,Small,Bike,52,0.2,0.3,MO,North Central
Blythe city,California,Small,Bike,12,0.2,0.3,CA,West
Boca Raton city,Florida,Small,Bike,438,1.1,0.5,FL,South
Bolingbrook village,Illinois,Small,Bike,27,0.1,0.1,IL,North Central
Bonita Springs city,Florida,Small,Bike,150,0.9,0.6,FL,South
Bossier City city,Louisiana,Small,Bike,101,0.3,0.2,LA,South
Bothell city,Washington,Small,Bike,204,1.2,0.7,WA,West
Bountiful city,Utah,Small,Bike,44,0.2,0.2,UT,West
Bowie city,Maryland,Small,Bike,25,0.1,0.1,MD,South
Bowling Green city,Kentucky,Small,Bike,127,0.5,0.3,KY,South
Bowling Green city,Ohio,Small,Bike,226,1.5,0.7,OH,North Central
Boynton Beach city,Florida,Small,Bike,187,0.6,0.3,FL,South
Bozeman city,Montana,Small,Bike,1185,5.8,1.2,MT,West
Bradenton city,Florida,Small,Bike,151,0.7,0.5,FL,South
Braintree Town city,Massachusetts,Small,Bike,29,0.2,0.2,MA,Northeast
Brandon city,Mississippi,Small,Bike,10,0.1,0.1,MS,South
Brawley city,California,Small,Bike,22,0.3,0.4,CA,West
Brea city,California,Small,Bike,73,0.4,0.3,CA,West
Bremerton city,Washington,Small,Bike,221,1.2,0.6,WA,West
Brentwood city,California,Small,Bike,11,0.1,0.1,CA,West
Brentwood city,Tennessee,Small,Bike,10,0.1,0.1,TN,South
Bridgeton city,New Jersey,Small,Bike,3,0,0.1,NJ,Northeast
Brighton city,Colorado,Small,Bike,34,0.2,0.2,CO,West
Bristol city,Connecticut,Small,Bike,36,0.1,0.1,CT,Northeast
Bristol city,Tennessee,Small,Bike,15,0.1,0.2,TN,South
Brockton city,Massachusetts,Small,Bike,98,0.2,0.2,MA,Northeast
Brookfield city,Wisconsin,Small,Bike,33,0.2,0.2,WI,North Central
Brookings city,South Dakota,Small,Bike,454,3.7,1.7,SD,North Central
Brooklyn Center city,Minnesota,Small,Bike,147,1.1,0.7,MN,North Central
Brooklyn Park city,Minnesota,Small,Bike,53,0.1,0.1,MN,North Central
Broomfield city,Colorado,Small,Bike,218,0.7,0.4,CO,West
Brownsburg town,Indiana,Small,Bike,0,0,0.3,IN,North Central
Brunswick city,Ohio,Small,Bike,12,0.1,0.1,OH,North Central
Bryan city,Texas,Small,Bike,454,1.3,0.6,TX,South
Buckeye town,Arizona,Small,Bike,27,0.1,0.2,AZ,West
Buena Park city,California,Small,Bike,453,1.3,0.7,CA,West
Buffalo Grove village,Illinois,Small,Bike,114,0.5,0.3,IL,North Central
Bullhead City city,Arizona,Small,Bike,0,0,0.3,AZ,West
Burbank city,Illinois,Small,Bike,59,0.5,0.4,IL,North Central
Burien city,Washington,Small,Bike,51,0.3,0.2,WA,West
Burleson city,Texas,Small,Bike,73,0.4,0.4,TX,South
Burlingame city,California,Small,Bike,126,0.9,0.6,CA,West
Burlington city,Iowa,Small,Bike,98,0.9,0.9,IA,North Central
Burlington city,North Carolina,Small,Bike,0,0,0.2,NC,South
Burlington city,Vermont,Small,Bike,1101,5,1.2,VT,Northeast
Burnsville city,Minnesota,Small,Bike,127,0.4,0.3,MN,North Central
Burton city,Michigan,Small,Bike,14,0.1,0.2,MI,North Central
