date,hour,country,vote_1,vote_2,vote_3,vote_4,vote_5
2019-10-28,8,"",Gibson's Albatross,Tūī,Kākā,Kākāpō,Little Spotted Kiwi
2019-10-28,8,"",Spotted Shag,Fantail,Weka,"",""
2019-10-28,8,"",Great Spotted Kiwi,Kea,Little Spotted Kiwi,Kākāpō,Kererū
2019-10-28,8,"",Blue Duck,New Zealand Falcon,South Island Kōkako,Morepork,Australasian Gannet
2019-10-28,8,"",Little Penguin,Rockhopper Penguin,Bittern,Black Robin,Morepork
2019-10-28,8,"",North Island Brown Kiwi,Stitchbird,Kea,"",""
2019-10-28,8,"",Banded Dotterel,Hutton's Shearwater,Antipodean Albatross,Whenua Hou Diving Petrel,Southern Brown Kiwi
2019-10-28,8,"",Rockhopper Penguin,Wrybill,Great Spotted Kiwi,North Island Brown Kiwi,Tomtit
2019-10-28,8,"",Kākāpō,Pūkeko,Fantail,Kākā,Morepork
2019-10-28,8,"",Black Petrel,Blue Duck,South Island Kōkako,Great Spotted Kiwi,Kea
2019-10-28,8,"",Kākāpō,Chatham Island Oystercatcher,Black Robin,New Zealand Dotterel,Blue Duck
2019-10-28,8,"",Yellow-eyed penguin,Kākāpō,Kererū,Bellbird,Banded Dotterel
2019-10-28,9,"",Chatham Island Mollymawk,Morepork,Yellow-eyed penguin,Chatham Island Oystercatcher,Welcome Swallow
2019-10-28,9,"",Harrier,Barn Owl,Bittern,Morepork,New Zealand Falcon
2019-10-28,9,"",Fairy Tern,Black Stilt,Bittern,New Zealand Dotterel,Little Spotted Kiwi
2019-10-28,9,"",Harrier,Kererū,Kākāpō,Little Penguin,Morepork
2019-10-28,9,"",Shore Plover,Fairy Tern,Antipodean Albatross,Hutton's Shearwater,Southern Brown Kiwi
2019-10-28,9,"",New Zealand Falcon,Fantail,Welcome Swallow,Little Penguin,Shining Cuckoo
2019-10-28,9,"",New Zealand Dotterel,Southern Brown Kiwi,North Island Brown Kiwi,Stitchbird,Kākā
2019-10-28,9,"",Saddleback,Orange-fronted Parakeet,Hutton's Shearwater,Yellow-eyed penguin,Gibson's Albatross
2019-10-28,9,"",Banded Dotterel,Bittern,Silvereye,Takahē,Southern Brown Kiwi
2019-10-28,9,"",Kōkako,New Zealand Dotterel,New Zealand Falcon,Royal Spoonbill,Shining Cuckoo
2019-10-28,9,"",Fairy Tern,Black-fronted Tern,Bittern,Banded Dotterel,New Zealand Dotterel
2019-10-28,9,"",Black Stilt,Bittern,Fairy Tern,South Island Kōkako,Whenua Hou Diving Petrel
2019-10-28,9,"",Banded Dotterel,Orange-fronted Parakeet,Black Robin,Little Spotted Kiwi,South Island Kōkako
2019-10-28,9,"",Kākāpō,Blue Duck,Fantail,Antipodean Albatross,Stitchbird
2019-10-28,9,"",Kākāpō,New Zealand Falcon,Black Robin,Fiordland Crested Penguin,Barn Owl
2019-10-28,9,"",Kākāpō,Kākā,Kōkako,Kererū,Takahē
2019-10-28,9,"",Antipodean Albatross,Bellbird,Morepork,White Heron,Kākāpō
2019-10-28,9,"",Antipodean Albatross,Fiordland Crested Penguin,Southern Brown Kiwi,New Zealand Falcon,Little Spotted Kiwi
2019-10-28,9,"",Kōkako,Black Robin,New Zealand Falcon,Stitchbird,Rifleman
2019-10-28,9,"",Yellow-eyed penguin,Little Penguin,Fiordland Crested Penguin,Rockhopper Penguin,Fantail
2019-10-28,9,"",Yellow-eyed penguin,Arctic Skua,Bellbird,Shining Cuckoo,New Zealand Falcon
2019-10-28,9,"",Yellow-eyed penguin,Fairy Tern,Black Stilt,Saddleback,Bittern
2019-10-28,9,"",Yellow-eyed penguin,"","","",""
2019-10-28,9,"",Harrier,Antipodean Albatross,Saddleback,Kea,Banded Dotterel
2019-10-28,9,"",Yellow-eyed penguin,Kākā,New Zealand Dotterel,Kākāpō,Black Robin
2019-10-28,9,"",Spotted Shag,Saddleback,Fantail,Takahē,Tūī
2019-10-28,9,"",Kingfisher,Kākāpō,Little Penguin,Morepork,Banded Dotterel
2019-10-28,9,"",Harrier,"","","",""
2019-10-28,9,"",Grey Warbler,Tūī,Fantail,Banded Dotterel,Bar-tailed Godwit
2019-10-28,9,"",Blue Duck,Brown Teal,New Zealand Dotterel,Tomtit,Shore Plover
2019-10-28,9,"",Fiordland Crested Penguin,Little Penguin,Rockhopper Penguin,Bellbird,""
2019-10-28,9,"",Kākāpō,Rock Wren,New Zealand Falcon,"",""
2019-10-28,9,"",Kākā,Little Penguin,Kingfisher,Black Robin,Stitchbird
2019-10-28,9,"",Kōkako,New Zealand Falcon,South Island Kōkako,Stitchbird,Saddleback
2019-10-28,9,"",Tūī,Little Spotted Kiwi,Bellbird,Saddleback,Fantail
2019-10-28,9,"",Kea,Fiordland Crested Penguin,Kākāpō,Tomtit,Little Penguin
2019-10-28,9,"",Bellbird,Fernbird,Orange-fronted Parakeet,Rock Wren,Shore Plover
