agency_name,year,quarter,starting,added,total,consolidation,rehabilitation,voluntary_payments,wage_garnishments
"Account Control Technology, Inc.",15,4,5807704381.28,1040570566.98,122602641.75000001,20081893.869999997,90952572.59,5485506.859999999,6082668.43
"Allied Interstate, Inc.",15,4,3693337631.04,NA,113326847.13000003,11533808.55,86967994.25,4885225.08,9939819.25
CBE Group,15,4,2364391549.1,NA,83853003.02000001,7377702.92,64227390.85,3939866.1,8308043.15
"Coast Professional, Inc.",15,4,704216669.72,NA,99643903.33,3401361.3899999997,85960328.28,2508999.62,7773214.039999999
Collection Technology Incorporated,15,4,2952923197.15,NA,75725485.77,8946976,58395653.39,2909012.6399999997,5473843.74
"Collecto, INC dba EOS-CCA",15,4,2296819927.96,NA,78776489.95000002,6952381.800000001,56324366.46,3646365.1000000006,11853376.59
ConServe,15,4,4802839172.29,1040946704.87,149212488.09,19737771.87,112122060.76,9312391.8,8040263.66
"Delta Management Associates, Inc.",15,4,2173753460.54,NA,43771305.629999995,6999083.4399999995,31005187.76,2420052.79,3346981.6399999997
"Diversified Collection Services, Inc.",15,4,2518314168,NA,60575355.14999999,8086345.61,41600470.56999999,3620042.63,7268496.34
ERS,15,4,951893916.25,NA,91822575.25,4627536.3,77416965.22999999,3252017.6,6526056.12
"Financial Asset Management Systems, Inc.",15,4,1004748132.38,NA,51942045.41000001,2868014.82,41217626.67,1430540.82,6425863.1
FMS Investment Corp,15,4,4805848740.9,1040669395.43,148427565.3,20018885.05,115603908.07,7921620.569999999,4883151.61
GC Services LP,15,4,4459629843.92,1040630232.34,109572730.33999999,16529578.05,78179965.94,7655514.93,7207671.42
"Immediate Credit Recovery, Inc.",15,4,2477496323.04,NA,55665616.54,7295931.950000001,36710309.08,4151960.3900000006,7507415.119999999
"National Recoveries, Inc.",15,4,446662323.42,NA,47707034.58,2410174.6399999997,40986159.6,997152.3,3313548.04
"NCO Financial Systems, Inc.",15,4,2572027731.76,NA,68549949.03,9370007.75,43792405.56999999,4831318.869999999,10556216.84
"Pioneer Credit Recovery, Inc",15,4,662911104.97,NA,70648192.2,3085109.7,58752167.86,2174311.9,6636602.74
"Premiere Credit of North America, LLC",15,4,2415982389.95,NA,65212263.500000015,6833183.09,47358617.56,3129198.58,7891264.27
"Progressive Financial Services, Inc.",15,4,2548554970.26,NA,68909493.33000001,7729141.46,45616237.97,3536932.72,12027181.18
Van Ru Credit Corporation,15,4,3021684277.09,NA,64055957.739999995,9540745.07,43414748.51,3671290.89,7429173.27
"West Asset Management, Inc.",15,4,2921197875.32,NA,73008714.88000001,7276292.57,50506665.93000001,4138833.3000000003,11086923.080000002
"Windham Professionals, Inc.",15,4,4569283027.65,1040514289.74,120996367.85,19228981.200000003,83533842.25,7543683.65,10689860.75
"Account Control Technology, Inc.",16,1,6799804891.93,986949285.6,184186941.27,23239060.86,148735464.60999998,6288694.83,5923720.969999999
Action Financial Services*,16,1,NA,483840871.94,562683.37,490211.41,NA,71532.33,939.63
"Allied Interstate, Inc.",16,1,3637788769.58,NA,147036534.01,8633579.27,124037117.61000001,4185926.3,10179910.83
CBE Group,16,1,2315912595.62,NA,120246229.06,6680280.59,101792703.46,3296839.98,8476405.03
Central Research*,16,1,NA,587944759.55,589784.48,514538.02,14028.32,60700.770000000004,517.37
"Coast Professional, Inc.",16,1,637563951.76,863537041.84,72751242.97,2685404.5999999996,61950326.11,1582494.55,6533017.71
Collection Technology Incorporated,16,1,2915433057.69,NA,85589852.25,9073638.15,67892257.95,2676595.7800000003,5947360.37
"Collecto, INC dba EOS-CCA",16,1,2253228421.35,NA,93344217.37,6449556.51,71402651.80000001,3008351.27,12483657.79
ConServe,16,1,5763194329.7,987156084.61,168225816.5,22397722.66,127520245.14,9232340.510000002,9075508.19
"Credit Adjustments, Inc.*",16,1,NA,771556557.25,1279033.86,1184609.57,16.61,93084.5,1323.18
