disease,state,year,weeks_reporting,count,population
Hepatitis A,Alabama,1966,50,321,3345787
Hepatitis A,Alabama,1967,49,291,3364130
Hepatitis A,Alabama,1968,52,314,3386068
Hepatitis A,Alabama,1969,49,380,3412450
Hepatitis A,Alabama,1970,51,413,3444165
Hepatitis A,Alabama,1971,51,378,3481798
Hepatitis A,Alabama,1972,45,342,3524543
Hepatitis A,Alabama,1973,45,467,3571209
Hepatitis A,Alabama,1974,45,244,3620548
Hepatitis A,Alabama,1975,46,286,3671246
Hepatitis A,Alabama,1976,50,220,3721914
Hepatitis A,Alabama,1977,43,206,3771085
Hepatitis A,Alabama,1978,41,203,3817217
Hepatitis A,Alabama,1979,47,257,3858703
Hepatitis A,Alabama,1980,37,200,3893888
Hepatitis A,Alabama,1981,40,138,3921581
Hepatitis A,Alabama,1982,43,128,3942588
Hepatitis A,Alabama,1983,43,178,3958271
Hepatitis A,Alabama,1984,35,115,3970041
Hepatitis A,Alabama,1985,22,37,3979341
Hepatitis A,Alabama,1986,26,51,3987637
Hepatitis A,Alabama,1987,36,81,3996407
Hepatitis A,Alabama,1988,20,13,4007144
Hepatitis A,Alabama,1989,32,56,4021358
Hepatitis A,Alabama,1990,41,86,4040587
Hepatitis A,Alabama,1991,38,39,4066003
Hepatitis A,Alabama,1992,34,35,4097169
Hepatitis A,Alabama,1993,27,40,4133242
Hepatitis A,Alabama,1994,29,72,4173361
Hepatitis A,Alabama,1995,38,75,4216645
Hepatitis A,Alabama,1996,44,196,4262177
Hepatitis A,Alabama,1997,26,40,4309007
Hepatitis A,Alabama,1998,34,64,4356137
Hepatitis A,Alabama,1999,35,52,4402529
Hepatitis A,Alabama,2000,42,53,4447100
Hepatitis A,Alabama,2001,41,66,4488959
Hepatitis A,Alabama,2002,47,35,4528129
Hepatitis A,Alabama,2003,47,14,4564878
Hepatitis A,Alabama,2004,41,6,4599490
Hepatitis A,Alabama,2005,47,34,4632262
Hepatitis A,Alabama,2006,42,17,4663504
Hepatitis A,Alabama,2007,48,20,4693536
Hepatitis A,Alabama,2008,49,10,4722691
Hepatitis A,Alabama,2009,49,10,4751307
Hepatitis A,Alabama,2010,51,8,4779736
Hepatitis A,Alabama,2011,27,7,4808274
Hepatitis A,Alaska,1966,34,90,268476
Hepatitis A,Alaska,1967,22,39,276180
Hepatitis A,Alaska,1968,31,84,284068
Hepatitis A,Alaska,1969,32,63,292136
Hepatitis A,Alaska,1970,32,113,300382
Hepatitis A,Alaska,1971,28,96,308810
Hepatitis A,Alaska,1972,37,199,317458
Hepatitis A,Alaska,1973,32,225,326376
Hepatitis A,Alaska,1974,30,248,335621
Hepatitis A,Alaska,1975,37,409,345253
Hepatitis A,Alaska,1976,13,1094,355341
Hepatitis A,Alaska,1977,39,551,365958
Hepatitis A,Alaska,1978,39,125,377187
Hepatitis A,Alaska,1979,28,61,389118
Hepatitis A,Alaska,1980,14,18,401851
Hepatitis A,Alaska,1981,22,45,415458
Hepatitis A,Alaska,1982,15,17,429850
Hepatitis A,Alaska,1983,22,43,444879
Hepatitis A,Alaska,1984,11,14,460375
Hepatitis A,Alaska,1985,12,18,476138
Hepatitis A,Alaska,1986,21,66,491942
Hepatitis A,Alaska,1987,47,240,507531
Hepatitis A,Alaska,1988,22,268,522622
