id,contact_city,contact_state,description,found,manual,remove,still_there
44520267,Anoka,MN,"Boris is a handsome mini schnauzer who made his long trek up her from Arkansas on 4/2019. He loves rope toys and running around his foster mom's yard. 

He is 4 years old, just under 10 pounds, and is a special needs dog. He needs vitamin B-12 shots every other week (may change), and needs prescription dog food with no meet or protein. Boris is on a vegan diet.

If interested in Boris please fill out or adoption application so we can set up a meet and greet for you! His foster mom can explain more in-depth about his needs and can answer any questions you may have about his lifestyle.

Boris' adoption fee is $300 and the application can be found at http://www.aohrescue.org/dog-adoption-application",Arkansas,NA,NA,NA
44698509,Groveland,FL,"Duke is an almost 2 year old Potcake from Abacos in the Bahamas. He is a happy boy, who loves his toys and bones, getting loving, riding in the car, snuggling on the couch and is a bit of a prankster. We suggest a home without other dogs because he can get possessive over his \""babies\"" (stuffed animals) and a home without kids because he will challenge you until he accepts you as the alpha. He also loves kiddie swimming pools, is crate trained and loves running around in a fenced in yard being goofy playing.

Applications available at www.islanddogrescue.net. He is fully vetted with vaccines, deworming, is neutered, heartworm negative, on heartworm prevention, is microchipped and on flea prevention.

9/16/19 6:09 PM",Abacos,Bahamas,NA,NA
45983838,Adamstown,MD,"Zac Woof-ron is a heartthrob movie star looking to settle down with the right person! 

As you know from his movie career, Zac is a 2-year-old, purebred red heeler male, about 37 pounds and high energy. After finishing his press tour for his latest movie, âMission Impossible: ACDâ, Zac came into foster care with ACDRA with the goal of retiring from the fast-paced motion picture industry and finding a forever home. Accordingly, Zacâs publicist agreed to finally let us share his full life story so far. You see, Zac was tied outside for most of his young life, with little to no interaction with people or other dogs. When his owner died, he was taken to a shelter in NC.  Zac has been in foster care on a farm with 2 other ACDs, cows, and horses. 

Although he is a bit slow to warm up to new people, Zac quickly becomes your best friend. He absolutely must be with his person at all times and gives the best body hugs ever! He has great recall and therefore a fence isnât required. He would do best with an energetic person in an active home with a yard that is dedicated to exercising him mentally and physically. Zac would make a great running, biking, or hiking partner or even agility dog. Inside the house, Zac isnât destructive (he has had free run of the house) although he does like to relocate his foster dadâs clothing around the house, and he settles right down to snuggle on your lap. He is already mostly potty trained and has learned to use the doggie door, sit, lie down, and wait. He will be easy to train as he is smart and highly food motivated. Zac loves to ride in the car and walks well on the leash. He has begun to show some interest in toys and fetch. Although Zac typically sleeps on the bed with his foster dad and canine housemates, he has occasionally been crated during the night and does just fine.  

Zac would thrive best in an ACD-experienced home without children or cats. He needs a patient person who will be able to harness his energy (and occasional mouthiness) in order help him achieve his full potential as a good canine citizen through training and exercise. Although he gets along with his foster brother and sister, they are no match for his energy level. Therefore, Zac requests a home with another dog who likes to chase and roughhouse as much as he does! 

Zac is neutered, microchipped, heartworm negative, and up to date on HW and flea/tick prevention.He is located in Adamstown, MD.

For questions, please contact mdrancherld@yahoo.com.

COMPLETE AN APPLICATION
http://www.acdra.org/adoption-application




",Adam,Maryland,NA,NA
44475904,Saint Cloud,MN,"~~Came in to the shelter as a transfer from another rescue ~~Interacted with other dogs and was cautious around them ~~Unknown if he has had a chance to meet children or cats ~~Slow and proper introductions are recommended; ask a staff member for more information ~~Very affectionate with staff on intake ~~Can be a little shy when first meeting new people but warms up quickly ~~Would benefit from a wide variety of toys to play with ~~Since he was a transfer not much is known about his house training and would do best kept on a schedule ~~ He has been shy and fearful while in the kennel ~~ May need time and space to warm up to new environments ~~ The use of Adaptil for stress management is recommended; available in the TCHS Re-Tail Shoppe ~~ Would benefit from basic obedience classes for additional socialization, confidence building, and to bond with his new family ~~ This sweet and shy boy cannot wait to meet his new people! ~~Donations and adoption fees help cover the cost of spay/neuter surgeries, micro-chipping, vaccinating, de-worming, any medical procedures and general care ~~DEPOSITS MAY BE PLACED ON ADOPTABLE ANIMALS by calling 320-252-0896",Adaptil,NA,TRUE,NA
43877389,Pueblo,CO,"Palang is such a sweetheart. She loves her people very much and likes getting loved on. She can be shy at first. She came from Afghanistan so we arenât sure of her breed. She is partially deaf. She does have a bite history, so will need a home with no children and visitors. She also prefers taller and slender people. Age: 4 Years",Afghanistan,NA,NA,NA
43082511,Manchester,CT,"Brooke has an unusual past.  She was rescued from Afghanistan as a puppy and made her way to the US to our sanctuary!  She is a sight-hound mix and has all the wonderful attributes that they possess.  If you would like a dog that can run like the wind then she is the dog for you!  An ancient breed, they were the hunting dogs and Brooke certainly thinks she should be queen!

 

This speed and the unusual ability to see far into the distance necessitates a fenced in yard or a place that is fenced where she can stretch those long legs of hers!  She walks well on leash but likes to be able to feel the wind in her fur!


We have asked Brooke what she would like in her very own home and she feels she would like an adult home who have dog experience.   She also requests that she be the only animal in the home!   The fenced in yard is a plus, lots of toys to enjoy and destuff, her very own bed, and people who love her sensitive side!


To learn more about this absolutely gorgeous gal, call Our Companions Animal Rescue at 242-9999 or e-mail daryl@ourcompanions.org



~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~All of the pets promoted by Our Companions Animal Rescue are located in CT.  As such we wish to adopt animals into homes in the greater CT area.  Pets are in various locations so we request that an appointment is made to meet with a specific pet we are advertising. Contact the person listed on the petâs profile to find out more about our adoption process for a specific pet or e-mail Helpline@ourcompanions.org for general inquiries.",Afghanistan,NA,NA,NA
45287347,Wooster,OH,"Tate is an adorable 2 year old, 22 pound Cockapoo.  She came to use from a local shelter where her owner had turned her in.  Her owner was older and didn't have the time or energy for Tate.  She came to us with a condition called Microphthalmia.  This is where one eye is very small and often with other abnormalities.  Tate could not see out of the eye and it was uncomfortable for her.  We removed the eye which is completely healed.

Tate is very affectionate. She loves to play with toys and with other dogs.  She loves to cuddle in bed and on the sofa.  Tate is house trained and crate trained.  She loves her walks but needs more leash training.  We're working on it..   She likes to ride in the car.  Tate does sleep in bed.  She is good with respectful children that are 10 or older.  Tate would love another dog to play with but would be fine with an interactive family that has a lot of time for her.  We introduced Tate to cats and she would definitely chase if the cat would run.  It doesn't appear that she would hurt the cat but unless the cat was VERY laid back she would do best without a cat in the home.

Tate is a sweet girl that had little training in her early life.  She is very smart and eager to please.  She and her new owner would have a lot of fun in an obedience class.  Tate quickly learned to ring bells at the door to go outside but then took it a bit too far by ringing them too much.  This shows us that she is eager to have an active family that will do a lot of things where she can be included.  

Tate's adoption requirements are a fenced yard or area large enough for her to run and play that leads directly into the home.  She is not a candidate for an underground fence.  Tate needs someone who is not working a typical 8 hour work day; someone that works very part time, works from home and can their dog in their work space or someone that is retired.  She would love children that are 10 or older in the home and would do super with another playful dog.  If she is an only dog the family must be active with the time and desire to have a dog involved in a major part of their life.  After having very little attention for the first two years of her life, Tate deserves to have a home where she is cherished.  Tate's new home must continue with her natural care program.  We will place Tate within an hour drive from Akron, OH. which includes the Cleveland, Akron/Canton, Youngstown area.

Star-Mar Rescue is a natural care provider and we place our dogs in homes that are already on a natural care program or are eager to learn. We use no chemicals on our dogs, no commercial flea products (oral or topical), do blood titer testing instead of randomly vaccinating. Our yards are without fertilizer and weed killer and our homes are toxin free. We feel that dogs can be protected without being harmed by harsh chemicals and unnecessary vaccinations and do best on a species appropriate, no grain, raw diet. Frozen raw diets, freeze dried or dehydrated no grain. Raw, no grain foods are easily gotten at many pet stores and on line and are no more expensive than a high quality dry food. This simple step will provide your dog the nutrition needed to keep them healthy and happy for many years unlike feeding a lifetime of processed foods. We are happy to help with this transition. For more information go to Star-Mar Rescue Natural Care facebook page and click on \""videos\"" in the column to the left and watch the 7 part series called The Truth About Pet Cancer. It will give you an understanding of what we are doing and why. Please do some research on natural care and raw feeding and decide whether or not you are wanting to care for Tate in this manner before requesting an application.

If you feel that your lifestyle and environment meet with Tate's needs, please directly contact Martha at learymjri@aol.com or call 330-466-3667 or 330-262-0515 for an application or more information. PLEASE DO NOT USE THE LINK PROVIDED AS IT IS NOT ALWAYS RELIABLE. Tate's adoption will require an approved application and a home visit, with adoption completed at her foster home in Akron, OH. Tate's adoption fee is $275. We will work to place her within an 1 hour driving distance from his foster home in Akron, OH. so that we can conduct a home visit bringing Tate with us. This includes the Cleveland, Akron/Canton, Youngstown, Elyria, Loraine areas of OH. 

STAR-MAR RESCUE IS REGISTERED WITH THE OHIO DEPARTMENT OF AGRICULTURE AS REQUIRED BY LAW

",Akron,Ohio,NA,NA
45287347,Wooster,OH,"Tate is an adorable 2 year old, 22 pound Cockapoo.  She came to use from a local shelter where her owner had turned her in.  Her owner was older and didn't have the time or energy for Tate.  She came to us with a condition called Microphthalmia.  This is where one eye is very small and often with other abnormalities.  Tate could not see out of the eye and it was uncomfortable for her.  We removed the eye which is completely healed.

Tate is very affectionate. She loves to play with toys and with other dogs.  She loves to cuddle in bed and on the sofa.  Tate is house trained and crate trained.  She loves her walks but needs more leash training.  We're working on it..   She likes to ride in the car.  Tate does sleep in bed.  She is good with respectful children that are 10 or older.  Tate would love another dog to play with but would be fine with an interactive family that has a lot of time for her.  We introduced Tate to cats and she would definitely chase if the cat would run.  It doesn't appear that she would hurt the cat but unless the cat was VERY laid back she would do best without a cat in the home.

Tate is a sweet girl that had little training in her early life.  She is very smart and eager to please.  She and her new owner would have a lot of fun in an obedience class.  Tate quickly learned to ring bells at the door to go outside but then took it a bit too far by ringing them too much.  This shows us that she is eager to have an active family that will do a lot of things where she can be included.  

Tate's adoption requirements are a fenced yard or area large enough for her to run and play that leads directly into the home.  She is not a candidate for an underground fence.  Tate needs someone who is not working a typical 8 hour work day; someone that works very part time, works from home and can their dog in their work space or someone that is retired.  She would love children that are 10 or older in the home and would do super with another playful dog.  If she is an only dog the family must be active with the time and desire to have a dog involved in a major part of their life.  After having very little attention for the first two years of her life, Tate deserves to have a home where she is cherished.  Tate's new home must continue with her natural care program.  We will place Tate within an hour drive from Akron, OH. which includes the Cleveland, Akron/Canton, Youngstown area.

Star-Mar Rescue is a natural care provider and we place our dogs in homes that are already on a natural care program or are eager to learn. We use no chemicals on our dogs, no commercial flea products (oral or topical), do blood titer testing instead of randomly vaccinating. Our yards are without fertilizer and weed killer and our homes are toxin free. We feel that dogs can be protected without being harmed by harsh chemicals and unnecessary vaccinations and do best on a species appropriate, no grain, raw diet. Frozen raw diets, freeze dried or dehydrated no grain. Raw, no grain foods are easily gotten at many pet stores and on line and are no more expensive than a high quality dry food. This simple step will provide your dog the nutrition needed to keep them healthy and happy for many years unlike feeding a lifetime of processed foods. We are happy to help with this transition. For more information go to Star-Mar Rescue Natural Care facebook page and click on \""videos\"" in the column to the left and watch the 7 part series called The Truth About Pet Cancer. It will give you an understanding of what we are doing and why. Please do some research on natural care and raw feeding and decide whether or not you are wanting to care for Tate in this manner before requesting an application.

If you feel that your lifestyle and environment meet with Tate's needs, please directly contact Martha at learymjri@aol.com or call 330-466-3667 or 330-262-0515 for an application or more information. PLEASE DO NOT USE THE LINK PROVIDED AS IT IS NOT ALWAYS RELIABLE. Tate's adoption will require an approved application and a home visit, with adoption completed at her foster home in Akron, OH. Tate's adoption fee is $275. We will work to place her within an 1 hour driving distance from his foster home in Akron, OH. so that we can conduct a home visit bringing Tate with us. This includes the Cleveland, Akron/Canton, Youngstown, Elyria, Loraine areas of OH. 

STAR-MAR RESCUE IS REGISTERED WITH THE OHIO DEPARTMENT OF AGRICULTURE AS REQUIRED BY LAW

",Akron,Ohio,NA,NA
45987719,Locust Fork,AL,"Meet Trixie... she is a female 2yr. Old Chihuahua mix . She is about 10 to 12 lbs. She is very sweet , quiet , and calm. She is housebroken. She is great with other dogs. She came into rescue pregnant, and heart worm positive. . All her puppies have been adopted, so its her turn to find a loving home. She has went through her treatment . She is doing great!SB posted 9/15/19
**It is rare that we know with certainty the ages or mixes that make up our wonderful dogs, but we do our best to be as accurate as possible based upon our many years in rescue.
** Adoption: $325 which covers quarantine, shots, worming, food, medical records, spaying/neutering,microchip and an Alabama State Health Certificate. Transport, if needed : $120.00 We consider the transport to be of great importance and, as such, take particular care of the dogs during the trip from Alabama. We make every effort to arrive with healthy and minimally stressed dogs.",Alabama,NA,NA,NA
45943086,Locust Fork,AL,"Meet Reba, a 2-year-old Dachshund with a sleek and short coat of red. She weighs only 15 pounds, and they're all filled with fun! Reba greatly enjoys playing and has a wonderful temperament. She loves running and playing. She loves attention, too! She's wonderful with people and other dogs, too! (posted 9/11/19, ME)
**It is rare that we know with certainty the ages or mixes that make up our wonderful dogs, but we do our best to be as accurate as possible based upon our many years in rescue.
** Adoption: $325 which covers quarantine, shots, worming, food, medical records, spaying/neutering,microchip and an Alabama State Health Certificate. Transport, if needed : $120.00 We consider the transport to be of great importance and, as such, take particular care of the dogs during the trip from Alabama. We make every effort to arrive with healthy and minimally stressed dogs.",Alabama,NA,NA,NA
