latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-11.303,142.348,312.6,2.4,1.5,2019-11-01,0120,Terra,MODIS,50,6.0NRT,291.6,23.2,D
-11.406,142.33,310.8,2.4,1.5,2019-11-01,0120,Terra,MODIS,34,6.0NRT,289.3,21.1,D
-12.793,143.328,312.5,3,1.6,2019-11-01,0120,Terra,MODIS,16,6.0NRT,295.1,34.1,D
-13.187,141.903,321.7,2.3,1.5,2019-11-01,0120,Terra,MODIS,21,6.0NRT,298.2,26.3,D
-13.195,141.858,325.9,2.3,1.5,2019-11-01,0120,Terra,MODIS,39,6.0NRT,299,36.6,D
-15.484,130.304,339.2,1.5,1.2,2019-11-01,0120,Terra,MODIS,72,6.0NRT,311.8,32.9,D
-15.486,130.317,338.4,1.5,1.2,2019-11-01,0120,Terra,MODIS,73,6.0NRT,310.9,29.4,D
-15.526,125.98,360.8,3.1,1.7,2019-11-01,0120,Terra,MODIS,100,6.0NRT,307.5,369.3,D
-15.531,126.009,339.9,3.1,1.7,2019-11-01,0120,Terra,MODIS,84,6.0NRT,305.2,133.8,D
-12.199,132.465,333.8,1.2,1.1,2019-11-01,0120,Terra,MODIS,68,6.0NRT,307.4,23.9,D
-15.524,125.975,351.3,3.1,1.7,2019-11-01,0120,Terra,MODIS,94,6.0NRT,307.1,251.2,D
-15.53,126.003,346.7,3.1,1.7,2019-11-01,0120,Terra,MODIS,90,6.0NRT,305.6,197.6,D
-12.272,132.938,330.5,1.1,1.1,2019-11-01,0120,Terra,MODIS,59,6.0NRT,304,8.5,D
-15.668,126.085,328.4,3,1.6,2019-11-01,0120,Terra,MODIS,56,6.0NRT,308,36.2,D
-15.803,125.405,334.3,3.4,1.7,2019-11-01,0120,Terra,MODIS,77,6.0NRT,303.2,109.2,D
-12.793,143.323,312,3,1.6,2019-11-01,0120,Terra,MODIS,28,6.0NRT,295,34.6,D
-12.275,132.959,338.5,1.1,1.1,2019-11-01,0120,Terra,MODIS,74,6.0NRT,311.7,23.9,D
-15.798,125.4,332.6,3.4,1.7,2019-11-01,0120,Terra,MODIS,69,6.0NRT,301.8,96.2,D
-15.907,125.404,331.7,3.3,1.7,2019-11-01,0120,Terra,MODIS,70,6.0NRT,304.8,95.8,D
-12.279,132.98,337.1,1.1,1.1,2019-11-01,0120,Terra,MODIS,67,6.0NRT,309.5,20.9,D
-15.922,125.401,326.3,3.3,1.7,2019-11-01,0120,Terra,MODIS,53,6.0NRT,304.1,61.4,D
-15.955,124.741,326.1,3.7,1.8,2019-11-01,0120,Terra,MODIS,48,6.0NRT,297.5,82.9,D
-12.108,136.531,337.3,1,1,2019-11-01,0120,Terra,MODIS,88,6.0NRT,305.4,24.1,D
-12.28,132.99,342.5,1.1,1.1,2019-11-01,0120,Terra,MODIS,79,6.0NRT,315.7,31.2,D
-15.944,124.735,330.5,3.7,1.8,2019-11-01,0120,Terra,MODIS,69,6.0NRT,297.8,122.9,D
-17.72,127.06,330.8,2.3,1.5,2019-11-01,0120,Terra,MODIS,62,6.0NRT,312.5,32.2,D
-12.29,132.989,342,1.1,1.1,2019-11-01,0120,Terra,MODIS,74,6.0NRT,315.5,29.9,D
-17.832,126.888,330.7,2.4,1.5,2019-11-01,0120,Terra,MODIS,57,6.0NRT,312.7,31.4,D
-23.027,131.338,336.1,1.1,1,2019-11-01,0120,Terra,MODIS,72,6.0NRT,323.3,11.4,D
-12.11,136.54,331.1,1,1,2019-11-01,0120,Terra,MODIS,74,6.0NRT,305.9,14.6,D
-12.111,136.549,337.3,1,1,2019-11-01,0120,Terra,MODIS,88,6.0NRT,306.3,24,D
-12.439,132.362,333,1.2,1.1,2019-11-01,0120,Terra,MODIS,73,6.0NRT,308.1,21.5,D
-23.575,132.078,334.5,1,1,2019-11-01,0120,Terra,MODIS,68,6.0NRT,320.3,13.8,D
-23.584,132.08,353.8,1,1,2019-11-01,0120,Terra,MODIS,95,6.0NRT,320.8,47.3,D
-12.449,132.36,332,1.2,1.1,2019-11-01,0120,Terra,MODIS,67,6.0NRT,308.6,19.8,D
-23.586,132.09,362.1,1,1,2019-11-01,0120,Terra,MODIS,100,6.0NRT,321.3,68.8,D
-23.587,132.1,348.4,1,1,2019-11-01,0120,Terra,MODIS,90,6.0NRT,319.7,35.3,D
-12.46,132.37,335.9,1.2,1.1,2019-11-01,0120,Terra,MODIS,81,6.0NRT,309.9,24.8,D
-12.47,132.368,334.9,1.2,1.1,2019-11-01,0120,Terra,MODIS,69,6.0NRT,309.2,23.8,D
-12.116,136.52,333.9,1,1,2019-11-01,0120,Terra,MODIS,86,6.0NRT,305.6,18.7,D
-12.472,132.38,334,1.2,1.1,2019-11-01,0120,Terra,MODIS,50,6.0NRT,309.2,21.3,D
-14.318,129.888,333.7,1.7,1.3,2019-11-01,0120,Terra,MODIS,74,6.0NRT,308,34.2,D
-11.909,133.347,331.7,1.1,1,2019-11-01,0120,Terra,MODIS,50,6.0NRT,299.9,14.7,D
-15.414,134.832,340.9,1,1,2019-11-01,0120,Terra,MODIS,55,6.0NRT,316.4,22.2,D
-15.423,134.831,352.3,1,1,2019-11-01,0120,Terra,MODIS,94,6.0NRT,315.2,43.2,D
-11.91,133.357,340.1,1.1,1,2019-11-01,0120,Terra,MODIS,79,6.0NRT,304.4,29,D
-11.816,132.698,327.6,1.2,1.1,2019-11-01,0120,Terra,MODIS,34,6.0NRT,300.8,15.9,D
-15.424,134.84,342.6,1,1,2019-11-01,0120,Terra,MODIS,82,6.0NRT,311.3,22.9,D
-15.431,134.823,334.2,1,1,2019-11-01,0120,Terra,MODIS,48,6.0NRT,312.5,11.7,D
-15.44,134.821,350.7,1,1,2019-11-01,0120,Terra,MODIS,92,6.0NRT,312.4,40.4,D
-15.441,134.831,373.5,1,1,2019-11-01,0120,Terra,MODIS,100,6.0NRT,310.7,105.7,D
-11.92,133.356,337.3,1.1,1,2019-11-01,0120,Terra,MODIS,76,6.0NRT,301.7,24.7,D
-15.45,134.829,335.5,1,1,2019-11-01,0120,Terra,MODIS,54,6.0NRT,307.5,12.9,D
-15.452,134.839,337.2,1,1,2019-11-01,0120,Terra,MODIS,73,6.0NRT,308.5,17.7,D
-11.996,133.848,336.7,1.1,1,2019-11-01,0120,Terra,MODIS,79,6.0NRT,308.2,19.9,D
-15.453,134.848,335.3,1,1,2019-11-01,0120,Terra,MODIS,67,6.0NRT,309.7,15.8,D
-15.461,134.837,351.3,1,1,2019-11-01,0120,Terra,MODIS,93,6.0NRT,309.9,45,D
-11.997,133.858,337.5,1.1,1,2019-11-01,0120,Terra,MODIS,65,6.0NRT,310.1,20,D
-12.031,133.833,338.3,1.1,1,2019-11-01,0120,Terra,MODIS,82,6.0NRT,310,24.6,D
-15.462,134.846,389.9,1,1,2019-11-01,0120,Terra,MODIS,100,6.0NRT,312.4,179.3,D
-15.467,134.817,352.1,1,1,2019-11-01,0120,Terra,MODIS,94,6.0NRT,313,42.9,D
-15.468,134.827,359.4,1,1,2019-11-01,0120,Terra,MODIS,99,6.0NRT,310.2,62.6,D
-15.471,134.845,337.4,1,1,2019-11-01,0120,Terra,MODIS,39,6.0NRT,307,21.6,D
-13.145,141.886,324,2.3,1.5,2019-11-01,0120,Terra,MODIS,37,6.0NRT,296.5,35.2,D
-15.476,134.816,373.3,1,1,2019-11-01,0120,Terra,MODIS,100,6.0NRT,308.6,104.7,D
-15.816,136.282,339.6,1.1,1,2019-11-01,0120,Terra,MODIS,79,6.0NRT,317.5,19.1,D
-13.184,141.881,329.1,2.3,1.5,2019-11-01,0120,Terra,MODIS,76,6.0NRT,298.2,53.7,D
-15.821,136.275,347.8,1.1,1,2019-11-01,0120,Terra,MODIS,90,6.0NRT,318.1,37.8,D
-15.822,136.285,339.7,1.1,1,2019-11-01,0120,Terra,MODIS,73,6.0NRT,314.9,19.8,D
-31.51,123.942,347,1.9,1.4,2019-11-01,0125,Terra,MODIS,93,6.0NRT,301.2,117.8,D
-28.356,127.782,342.4,1.3,1.1,2019-11-01,0125,Terra,MODIS,88,6.0NRT,306.9,46.2,D
-31.067,123.579,322.7,2.1,1.4,2019-11-01,0125,Terra,MODIS,55,6.0NRT,300.9,34.3,D
-31.512,123.934,344.8,1.9,1.4,2019-11-01,0125,Terra,MODIS,92,6.0NRT,302.1,109.8,D
-31.541,124.011,329.3,1.9,1.3,2019-11-01,0125,Terra,MODIS,63,6.0NRT,305,41.3,D
-31.296,123.992,324,1.9,1.4,2019-11-01,0125,Terra,MODIS,28,6.0NRT,303.4,29.1,D
-31.553,124.007,324.9,1.9,1.3,2019-11-01,0125,Terra,MODIS,65,6.0NRT,302.5,33.2,D
-31.557,124.027,324.8,1.9,1.3,2019-11-01,0125,Terra,MODIS,64,6.0NRT,303.6,31.3,D
-28.346,127.784,330.6,1.3,1.1,2019-11-01,0125,Terra,MODIS,68,6.0NRT,304.1,21.3,D
-31.3,124.012,342.8,1.9,1.4,2019-11-01,0125,Terra,MODIS,91,6.0NRT,303.1,99.6,D
-31.572,124.044,339.8,1.9,1.3,2019-11-01,0125,Terra,MODIS,89,6.0NRT,302.8,83.4,D
-31.576,124.063,327.3,1.9,1.3,2019-11-01,0125,Terra,MODIS,69,6.0NRT,301.6,39.9,D
-31.067,123.586,327,2.1,1.4,2019-11-01,0125,Terra,MODIS,58,6.0NRT,301.8,43.7,D
-31.506,123.922,326.5,1.9,1.4,2019-11-01,0125,Terra,MODIS,54,6.0NRT,302.7,35.7,D
-21.146,118.47,329.4,3.7,1.8,2019-11-01,0300,Terra,MODIS,55,6.0NRT,314.9,58.4,D
-36.107,148.039,353.3,1,1,2019-11-01,0400,Aqua,MODIS,97,6.0NRT,308.7,57.5,D
-36.108,148.028,328.5,1,1,2019-11-01,0400,Aqua,MODIS,68,6.0NRT,308.1,15,D
-36.095,148.059,326.8,1,1,2019-11-01,0400,Aqua,MODIS,76,6.0NRT,307.5,14.2,D
-36.096,148.048,350.3,1,1,2019-11-01,0400,Aqua,MODIS,95,6.0NRT,306.6,51.5,D
-36.098,148.037,365.1,1,1,2019-11-01,0400,Aqua,MODIS,100,6.0NRT,308.9,87.8,D
-36.099,148.026,339.7,1,1,2019-11-01,0400,Aqua,MODIS,89,6.0NRT,309.4,30.1,D
-31.233,152.095,321.1,1.5,1.2,2019-11-01,0405,Aqua,MODIS,47,6.0NRT,298.6,22.7,D
-31.181,152.258,335.6,1.5,1.2,2019-11-01,0405,Aqua,MODIS,71,6.0NRT,295.8,56.4,D
-31.171,152.255,338.8,1.5,1.2,2019-11-01,0405,Aqua,MODIS,51,6.0NRT,299.2,62.3,D
-31.171,152.191,332.2,1.5,1.2,2019-11-01,0405,Aqua,MODIS,67,6.0NRT,296.2,43.8,D
-30.997,152.25,337,1.5,1.2,2019-11-01,0405,Aqua,MODIS,83,6.0NRT,301.5,59.8,D
-31,152.237,338.9,1.5,1.2,2019-11-01,0405,Aqua,MODIS,85,6.0NRT,302.7,62.5,D
-31.003,152.222,357.3,1.5,1.2,2019-11-01,0405,Aqua,MODIS,98,6.0NRT,302.3,129.5,D
-31.015,152.155,325.4,1.5,1.2,2019-11-01,0405,Aqua,MODIS,32,6.0NRT,295.8,29.3,D
-30.989,152.234,335.7,1.5,1.2,2019-11-01,0405,Aqua,MODIS,82,6.0NRT,303.6,51.9,D
-30.992,152.219,354.1,1.5,1.2,2019-11-01,0405,Aqua,MODIS,96,6.0NRT,305.3,112.4,D
-30.995,152.204,331.9,1.5,1.2,2019-11-01,0405,Aqua,MODIS,63,6.0NRT,302,38.5,D
-31.004,152.153,350.4,1.5,1.2,2019-11-01,0405,Aqua,MODIS,94,6.0NRT,300.6,98.9,D
-30.981,152.216,335.5,1.5,1.2,2019-11-01,0405,Aqua,MODIS,82,6.0NRT,304,45.7,D
-30.984,152.201,350.7,1.5,1.2,2019-11-01,0405,Aqua,MODIS,94,6.0NRT,306.3,93.4,D
-30.993,152.15,340.8,1.5,1.2,2019-11-01,0405,Aqua,MODIS,64,6.0NRT,300.7,60.4,D
-30.945,152.106,350,1.5,1.2,2019-11-01,0405,Aqua,MODIS,94,6.0NRT,303.5,92.6,D
-30.948,152.092,341,1.5,1.2,2019-11-01,0405,Aqua,MODIS,86,6.0NRT,302.1,62.9,D
-30.95,152.117,328,1.5,1.2,2019-11-01,0405,Aqua,MODIS,50,6.0NRT,301.3,26,D
-30.953,152.102,343.1,1.5,1.2,2019-11-01,0405,Aqua,MODIS,89,6.0NRT,303.3,68.4,D
-30.943,152.099,332.1,1.5,1.2,2019-11-01,0405,Aqua,MODIS,77,6.0NRT,303.1,38.5,D
-30.932,152.096,332.7,1.5,1.2,2019-11-01,0405,Aqua,MODIS,78,6.0NRT,304.4,38.9,D
-30.938,152.065,354.9,1.5,1.2,2019-11-01,0405,Aqua,MODIS,97,6.0NRT,302.3,114.3,D
-30.94,152.049,360.6,1.5,1.2,2019-11-01,0405,Aqua,MODIS,100,6.0NRT,300.9,139.3,D
-30.927,152.062,348.6,1.5,1.2,2019-11-01,0405,Aqua,MODIS,93,6.0NRT,305.1,85.9,D
-30.929,152.048,337.8,1.5,1.2,2019-11-01,0405,Aqua,MODIS,76,6.0NRT,302.6,50.8,D
-30.921,152.032,347.1,1.5,1.2,2019-11-01,0405,Aqua,MODIS,92,6.0NRT,303.9,78.7,D
-30.924,152.018,327.7,1.5,1.2,2019-11-01,0405,Aqua,MODIS,52,6.0NRT,303,27.1,D
-30.91,152.03,331.5,1.5,1.2,2019-11-01,0405,Aqua,MODIS,60,6.0NRT,303.6,31.8,D
-30.897,152.04,346.8,1.5,1.2,2019-11-01,0405,Aqua,MODIS,91,6.0NRT,305.9,73.1,D
-30.884,152.054,328,1.5,1.2,2019-11-01,0405,Aqua,MODIS,37,6.0NRT,310.8,22.2,D
-30.886,152.039,339,1.5,1.2,2019-11-01,0405,Aqua,MODIS,83,6.0NRT,310.8,49.6,D
-30.74,152.705,319.7,1.6,1.3,2019-11-01,0405,Aqua,MODIS,39,6.0NRT,297,23.5,D
-30.791,152.306,324.6,1.5,1.2,2019-11-01,0405,Aqua,MODIS,32,6.0NRT,305.6,17.9,D
-30.772,152.284,328.7,1.5,1.2,2019-11-01,0405,Aqua,MODIS,54,6.0NRT,305.6,25.7,D
-30.771,152.167,323.7,1.5,1.2,2019-11-01,0405,Aqua,MODIS,30,6.0NRT,305.5,18.6,D
-30.757,152.18,328.6,1.5,1.2,2019-11-01,0405,Aqua,MODIS,43,6.0NRT,305.4,28.6,D
-30.768,150.985,352.1,1.3,1.1,2019-11-01,0405,Aqua,MODIS,95,6.0NRT,309.1,76.3,D
