rank,position,hand,player,years,total_goals,status,yr_start,season,age,team,league,season_games,goals,assists,points,plus_minus,penalty_min,goals_even,goals_power_play,goals_short_handed,goals_game_winner,headshot
1,C,Left,Wayne Gretzky,1979-99,894,Retired,1979,1978-79,18,TOT,WHA,80,46,64,110,20,19,NA,NA,NA,NA,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,C,Left,Wayne Gretzky,1979-99,894,Retired,1979,1978-79,18,INR,WHA,8,3,3,6,-3,0,3,0,0,NA,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,C,Left,Wayne Gretzky,1979-99,894,Retired,1979,1978-79,18,EDO,WHA,72,43,61,104,23,19,34,9,0,NA,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,C,Left,Wayne Gretzky,1979-99,894,Retired,1979,1979-80,19,EDM,NHL,79,51,86,137,14,21,37,13,1,6,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,C,Left,Wayne Gretzky,1979-99,894,Retired,1979,1980-81,20,EDM,NHL,80,55,109,164,41,28,36,15,4,3,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,C,Left,Wayne Gretzky,1979-99,894,Retired,1979,1981-82,21,EDM,NHL,80,92,120,212,80,26,68,18,6,12,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,C,Left,Wayne Gretzky,1979-99,894,Retired,1979,1982-83,22,EDM,NHL,80,71,125,196,61,59,47,18,6,9,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,C,Left,Wayne Gretzky,1979-99,894,Retired,1979,1983-84,23,EDM,NHL,74,87,118,205,78,39,55,20,12,11,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,C,Left,Wayne Gretzky,1979-99,894,Retired,1979,1984-85,24,EDM,NHL,80,73,135,208,100,52,54,8,11,7,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,C,Left,Wayne Gretzky,1979-99,894,Retired,1979,1985-86,25,EDM,NHL,80,52,163,215,71,46,38,11,3,6,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
