type,year,tuition_type,tuition_cost
All Institutions,1985-86,All Constant,10893
All Institutions,1985-86,4 Year Constant,12274
All Institutions,1985-86,2 Year Constant,7508
All Institutions,1985-86,All Current,4885
All Institutions,1985-86,4 Year Current,5504
All Institutions,1985-86,2 Year Current,3367
All Institutions,1995-96,All Constant,13822
All Institutions,1995-96,4 Year Constant,16224
All Institutions,1995-96,2 Year Constant,7421
All Institutions,1995-96,All Current,8800
All Institutions,1995-96,4 Year Current,10330
All Institutions,1995-96,2 Year Current,4725
All Institutions,2000-01,All Constant,14995
All Institutions,2000-01,4 Year Constant,17909
All Institutions,2000-01,2 Year Constant,7576
All Institutions,2000-01,All Current,10820
All Institutions,2000-01,4 Year Current,12922
All Institutions,2000-01,2 Year Current,5466
All Institutions,2001-02,All Constant,15497
All Institutions,2001-02,4 Year Constant,18573
All Institutions,2001-02,2 Year Constant,7786
All Institutions,2001-02,All Current,11380
All Institutions,2001-02,4 Year Current,13639
All Institutions,2001-02,2 Year Current,5718
All Institutions,2002-03,All Constant,16008
All Institutions,2002-03,4 Year Constant,19240
All Institutions,2002-03,2 Year Constant,8331
All Institutions,2002-03,All Current,12014
All Institutions,2002-03,4 Year Current,14439
All Institutions,2002-03,2 Year Current,6252
All Institutions,2003-04,All Constant,16891
All Institutions,2003-04,4 Year Constant,20218
All Institutions,2003-04,2 Year Constant,8743
All Institutions,2003-04,All Current,12953
All Institutions,2003-04,4 Year Current,15505
All Institutions,2003-04,2 Year Current,6705
All Institutions,2004-05,All Constant,17460
All Institutions,2004-05,4 Year Constant,20899
All Institutions,2004-05,2 Year Constant,8982
All Institutions,2004-05,All Current,13793
All Institutions,2004-05,4 Year Current,16510
All Institutions,2004-05,2 Year Current,7095
All Institutions,2005-06,All Constant,17845
All Institutions,2005-06,4 Year Constant,21281
All Institutions,2005-06,2 Year Constant,8824
All Institutions,2005-06,All Current,14634
All Institutions,2005-06,4 Year Current,17451
All Institutions,2005-06,2 Year Current,7236
All Institutions,2006-07,All Constant,18404
All Institutions,2006-07,4 Year Constant,21956
All Institutions,2006-07,2 Year Constant,8874
All Institutions,2006-07,All Current,15483
All Institutions,2006-07,4 Year Current,18471
All Institutions,2006-07,2 Year Current,7466
All Institutions,2007-08,All Constant,18604
All Institutions,2007-08,4 Year Constant,22194
All Institutions,2007-08,2 Year Constant,8754
All Institutions,2007-08,All Current,16231
All Institutions,2007-08,4 Year Current,19363
All Institutions,2007-08,2 Year Current,7637
All Institutions,2008-09,All Constant,19321
All Institutions,2008-09,4 Year Constant,23071
All Institutions,2008-09,2 Year Constant,9312
All Institutions,2008-09,All Current,17092
All Institutions,2008-09,4 Year Current,20409
All Institutions,2008-09,2 Year Current,8238
All Institutions,2009-10,All Constant,19761
All Institutions,2009-10,4 Year Constant,23652
All Institutions,2009-10,2 Year Constant,9562
All Institutions,2009-10,All Current,17650
All Institutions,2009-10,4 Year Current,21126
All Institutions,2009-10,2 Year Current,8541
All Institutions,2010-11,All Constant,20278
All Institutions,2010-11,4 Year Constant,24227
All Institutions,2010-11,2 Year Constant,9733
All Institutions,2010-11,All Current,18475
All Institutions,2010-11,4 Year Current,22074
All Institutions,2010-11,2 Year Current,8868
All Institutions,2011-12,All Constant,20688
All Institutions,2011-12,4 Year Constant,24537
All Institutions,2011-12,2 Year Constant,9966
All Institutions,2011-12,All Current,19401
All Institutions,2011-12,4 Year Current,23011
All Institutions,2011-12,2 Year Current,9347
All Institutions,2012-13,All Constant,21222
All Institutions,2012-13,4 Year Constant,25037
All Institutions,2012-13,2 Year Constant,10041
All Institutions,2012-13,All Current,20233
All Institutions,2012-13,4 Year Current,23871
All Institutions,2012-13,2 Year Current,9573
All Institutions,2013-14,All Constant,21682
All Institutions,2013-14,4 Year Constant,25509
All Institutions,2013-14,2 Year Constant,10215
All Institutions,2013-14,All Current,20995
All Institutions,2013-14,4 Year Current,24701
All Institutions,2013-14,2 Year Current,9891
All Institutions,2014-15,All Constant,22278
