name,state,total_price,year,campus,net_cost,income_lvl
Piedmont International University,NC,20174,2016,On Campus,11475,"0 to 30,000"
Piedmont International University,NC,20174,2016,On Campus,11451,"30,001 to 48,000"
Piedmont International University,NC,20174,2016,On Campus,16229,"48_001 to 75,000"
Piedmont International University,NC,20174,2016,On Campus,15592,"75,001 to 110,000"
Piedmont International University,NC,20514,2017,On Campus,11668.39249,"0 to 30,000"
Piedmont International University,NC,20514,2017,On Campus,11643.988,"30,001 to 48,000"
Piedmont International University,NC,20514,2017,On Campus,16502.51343,"48_001 to 75,000"
Piedmont International University,NC,20514,2017,On Campus,15854.77783,"75,001 to 110,000"
Piedmont International University,NC,20514,2017,On Campus,0,"Over 110,000"
Piedmont International University,NC,20829,2018,On Campus,11847.56494,"0 to 30,000"
Piedmont International University,NC,20829,2018,On Campus,11822.78571,"30,001 to 48,000"
Piedmont International University,NC,20829,2018,On Campus,16755.91558,"48_001 to 75,000"
Piedmont International University,NC,20829,2018,On Campus,16098.23377,"75,001 to 110,000"
Piedmont International University,NC,20829,2018,On Campus,0,"Over 110,000"
Piedmont International University,NC,23000,2016,Off Campus,11475,"0 to 30,000"
Piedmont International University,NC,23000,2016,Off Campus,11451,"30,001 to 48,000"
Piedmont International University,NC,23000,2016,Off Campus,16229,"48_001 to 75,000"
Piedmont International University,NC,23000,2016,Off Campus,15592,"75,001 to 110,000"
Piedmont International University,NC,26430,2017,Off Campus,11668.39249,"0 to 30,000"
Piedmont International University,NC,26430,2017,Off Campus,11643.988,"30,001 to 48,000"
Piedmont International University,NC,26430,2017,Off Campus,16502.51343,"48_001 to 75,000"
Piedmont International University,NC,26430,2017,Off Campus,15854.77783,"75,001 to 110,000"
Piedmont International University,NC,26430,2017,Off Campus,0,"Over 110,000"
Piedmont International University,NC,26870,2018,Off Campus,11847.56494,"0 to 30,000"
Piedmont International University,NC,26870,2018,Off Campus,11822.78571,"30,001 to 48,000"
Piedmont International University,NC,26870,2018,Off Campus,16755.91558,"48_001 to 75,000"
Piedmont International University,NC,26870,2018,Off Campus,16098.23377,"75,001 to 110,000"
Piedmont International University,NC,26870,2018,Off Campus,0,"Over 110,000"
Kaplan University-Milwaukee,WI,22413,2017,Off Campus,0,"0 to 30,000"
Kaplan University-Milwaukee,WI,22413,2017,Off Campus,0,"30,001 to 48,000"
Kaplan University-Milwaukee,WI,22413,2017,Off Campus,0,"48_001 to 75,000"
Kaplan University-Milwaukee,WI,22413,2017,Off Campus,0,"75,001 to 110,000"
Kaplan University-Milwaukee,WI,22413,2017,Off Campus,0,"Over 110,000"
Kaplan University-Milwaukee,WI,22492,2018,Off Campus,0,"0 to 30,000"
Kaplan University-Milwaukee,WI,22492,2018,Off Campus,0,"30,001 to 48,000"
Kaplan University-Milwaukee,WI,22492,2018,Off Campus,0,"48_001 to 75,000"
Kaplan University-Milwaukee,WI,22492,2018,Off Campus,0,"75,001 to 110,000"
