service,component,severity,diagnosed
Army,Active,Penetrating,189
Army,Active,Severe,102
Army,Active,Moderate,709
Army,Active,Mild,5896
Army,Active,Not Classifiable,122
Army,Guard,Penetrating,33
Army,Guard,Severe,26
Army,Guard,Moderate,177
Army,Guard,Mild,1332
Army,Guard,Not Classifiable,29
Army,Reserve,Penetrating,12
Army,Reserve,Severe,11
Army,Reserve,Moderate,63
Army,Reserve,Mild,541
Army,Reserve,Not Classifiable,12
Navy,Active,Penetrating,29
Navy,Active,Severe,28
Navy,Active,Moderate,217
Navy,Active,Mild,2143
Navy,Active,Not Classifiable,56
Navy,Reserve,Penetrating,NA
Navy,Reserve,Severe,1
Navy,Reserve,Moderate,19
Navy,Reserve,Mild,165
Navy,Reserve,Not Classifiable,5
Air Force,Active,Penetrating,21
Air Force,Active,Severe,24
Air Force,Active,Moderate,194
Air Force,Active,Mild,1966
Air Force,Active,Not Classifiable,30
Air Force,Guard,Penetrating,5
Air Force,Guard,Severe,4
Air Force,Guard,Moderate,20
Air Force,Guard,Mild,167
Air Force,Guard,Not Classifiable,8
Air Force,Reserve,Penetrating,NA
Air Force,Reserve,Severe,2
Air Force,Reserve,Moderate,12
Air Force,Reserve,Mild,114
Air Force,Reserve,Not Classifiable,3
Marines,Active,Penetrating,53
Marines,Active,Severe,28
Marines,Active,Moderate,269
Marines,Active,Mild,1891
Marines,Active,Not Classifiable,23
Marines,Reserve,Penetrating,5
Marines,Reserve,Severe,5
Marines,Reserve,Moderate,33
Marines,Reserve,Mild,222
Marines,Reserve,Not Classifiable,7
Army,Active,Penetrating,237
Army,Active,Severe,134
Army,Active,Moderate,1126
Army,Active,Mild,8977
Army,Active,Not Classifiable,249
Army,Guard,Penetrating,30
Army,Guard,Severe,28
Army,Guard,Moderate,246
Army,Guard,Mild,2418
Army,Guard,Not Classifiable,50
Army,Reserve,Penetrating,13
Army,Reserve,Severe,8
Army,Reserve,Moderate,106
Army,Reserve,Mild,876
Army,Reserve,Not Classifiable,24
Navy,Active,Penetrating,38
Navy,Active,Severe,18
Navy,Active,Moderate,258
Navy,Active,Mild,2240
Navy,Active,Not Classifiable,55
Navy,Reserve,Penetrating,1
Navy,Reserve,Severe,1
Navy,Reserve,Moderate,16
Navy,Reserve,Mild,189
Navy,Reserve,Not Classifiable,9
Air Force,Active,Penetrating,29
Air Force,Active,Severe,25
Air Force,Active,Moderate,201
Air Force,Active,Mild,2049
Air Force,Active,Not Classifiable,39
Air Force,Guard,Penetrating,5
Air Force,Guard,Severe,1
Air Force,Guard,Moderate,17
Air Force,Guard,Mild,211
Air Force,Guard,Not Classifiable,3
Air Force,Reserve,Penetrating,NA
Air Force,Reserve,Severe,NA
Air Force,Reserve,Moderate,17
Air Force,Reserve,Mild,138
Air Force,Reserve,Not Classifiable,3
Marines,Active,Penetrating,54
Marines,Active,Severe,33
Marines,Active,Moderate,373
Marines,Active,Mild,2372
Marines,Active,Not Classifiable,23
Marines,Reserve,Penetrating,NA
Marines,Reserve,Severe,1
Marines,Reserve,Moderate,28
Marines,Reserve,Mild,251
Marines,Reserve,Not Classifiable,2
Army,Active,Penetrating,313
Army,Active,Severe,159
Army,Active,Moderate,1098
Army,Active,Mild,11869
Army,Active,Not Classifiable,2082
Army,Guard,Penetrating,38
Army,Guard,Severe,27
Army,Guard,Moderate,236
Army,Guard,Mild,2394
Army,Guard,Not Classifiable,290
Army,Reserve,Penetrating,13
Army,Reserve,Severe,13
Army,Reserve,Moderate,97
Army,Reserve,Mild,937
Army,Reserve,Not Classifiable,65
Navy,Active,Penetrating,27
Navy,Active,Severe,18
Navy,Active,Moderate,220
Navy,Active,Mild,2232
Navy,Active,Not Classifiable,61
Navy,Reserve,Penetrating,2
Navy,Reserve,Severe,2
Navy,Reserve,Moderate,16
Navy,Reserve,Mild,234
Navy,Reserve,Not Classifiable,8
Air Force,Active,Penetrating,25
Air Force,Active,Severe,25
Air Force,Active,Moderate,183
Air Force,Active,Mild,1944
Air Force,Active,Not Classifiable,60
Air Force,Guard,Penetrating,2
Air Force,Guard,Severe,NA
Air Force,Guard,Moderate,21
Air Force,Guard,Mild,217
Air Force,Guard,Not Classifiable,3
Air Force,Reserve,Penetrating,NA
Air Force,Reserve,Severe,1
Air Force,Reserve,Moderate,12
Air Force,Reserve,Mild,127
Air Force,Reserve,Not Classifiable,5
Marines,Active,Penetrating,46
Marines,Active,Severe,27
Marines,Active,Moderate,239
Marines,Active,Mild,2763
Marines,Active,Not Classifiable,45
Marines,Reserve,Penetrating,3
Marines,Reserve,Severe,1
Marines,Reserve,Moderate,24
Marines,Reserve,Mild,242
Marines,Reserve,Not Classifiable,14
Army,Active,Penetrating,333
Army,Active,Severe,197
Army,Active,Moderate,987
Army,Active,Mild,11061
Army,Active,Not Classifiable,1430
Army,Guard,Penetrating,67
Army,Guard,Severe,50
Army,Guard,Moderate,260
Army,Guard,Mild,2921
Army,Guard,Not Classifiable,210
Army,Reserve,Penetrating,17
Army,Reserve,Severe,15
Army,Reserve,Moderate,98
Army,Reserve,Mild,1092
Army,Reserve,Not Classifiable,108
Navy,Active,Penetrating,25
Navy,Active,Severe,19
Navy,Active,Moderate,175
Navy,Active,Mild,2445
Navy,Active,Not Classifiable,76
Navy,Reserve,Penetrating,3
Navy,Reserve,Severe,3
Navy,Reserve,Moderate,29
Navy,Reserve,Mild,227
Navy,Reserve,Not Classifiable,13
Air Force,Active,Penetrating,25
Air Force,Active,Severe,22
Air Force,Active,Moderate,204
Air Force,Active,Mild,2391
Air Force,Active,Not Classifiable,48
Air Force,Guard,Penetrating,2
Air Force,Guard,Severe,2
Air Force,Guard,Moderate,28
Air Force,Guard,Mild,303
Air Force,Guard,Not Classifiable,9
Air Force,Reserve,Penetrating,2
Air Force,Reserve,Severe,3
Air Force,Reserve,Moderate,17
Air Force,Reserve,Mild,176
Air Force,Reserve,Not Classifiable,5
Marines,Active,Penetrating,42
Marines,Active,Severe,48
Marines,Active,Moderate,278
Marines,Active,Mild,3016
Marines,Active,Not Classifiable,104
Marines,Reserve,Penetrating,2
Marines,Reserve,Severe,2
Marines,Reserve,Moderate,22
Marines,Reserve,Mild,271
Marines,Reserve,Not Classifiable,17
Army,Active,Penetrating,175
Army,Active,Severe,141
Army,Active,Moderate,971
Army,Active,Mild,11371
Army,Active,Not Classifiable,857
Army,Guard,Penetrating,39
Army,Guard,Severe,40
Army,Guard,Moderate,236
Army,Guard,Mild,3107
Army,Guard,Not Classifiable,254
Army,Reserve,Penetrating,12
Army,Reserve,Severe,22
Army,Reserve,Moderate,107
Army,Reserve,Mild,1204
Army,Reserve,Not Classifiable,111
Navy,Active,Penetrating,16
Navy,Active,Severe,22
Navy,Active,Moderate,164
Navy,Active,Mild,2312
Navy,Active,Not Classifiable,77
Navy,Reserve,Penetrating,3
Navy,Reserve,Severe,3
Navy,Reserve,Moderate,20
Navy,Reserve,Mild,233
Navy,Reserve,Not Classifiable,10
Air Force,Active,Penetrating,26
Air Force,Active,Severe,14
Air Force,Active,Moderate,187
Air Force,Active,Mild,2492
Air Force,Active,Not Classifiable,51
Air Force,Guard,Penetrating,4
Air Force,Guard,Severe,1
Air Force,Guard,Moderate,28
Air Force,Guard,Mild,344
Air Force,Guard,Not Classifiable,11
Air Force,Reserve,Penetrating,4
Air Force,Reserve,Severe,3
Air Force,Reserve,Moderate,23
Air Force,Reserve,Mild,207
Air Force,Reserve,Not Classifiable,7
Marines,Active,Penetrating,45
Marines,Active,Severe,37
Marines,Active,Moderate,314
Marines,Active,Mild,3530
Marines,Active,Not Classifiable,142
Marines,Reserve,Penetrating,7
Marines,Reserve,Severe,8
Marines,Reserve,Moderate,38
Marines,Reserve,Mild,322
Marines,Reserve,Not Classifiable,16
Army,Active,Penetrating,246
Army,Active,Severe,155
Army,Active,Moderate,1046
Army,Active,Mild,13074
Army,Active,Not Classifiable,1238
Army,Guard,Penetrating,41
Army,Guard,Severe,32
Army,Guard,Moderate,221
Army,Guard,Mild,2852
Army,Guard,Not Classifiable,549
Army,Reserve,Penetrating,19
Army,Reserve,Severe,24
Army,Reserve,Moderate,102
Army,Reserve,Mild,1353
Army,Reserve,Not Classifiable,201
Navy,Active,Penetrating,23
Navy,Active,Severe,24
Navy,Active,Moderate,179
Navy,Active,Mild,2387
Navy,Active,Not Classifiable,116
Navy,Reserve,Penetrating,3
Navy,Reserve,Severe,1
Navy,Reserve,Moderate,21
Navy,Reserve,Mild,259
Navy,Reserve,Not Classifiable,17
Air Force,Active,Penetrating,32
Air Force,Active,Severe,25
Air Force,Active,Moderate,167
Air Force,Active,Mild,2600
Air Force,Active,Not Classifiable,96
Air Force,Guard,Penetrating,7
Air Force,Guard,Severe,NA
Air Force,Guard,Moderate,31
Air Force,Guard,Mild,336
Air Force,Guard,Not Classifiable,13
Air Force,Reserve,Penetrating,4
Air Force,Reserve,Severe,2
Air Force,Reserve,Moderate,11
Air Force,Reserve,Mild,202
Air Force,Reserve,Not Classifiable,8
Marines,Active,Penetrating,48
Marines,Active,Severe,97
Marines,Active,Moderate,359
Marines,Active,Mild,3902
Marines,Active,Not Classifiable,260
Marines,Reserve,Penetrating,4
Marines,Reserve,Severe,14
Marines,Reserve,Moderate,31
Marines,Reserve,Mild,370
Marines,Reserve,Not Classifiable,32
Army,Active,Penetrating,127
Army,Active,Severe,161
Army,Active,Moderate,1042
Army,Active,Mild,12429
Army,Active,Not Classifiable,1276
Army,Guard,Penetrating,20
Army,Guard,Severe,24
Army,Guard,Moderate,194
Army,Guard,Mild,2427
Army,Guard,Not Classifiable,216
Army,Reserve,Penetrating,11
Army,Reserve,Severe,21
Army,Reserve,Moderate,87
Army,Reserve,Mild,1205
Army,Reserve,Not Classifiable,131
Navy,Active,Penetrating,18
Navy,Active,Severe,30
Navy,Active,Moderate,217
Navy,Active,Mild,2677
Navy,Active,Not Classifiable,93
Navy,Reserve,Penetrating,4
Navy,Reserve,Severe,NA
Navy,Reserve,Moderate,18
Navy,Reserve,Mild,253
Navy,Reserve,Not Classifiable,19
Air Force,Active,Penetrating,25
Air Force,Active,Severe,17
Air Force,Active,Moderate,199
Air Force,Active,Mild,2681
Air Force,Active,Not Classifiable,99
Air Force,Guard,Penetrating,2
Air Force,Guard,Severe,4
Air Force,Guard,Moderate,30
Air Force,Guard,Mild,375
Air Force,Guard,Not Classifiable,17
Air Force,Reserve,Penetrating,2
Air Force,Reserve,Severe,NA
Air Force,Reserve,Moderate,19
Air Force,Reserve,Mild,208
Air Force,Reserve,Not Classifiable,5
Marines,Active,Penetrating,35
Marines,Active,Severe,41
Marines,Active,Moderate,249
Marines,Active,Mild,3394
Marines,Active,Not Classifiable,209
Marines,Reserve,Penetrating,4
Marines,Reserve,Severe,1
Marines,Reserve,Moderate,24
Marines,Reserve,Mild,298
Marines,Reserve,Not Classifiable,15
Army,Active,Penetrating,99
Army,Active,Severe,103
Army,Active,Moderate,1130
Army,Active,Mild,10502
Army,Active,Not Classifiable,1247
Army,Guard,Penetrating,17
Army,Guard,Severe,16
Army,Guard,Moderate,182
Army,Guard,Mild,2090
Army,Guard,Not Classifiable,187
Army,Reserve,Penetrating,6
Army,Reserve,Severe,11
Army,Reserve,Moderate,82
Army,Reserve,Mild,1048
Army,Reserve,Not Classifiable,151
Navy,Active,Penetrating,24
Navy,Active,Severe,21
Navy,Active,Moderate,219
Navy,Active,Mild,2637
Navy,Active,Not Classifiable,101
Navy,Reserve,Penetrating,NA
Navy,Reserve,Severe,1
Navy,Reserve,Moderate,28
Navy,Reserve,Mild,270
Navy,Reserve,Not Classifiable,8
Air Force,Active,Penetrating,21
Air Force,Active,Severe,24
Air Force,Active,Moderate,230
Air Force,Active,Mild,2620
Air Force,Active,Not Classifiable,102
Air Force,Guard,Penetrating,3
Air Force,Guard,Severe,2
Air Force,Guard,Moderate,27
Air Force,Guard,Mild,343
Air Force,Guard,Not Classifiable,16
Air Force,Reserve,Penetrating,1
Air Force,Reserve,Severe,NA
Air Force,Reserve,Moderate,11
Air Force,Reserve,Mild,208
Air Force,Reserve,Not Classifiable,8
Marines,Active,Penetrating,26
Marines,Active,Severe,27
Marines,Active,Moderate,282
Marines,Active,Mild,2894
Marines,Active,Not Classifiable,186
Marines,Reserve,Penetrating,3
Marines,Reserve,Severe,1
Marines,Reserve,Moderate,20
Marines,Reserve,Mild,211
Marines,Reserve,Not Classifiable,6
Army,Active,Penetrating,76
Army,Active,Severe,80
Army,Active,Moderate,1165
Army,Active,Mild,9268
Army,Active,Not Classifiable,881
Army,Guard,Penetrating,16
Army,Guard,Severe,12
Army,Guard,Moderate,136
Army,Guard,Mild,1730
Army,Guard,Not Classifiable,142
Army,Reserve,Penetrating,3
Army,Reserve,Severe,5
Army,Reserve,Moderate,85
Army,Reserve,Mild,962
Army,Reserve,Not Classifiable,125
Navy,Active,Penetrating,21
Navy,Active,Severe,18
Navy,Active,Moderate,314
Navy,Active,Mild,2549
Navy,Active,Not Classifiable,117
Navy,Reserve,Penetrating,2
Navy,Reserve,Severe,2
Navy,Reserve,Moderate,14
Navy,Reserve,Mild,227
Navy,Reserve,Not Classifiable,10
Air Force,Active,Penetrating,24
Air Force,Active,Severe,19
Air Force,Active,Moderate,229
Air Force,Active,Mild,2637
Air Force,Active,Not Classifiable,93
Air Force,Guard,Penetrating,1
Air Force,Guard,Severe,4
Air Force,Guard,Moderate,30
Air Force,Guard,Mild,371
Air Force,Guard,Not Classifiable,14
Air Force,Reserve,Penetrating,2
Air Force,Reserve,Severe,2
Air Force,Reserve,Moderate,12
Air Force,Reserve,Mild,223
Air Force,Reserve,Not Classifiable,11
Marines,Active,Penetrating,27
Marines,Active,Severe,29
Marines,Active,Moderate,326
Marines,Active,Mild,2682
Marines,Active,Not Classifiable,147
Marines,Reserve,Penetrating,2
Marines,Reserve,Severe,2
Marines,Reserve,Moderate,24
Marines,Reserve,Mild,188
Marines,Reserve,Not Classifiable,9
