injury_mechanism,type,year,rate_est,number_est
Motor vehicle crashes,Emergency Department Visit,2006,85.3,254793
Motor vehicle crashes,Emergency Department Visit,2007,83.8,252459
Motor vehicle crashes,Emergency Department Visit,2008,83.9,254391
Motor vehicle crashes,Emergency Department Visit,2009,88.7,270240
Motor vehicle crashes,Emergency Department Visit,2010,95.3,292942
Motor vehicle crashes,Emergency Department Visit,2011,98.7,305694
Motor vehicle crashes,Emergency Department Visit,2012,99.9,311271
Motor vehicle crashes,Emergency Department Visit,2013,99.6,312048
Motor vehicle crashes,Emergency Department Visit,2014,106,334144
Unintentional falls,Emergency Department Visit,2006,208.8,625098
Unintentional falls,Emergency Department Visit,2007,221.7,672504
Unintentional falls,Emergency Department Visit,2008,240.9,740528
Unintentional falls,Emergency Department Visit,2009,298.8,928049
Unintentional falls,Emergency Department Visit,2010,316.3,980245
Unintentional falls,Emergency Department Visit,2011,348.7,1090575
Unintentional falls,Emergency Department Visit,2012,355.9,1120041
Unintentional falls,Emergency Department Visit,2013,362.9,1163473
Unintentional falls,Emergency Department Visit,2014,374.9,1213476
Unintentionally struck by or against an object,Emergency Department Visit,2006,90.8,266268
Unintentionally struck by or against an object,Emergency Department Visit,2007,90.6,267175
Unintentionally struck by or against an object,Emergency Department Visit,2008,95.8,284297
Unintentionally struck by or against an object,Emergency Department Visit,2009,123.9,369348
Unintentionally struck by or against an object,Emergency Department Visit,2010,127,379601
Unintentionally struck by or against an object,Emergency Department Visit,2011,138.8,415408
Unintentionally struck by or against an object,Emergency Department Visit,2012,149.8,447591
Unintentionally struck by or against an object,Emergency Department Visit,2013,141,423477
Unintentionally struck by or against an object,Emergency Department Visit,2014,143.9,433951
"Other unintentional injury, mechanism unspecified",Emergency Department Visit,2006,40.4,118834
"Other unintentional injury, mechanism unspecified",Emergency Department Visit,2007,42.7,126635
"Other unintentional injury, mechanism unspecified",Emergency Department Visit,2008,43.1,129046
"Other unintentional injury, mechanism unspecified",Emergency Department Visit,2009,49.5,148703
"Other unintentional injury, mechanism unspecified",Emergency Department Visit,2010,50.5,153309
"Other unintentional injury, mechanism unspecified",Emergency Department Visit,2011,53.4,162553
"Other unintentional injury, mechanism unspecified",Emergency Department Visit,2012,55.4,169233
"Other unintentional injury, mechanism unspecified",Emergency Department Visit,2013,54.1,167107
"Other unintentional injury, mechanism unspecified",Emergency Department Visit,2014,53.2,164942
Intentional self-harm,Emergency Department Visit,2006,0.5,1401
Intentional self-harm,Emergency Department Visit,2007,0.4,1254
Intentional self-harm,Emergency Department Visit,2008,0.5,1425
Intentional self-harm,Emergency Department Visit,2009,0.6,1669
Intentional self-harm,Emergency Department Visit,2010,0.6,1807
Intentional self-harm,Emergency Department Visit,2011,0.7,2029
Intentional self-harm,Emergency Department Visit,2012,0.7,2214
Intentional self-harm,Emergency Department Visit,2013,0.7,2284
Intentional self-harm,Emergency Department Visit,2014,0.8,2567
Assault,Emergency Department Visit,2006,57.6,171327
Assault,Emergency Department Visit,2007,56.8,169638
Assault,Emergency Department Visit,2008,60.3,181246
Assault,Emergency Department Visit,2009,64.6,195231
Assault,Emergency Department Visit,2010,68.7,209062
Assault,Emergency Department Visit,2011,68.9,210772
Assault,Emergency Department Visit,2012,69.9,214776
Assault,Emergency Department Visit,2013,68,210220
Assault,Emergency Department Visit,2014,67.8,210469
Other or no mechanism specified,Emergency Department Visit,2006,38.2,113386
Other or no mechanism specified,Emergency Department Visit,2007,37.7,113460
Other or no mechanism specified,Emergency Department Visit,2008,35.3,107392
