edition,year,stage_results_id,rank,time,rider,age,team,points,elapsed,bib_number
1,1903,stage-1,1,13S,Garin Maurice,32,NA,100,13S,NA
1,1903,stage-1,2,55S,Pagie Émile,32,NA,70,8S,NA
1,1903,stage-1,3,59S,Georget Léon,23,NA,50,12S,NA
1,1903,stage-1,4,48S,Augereau Fernand,20,NA,40,1S,NA
1,1903,stage-1,5,53S,Fischer Jean,36,NA,32,6S,NA
1,1903,stage-1,6,53S,Kerff Marcel,37,NA,26,6S,NA
1,1903,stage-1,7,55S,Catteau Aloïs,25,NA,22,8S,NA
1,1903,stage-1,8,47S,Pivin Ernest,33,NA,18,0S,NA
1,1903,stage-1,9,15S,Habets Léon,NA,NA,14,28S,NA
1,1903,stage-1,10,26S,Beaugendre François,22,NA,10,39S,NA
1,1903,stage-1,11,49S,Muller Rodolfo,26,NA,8,2S,NA
1,1903,stage-1,12,49S,Gauban Jean,28,NA,6,2S,NA
1,1903,stage-1,13,49S,Jaeck Anton,21,NA,4,2S,NA
1,1903,stage-1,14,49S,Pothier Lucien,20,NA,2,2S,NA
1,1903,stage-1,15,49S,Lequatre Marcel,20,NA,1,2S,NA
1,1903,stage-1,16,49S,Pasquier Gustave,25,NA,NA,2S,NA
1,1903,stage-1,17,56S,Laeser Charles,23,NA,NA,9S,NA
1,1903,stage-1,18,42S,Lootens Julien,26,NA,NA,55S,NA
1,1903,stage-1,19,41S,Fischer Josef,38,NA,NA,54S,NA
1,1903,stage-1,20,16S,Salais René,28,NA,NA,29S,NA
1,1903,stage-1,21,16S,Borot Georges,NA,NA,NA,29S,NA
1,1903,stage-1,22,56S,Lechartier Isidore,NA,NA,NA,9S,NA
1,1903,stage-1,23,56S,Dargassies Jean,30,NA,NA,9S,NA
1,1903,stage-1,24,46S,Girbe Julien,NA,NA,NA,59S,NA
1,1903,stage-1,25,56S,Foureaux Alexandre,NA,NA,NA,9S,NA
1,1903,stage-1,26,48S,Monachon François,NA,NA,NA,1S,NA
1,1903,stage-1,27,48S,De Balade Philippe,19,NA,NA,1S,NA
1,1903,stage-1,28,56S,Ellinamour H.,NA,NA,NA,9S,NA
1,1903,stage-1,29,48S,Payan Ferdinand,33,NA,NA,1S,NA
1,1903,stage-1,30,50S,Guillarme Gustave,25,NA,NA,3S,NA
1,1903,stage-1,31,21S,Pernette Léon,NA,NA,NA,34S,NA
1,1903,stage-1,32,21S,Barroy Lucien,18,NA,NA,34S,NA
1,1903,stage-1,33,59S,Millocheau Arsène,36,NA,NA,12S,NA
1,1903,stage-1,34,44S,Moulin Emile,NA,NA,NA,57S,NA
1,1903,stage-1,35,42S,Barthelmann Ludwig,NA,NA,NA,55S,NA
1,1903,stage-1,36,44S,Desvages Pierre,36,NA,NA,57S,NA
1,1903,stage-1,37,23S,Brange Eugène,31,NA,NA,36S,NA
1,1903,stage-2,1,53S,Aucouturier Hippolyte,26,NA,100,53S,NA
1,1903,stage-2,2,0S,Georget Léon,23,NA,70,53S,NA
1,1903,stage-2,3,6S,Brange Eugène,31,NA,50,59S,NA
1,1903,stage-2,4,7S,Garin Maurice,32,NA,40,0S,NA
1,1903,stage-2,5,7S,Muller Rodolfo,26,NA,32,0S,NA
1,1903,stage-2,6,7S,Pothier Lucien,20,NA,26,0S,NA
1,1903,stage-2,7,36S,Kerff Marcel,37,NA,22,29S,NA
1,1903,stage-2,8,16S,Augereau Fernand,20,NA,18,9S,NA
1,1903,stage-2,9,9S,Pasquier Gustave,25,NA,14,2S,NA
1,1903,stage-2,10,9S,Beaugendre François,22,NA,10,2S,NA
1,1903,stage-2,11,39S,Fischer Jean,36,NA,8,32S,NA
1,1903,stage-2,12,29S,Ellinamour H.,NA,NA,6,22S,NA
