edition,start_date,winner_name,winner_team,distance,time_overall,time_margin,stage_wins,stages_led,height,weight,age,born,died,full_name,nickname,birth_town,birth_country,nationality
1,1903-07-01,Maurice Garin,La Française,2428,94.55388888888889,2.9891666666666667,3,6,1.62,60,32,1871-03-03,1957-02-19,NA,The Little Chimney-sweep,Arvier,Italy, France
2,1904-07-02,Henri Cornet,Conte,2428,96.09861111111111,2.2705555555555557,1,3,NA,NA,19,1884-08-04,1941-03-18,NA,Le rigolo (The joker),Desvres,France, France
3,1905-07-09,Louis Trousselier,Peugeot–Wolber,2994,NA,NA,5,10,NA,NA,24,1881-06-29,1939-04-24,NA,Levaloy / Trou-trou,Paris,France, France
4,1906-07-04,René Pottier,Peugeot–Wolber,4637,NA,NA,5,12,NA,NA,27,1879-06-05,1907-01-25,NA,NA,Moret-sur-Loing,France, France
5,1907-07-08,Lucien Petit-Breton,Peugeot–Wolber,4488,NA,NA,2,5,NA,NA,24,1882-10-18,1917-12-20,Lucien Georges Mazan,Lucien Petit-Breton,Plessé,France, France
6,1908-07-13,Lucien Petit-Breton,Peugeot–Wolber,4497,NA,NA,5,13,NA,NA,25,1882-10-18,1917-12-20,Lucien Georges Mazan,Lucien Petit-Breton,Plessé,France, France
7,1909-07-05,François Faber,Alcyon–Dunlop,4498,NA,NA,6,13,1.78,88,22,1887-01-26,1915-05-09,NA,The giant of colombes,Aulnay-sur-Iton,France, Luxembourg
8,1910-07-01,Octave Lapize,Alcyon–Dunlop,4734,NA,NA,4,3,NA,NA,22,1887-10-24,1917-07-14,NA,NA,Paris,France, France
9,1911-07-02,Gustave Garrigou,Alcyon–Dunlop,5343,NA,NA,2,13,NA,NA,26,1884-09-24,1963-01-28,Cyprien Gustave Garrigou,NA,Vabres,France, France
10,1912-06-30,Odile Defraye,Alcyon–Dunlop,5289,NA,NA,3,13,NA,NA,23,1888-07-14,1965-08-21,NA,NA,Rumbeke,Belgium, Belgium
