rank,title,artist,gender,year,critic_name,critic_rols,critic_country,critic_country2
1,Terminator X To The Edge of Panic,Public Enemy,male,1998,Joseph Abajian,Fat Beats,US,NA
2,4th Chamber,Gza ft. Ghostface Killah & Killah Priest & RZA,male,1995,Joseph Abajian,Fat Beats,US,NA
3,Peter Piper,Run DMC,male,1986,Joseph Abajian,Fat Beats,US,NA
4,Play That Beat Mr DJ,GLOBE & Whiz Kid,male,2001,Joseph Abajian,Fat Beats,US,NA
5,Time’s Up,O.C.,male,1994,Joseph Abajian,Fat Beats,US,NA
1,Players,Slum Village,male,1997,Biba Adams,Critic,US,NA
2,Self Destruction,Stop The Violence Movement,mixed,1989,Biba Adams,Critic,US,NA
3,Push It,Salt-N-Pepa,female,1986,Biba Adams,Critic,US,NA
4,Ambitionz Az A Ridah,2Pac,male,1996,Biba Adams,Critic,US,NA
5,Big Pimpin',JAY-Z ft. UGK,male,1999,Biba Adams,Critic,US,NA
1,Rapper’s Delight,Sugarhill Gang,male,1979,Dart Adams,Critic,US,NA
2,Sucker MCs,Run DMC,male,1984,Dart Adams,Critic,US,NA
3,Lyrics Of Fury,Eric B & Rakim,male,1988,Dart Adams,Critic,US,NA
4,Rebel Without A Pause,Public Enemy,male,1988,Dart Adams,Critic,US,NA
5,The Message,Grandmaster Flash & The Furious Five,male,1982,Dart Adams,Critic,US,NA
1,Juicy,The Notorious B.I.G.,male,1994,Insanul Ahmed,Genius,US,NA
2,Nuthin’ But A ‘G’ Thang,Dr Dre ft. Snoop Doggy Dogg,male,1992,Insanul Ahmed,Genius,US,NA
3,The Message,Grandmaster Flash & The Furious Five,male,1982,Insanul Ahmed,Genius,US,NA
4,In Da Club,50 Cent,male,2003,Insanul Ahmed,Genius,US,NA
5,m.A.A.d. city,Kendrick Lamar,male,2012,Insanul Ahmed,Genius,US,NA
1,In Da Club,50 Cent,male,2003,Joey Akan,Critic,Nigeria,NA
2,Lose Yourself,Eminem,male,2002,Joey Akan,Critic,Nigeria,NA
3,Dear Mama,2Pac,male,1995,Joey Akan,Critic,Nigeria,NA
4,Jesus Walks,Kanye West,male,2004,Joey Akan,Critic,Nigeria,NA
5,Fuck Tha Police,NWA,male,1988,Joey Akan,Critic,Nigeria,NA
1,The Message,Grandmaster Flash & The Furious Five,male,1982,Antonio ‘Rolo’ Alarcon,Critic,US,NA
2,Rapper’s Delight,Sugarhill Gang,male,1979,Antonio ‘Rolo’ Alarcon,Critic,US,NA
3,Fight The Power,Public Enemy,male,1989,Antonio ‘Rolo’ Alarcon,Critic,US,NA
4,Lose Yourself,Eminem,male,2002,Antonio ‘Rolo’ Alarcon,Critic,US,NA
5,Insane In The Brain,Cypress Hill,male,1993,Antonio ‘Rolo’ Alarcon,Critic,US,NA
1,Fight The Power,Public Enemy,male,1989,Ivie Ani,Critic,US,NA
2,Juicy,The Notorious B.I.G.,male,1994,Ivie Ani,Critic,US,NA
3,Ready Or Not,The Fugees,mixed,1996,Ivie Ani,Critic,US,NA
4,Party Up (Up In Here),DMX,male,1999,Ivie Ani,Critic,US,NA
5,Monster,Kanye West,male,2010,Ivie Ani,Critic,US,NA
1,Nuthin’ But A ‘G’ Thang,Dr Dre ft. Snoop Doggy Dogg,male,1992,Andrew Barber,Fake Shore Drive,US,NA
2,Hard Knock Life,JAY-Z,male,1998,Andrew Barber,Fake Shore Drive,US,NA
3,Juicy,The Notorious B.I.G.,male,1994,Andrew Barber,Fake Shore Drive,US,NA
4,C.R.E.A.M.,Wu-Tang Clan,male,1993,Andrew Barber,Fake Shore Drive,US,NA
5,I Get Around,2Pac,male,1993,Andrew Barber,Fake Shore Drive,US,NA
1,The Message,Grandmaster Flash & The Furious Five,male,1982,Fionn Birr,Critic,Germany,NA
2,Hip Hop,Mos Def,male,1999,Fionn Birr,Critic,Germany,NA
3,California Love,2Pac ft. Dr Dre,male,1996,Fionn Birr,Critic,Germany,NA
4,Blood On The Leaves,Kanye West,male,2013,Fionn Birr,Critic,Germany,NA
5,HYFR,Drake ft. Lil Wayne,male,2011,Fionn Birr,Critic,Germany,NA
1,We Got It For Cheap (Intro),Clipse,male,2006,Davide Bortot,Critic,Germany,NA
2,Fuck You,The LOX,male,2000,Davide Bortot,Critic,Germany,NA
3,Can’t Tell Me Nothing,Kanye West,male,2007,Davide Bortot,Critic,Germany,NA
4,Ojuelegba (Remix),Wizkid ft. Drake & Skepta,male,2015,Davide Bortot,Critic,Germany,NA
5,March Madness,Future,male,2015,Davide Bortot,Critic,Germany,NA
1,Shook Ones (Part II),Mobb Deep,male,1995,Julian Brimmers,Critic,Germany,NA
2,Rosa Parks,OutKast,male,1998,Julian Brimmers,Critic,Germany,NA
3,Get Ur Freak On,Missy Elliott,female,2001,Julian Brimmers,Critic,Germany,NA
4,Grindin’,Clipse,male,2002,Julian Brimmers,Critic,Germany,NA
5,Dipset Anthem,Diplomats ft. Juelz Santana & Cam’ron,male,2003,Julian Brimmers,Critic,Germany,NA
1,Shook Ones (Part II),Mobb Deep,male,1995,Harley Brown,Critic,US,NA
2,Juicy,The Notorious B.I.G.,male,1994,Harley Brown,Critic,US,NA
3,Fuck Tha Police,NWA,male,1988,Harley Brown,Critic,US,NA
4,Nuthin’ But A ‘G’ Thang,Dr Dre ft. Snoop Doggy Dogg,male,1992,Harley Brown,Critic,US,NA
5,The Message,Grandmaster Flash & The Furious Five,male,1982,Harley Brown,Critic,US,NA
1,I Love The Dough,The Notorious B.I.G. ft. JAY-Z & Angela Winbush,mixed,1997,Lawrence Burney,Critic,US,NA
2,We Can Get Gangsta,Project Pat,male,2001,Lawrence Burney,Critic,US,NA
3,What About Me,Lil Boosie,male,2007,Lawrence Burney,Critic,US,NA
4,Boyz-n-the-Hood,Eazy-E,male,1988,Lawrence Burney,Critic,US,NA
5,Fuck Tha World,Lil Wayne,male,1999,Lawrence Burney,Critic,US,NA
1,B.O.B.,OutKast,male,2000,J. Zoe Camp,Bandcamp,US,NA
2,Stan,Eminem ft. Dido,mixed,2000,J. Zoe Camp,Bandcamp,US,NA
3,It Was A Good Day,Ice Cube,male,1992,J. Zoe Camp,Bandcamp,US,NA
4,C.R.E.A.M.,Wu-Tang Clan,male,1993,J. Zoe Camp,Bandcamp,US,NA
5,Passin’ Me By,The Pharcyde,male,1992,J. Zoe Camp,Bandcamp,US,NA
1,Juicy,The Notorious B.I.G.,male,1994,Paul Cantor,Critic,US,NA
2,C.R.E.A.M.,Wu-Tang Clan,male,1993,Paul Cantor,Critic,US,NA
3,Nuthin’ But A ‘G’ Thang,Dr Dre ft. Snoop Doggy Dogg,male,1992,Paul Cantor,Critic,US,NA
4,Love Yourz,J Cole,male,2014,Paul Cantor,Critic,US,NA
5,Paid In Full (Seven Minutes Of Madness – The Coldcut Remix),Eric B & Rakim,male,1987,Paul Cantor,Critic,US,NA
1,As The Rhyme Goes On,Eric B & Rakim,male,1987,Rodney Carmichael,NPR,US,NA
2,Liberation,OutKast,male,1998,Rodney Carmichael,NPR,US,NA
3,God Lives Through,A Tribe Called Quest,male,1993,Rodney Carmichael,NPR,US,NA
4,Black Steel In The Hour Of Chaos,Public Enemy,male,1988,Rodney Carmichael,NPR,US,NA
5,Mind Playing Tricks On Me,Geto Boys,male,1991,Rodney Carmichael,NPR,US,NA
1,Nutmeg,Ghostface Killah,male,2000,Nick Catchdubs,Producer and DJ,US,NA
2,B.O.B.,OutKast,male,2000,Nick Catchdubs,Producer and DJ,US,NA
3,Grindin’,Clipse,male,2002,Nick Catchdubs,Producer and DJ,US,NA
4,Work It,Missy Elliott,female,2002,Nick Catchdubs,Producer and DJ,US,NA
5,Rebel Without A Pause,Public Enemy,male,1988,Nick Catchdubs,Producer and DJ,US,NA
1,Mural,Lupe Fiasco,male,2015,D.L. Chandler,HipHopWired,US,NA
2,How We Roll,Canibus,male,1998,D.L. Chandler,HipHopWired,US,NA
3,Get The Bozack,EPMD,male,1989,D.L. Chandler,HipHopWired,US,NA
4,Hovi Baby,JAY-Z,male,2002,D.L. Chandler,HipHopWired,US,NA
5,Mortal Man,Kendrick Lamar,male,2015,D.L. Chandler,HipHopWired,US,NA
1,Double Trouble At The Amphitheatre,Double Trouble,male,1983,Jeff Chang,Author,US,NA
2,Black Steel In The Hour Of Chaos,Public Enemy,male,1988,Jeff Chang,Author,US,NA
3,I Am I Be,De La Soul,male,1993,Jeff Chang,Author,US,NA
4,Get By,Talib Kweli,male,2002,Jeff Chang,Author,US,NA
5,Alright,Kendrick Lamar,male,2015,Jeff Chang,Author,US,NA
1,Juicy,The Notorious B.I.G.,male,1994,Georgette Cline,XXL,US,NA
2,Changes,2Pac ft. Talent,male,1998,Georgette Cline,XXL,US,NA
3,Ready Or Not,The Fugees,mixed,1996,Georgette Cline,XXL,US,NA
4,Quiet Storm (Remix ft. Lil Kim),Mobb Deep,male,1999,Georgette Cline,XXL,US,NA
5,Mona Lisa,Slick Rick,male,1988,Georgette Cline,XXL,US,NA
1,Walk This Way,Run DMC,male,1986,Andy Cohn,The FADER,US,NA
2,Juicy,The Notorious B.I.G.,male,1994,Andy Cohn,The FADER,US,NA
3,N.Y. State Of Mind,Nas,male,1994,Andy Cohn,The FADER,US,NA
4,Straight Outta Compton,NWA,male,1988,Andy Cohn,The FADER,US,NA
5,Changes,2Pac ft. Talent,male,1998,Andy Cohn,The FADER,US,NA
1,Triumph,Wu-Tang Clan,male,1997,Onyx Collective,Artist,US,NA
2,The What,The Notorious B.I.G. ft. Method Man,male,1994,Onyx Collective,Artist,US,NA
3,Put It On,Big L,male,1995,Onyx Collective,Artist,US,NA
4,Can I Live,JAY-Z,male,1996,Onyx Collective,Artist,US,NA
5,N.Y. State Of Mind,Nas,male,1994,Onyx Collective,Artist,US,NA
1,The Message,Grandmaster Flash & The Furious Five,male,1982,Common,Artist,US,NA
2,Scenario,A Tribe Called Quest,male,1991,Common,Artist,US,NA
3,Juicy,The Notorious B.I.G.,male,1994,Common,Artist,US,NA
4,They Reminisce Over You (T.R.O.Y.),Pete Rock & C.L. Smooth,male,1992,Common,Artist,US,NA
5,Doo Wop (That Thing),Lauryn Hill,female,1998,Common,Artist,US,NA
1,Fight The Power,Public Enemy,male,1989,Dave ‘Davey D’ Cook,DJ,US,NA
2,93 ’Til Infinity,Souls of Mischief,male,1993,Dave ‘Davey D’ Cook,DJ,US,NA
3,They Reminisce Over You (T.R.O.Y.),Pete Rock & C.L. Smooth,male,1992,Dave ‘Davey D’ Cook,DJ,US,NA
4,Have a Nice Day,Roxanne Shante,female,1989,Dave ‘Davey D’ Cook,DJ,US,NA
5,Protect Ya Neck,Wu-Tang Clan,male,1992,Dave ‘Davey D’ Cook,DJ,US,NA
1,m.A.A.d. city,Kendrick Lamar,male,2012,Philip Cosores,Uproxx,US,NA
2,Ultralight Beam,Kanye West,male,2016,Philip Cosores,Uproxx,US,NA
3,Hahahaha jk?,Das Racist,male,2010,Philip Cosores,Uproxx,US,NA
4,1 Train,ASAP Rocky,male,2013,Philip Cosores,Uproxx,US,NA
5,Da Mystery Of Chessboxin',Wu-Tan Clan,male,1993,Philip Cosores,Uproxx,US,NA
1,International Players Anthem,UGK ft. OutKast,male,2007,Taylor Crumpton,Critic,US,NA
2,Marcy Me,JAY-Z,male,2017,Taylor Crumpton,Critic,US,NA
3,Learned from Texas,BIG K.R.I.T,male,2019,Taylor Crumpton,Critic,US,NA
4,I Wonder,Kanye West,male,2007,Taylor Crumpton,Critic,US,NA
5,Realer,Megan Thee Stallion,female,2019,Taylor Crumpton,Critic,US,NA
1,Protect Ya Neck,Wu-Tang Clan,male,1992,Cam Curran,Styles Upon Styles Records,US,NA
2,The Bridge Is Over,BDP,male,1987,Cam Curran,Styles Upon Styles Records,US,NA
3,Fuck Tha Police,NWA,male,1988,Cam Curran,Styles Upon Styles Records,US,NA
4,A Milli,Lil Wayne,male,2008,Cam Curran,Styles Upon Styles Records,US,NA
5,Fuck Wit Dre Day (And Everybody’s Celebratin’),Dr Dre ft. Snoop Doggy Dogg,male,1993,Cam Curran,Styles Upon Styles Records,US,NA
1,California Love,2Pac ft. Dr Dre,male,1996,Ross Devlin,Critic,US,NA
2,Dirt Off Your Shoulder,JAY-Z,male,2003,Ross Devlin,Critic,US,NA
3,Alright,Kendrick Lamar,male,2015,Ross Devlin,Critic,US,NA
4,Can I Kick It,A Tribe Called Quest,male,1990,Ross Devlin,Critic,US,NA
5,Jesus Walks,Kanye West,male,2004,Ross Devlin,Critic,US,NA
1,Guess Who’s Back,Rakim,male,1997,Stephen Dowling,BBC Music,UK,NA
2,Passin’ Me By,The Pharcyde,male,1992,Stephen Dowling,BBC Music,UK,NA
3,Still D.R.E.,Dr Dre ft. Snoop Dogg,male,1999,Stephen Dowling,BBC Music,UK,NA
4,Puppet Master,Dr Dre ft. B-Real,male,1997,Stephen Dowling,BBC Music,UK,NA
5,Concrete Schoolyard,Jurassic 5,male,1998,Stephen Dowling,BBC Music,UK,NA
1,Passin’ Me By,The Pharcyde,male,1992,Damola Durosomo,OkayAfrica,US,NA
2,Electric Relaxation,A Tribe Called Quest,male,1993,Damola Durosomo,OkayAfrica,US,NA
3,Real,Lupe Fiasco,male,2006,Damola Durosomo,OkayAfrica,US,NA
4,SpottieOttieDopaliscious,Outkast,male,1998,Damola Durosomo,OkayAfrica,US,NA
5,Party Life,JAY-Z,male,2007,Damola Durosomo,OkayAfrica,US,NA
1,Planet Rock,Afrika Bambaataa & The Soulsonic Force,male,1982,Hiroshi Egaitsu,Critic,Japan,NA
2,The Message,Grandmaster Flash & The Furious Five,male,1982,Hiroshi Egaitsu,Critic,Japan,NA
3,Hip Hop,Dead Prez,male,2000,Hiroshi Egaitsu,Critic,Japan,NA
4,Jesus Walks,Kanye West,male,2004,Hiroshi Egaitsu,Critic,Japan,NA
5,Shinjitsu No Dangan,King Giddra,male,1995,Hiroshi Egaitsu,Critic,Japan,NA
1,Nature of the Threat,Ras Kass,male,1996,Brother Ernie,Photographer,US,NA
2,New World Water,Yasiin Bey (Mos Def),male,1999,Brother Ernie,Photographer,US,NA
3,Dr Aden,BOB,male,2011,Brother Ernie,Photographer,US,NA
