year_month,cpi
1985-01-01,107.1
1985-02-01,107.7
1985-03-01,108.1
1985-04-01,108.4
1985-05-01,108.8
1985-06-01,109.1
1985-07-01,109.4
1985-08-01,109.8
1985-09-01,110
1985-10-01,110.5
1985-11-01,111.1
1985-12-01,111.4
1986-01-01,111.9
1986-02-01,112.2
1986-03-01,112.5
1986-04-01,112.9
1986-05-01,113.1
1986-06-01,113.4
1986-07-01,113.8
1986-08-01,114.2
1986-09-01,114.6
1986-10-01,115
1986-11-01,115.3
1986-12-01,115.6
1987-01-01,115.9
1987-02-01,116.2
1987-03-01,116.6
1987-04-01,117.3
1987-05-01,117.7
1987-06-01,117.9
1987-07-01,118.3
1987-08-01,118.7
1987-09-01,119.2
1987-10-01,119.8
1987-11-01,120.1
1987-12-01,120.4
1988-01-01,120.9
1988-02-01,121.2
1988-03-01,121.7
1988-04-01,122.3
1988-05-01,122.7
1988-06-01,123.2
1988-07-01,123.6
1988-08-01,124
1988-09-01,124.7
1988-10-01,125.2
1988-11-01,125.6
1988-12-01,126
1989-01-01,126.5
1989-02-01,126.9
1989-03-01,127.4
1989-04-01,127.8
1989-05-01,128.3
1989-06-01,128.8
1989-07-01,129.2
1989-08-01,129.5
1989-09-01,129.9
1989-10-01,130.6
1989-11-01,131.1
1989-12-01,131.6
1990-01-01,132.1
1990-02-01,132.7
1990-03-01,133.5
1990-04-01,134
1990-05-01,134.4
1990-06-01,135.1
1990-07-01,135.8
1990-08-01,136.6
1990-09-01,137.1
1990-10-01,137.6
1990-11-01,138
1990-12-01,138.6
1991-01-01,139.5
1991-02-01,140.2
1991-03-01,140.5
1991-04-01,140.9
1991-05-01,141.3
1991-06-01,141.8
1991-07-01,142.3
1991-08-01,142.9
1991-09-01,143.4
1991-10-01,143.7
1991-11-01,144.2
1991-12-01,144.7
1992-01-01,145.1
1992-02-01,145.4
1992-03-01,145.9
1992-04-01,146.3
1992-05-01,146.8
1992-06-01,147.1
1992-07-01,147.6
1992-08-01,147.9
1992-09-01,148.1
1992-10-01,148.8
1992-11-01,149.2
1992-12-01,149.6
1993-01-01,150.1
1993-02-01,150.6
1993-03-01,150.8
1993-04-01,151.4
1993-05-01,151.8
1993-06-01,152.1
1993-07-01,152.3
1993-08-01,152.8
1993-09-01,152.9
1993-10-01,153.4
1993-11-01,153.9
1993-12-01,154.3
1994-01-01,154.5
1994-02-01,154.8
1994-03-01,155.3
1994-04-01,155.5
1994-05-01,155.9
1994-06-01,156.4
1994-07-01,156.7
1994-08-01,157.1
1994-09-01,157.5
1994-10-01,157.8
1994-11-01,158.2
1994-12-01,158.3
1995-01-01,159
1995-02-01,159.4
1995-03-01,159.9
1995-04-01,160.4
1995-05-01,160.7
1995-06-01,161.1
1995-07-01,161.4
1995-08-01,161.8
1995-09-01,162.2
1995-10-01,162.7
1995-11-01,163
1995-12-01,163.1
1996-01-01,163.7
1996-02-01,164
1996-03-01,164.4
1996-04-01,164.6
1996-05-01,165
1996-06-01,165.4
1996-07-01,165.7
1996-08-01,166
1996-09-01,166.5
1996-10-01,166.8
1996-11-01,167.2
1996-12-01,167.4
1997-01-01,167.8
1997-02-01,168.1
