show,synopsis
42nd Street,"A chorus girl from Allentown, PA, steps into the starring role to save the show when its star breaks her leg, in this stage adaptation of the classic 1933 film musical."
A Chorus Line,"Broadway gypsies bare their souls and put their lives ""on the line"" as they audition for an unnamed Broadway musical. The 1975 show won the Pulitzer Prize and the Tony Award for Best Musical."
Aren't We All?,English nobility seek out marriage proposals — and proof of extramarital philandering — at a stately country club.
Arms and the Man,NA
As Is,NA
Big River,"In Roger Miller and William Hauptman's musical adaptation of Mark Twain's The Adventures of Huckleberry Finn, rebellious teenager Huck takes off on a raft with runaway slave Jim, encountering conmen, an orphaned family and bigotry along the way."
Biloxi Blues,"In the second installment of Neil Simon's autobiographical Brighton Beach trilogy, Eugene Jerome (a fictionalized version of Simon) goes into basic training to serve in World War II, finding romance and developing his writing talents by observing the diverse group of men he serves with — and the strange sergeant he serves under."
Brighton Beach Memoirs,Neil Simon's semi-autobiographical comedy follows Depression-era teenager Eugene Jerome as he pursues his dreams of becoming a successful comedy writer and deals with the conflicts of his squabbling family.
Cats,NA
Doubles,"An evening of two one-act plays.  In Solitaire, a man is almost dehumanized by the regimented computerization of the future.  In Double Solitaire, a contemporary married couple examines their emotional lies."
Grind,NA
La Cage aux Folles,NA
Leader of the Pack,"Ellie Greenwich and her husband Jeff Barry collaborate on several hit pop tunes in the 1960s, including ""Chapel of Love,"" ""Da Doo Ron Ron,"" and the title tune of this musical biography that features an appearance by the real-life Greenwich."
Oh! Calcutta!,"Kenneth Tynan devised this musical revue, to which Samuel Beckett, John Lennon, Sam Shepard and others contributed sketches and songs of a cheekily erotic nature. The cast performs in the nude."
Singin' in the Rain,"A 1920s silent-screen romantic duo prepares for the arrival of motion-picture sound, and the leading man falls for the girl called in to dub over the screechy voice of his onscreen partner, in this adaptation of the 1952 film musical."
Sunday in the Park with George,"This Pulitzer Prize-winning musical follows painter Georges Seurat in the months leading up to the completion of his most famous painting, A Sunday Afternoon on the Island of La Grande Jatte. Consumed by his need to “finish the hat,” Seurat alienates the French bourgeoisie, spurns his fellow artists, and neglects his lover Dot, not realizing that his actions will reverberate over the next 100 years."
The King and I,"Welsh schoolteacher Anna Leonowens travels from England to Siam to serve as governess to the king's many children. Their clash of wills and the lessons they learn from each other are examined in this Rodgers and Hammerstein musical, based on Leonowens's account of her experiences."
The Odd Couple,Two suddenly single pals — a sloppy sportswriter and a fastidious news writer — strain their friendship by turning roommates and unconsciously repeating the same mistakes they made in the marriages they just left.
The Tap Dance Kid,"A young boy from an upper-middle-class black family nurses a dream to become a tap dancer, with the encouragement of his uncle and despite the disapproval of his father."
Song and Dance,NA
The Search for Signs of Intelligent Life in the Universe,"Lily Tomlin plays multiple roles in Jane Wagner's one-woman play, a comedic look at and critique of contemporary American society."
The Iceman Cometh,"Set in the summer of 1912 at Harry Hope's saloon on New York's lower west side, this is O'Neill's classic story of a freespending, boisterous salesman who compels his fellow barflies to confront their pipe dreams."
The Marriage of Figaro,"A Count's valet prepares to marry the Countess's chambermaid — until it becomes clear the Count wishes to revive an old law that will allow him to take advantage of the bride before the wedding. The valet's schemes to thwart the Count show the growing French endorsement of an aristocracy of merit and wits rather than birth, in Pierre Beaumarchais's 1784 play."
Tango Argentino,A century of the tango is celebrated in an evening of music and dance performed by 30 of Argentina's finest.
The Nerd,"Willum’s birthday party is about to get a jolt of excitement. Rick Steadman, a fellow ex-soldier who had saved Willum’s life in Vietnam, but who he actually never met, has decided to pop by for a visit. Delighted at first, Willum’s enthusiasm wanes when he finds out that Rick is not only socially inept, but also never plans to leave! Desperate to get him out of the house, Willum must hatch an outrageous plan to rid his life of this wacky GI who came to dinner!"
