volcano_number,volcano_name,eruption_number,eruption_category,area_of_activity,vei,start_year,start_month,start_day,evidence_method_dating,end_year,end_month,end_day,latitude,longitude
266030,Soputan,22354,Confirmed Eruption,NA,NA,2020,3,23,Historical Observations,2020,4,2,1.112,124.737
343100,San Miguel,22355,Confirmed Eruption,NA,NA,2020,2,22,Historical Observations,2020,2,22,13.434,-88.269
233020,"Fournaise, Piton de la",22343,Confirmed Eruption,NA,NA,2020,2,10,Historical Observations,2020,4,6,-21.244,55.708
345020,Rincon de la Vieja,22346,Confirmed Eruption,NA,NA,2020,1,31,Historical Observations,2020,4,17,10.83,-85.324
353010,Fernandina,22347,Confirmed Eruption,NA,NA,2020,1,12,Historical Observations,2020,1,12,-0.37,-91.55
273070,Taal,22344,Confirmed Eruption,NA,NA,2020,1,12,Historical Observations,2020,1,22,14.002,120.993
282050,Kuchinoerabujima,22345,Confirmed Eruption,NA,NA,2020,1,11,Historical Observations,2020,4,17,30.443,130.217
241040,Whakaari/White Island,22338,Confirmed Eruption,1978/90 Crater Complex,2,2019,12,9,Historical Observations,2019,12,9,-37.52,177.18
311060,Semisopochnoi,22341,Confirmed Eruption,NA,NA,2019,12,7,Historical Observations,2020,3,15,51.93,179.58
284096,Nishinoshima,22340,Confirmed Eruption,NA,1,2019,12,5,Historical Observations,2020,4,17,27.247,140.874
311240,Cleveland,22342,Uncertain Eruption,NA,NA,2019,11,7,Historical Observations,2019,12,7,52.825,-169.944
282060,Kikai,22339,Confirmed Eruption,NA,NA,2019,11,2,Historical Observations,2020,4,16,30.793,130.305
300260,Klyuchevskoy,22335,Confirmed Eruption,NA,NA,2019,10,24,Historical Observations,2020,4,17,56.056,160.642
243070,Lateiki,22334,Confirmed Eruption,NA,1,2019,10,13,Historical Observations,2019,10,22,-19.18,-174.87
283110,Asamayama,22326,Confirmed Eruption,NA,NA,2019,8,7,Historical Observations,2019,8,25,36.406,138.523
357090,Copahue,22336,Confirmed Eruption,NA,NA,2019,8,2,Historical Observations,2019,11,12,-37.856,-71.183
263090,Tangkuban Parahu,22325,Confirmed Eruption,NA,NA,2019,7,26,Historical Observations,2019,9,17,-6.77,107.6
311360,Shishaldin,22330,Confirmed Eruption,Summit crater,NA,2019,7,23,Historical Observations,2020,4,9,54.756,-163.97
351020,"Ruiz, Nevado del",22329,Confirmed Eruption,NA,NA,2019,7,23,Historical Observations,2020,4,13,4.892,-75.324
311060,Semisopochnoi,22328,Confirmed Eruption,NA,NA,2019,7,16,Historical Observations,2019,8,24,51.93,179.58
252120,Ulawun,22319,Confirmed Eruption,NA,NA,2019,6,26,Historical Observations,2019,10,5,-5.05,151.33
354020,Ubinas,22324,Confirmed Eruption,NA,NA,2019,6,24,Historical Observations,2019,12,24,-16.355,-70.903
290250,Raikoke,22321,Confirmed Eruption,NA,NA,2019,6,22,Historical Observations,2019,7,1,48.292,153.25
233020,"Fournaise, Piton de la",22318,Confirmed Eruption,NA,NA,2019,6,11,Historical Observations,2019,10,27,-21.244,55.708
311120,Great Sitkin,22322,Confirmed Eruption,NA,NA,2019,6,1,Historical Observations,2019,6,7,52.076,-176.13
290240,Sarychev Peak,22320,Confirmed Eruption,NA,2,2019,5,16,Historical Observations,2019,10,7,48.092,153.2
341040,Colima,22323,Confirmed Eruption,NA,NA,2019,5,11,Historical Observations,2019,7,12,19.514,-103.62
282110,Asosan,22317,Confirmed Eruption,NA,NA,2019,4,16,Historical Observations,2020,4,17,32.884,131.104
300260,Klyuchevskoy,22310,Confirmed Eruption,NA,NA,2019,4,9,Historical Observations,2019,7,2,56.056,160.642
352090,Sangay,22312,Confirmed Eruption,NA,NA,2019,3,26,Historical Observations,2020,4,17,-2.005,-78.341
344020,San Cristobal,22311,Confirmed Eruption,NA,NA,2019,3,4,Historical Observations,2019,3,4,12.702,-87.004
233020,"Fournaise, Piton de la",22307,Confirmed Eruption,NA,NA,2019,2,18,Historical Observations,2019,3,10,-21.244,55.708
263310,Tengger Caldera,22306,Confirmed Eruption,Bromo,2,2019,2,18,Historical Observations,2019,7,28,-7.942,112.95
300130,Karymsky,22309,Confirmed Eruption,NA,NA,2019,2,16,Historical Observations,2019,9,24,54.049,159.443
345040,Poas,22303,Confirmed Eruption,NA,NA,2019,2,7,Historical Observations,2019,9,30,10.2,-84.233
261080,Sinabung,22316,Confirmed Eruption,NA,NA,2019,2,6,Historical Observations,2019,6,9,3.17,98.392
256010,Tinakula,22313,Confirmed Eruption,NA,2,2018,12,8,Historical Observations,2020,4,11,-10.386,165.804
267020,Karangetang,22294,Confirmed Eruption,NA,2,2018,11,25,Historical Observations,2020,4,17,2.781,125.407
357040,Planchon-Peteroa,22297,Confirmed Eruption,NA,1,2018,11,7,Historical Observations,2019,5,7,-35.223,-70.568
