volcano_number,volcano_name,primary_volcano_type,last_eruption_year,country,region,subregion,latitude,longitude,elevation,tectonic_settings,evidence_category,major_rock_1,major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5,population_within_5_km,population_within_10_km,population_within_30_km,population_within_100_km
283001,Abu,Shield(s),-6850,Japan,"Japan, Taiwan, Marianas",Honshu,34.5,131.6,641,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,3597,9594,117805,4071152
355096,Acamarachi,Stratovolcano,Unknown,Chile,South America,"Northern Chile, Bolivia and Argentina",-23.292,-67.618,6023,Subduction zone / Continental crust (>25 km),Evidence Credible,Dacite,Andesite / Basaltic Andesite, , , , , , , , ,0,7,294,9092
342080,Acatenango,Stratovolcano(es),1972,Guatemala,México and Central America,Guatemala,14.501,-90.876,3976,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt, , , , ,4329,60730,1042836,7634778
213004,Acigol-Nevsehir,Caldera,-2080,Turkey,Mediterranean and Western Asia,Turkey,38.537,34.621,1683,Intraplate / Continental crust (>25 km),Eruption Dated,Rhyolite,Dacite,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , ,127863,127863,218469,2253483
321040,Adams,Stratovolcano,950,United States,Canada and Western USA,USA (Washington),46.206,-121.49,3742,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , ,0,70,4019,393303
283170,Adatarayama,Stratovolcano(es),1996,Japan,"Japan, Taiwan, Marianas",Honshu,37.647,140.281,1728,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , ,Dacite,Basalt / Picro-Basalt, , , ,428,3936,717078,5024654
221170,Adwa,Stratovolcano,Unknown,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,10.07,40.84,1733,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Rhyolite,Basalt / Picro-Basalt,Trachyte / Trachydacite, , , , , , , ,101,485,18645,1242922
221110,Afdera,Stratovolcano,Unknown,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,13.088,40.853,1250,Rift zone / Intermediate crust (15-25 km),Evidence Uncertain,Rhyolite, , , , ,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Andesite / Basaltic Andesite, , ,51,6042,8611,161009
284160,Agrigan,Stratovolcano,1917,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",18.77,145.67,965,Subduction zone / Crustal thickness unknown,Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,0,0,0,0
342100,Agua,Stratovolcano,Unknown,Guatemala,México and Central America,Guatemala,14.465,-90.743,3760,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,9890,114404,2530449,7441660
382090,Agua de Pau,Stratovolcano,1564,Portugal,Atlantic Ocean,Azores,37.77,-25.47,947,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Trachyte / Trachydacite,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , , , , , ,406,17272,113131,119653
358062,Aguilera,Stratovolcano,-1250,Chile,South America,Southern Chile and Argentina,-50.33,-73.75,2546,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite, , , , , , , , , ,0,0,103,5698
264020,Agung,Stratovolcano,2019,Indonesia,Indonesia,Lesser Sunda Islands,-8.343,115.508,2997,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , ,5657,76781,968381,4550176
284141,Ahyi,Submarine,2014,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",20.42,145.03,-75,Subduction zone / Crustal thickness unknown,Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,0,0,0,0
282080,Aira,Caldera,2020,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,31.593,130.657,1117,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Rhyolite, , , , , , , ,4918,113874,905254,2610033
300125,Akademia Nauk,Stratovolcano(es),1996,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,53.98,159.45,1180,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt,Rhyolite, , , ,3,3,615,12484
283130,Akagisan,Stratovolcano,Unknown,Japan,"Japan, Taiwan, Marianas",Honshu,36.56,139.193,1828,Subduction zone / Continental crust (>25 km),Evidence Uncertain,Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,961,4538,1116366,16718375
285070,Akan,Caldera,2008,Japan,"Japan, Taiwan, Marianas",Hokkaido,43.384,144.013,1499,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Rhyolite, , , , , , ,2062,2062,9756,929538
283230,Akita-Komagatake,Stratovolcano(es),1971,Japan,"Japan, Taiwan, Marianas",Honshu,39.761,140.799,1637,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,376,3864,216708,2521611
283260,Akita-Yakeyama,Stratovolcano,1997,Japan,"Japan, Taiwan, Marianas",Honshu,39.964,140.757,1366,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,127,721,55493,3122037
282022,Akusekijima,Stratovolcano(es),Unknown,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,29.465,129.594,555,Subduction zone / Oceanic crust (< 15 km),Evidence Uncertain,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,52,52,199,749
311320,Akutan,Stratovolcano,1992,United States,Alaska,Aleutian Islands,54.134,-165.986,1303,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite, , ,Trachyte / Trachydacite,Dacite, , , ,0,24,233,4361
290390,Alaid,Stratovolcano,2018,Russia,Kuril Islands,Kuril Islands,50.861,155.565,2285,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,0,64,64,2887
221112,Alayta,Shield,1915,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,12.888,40.573,1496,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , , , , , , ,156,925,13459,330411
353040,Alcedo,Shield,1993,Ecuador,South America,Galapagos Islands,-0.43,-91.12,1130,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt, , , , ,Rhyolite,Dacite,Andesite / Basaltic Andesite, , ,290,290,388,10756
221090,Ale Bagu,Stratovolcano,Unknown,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,13.512,40.631,988,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt,Trachyte / Trachydacite,Rhyolite, , , , , , , ,2,919,8424,278270
221040,Alid,Stratovolcano,Unknown,Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,14.88,39.92,904,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Rhyolite,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, , , , , ,517,2447,25942,1216179
352031,Aliso,Stratovolcano,-2450,Ecuador,South America,Ecuador,-0.53,-78,4267,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Rhyolite,Dacite, , , , , , , ,0,0,0,0
320020,Alligator Lake,Volcanic field,Unknown,Canada,Canada and Western USA,Canada,60.42,-135.42,2217,Intraplate / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,0,0,47,20636
342040,Almolonga,Stratovolcano,1818,Guatemala,México and Central America,Guatemala,14.797,-91.519,3173,Subduction zone / Continental crust (>25 km),Eruption Observed,Dacite,Andesite / Basaltic Andesite, , , ,Basalt / Picro-Basalt, , , , ,91323,287487,1126942,6828403
300450,Alney-Chashakondzha,Stratovolcano,1600,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,56.656,159.647,2570,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Rhyolite,Dacite, , , ,0,0,3,10679
221060,Alu-Dalafilla,Fissure vent(s),2008,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,13.793,40.553,578,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyte / Trachydacite,Rhyolite, , , , , , ,0,9,11209,478054
221270,Alutu,Stratovolcano,-50,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,7.77,38.78,2335,Rift zone / Continental crust (>25 km),Eruption Dated,Rhyolite,Dacite,Basalt / Picro-Basalt, , , , , , , ,6011,25619,314216,6813710
311390,Amak,Stratovolcano,1796,United States,Alaska,Aleutian Islands,55.424,-163.149,488,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , ,0,0,0,1345
268072,Amasing,Stratovolcano(es),Unknown,Indonesia,Indonesia,Halmahera,-0.53,127.48,1030,Subduction zone / Oceanic crust (< 15 km),Evidence Credible,Andesite / Basaltic Andesite, , , , , , , , , ,59,803,26015,92417
257030,Ambae,Shield,2018,Vanuatu,Melanesia and Australia,Vanuatu,-15.389,167.835,1496,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt, , , , , , , , , ,73,1279,4326,73308
273088,Ambalatungan Group,Compound,Unknown,Philippines,Philippines and SE Asia,Luzon,17.32,121.1,2329,Subduction zone / Continental crust (>25 km),Unrest / Holocene,Dacite,Andesite / Basaltic Andesite, , , , , , , , ,493,3803,55724,4652400
266020,Ambang,Complex,2005,Indonesia,Indonesia,Sulawesi,0.75,124.42,1795,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , ,9155,46469,319137,1730602
254020,Ambitle,Stratovolcano,-350,Papua New Guinea,Melanesia and Australia,New Ireland,-4.08,153.65,450,Subduction zone / Crustal thickness unknown,Eruption Dated,Phono-tephrite /  Tephri-phonolite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt,Trachyte / Trachydacite, , , , , ,1643,9195,9779,24367
233011,Ambre-Bobaomby,Volcanic field,Unknown,Madagascar,Middle East and Indian Ocean,Indian Ocean (western),-12.6,49.15,1475,Intraplate / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt,Rhyolite,Trachyte / Trachydacite,Phonolite,Foidite, , , , , ,20396,20396,51426,408436
257040,Ambrym,Pyroclastic shield,2018,Vanuatu,Melanesia and Australia,Vanuatu,-16.25,168.12,1334,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite, , , , , , , ,9,186,10826,63999
234001,Amsterdam Island,Stratovolcano,Unknown,France,Middle East and Indian Ocean,Indian Ocean (southern),-37.83,77.52,881,Rift zone / Oceanic crust (< 15 km),Evidence Credible,Basalt / Picro-Basalt, , , , , , , , , ,0,0,0,0
