,strDrink,dateModified,idDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIBA,strIngredient1,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strInstructions,strMeasure1,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strVideo
0,'57 Chevy with a White License Plate,2016-07-18 22:49:04,14029,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,Highball glass,,Creme de Cacao,,,,,,,Vodka,,,,,,,,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,1 oz white ,,,,,,,1 oz , , , , , ,,,
1,1-900-FUK-MEUP,2016-07-18 22:27:04,15395,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,Old-fashioned glass,,Absolut Kurant,,,,,,,Grand Marnier,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,Amaretto,Cranberry juice,Pineapple juice,,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,1/2 oz , , , , ,,,1/4 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/2 oz ,1/4 oz , ,
2,110 in the shade,2016-02-03 14:51:57,15423,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,Beer Glass,,Lager,,,,,,,Tequila,,,,,,,,Drop shooter in glass. Fill with beer,16 oz ,,,,,,,1.5 oz , , , , , ,,,
3,151 Florida Bushwacker,2016-07-18 22:28:43,14588,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,Beer mug,,Malibu rum,,,,,,,Light rum,151 proof rum,Dark Creme de Cacao,Cointreau,Milk,Coconut liqueur,Vanilla ice-cream,,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,1/2 oz , , , , ,,,1/2 oz ,1/2 oz Bacardi ,1 oz ,1 oz ,3 oz ,1 oz ,1 cup , ,
4,155 Belmont,2016-10-05 12:36:28,15346,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,White wine glass,,Dark rum,,,,,,,Light rum,Vodka,Orange juice,,,,,,Blend with ice. Serve in a wine glass. Garnish with carrot.,1 shot ,,,,,,,2 shots ,1 shot ,1 shot , , , , , ,
5,24k nightmare,2016-07-18 22:31:38,17060,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,Shot glass,,Goldschlager,,,,,,,Jägermeister,Rumple Minze,151 proof rum,,,,,,"Add over ice,shake and pour.",1/2 oz ,,,,,,,1/2 oz ,1/2 oz ,1/2 oz Bacardi , , , , , ,
6,252,2016-07-18 22:32:42,15288,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,Shot glass,,151 proof rum,,,,,,,Wild Turkey,,,,,,,,"Add both ingredients to shot glass, shoot, and get drunk quick",1/2 shot Bacardi ,,,,,,,1/2 shot , , , , , ,,,
7,3 Wise Men,2016-07-18 22:34:37,13899,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,Collins glass,,Jack Daniels,,,,,,,Johnnie Walker,Jim Beam,,,,,,,put them them in a glass... and slam it to tha head.,1/3 oz ,,,,,,,1/3 oz ,1/3 oz , , , , , ,,
8,3-Mile Long Island Iced Tea,2016-08-31 19:42:52,15300,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,Collins Glass,,Gin,,,,,,,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,1/2 oz , , , , ,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,"
",1-2 dash ,1 wedge , ,
9,410 Gone,2016-08-31 19:43:46,13581,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,Collins Glass,,Peach Vodka,,,,,,,Coca-Cola,,,,,,,,,2-3 oz,,,,,,,,,,,,,,,
10,50/50,2016-04-29 09:41:56,14598,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg,Collins Glass,,Vanilla vodka,,,,,,,Grand Marnier,Orange juice,,,,,,,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,2 1/2 oz ,,,,,,,1 splash ,Fill with , , , , , ,,
11,501 Blue,2016-04-28 19:11:37,17105,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg,Collins Glass,,Blue Curacao,,,,,,,Blueberry schnapps,Vodka,Sour mix,7-Up,,,,,Mix equal amounts into a glass with ice.,"
",,,,,,,"
","
","
","
","
","
","
",,
12,69 Special,2016-08-31 19:44:55,13940,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg,Collins Glass,,Gin,,,,,,,7-Up,Lemon juice,,,,,,,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",2 oz dry ,,,,,,,4 oz ,0.75 oz , , , , , ,,
13,747,2016-08-31 19:28:26,14229,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg,Shot glass,,Kahlua,,,,,,,Bailey's irish cream,Frangelico,,,,,,,"pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!",1/3 part ,,,,,,,1/3 part ,1/3 part , , , , , ,,
14,9 1/2 Weeks,2016-08-31 19:48:22,16108,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg,Cocktail glass,,Absolut Citron,,,,,,,Orange Curacao,Strawberry liqueur,Orange juice,,,,,,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,2 oz ,,,,,,,1/2 oz ,1 splash ,1 oz , , , , , ,
15,A Day at the Beach,2016-02-03 15:47:54,15200,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/trptts1454514474.jpg,Highball glass,,Coconut rum,,,,,,,Amaretto,Orange juice,Grenadine,,,,,,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.",1 oz ,,,,,,,1/2 oz ,4 oz ,1/2 oz , , , , , ,
16,A Furlong Too Late,2016-08-31 19:46:06,11000,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg,Highball glass,,Light rum,,,,,,,Ginger beer,Lemon peel,,,,,,,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,2 oz ,,,,,,,4 oz ,1 twist of , , , , , ,,
17,A Gilligan's Island,2016-04-28 19:12:56,16943,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg,Collins glass,,Vodka,,,,,,,Peach schnapps,Orange juice,Cranberry juice,,,,,,"Shaken, not stirred!",1 oz ,,,,,,,1 oz ,3 oz ,3 oz , , , , , ,
18,A Night In Old Mandalay,2016-04-29 09:43:00,11001,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg,Highball glass,,Light rum,,,,,,,Añejo rum,Orange juice,Lemon juice,Ginger ale,Lemon peel,,,,"In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.",1 oz , , ,,,,,1 oz ,1 oz ,1/2 oz ,3 oz ,1 twist of , , , ,
19,A Piece of Ass,2016-09-01 09:48:57,16405,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/tqxyxx1472719737.jpg,Highball glass,,Amaretto,,,,,,,Southern Comfort,Ice,Sour mix,,,,,,Put ice in glass. Pour in shots. Fill with Sour Mix.,1 shot ,,,,,,,1 shot ," cubes
","
","
","
","
","
","
",
20,A Splash of Nash,2016-08-31 19:30:01,14564,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/rsvtrr1472668201.jpg,Highball glass,,Cranberry juice,,,,,,,Soda water,Midori melon liqueur,Creme de Banane,,,,,,Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.,2 oz ,,,,,,,2 oz ,0.5 oz ,0.5 oz , , , , , ,
21,A True Amaretto Sour,2016-08-31 19:49:32,17005,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/rptuxy1472669372.jpg,Old-fashioned glass,,Amaretto,,,,,,,Lemon,Ice,Maraschino cherry,,,,,,"Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.",1 jigger ,,,,,,,Juice of 1/2 ,"
", , , , , ,,
