animal_id,sex,life_stage,pregnant,with_calf,death_cause,study_site,deploy_on_longitude,deploy_on_latitude,deploy_on_comments,deploy_off_longitude,deploy_off_latitude,deploy_off_type,deploy_off_comments
HR_151.510,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
GR_C04,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_C03,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
HR_151.805,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
HR_151.760,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
HR_151.720,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
GR_C18,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
KE_car120,f,NA,NA,NA,NA,Kennedy,NA,NA,NA,NA,NA,removal,NA
KE_car118,f,NA,NA,NA,Unknown,Kennedy,NA,NA,NA,-122.640490214846,55.2605437686485,dead,NA
HR_151.579,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
GR_C13,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
HR_151.744,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
GR_GC13,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_C06,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
HR_151.535,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
HR_151.600,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
GR_C08,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_GC08,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
