issue,character,rendered_unconcious,captured,declared_dead,redressed,depowered,clothing_torn,subject_to_torture,quits_team,surrenders,number_of_kills_humans,number_of_kills_non_humans,initiates_physical_conflict,expresses_reluctance_to_fight,on_a_date_with_which_character,kiss_with_which_character,hand_holding_with_which_character,dancing_with_which_character,flying_with_another_character,arm_in_arm_with_which_character,hugging_with_which_character,physical_contact_other,carrying_with_which_character,shared_bed_with_which_character,shared_room_domestically_with_which_character,explicitly_states_i_love_you_to_whom,shared_undress,shower_number_of_panels_shower_lasts,bath_number_of_panels_bath_lasts,depicted_eating_food,visible_tears_number_of_panels,visible_tears_number_of_intances,special_notes
97,Professor X,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,Moira MacTaggert,NA,NA,NA,NA,Moira MacTaggert,NA,NA,NA,NA,NA,0,0,1,0,0,NA
97,Wolverine = Logan,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Storm,NA,NA,NA,NA,NA,0,0,0,0,0,NA
97,Cyclops = Scott Summers,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA
97,Marvel Girl/Phoenix = Jean Grey,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,Storm,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA
97,Storm = Ororo Munroe,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,Jean Grey,NA,NA,Wolverine,NA,NA,NA,NA,NA,0,0,0,0,0,NA
97,Colossus = Peter (Piotr) Rasputin,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA
97,Nightcrawler = Kurt Wagner,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA
97,Banshee = Sean Cassidy,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA
97,Angel = Warren Worthington,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA
97,Ariel/Sprite/Shadowcat = Kitty Pryde,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA
97,Magneto = Erik Magnus,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA
97,Phoenix(2) = Rachel Summers,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA
