issue,editor_in_chief,editor,penciller
97,Marv Wolfman,NA,Dave Cockrum
98,Marv Wolfman,NA,Dave Cockrum
99,Marv Wolfman,NA,Dave Cockrum
100,Marv Wolfman,NA,Dave Cockrum
101,Archie Goodwin,NA,Dave Cockrum
102,Archie Goodwin,NA,Dave Cockrum
103,Archie Goodwin,NA,Dave Cockrum
104,Archie Goodwin,NA,Dave Cockrum
105,Archie Goodwin,NA,Dave Cockrum
106,Archie Goodwin,NA,NA
107,Archie Goodwin,NA,Dave Cockrum
108,Archie Goodwin,NA,John Byrne
109,Archie Goodwin,NA,John Byrne
110,Archie Goodwin,NA,NA
111,Archie Goodwin,NA,John Byrne
112,Jim Shooter,NA,John Byrne
113,Jim Shooter,Marv Wolfman,John Byrne
114,Jim Shooter,Marv Wolfman,John Byrne
115,Jim Shooter,Marv Wolfman,John Byrne
116,Jim Shooter,Marv Wolfman,John Byrne
117,Jim Shooter,Marv Wolfman,John Byrne
118,Jim Shooter,Marv Wolfman,John Byrne
119,Jim Shooter,Marv Wolfman,John Byrne
120,Jim Shooter,Marv Wolfman,John Byrne
121,Jim Shooter,Marv Wolfman,John Byrne
122,Jim Shooter,Marv Wolfman,John Byrne
123,Jim Shooter,Marv Wolfman,John Byrne
124,Jim Shooter,Marv Wolfman,John Byrne
125,Jim Shooter,Marv Wolfman,John Byrne
126,Jim Shooter,Marv Wolfman,John Byrne
127,Jim Shooter,Marv Wolfman,John Byrne
128,Jim Shooter,Marv Wolfman,John Byrne
129,Jim Shooter,Marv Wolfman,John Byrne
130,Jim Shooter,Marv Wolfman,John Byrne
131,Jim Shooter,Marv Wolfman,John Byrne
132,Jim Shooter,Archie Goodwin,John Byrne
133,Jim Shooter,Archie Goodwin,John Byrne
134,Jim Shooter,Archie Goodwin,John Byrne
135,Jim Shooter,Archie Goodwin,John Byrne
136,Jim Shooter,Archie Goodwin,John Byrne
137,Jim Shooter,Archie Goodwin,John Byrne
137,Jim Shooter,Jim Shooter,John Byrne
138,Jim Shooter,Jim Shooter,John Byrne
139,Jim Shooter,Jim Shooter,John Byrne
140,Jim Shooter,Jim Shooter,John Byrne
141,Jim Shooter,Jim Shooter,John Byrne
142,Jim Shooter,Jim Shooter,John Byrne
143,Jim Shooter,Jim Shooter,NA
144,Jim Shooter,Jim Shooter,NA
145,Jim Shooter,Jim Shooter,Dave Cockrum
146,Jim Shooter,Jim Shooter,Dave Cockrum
147,Jim Shooter,Jim Shooter,Dave Cockrum
148,Jim Shooter,Jim Shooter,Dave Cockrum
149,Jim Shooter,Jim Shooter,Dave Cockrum
150,Jim Shooter,Jim Shooter,Dave Cockrum
151,Jim Shooter,Jim Shooter,Dave Cockrum
152,Jim Shooter,Jim Shooter,Dave Cockrum
153,Jim Shooter,Jim Shooter,Dave Cockrum
154,Jim Shooter,Jim Shooter,Dave Cockrum
155,Jim Shooter,Jim Shooter,Dave Cockrum
156,Jim Shooter,Jim Shooter,Dave Cockrum
157,Jim Shooter,Jim Shooter,Dave Cockrum
158,Jim Shooter,Jim Shooter,Dave Cockrum
159,Jim Shooter,Jim Shooter,Dave Cockrum
160,Jim Shooter,Jim Shooter,Dave Cockrum
161,Jim Shooter,Jim Shooter,Dave Cockrum
162,Jim Shooter,Jim Shooter,Dave Cockrum
163,Jim Shooter,Jim Shooter,Dave Cockrum
164,Jim Shooter,Jim Shooter,Dave Cockrum
165,Jim Shooter,Jim Shooter,Paul Smith
166,Jim Shooter,Jim Shooter,Paul Smith
167,Jim Shooter,Jim Shooter,Paul Smith
168,Jim Shooter,Jim Shooter,Paul Smith
169,Jim Shooter,Jim Shooter,Paul Smith
170,Jim Shooter,Jim Shooter,Paul Smith
171,Jim Shooter,Jim Shooter,NA
172,Jim Shooter,Jim Shooter,Paul Smith
173,Jim Shooter,Jim Shooter,Paul Smith
174,Jim Shooter,Jim Shooter,Paul Smith
175,Jim Shooter,Jim Shooter,Paul Smith
175,Jim Shooter,Jim Shooter,John Romita Jr.
176,Jim Shooter,Jim Shooter,John Romita Jr.
177,Jim Shooter,Jim Shooter,John Romita Jr.
178,Jim Shooter,Jim Shooter,John Romita Jr.
179,Jim Shooter,Jim Shooter,John Romita Jr.
179,Jim Shooter,Tom Defalco,John Romita Jr.
180,Jim Shooter,Jim Shooter,John Romita Jr.
180,Jim Shooter,Tom Defalco,John Romita Jr.
181,Jim Shooter,Jim Shooter,John Romita Jr.
181,Jim Shooter,Tom Defalco,John Romita Jr.
182,Jim Shooter,Jim Shooter,John Romita Jr.
182,Jim Shooter,Tom Defalco,John Romita Jr.
183,Jim Shooter,Tom Defalco,John Romita Jr.
184,Jim Shooter,Tom Defalco,John Romita Jr.
185,Jim Shooter,Tom Defalco,John Romita Jr.
186,Jim Shooter,Tom Defalco,NA
187,Jim Shooter,Tom Defalco,John Romita Jr.
188,Jim Shooter,Tom Defalco,John Romita Jr.
189,Jim Shooter,Tom Defalco,John Romita Jr.
190,Jim Shooter,Tom Defalco,John Romita Jr.
191,Jim Shooter,Tom Defalco,John Romita Jr.
192,Jim Shooter,Tom Defalco,John Romita Jr.
193,Jim Shooter,Tom Defalco,John Romita Jr.
194,Jim Shooter,Tom Defalco,John Romita Jr.
195,Jim Shooter,Tom Defalco,John Romita Jr.
196,Jim Shooter,Tom Defalco,John Romita Jr.
197,Jim Shooter,Tom Defalco,John Romita Jr.
198,Jim Shooter,Tom Defalco,NA
199,Jim Shooter,Tom Defalco,John Romita Jr.
200,Jim Shooter,Tom Defalco,John Romita Jr.
201,Jim Shooter,Tom Defalco,NA
202,Jim Shooter,Tom Defalco,John Romita Jr.
203,Jim Shooter,Tom Defalco,John Romita Jr.
204,Jim Shooter,Tom Defalco,NA
205,Jim Shooter,Tom Defalco,NA
206,Jim Shooter,Tom Defalco,John Romita Jr.
207,Jim Shooter,Tom Defalco,John Romita Jr.
208,Jim Shooter,Tom Defalco,John Romita Jr.
209,Jim Shooter,Tom Defalco,John Romita Jr.
210,Jim Shooter,Tom Defalco,John Romita Jr.
211,Jim Shooter,Tom Defalco,John Romita Jr.
212,Jim Shooter,Tom Defalco,NA
213,Jim Shooter,Tom Defalco,NA
214,Jim Shooter,Tom Defalco,NA
215,Jim Shooter,Tom Defalco,NA
216,Jim Shooter,Tom Defalco,NA
217,Jim Shooter,Tom Defalco,NA
218,Jim Shooter,Tom Defalco,Marc Silvestri
219,Jim Shooter,Tom Defalco,NA
220,Jim Shooter,Tom Defalco,Marc Silvestri
221,Jim Shooter,Tom Defalco,Marc Silvestri
222,Jim Shooter,Tom Defalco,Marc Silvestri
223,Tom Defalco,Tom Defalco,NA
224,Tom Defalco,Tom Defalco,Marc Silvestri
225,Tom Defalco,Tom Defalco,Marc Silvestri
226,Tom Defalco,Tom Defalco,Marc Silvestri
227,Tom Defalco,Tom Defalco,Marc Silvestri
228,Tom Defalco,Tom Defalco,NA
229,Tom Defalco,Tom Defalco,Marc Silvestri
230,Tom Defalco,Tom Defalco,Marc Silvestri
231,Tom Defalco,Tom Defalco,NA
232,Tom Defalco,Tom Defalco,Marc Silvestri
232,Tom Defalco,Tom Defalco,Marc Silvestri
233,Tom Defalco,Tom Defalco,Marc Silvestri
234,Tom Defalco,Tom Defalco,Marc Silvestri
235,Tom Defalco,Tom Defalco,NA
236,Tom Defalco,Tom Defalco,Marc Silvestri
237,Tom Defalco,Tom Defalco,NA
238,Tom Defalco,Tom Defalco,Marc Silvestri
239,Tom Defalco,Tom Defalco,Marc Silvestri
240,Tom Defalco,Tom Defalco,Marc Silvestri
241,Tom Defalco,Tom Defalco,Marc Silvestri
242,Tom Defalco,Tom Defalco,Marc Silvestri
243,Tom Defalco,Tom Defalco,Marc Silvestri
244,Tom Defalco,Tom Defalco,Marc Silvestri
245,Tom Defalco,Tom Defalco,NA
246,Tom Defalco,Tom Defalco,Marc Silvestri
247,Tom Defalco,Tom Defalco,Marc Silvestri
248,Tom Defalco,Tom Defalco,Jim Lee
249,Tom Defalco,Tom Defalco,Marc Silvestri
250,Tom Defalco,Tom Defalco,Marc Silvestri
251,Tom Defalco,Tom Defalco,Marc Silvestri
252,Tom Defalco,Tom Defalco,NA
253,Tom Defalco,Tom Defalco,Marc Silvestri
254,Tom Defalco,Tom Defalco,Marc Silvestri
255,Tom Defalco,Tom Defalco,Marc Silvestri
256,Tom Defalco,Tom Defalco,Jim Lee
257,Tom Defalco,Tom Defalco,Jim Lee
258,Tom Defalco,Tom Defalco,Jim Lee
259,Tom Defalco,Tom Defalco,Marc Silvestri
260,Tom Defalco,Tom Defalco,Marc Silvestri
261,Tom Defalco,Tom Defalco,Marc Silvestri
262,Tom Defalco,Tom Defalco,NA
263,Tom Defalco,Tom Defalco,NA
264,Tom Defalco,Tom Defalco,NA
265,Tom Defalco,Tom Defalco,NA
266,Tom Defalco,Tom Defalco,NA
267,Tom Defalco,Tom Defalco,Jim Lee
268,Tom Defalco,Tom Defalco,Jim Lee
269,Tom Defalco,Tom Defalco,Jim Lee
270,Tom Defalco,Tom Defalco,Jim Lee
271,Tom Defalco,Tom Defalco,Jim Lee
272,Tom Defalco,Tom Defalco,Jim Lee
273,Tom Defalco,Tom Defalco,Jim Lee
274,Tom Defalco,Tom Defalco,Jim Lee
275,Tom Defalco,Tom Defalco,Jim Lee
276,Tom Defalco,Tom Defalco,Jim Lee
277,Tom Defalco,Tom Defalco,Jim Lee
278,Tom Defalco,Tom Defalco,Paul Smith
279,Tom Defalco,Tom Defalco,NA
