issue,pass_bechdel,notes,reprint
1,no,NA,FALSE
2,no,NA,FALSE
3,no,NA,FALSE
4,no,NA,FALSE
5,yes,NA,FALSE
6,no,NA,FALSE
7,no,NA,FALSE
8,no,NA,FALSE
9,no,NA,FALSE
10,no,NA,FALSE
11,no,NA,FALSE
12,no,NA,FALSE
13,no,NA,FALSE
14,no,NA,FALSE
15,no,NA,FALSE
16,no,NA,FALSE
17,no,NA,FALSE
18,no,NA,FALSE
19,no,NA,FALSE
20,no,NA,FALSE
21,no,NA,FALSE
22,no,NA,FALSE
23,no,NA,FALSE
24,no,NA,FALSE
25,yes,NA,FALSE
26,no,NA,FALSE
27,no,NA,FALSE
28,no,NA,FALSE
29,no,NA,FALSE
30,no,NA,FALSE
31,no,NA,FALSE
32,no,NA,FALSE
33,no,NA,FALSE
34,yes,NA,FALSE
35,no,NA,FALSE
36,no,NA,FALSE
37,no,NA,FALSE
38,no,NA,FALSE
39,no,NA,FALSE
40,no,NA,FALSE
41,no,NA,FALSE
42,no,NA,FALSE
43,no,NA,FALSE
44,yes,NA,FALSE
45,no,NA,FALSE
46,no,NA,FALSE
47,no,NA,FALSE
48,no,NA,FALSE
49,no,NA,FALSE
50,no,NA,FALSE
51,no,NA,FALSE
52,no,NA,FALSE
53,no,NA,FALSE
54,no,NA,FALSE
55,no,NA,FALSE
56,no,NA,FALSE
57,no,NA,FALSE
58,no,NA,FALSE
59,no,NA,FALSE
60,no,NA,FALSE
61,no,NA,FALSE
62,no,NA,FALSE
63,no,NA,FALSE
64,no,NA,FALSE
65,no,NA,FALSE
66,no,NA,FALSE
67,no,NA,TRUE
68,no,NA,TRUE
69,no,NA,TRUE
70,no,NA,TRUE
71,no,NA,TRUE
72,no,NA,TRUE
73,yes,NA,TRUE
74,no,NA,TRUE
75,no,NA,TRUE
76,no,NA,TRUE
77,no,NA,TRUE
78,no,NA,TRUE
79,no,NA,TRUE
80,no,NA,TRUE
81,no,NA,TRUE
82,yes,NA,TRUE
83,no,NA,TRUE
84,no,NA,TRUE
85,no,NA,TRUE
86,no,NA,TRUE
87,no,NA,TRUE
88,no,NA,TRUE
89,no,NA,TRUE
90,no,NA,TRUE
91,no,NA,TRUE
92,yes,NA,TRUE
93,no,NA,TRUE
94,no,NA,FALSE
95,no,NA,FALSE
96,no,NA,FALSE
97,yes,NA,FALSE
98,yes,NA,FALSE
99,no,NA,FALSE
100,yes,NA,FALSE
101,no,NA,FALSE
102,yes,NA,FALSE
103,no,NA,FALSE
104,no,NA,FALSE
105,yes,NA,FALSE
106,yes,NA,FALSE
107,yes,NA,FALSE
108,yes,NA,FALSE
109,yes,NA,FALSE
110,no,NA,FALSE
111,no,NA,FALSE
112,no,NA,FALSE
113,no,NA,FALSE
114,yes,NA,FALSE
115,no,NA,FALSE
116,no,NA,FALSE
117,yes,NA,FALSE
118,no,NA,FALSE
119,yes,NA,FALSE
120,yes,NA,FALSE
121,no,NA,FALSE
122,yes,NA,FALSE
123,no,NA,FALSE
124,no,NA,FALSE
125,yes,NA,FALSE
126,no,NA,FALSE
127,yes,NA,FALSE
128,no,NA,FALSE
129,yes,NA,FALSE
130,yes,NA,FALSE
131,yes,NA,FALSE
132,no,NA,FALSE
133,yes,NA,FALSE
134,no,NA,FALSE
135,yes,NA,FALSE
136,yes,NA,FALSE
137,no,NA,FALSE
138,no,NA,FALSE
139,yes,NA,FALSE
140,yes,NA,FALSE
141,yes,NA,FALSE
142,yes,NA,FALSE
143,yes,NA,FALSE
144,no,NA,FALSE
145,yes,NA,FALSE
146,yes,NA,FALSE
147,no,NA,FALSE
148,yes,NA,FALSE
149,yes,NA,FALSE
150,yes,NA,FALSE
151,yes,NA,FALSE
152,yes,NA,FALSE
153,yes,NA,FALSE
154,no,NA,FALSE
155,yes,NA,FALSE
156,yes,NA,FALSE
157,yes,NA,FALSE
158,yes,NA,FALSE
159,yes,NA,FALSE
160,yes,NA,FALSE
161,no,NA,FALSE
162,yes,NA,FALSE
163,yes,NA,FALSE
164,yes,NA,FALSE
165,yes,NA,FALSE
166,yes,NA,FALSE
167,no,NA,FALSE
168,yes,NA,FALSE
169,yes,NA,FALSE
170,yes,NA,FALSE
171,yes,NA,FALSE
172,yes,NA,FALSE
173,yes,NA,FALSE
174,yes,NA,FALSE
175,yes,NA,FALSE
176,no,NA,FALSE
177,yes,NA,FALSE
178,yes,NA,FALSE
179,yes,NA,FALSE
180,yes,NA,FALSE
181,yes,NA,FALSE
182,no,NA,FALSE
183,yes,NA,FALSE
184,yes,NA,FALSE
185,yes,NA,FALSE
186,no,NA,FALSE
187,yes,NA,FALSE
188,yes,NA,FALSE
189,yes,NA,FALSE
190,yes,NA,FALSE
191,yes,NA,FALSE
192,yes,NA,FALSE
193,yes,NA,FALSE
194,yes,NA,FALSE
195,yes,NA,FALSE
196,yes,NA,FALSE
197,yes,NA,FALSE
198,yes,NA,FALSE
199,yes,NA,FALSE
200,yes,NA,FALSE
201,yes,NA,FALSE
202,yes,NA,FALSE
203,yes,NA,FALSE
204,yes,NA,FALSE
205,yes,NA,FALSE
206,yes,NA,FALSE
207,yes,NA,FALSE
208,yes,NA,FALSE
209,yes,NA,FALSE
210,yes,NA,FALSE
211,yes,NA,FALSE
212,yes,NA,FALSE
213,yes,NA,FALSE
214,yes,NA,FALSE
215,yes,NA,FALSE
216,yes,NA,FALSE
217,yes,NA,FALSE
218,yes,NA,FALSE
219,yes,NA,FALSE
220,no,NA,FALSE
221,yes,NA,FALSE
222,yes,NA,FALSE
223,yes,NA,FALSE
224,yes,NA,FALSE
225,yes,NA,FALSE
226,yes,NA,FALSE
227,yes,NA,FALSE
228,yes,NA,FALSE
229,yes,NA,FALSE
230,yes,NA,FALSE
231,yes,NA,FALSE
232,yes,NA,FALSE
233,yes,NA,FALSE
234,yes,NA,FALSE
234.1,no,NA,FALSE
235,yes,NA,FALSE
235,no,NA,FALSE
236,yes,NA,FALSE
236,no,NA,FALSE
237,yes,NA,FALSE
