"Category: Nature","Category: Type","Category: Reporting Level","Location: Suburb"
"Animal","Dog","",""
"Animal","Cat","Wandering","EAST BRISBANE"
"Animal","Cat Trapping","","BOONDALL"
"Animal","Dog","Wandering","EAST BRISBANE"
"Animal","Other Animal","","BELMONT"
"Animal","Attack","Attack On An Animal","GORDON PARK"
"Animal","Attack","","BRACKEN RIDGE"
"Animal","Attack","Menacing","NATHAN"
"Animal","Other Animal","","WAKERLEY"
"Animal","Attack","Attack On An Animal","ZILLMERE"
"Animal","Dog","Odour","PALLARA"
"Animal","Attack","","GEEBUNG"
"Animal","Dog","Wandering","CHERMSIDE WEST"
"Animal","Cat","Wandering","HERSTON"
"Animal","Dog","Defecating In Public","BELMONT"
"Animal","Cat","Wandering","ALDERLEY"
"Animal","Other Animal","Fox","YERONGA"
"Animal","Attack","Not An Attack","CHAPEL HILL"
"Animal","Cat","Wandering","GRACEVILLE"
"Animal","Attack","","INALA"
"Animal","Cat","Wandering","NUDGEE"
"Animal","Cat","Wandering","FITZGIBBON"
"Animal","Other Animal","Fox","PINJARRA HILLS"
"Animal","Cat","Wandering","MANSFIELD"
"Animal","Dog","","KARANA DOWNS"
"Animal","Other Animal","","MORNINGSIDE"
"Animal","Dog","Fencing Issues","MILTON"
"Animal","Dog","Odour","HIGHGATE HILL"
"Animal","Dog","Wandering","MCDOWALL"
"Animal","Attack","Not An Attack","ASHGROVE"
"Animal","Dog","","CAMP HILL"
"Animal","Cat Trapping","","CALAMVALE"
"Animal","Dog","","MANLY"
"Animal","Attack","Attack On A Person","TARRAGINDI"
"Animal","Dog","Wandering","STRETTON"
"Animal","Attack","","ELLEN GROVE"
"Animal","Attack","Attack On An Animal","ANNERLEY"
"Animal","Other Animal","Fox","SUMNER"
"Animal","Dog","Fencing Issues","MORNINGSIDE"
"Animal","Attack","","COOPERS PLAINS"
"Animal","Dog","Surrender","STAFFORD"
"Animal","Other Animal","Fox","TARRAGINDI"
"Animal","Attack","","MOUNT CROSBY"
"Animal","Attack","Not An Attack","INDOOROOPILLY"
"Animal","Cat","Wandering","KEDRON"
"Animal","Dog","Wandering","UPPER KEDRON"
"Animal","Dog","Wandering","NUDGEE BEACH"
"Animal","Dog","Wandering","NUDGEE BEACH"
"Animal","Attack","Attack On A Person","GRANGE"
"Animal","Dog","Wandering",""
"Animal","Dog","Wandering","CARINDALE"
"Animal","Dog","","TARRAGINDI"
"Animal","Attack","Attack On A Person","NUDGEE BEACH"
"Animal","Dog","","LOTA"
"Animal","Dog","Fencing Issues","YEERONGPILLY"
"Animal","Attack","Attack On An Animal","RIVERHILLS"
"Animal","Dog","Wandering","KENMORE"
"Animal","Dog","Wandering","KENMORE"
"Animal","Dog","Wandering","FITZGIBBON"
"Animal","Attack","","COORPAROO"
"Animal","Attack","Not An Attack","KELVIN GROVE"
"Animal","Attack","Not An Attack","NEWSTEAD"
"Animal","Dog","Unregistered","ACACIA RIDGE"
"Animal","Cat","Wandering","COOPERS PLAINS"
"Animal","Other Animal","Fox","CHANDLER"
"Animal","Dog","Too Many Animals","HOLLAND PARK WEST"
"Animal","Dog","Fencing Issues","NORTHGATE"
"Animal","Dog","Fencing Issues","KENMORE"
"Animal","Dog","Wandering","TARRAGINDI"
"Animal","Dog","Unregistered","COORPAROO"
"Animal","Other Animal","Deer","PULLENVALE"
"Animal","Dog","Fencing Issues","INALA"
"Animal","Dog","Fencing Issues","MIDDLE PARK"
"Animal","Attack","Not An Attack","CARINDALE"
