Category: Nature,Category: Type,Category: Reporting Level,Location: Suburb
Animal,Cat Trapping,,DURACK
Animal,Attack,Attack On An Animal,DARRA
Animal,Cat Trapping,,WEST END
Animal,Attack,Attack On A Person,INALA
Animal,Cat Trapping,,NORTHGATE
Animal,Cat Trapping,,SANDGATE
Animal,Attack,Attack On A Person,KEPERRA
Animal,Attack,Not An Attack,WAKERLEY
Animal,Other Animal,Nuisance Animal,ELLEN GROVE
Animal,Attack,Attack On A Person,ASHGROVE
Animal,Dog,Too Many Animals,SPRING HILL
Animal,Other Animal,Fox,THE GAP
Animal,Attack,Not An Attack,STAFFORD
Animal,Other Animal,Wild Dog,THE GAP
Animal,Dog,Fencing Issues,DOOLANDELLA
Animal,Dog,Too Many Animals,FOREST LAKE
Animal,Attack,Attack On An Animal,ASPLEY
Animal,Cat Trapping,,MOOROOKA
Animal,Dog,Odour,NEWMARKET
Animal,Dog,Fencing Issues,CHERMSIDE
Animal,Attack,Attack On An Animal,NEW FARM
Animal,Dog,Fencing Issues,WYNNUM
Animal,Dog,Too Many Animals,GEEBUNG
Animal,Dog,Fencing Issues,MOUNT GRAVATT EAST
Animal,Other Animal,Feral Pig,BRISBANE CITY
Animal,Attack,Menacing,WISHART
Animal,Attack,Not An Attack,SALISBURY
Animal,Dog,Fencing Issues,ACACIA RIDGE
Animal,Dog,Too Many Animals,SANDGATE
Animal,Other Animal,Fox,ROCKLEA
Animal,Other Animal,Fox,CARINDALE
Animal,Dog,Fencing Issues,ACACIA RIDGE
Animal,Dog,Fencing Issues,CARINA
Animal,Other Animal,Feral Goat,KARAWATHA
Animal,Attack,Attack On An Animal,SEVENTEEN MILE ROCKS
Animal,Dog,Defecating In Public,CHAPEL HILL
Animal,Cat Trapping,,RIVERHILLS
Animal,Attack,Attack On A Person,HOLLAND PARK WEST
Animal,Dog,Fencing Issues,BRIGHTON
Animal,Attack,Attack On A Person,BANYO
Animal,Attack,Menacing,WOOLOOWIN
Animal,Attack,Menacing,DEAGON
Animal,Attack,Not An Attack,CARSELDINE
Animal,Other Animal,Odour,WESTLAKE
Animal,Attack,Attack On An Animal,ASHGROVE
Animal,Cat Trapping,,ELLEN GROVE
Animal,Dog,Too Many Animals,NORTHGATE
Animal,Dog,Too Many Animals,NORTHGATE
Animal,Other Animal,Fox,WILLAWONG
Animal,Other Animal,Wild Dog,UPPER BROOKFIELD
Animal,Attack,Attack On An Animal,TARINGA
Animal,Attack,,DARRA
Animal,Attack,Attack On A Person,COOPERS PLAINS
Animal,Attack,Attack On An Animal,KENMORE
Animal,Attack,Attack On A Person,COORPAROO
Animal,Cat Trapping,,KEDRON
Animal,Dog,Fencing Issues,SUNNYBANK
Animal,Dog,Fencing Issues,BRACKEN RIDGE
Animal,Attack,,SHORNCLIFFE
Animal,Dog,Defecating In Public,UPPER MOUNT GRAVATT
Animal,Other Animal,Nuisance Animal,HENDRA
Animal,Other Animal,Fox,CORINDA
Animal,Dog,,WAVELL HEIGHTS
Animal,Cat Trapping,,ST LUCIA
Animal,Dog,Fencing Issues,TAIGUM
Animal,Attack,Attack On An Animal,THE GAP
Animal,Other Animal,Fox,PINJARRA HILLS
Animal,Dog,Odour,MORNINGSIDE
Animal,Dog,Fencing Issues,STAFFORD HEIGHTS
Animal,Dog,Defecating In Public,PADDINGTON
Animal,Attack,,NUDGEE BEACH
Animal,Attack,Attack On An Animal,INALA
Animal,Dog,Odour,CHERMSIDE
Animal,Attack,Attack On An Animal,CHERMSIDE WEST
Animal,Attack,Attack On An Animal,WAKERLEY
Animal,Dog,Fencing Issues,CARINA HEIGHTS
Animal,Dog,Fencing Issues,UPPER MOUNT GRAVATT
Animal,Other Animal,,MURARRIE
Animal,Other Animal,Odour,ACACIA RIDGE
Animal,Dog,Fencing Issues,BALMORAL
Animal,Dog,Fencing Issues,BELLBOWRIE
Animal,Attack,Not An Attack,EAST BRISBANE
Animal,Dog,Fencing Issues,WAKERLEY
Animal,Other Animal,Pest / Feral Animal,HAMILTON
Animal,Dog,Fencing Issues,TINGALPA
Animal,Attack,Attack On An Animal,RUNCORN
Animal,Dog,Fencing Issues,OXLEY
Animal,Cat Trapping,,PARKINSON
Animal,Attack,Not An Attack,SUNNYBANK HILLS
Animal,Dog,Fencing Issues,BULIMBA
Animal,Attack,Menacing,BANYO
Animal,Dog,Defecating In Public,COORPAROO
Animal,Dog,Defecating In Public,COORPAROO
Animal,Dog,Fencing Issues,SUNNYBANK HILLS
Animal,Other Animal,Nuisance Animal,WESTLAKE
Animal,Attack,Attack On An Animal,INDOOROOPILLY
Animal,Other Animal,Nuisance Animal,NORMAN PARK
Animal,Other Animal,Fencing Issues,PADDINGTON
Animal,Dog,Fencing Issues,PINKENBA
Animal,Other Animal,Fencing Issues,ACACIA RIDGE
Animal,Other Animal,Fox,KENMORE
Animal,Dog,Unregistered,VIRGINIA
Animal,Other Animal,Nuisance Animal,NUNDAH
Animal,Cat Trapping,,SUNNYBANK
Animal,Dog,Fencing Issues,BALD HILLS
Animal,Dog,Fencing Issues,KEDRON
Animal,Dog,Defecating In Public,EAST BRISBANE
Animal,Other Animal,Fox,CARINDALE
Animal,Attack,Attack On A Person,KARANA DOWNS
Animal,Attack,Attack On A Person,ZILLMERE
Animal,Cat,,CALAMVALE
Animal,Attack,Attack On A Person,KURABY
Animal,Dog,Fencing Issues,WINDSOR
Animal,Dog,Fencing Issues,ACACIA RIDGE
Animal,Dog,Defecating In Public,CARINDALE
Animal,Attack,Menacing,INALA
Animal,Attack,Menacing,HOLLAND PARK
Animal,Attack,Attack On An Animal,BULIMBA
Animal,Attack,Attack On An Animal,MITCHELTON
Animal,Dog,Insufficient Space,YERONGA
Animal,Attack,Not An Attack,RUNCORN
Animal,Dog,Defecating In Public,YERONGA
Animal,Cat Trapping,,INALA
Animal,Dog,Fencing Issues,TAIGUM
Animal,Dog,Fencing Issues,BALMORAL
Animal,Attack,Attack On An Animal,EAST BRISBANE
Animal,Attack,Menacing,NEW FARM
Animal,Cat,,INALA
Animal,Dog,Fencing Issues,RED HILL
Animal,Dog,Fencing Issues,HAWTHORNE
Animal,Other Animal,Rabbit,CHERMSIDE WEST
Animal,Dog,Fencing Issues,INALA
Animal,Cat,,PARKINSON
Animal,Attack,Attack On A Person,FIG TREE POCKET
Animal,Dog,Fencing Issues,INALA
Animal,Dog,Too Many Animals,WAVELL HEIGHTS
Animal,Other Animal,Odour,DEAGON
Animal,Dog,Fencing Issues,GEEBUNG
Animal,Dog,Fencing Issues,WYNNUM WEST
Animal,Attack,Attack On An Animal,ASHGROVE
Animal,Attack,Attack On An Animal,MANSFIELD
Animal,Attack,Not An Attack,MITCHELTON
Animal,Attack,Attack On An Animal,FITZGIBBON
Animal,Attack,Attack On An Animal,CALAMVALE
Animal,Attack,Attack On An Animal,WYNNUM
Animal,Dog,Fencing Issues,GREENSLOPES
Animal,Attack,Not An Attack,UPPER MOUNT GRAVATT
Animal,Dog,Fencing Issues,ROCKLEA
Animal,Attack,Attack On An Animal,NORTHGATE
Animal,Cat Trapping,,FOREST LAKE
Animal,Cat Trapping,,LARAPINTA
Animal,Dog,Fencing Issues,LOTA
Animal,Dog,Fencing Issues,LOTA
Animal,Dog,Defecating In Public,EAST BRISBANE
Animal,Cat,,STAFFORD HEIGHTS
Animal,Cat,,BRIGHTON
Animal,Dog,,CHERMSIDE
