Category: Nature,Category: Type,Category: Reporting Level,Location: Suburb
Animal,Cat Trapping,,UPPER MOUNT GRAVATT
Animal,Other Animal,Pest / Feral Animal,TARRAGINDI
Animal,Dog,Fencing Issues,TARRAGINDI
Animal,Dog,Fencing Issues,DARRA
Animal,Dog,Defecating In Public,KEDRON
Animal,Dog,Fencing Issues,MANLY WEST
Animal,Other Animal,Fox,YERONGA
Animal,Attack,Attack On An Animal,MORNINGSIDE
Animal,Dog,Unregistered,HOLLAND PARK WEST
Animal,Dog,Fencing Issues,DARRA
Animal,Other Animal,Nuisance Animal,WINDSOR
Animal,Cat Trapping,,CARINA
Animal,Other Animal,Too Many Animals,MOUNT CROSBY
Animal,Attack,Menacing,FERNY GROVE
Animal,Cat,,MANLY WEST
Animal,Dog,Fencing Issues,KARANA DOWNS
Animal,Cat Trapping,,WYNNUM WEST
Animal,Dog,Fencing Issues,WINDSOR
Animal,Cat Trapping,,DOOLANDELLA
Animal,Dog,Unregistered,
Animal,Cat Trapping,,ANNERLEY
Animal,Other Animal,Rabbit,CARINDALE
Animal,Attack,Attack On A Person,ASPLEY
Animal,Attack,Menacing,HOLLAND PARK
Animal,Other Animal,Pest / Feral Animal,PULLENVALE
Animal,Dog,Defecating In Public,COOPERS PLAINS
Animal,Attack,Attack On An Animal,INALA
Animal,Attack,Menacing,BALMORAL
Animal,Dog,Fencing Issues,NUDGEE
Animal,Cat,,KENMORE
Animal,Other Animal,Rabbit,ASPLEY
Animal,Other Animal,Fox,MOGGILL
Animal,Other Animal,Fox,CARINA
Animal,Cat Trapping,,UPPER MOUNT GRAVATT
Animal,Dog,Fencing Issues,WYNNUM WEST
Animal,Cat Trapping,,WYNNUM WEST
Animal,Attack,Attack On An Animal,BRIGHTON
Animal,Dog,Fencing Issues,WINDSOR
Animal,Cat Trapping,,KEDRON
Animal,Dog,Fencing Issues,SALISBURY
Animal,Dog,Fencing Issues,CALAMVALE
Animal,Dog,Fencing Issues,CALAMVALE
Animal,Attack,Attack On An Animal,MOUNT CROSBY
Animal,Attack,Attack On An Animal,BRIGHTON
Animal,Attack,Not An Attack,YERONGA
Animal,Attack,Not An Attack,INALA
Animal,Dog,Odour,CARINA HEIGHTS
Animal,Cat Trapping,,ANNERLEY
Animal,Dog,Fencing Issues,ASCOT
Animal,Dog,Unregistered,GORDON PARK
Animal,Other Animal,Fox,CHANDLER
Animal,Cat,,STAFFORD HEIGHTS
Animal,Dog,Fencing Issues,MITCHELTON
Animal,Attack,Dangerous,ASPLEY
Animal,Other Animal,Fox,HOLLAND PARK WEST
