country,country_name,type,level,2016,2017,2018
BE,Belgium,Conventional thermal,Level 1,30728,31316,30092.635
BE,Belgium,Nuclear,Level 1,41430,40128.5,26995.628
BE,Belgium,Hydro,Level 1,1476,1360.9,1239.248
BE,Belgium,Pumped hydro power,Level 2,1110,1093.2,983.1900000000002
BE,Belgium,Wind,Level 1,5340,6387.9000000000005,7177.346000000001
BE,Belgium,Solar,Level 1,3070,3264.2999999999997,3488.9790000000003
BE,Belgium,Geothermal,Level 1,0,0,0
BE,Belgium,Other,Level 1,476,490.90000000000003,218.50900000000001
BG,Bulgaria,Conventional thermal,Level 1,18909,20234.209,19334
BG,Bulgaria,Nuclear,Level 1,14932,14718.368,15290
BG,Bulgaria,Hydro,Level 1,4535,3458.015,4690
BG,Bulgaria,Pumped hydro power,Level 2,619,603.713,987
BG,Bulgaria,Wind,Level 1,1425,1504.063,1326
BG,Bulgaria,Solar,Level 1,1386,1402.766,1043
BG,Bulgaria,Geothermal,Level 1,0,0,0
BG,Bulgaria,Other,Level 1,34,33.882,22
CZ,Czechia,Conventional thermal,Level 1,47817,47246.628,48042.91499999999
CZ,Czechia,Nuclear,Level 1,22727,26785.6,28255.421000000002
CZ,Czechia,Hydro,Level 1,3169,3007.4030000000002,2650.153
CZ,Czechia,Pumped hydro power,Level 2,1186,1155.492,1037.3170000000002
CZ,Czechia,Wind,Level 1,488,581.917,600.67
CZ,Czechia,Solar,Level 1,2110,2168.74,2317.645
CZ,Czechia,Geothermal,Level 1,0,0,0
CZ,Czechia,Other,Level 1,87,95.478,100.82600000000001
DK,Denmark,Conventional thermal,Level 1,15533.149000000001,14104.326,14072.337
DK,Denmark,Nuclear,Level 1,0,0,0
DK,Denmark,Hydro,Level 1,19.272,17.871,14.928999999999998
DK,Denmark,Pumped hydro power,Level 2,0,0,0
DK,Denmark,Wind,Level 1,12781.731,14780,13898.805999999999
DK,Denmark,Solar,Level 1,743.78,751.485,952.9729999999998
DK,Denmark,Geothermal,Level 1,0,0,0
DK,Denmark,Other,Level 1,0,0,0.044
DE,Germany,Conventional thermal,Level 1,390141,376128,320437.701
DE,Germany,Nuclear,Level 1,80038,72155,72274.13299999999
DE,Germany,Hydro,Level 1,25690,25888,20041.878
DE,Germany,Pumped hydro power,Level 2,5451,5910,6661.0830000000005
DE,Germany,Wind,Level 1,78218,103707,112174
DE,Germany,Solar,Level 1,38098,39401,46184
DE,Germany,Geothermal,Level 1,165,157,165.25
DE,Germany,Other,Level 1,1805,1623,522.751
EE,Estonia,Conventional thermal,Level 1,9795,10485,10170.042999999998
EE,Estonia,Nuclear,Level 1,0,0,0
EE,Estonia,Hydro,Level 1,35,26,18.2
EE,Estonia,Pumped hydro power,Level 2,0,0,0
EE,Estonia,Wind,Level 1,594,723,645.9
EE,Estonia,Solar,Level 1,0,0,0
EE,Estonia,Geothermal,Level 1,0,0,0
EE,Estonia,Other,Level 1,0,0,0
IE,Ireland,Conventional thermal,Level 1,22571.711,21745.666,19963.734
IE,Ireland,Nuclear,Level 1,0,0,0
IE,Ireland,Hydro,Level 1,962.861,885.765,921.979
IE,Ireland,Pumped hydro power,Level 2,288.676,201.184,234.93600000000004
IE,Ireland,Wind,Level 1,6148.508,7444.742,8349.172
IE,Ireland,Solar,Level 1,6.16,10.801,0
IE,Ireland,Geothermal,Level 1,0,0,0
IE,Ireland,Other,Level 1,0,0,0
EL,Greece,Conventional thermal,Level 1,35586,37021.751,34803.244
EL,Greece,Nuclear,Level 1,0,0,0
EL,Greece,Hydro,Level 1,5565,4039,5802.4169999999995
EL,Greece,Pumped hydro power,Level 2,22,77.259,636.1
EL,Greece,Wind,Level 1,5146,5536.987,6300.26
EL,Greece,Solar,Level 1,3930,3991.477,3792.0379999999996
EL,Greece,Geothermal,Level 1,0,0,0
EL,Greece,Other,Level 1,0,0,10.99
ES,Spain,Conventional thermal,Level 1,108210,126885,110084.23800000001
ES,Spain,Nuclear,Level 1,56100,55540,53270.8
ES,Spain,Hydro,Level 1,39180,20708,36083.636
ES,Spain,Pumped hydro power,Level 2,3410,2249,2009.408
ES,Spain,Wind,Level 1,47712,47929,49495.207
ES,Spain,Solar,Level 1,13051,13778,12137.315
ES,Spain,Geothermal,Level 1,0,0,0
ES,Spain,Other,Level 1,91,78,0
FR,France,Conventional thermal,Level 1,60607.854,68922.949,53956.439999999995
FR,France,Nuclear,Level 1,384008.125,379093.955,393153.25399999996
FR,France,Hydro,Level 1,64879.956,54432.863999999994,68706.552
FR,France,Pumped hydro power,Level 2,4786.979,5070.791,9082.043
FR,France,Wind,Level 1,21472.915999999997,24710.749,26134.019999999997
FR,France,Solar,Level 1,8657.27,9572.843,9651.478000000001
FR,France,Geothermal,Level 1,87.93299999999999,119.937,84.084
FR,France,Other,Level 1,559.515,673.71,0
HR,Croatia,Conventional thermal,Level 1,4241,4808,4155.654
HR,Croatia,Nuclear,Level 1,0,0,0
HR,Croatia,Hydro,Level 1,6967,5437.8,7681.336999999999
HR,Croatia,Pumped hydro power,Level 2,205,200.3,583.988
HR,Croatia,Wind,Level 1,1010,1198.4,1350.356
HR,Croatia,Solar,Level 1,66,78.7,69.193
HR,Croatia,Geothermal,Level 1,0,0,0
HR,Croatia,Other,Level 1,0,0,0
IT,Italy,Conventional thermal,Level 1,190121,199722.444,185046
IT,Italy,Nuclear,Level 1,0,0,0
IT,Italy,Hydro,Level 1,43784.621999999996,37556.721000000005,49275
IT,Italy,Pumped hydro power,Level 2,1825.204,1825.96,1632
IT,Italy,Wind,Level 1,17523,17565.332,17318
IT,Italy,Solar,Level 1,21757,24016.821,22887
IT,Italy,Geothermal,Level 1,5867,5821.46,5708
IT,Italy,Other,Level 1,650,582.871,0
