Entity,Code,Year,Arable land needed to produce a fixed quantity of crops ((1.0 = 1961))
Afghanistan,AFG,1961,1
Afghanistan,AFG,1962,0.984297681
Afghanistan,AFG,1963,1.014870248
Afghanistan,AFG,1964,0.939170881
Afghanistan,AFG,1965,0.907330396
Afghanistan,AFG,1966,0.926869881
Afghanistan,AFG,1967,0.831883836
Afghanistan,AFG,1968,0.812322693
Afghanistan,AFG,1969,0.792200619
Afghanistan,AFG,1970,0.875549871
Afghanistan,AFG,1971,0.976855314
Afghanistan,AFG,1972,0.830033129
Afghanistan,AFG,1973,0.76351101
Afghanistan,AFG,1974,0.733978981
Afghanistan,AFG,1975,0.713196117
Afghanistan,AFG,1976,0.676864135
Afghanistan,AFG,1977,0.807630851
Afghanistan,AFG,1978,0.724411285
Afghanistan,AFG,1979,0.749054287
Afghanistan,AFG,1980,0.767528168
Afghanistan,AFG,1981,0.789242502
Afghanistan,AFG,1982,0.813070074
Afghanistan,AFG,1983,0.835879131
Afghanistan,AFG,1984,0.854130212
Afghanistan,AFG,1985,0.89154055
Afghanistan,AFG,1986,0.932999264
Afghanistan,AFG,1987,0.926456665
Afghanistan,AFG,1988,0.973333261
Afghanistan,AFG,1989,1.01583628
Afghanistan,AFG,1990,1.019237187
Afghanistan,AFG,1991,0.929161289
Afghanistan,AFG,1992,0.987610646
Afghanistan,AFG,1993,0.912280006
Afghanistan,AFG,1994,0.869538016
Afghanistan,AFG,1995,0.846514518
Afghanistan,AFG,1996,0.833765773
Afghanistan,AFG,1997,0.798753435
Afghanistan,AFG,1998,0.766546046
Afghanistan,AFG,1999,0.818293959
Afghanistan,AFG,2000,0.99316772
Afghanistan,AFG,2001,0.955763427
Afghanistan,AFG,2002,0.78025329
Afghanistan,AFG,2003,0.705930424
Afghanistan,AFG,2004,0.799047
Afghanistan,AFG,2005,0.631612621
Afghanistan,AFG,2006,0.663283305
Afghanistan,AFG,2007,0.565113682
Afghanistan,AFG,2008,0.667906383
Afghanistan,AFG,2009,0.522303734
Afghanistan,AFG,2010,0.544869103
Afghanistan,AFG,2011,0.601921562
Afghanistan,AFG,2012,0.509413609
Afghanistan,AFG,2013,0.510557555
Afghanistan,AFG,2014,0.482710875
Africa,,1961,1
Africa,,1962,0.940870979
Africa,,1963,0.922291802
Africa,,1964,0.91937652
Africa,,1965,0.922824469
Africa,,1966,0.925072097
Africa,,1967,0.874433385
Africa,,1968,0.862775799
Africa,,1969,0.857923332
Africa,,1970,0.808926748
Africa,,1971,0.787482722
Africa,,1972,0.790578113
Africa,,1973,0.823484513
Africa,,1974,0.734064829
Africa,,1975,0.730988142
Africa,,1976,0.750076847
Africa,,1977,0.740083556
Africa,,1978,0.726845239
Africa,,1979,0.722291676
Africa,,1980,0.709725133
Africa,,1981,0.672311884
Africa,,1982,0.68177722
Africa,,1983,0.68919648
Africa,,1984,0.695245442
Africa,,1985,0.656354726
Africa,,1986,0.642288049
Africa,,1987,0.642592524
Africa,,1988,0.608057665
Africa,,1989,0.58213292
Africa,,1990,0.578579973
Africa,,1991,0.539055546
Africa,,1992,0.556495537
Africa,,1993,0.545748439
Africa,,1994,0.539361794
Africa,,1995,0.549448299
Africa,,1996,0.495827737
Africa,,1997,0.50832438
Africa,,1998,0.485665184
Africa,,1999,0.473691699
Africa,,2000,0.470778372
