Entity,Code,Year,Wheat (tonnes per hectare),Rice (tonnes per hectare),Maize (tonnes per hectare),Soybeans (tonnes per hectare),Potatoes (tonnes per hectare),Beans (tonnes per hectare),Peas (tonnes per hectare),Cassava (tonnes per hectare),Barley (tonnes per hectare),Cocoa beans (tonnes per hectare),Bananas (tonnes per hectare)
Afghanistan,AFG,1961,1.022,1.5190000000000001,1.4000000000000001,,8.6667,,,,1.08,,
Afghanistan,AFG,1962,0.9735,1.5190000000000001,1.4000000000000001,,7.6667000000000005,,,,1.08,,
Afghanistan,AFG,1963,0.8317,1.5190000000000001,1.4260000000000002,,8.1333,,,,1.08,,
Afghanistan,AFG,1964,0.9510000000000001,1.7273,1.4257,,8.6,,,,1.0857,,
Afghanistan,AFG,1965,0.9723,1.7273,1.4400000000000002,,8.8,,,,1.0857,,
Afghanistan,AFG,1966,0.8666,1.518,1.4400000000000002,,9.0667,,,,1.0714000000000001,,
Afghanistan,AFG,1967,1.1232,1.9223000000000001,1.4144,,9.8,,,,1.1297000000000001,,
Afghanistan,AFG,1968,1.1562000000000001,1.9515,1.7064000000000001,,10,,,,1.1388,,
Afghanistan,AFG,1969,1.1855,1.9757,1.7177,,10.1987,,,,1.1514,,
Afghanistan,AFG,1970,0.9563,1.8119,1.4757,,9.5364,,,,1.1746,,
Afghanistan,AFG,1971,0.8149000000000001,1.75,1.34,,11.1333,,,,1.127,,
Afghanistan,AFG,1972,0.8457,1.9048,1.5652000000000001,,10.3947,,,,1.0938,,
Afghanistan,AFG,1973,1.1739000000000002,2,1.617,,11,,,,1.125,,
Afghanistan,AFG,1974,1.2074,2,1.617,,10.9639,,,,1.117,,
Afghanistan,AFG,1975,1.2128,2.0714,1.6116000000000001,,11.4412,,,,1.2,,
Afghanistan,AFG,1976,1.2494,2.1333,1.6598000000000002,,17.878800000000002,,,,1.2903,,
Afghanistan,AFG,1977,1.1309,1.9048,1.5833000000000002,,10.5263,,,,0.9677,,
Afghanistan,AFG,1978,1.198,2.0381,1.6183,,13.7363,,,,1.0484,,
Afghanistan,AFG,1979,1.2317,2.1311,1.6102,,14.3575,,,,1.0461,,
Afghanistan,AFG,1980,1.2549000000000001,2.1728,1.6711,,14.8603,,,,1.0490000000000002,,
Afghanistan,AFG,1981,1.235,2.2414,1.669,,15.4237,,,,1.0791,,
Afghanistan,AFG,1982,1.2299,2.1994000000000002,1.6658000000000002,,15.5114,,,,1.0739,,
Afghanistan,AFG,1983,1.258,2.2581,1.6641000000000001,,15.764700000000001,,,,1.0992,,
Afghanistan,AFG,1984,1.2319,2.2416,1.6612,,14.4444,,,,1.0855000000000001,,
Afghanistan,AFG,1985,1.2277,2.2482,1.6652,,14.090900000000001,,,,1.086,,
Afghanistan,AFG,1986,1.189,2.24,1.6875,,15.866700000000002,,,,1.0845,,
Afghanistan,AFG,1987,1.2849000000000002,2,1.7020000000000002,,15.5,,,,1.0845,,
Afghanistan,AFG,1988,1.1728,1.9056000000000002,1.7034,,15.5714,,,,1.1085,,
Afghanistan,AFG,1989,1.118,1.8824,1.6963000000000001,,15.263200000000001,,,,1.0948,,
Afghanistan,AFG,1990,1.0510000000000002,1.9029,1.7582,,16.842100000000002,,,,1.0537,,
Afghanistan,AFG,1991,1.0213,1.9364000000000001,1.6800000000000002,,16.6418,,,,1.0637,,
Afghanistan,AFG,1992,1.0313,1.7143000000000002,1.5,,16.666700000000002,,,,0.8,,
Afghanistan,AFG,1993,1.0211000000000001,1.7143000000000002,1.6786,,16.691200000000002,,,,1,,
Afghanistan,AFG,1994,1.0250000000000001,1.9000000000000001,1.6667,,16.5942,,,,0.92,,
Afghanistan,AFG,1995,1.0895000000000001,2.2941000000000003,1.6563,,16.6187,,,,0.8889,,
Afghanistan,AFG,1996,1.122,1.9429,1.6364,,16.6429,,,,1,,
Afghanistan,AFG,1997,1.2764,2.2222,1.5,,16.785700000000002,,,,1.25,,
Afghanistan,AFG,1998,1.2964,2.5,1.6500000000000001,,16.785700000000002,,,,1.2,,
Afghanistan,AFG,1999,1.2329,2,1.5,,16.785700000000002,,,,1.2,,
Afghanistan,AFG,2000,0.7240000000000001,2,1.1979,,16.785700000000002,,,,0.5968,,
Afghanistan,AFG,2001,0.8977,2,2,,16.785700000000002,,,,1,,
Afghanistan,AFG,2002,1.5419,2.8741000000000003,2.98,,16.4286,,,,1.4619,,
Afghanistan,AFG,2003,1.5,2.9931,0.8400000000000001,,16.666700000000002,,,,0.8889,,
Afghanistan,AFG,2004,1.2659,2.3744,1.6,,17.647100000000002,,,,0.9206000000000001,,
Afghanistan,AFG,2005,1.8215000000000001,3.0313000000000003,1.2069,,15,,,,1.4042000000000001,,
Afghanistan,AFG,2006,1.3760000000000001,3.375,2.6204,,15,,,,1.5424,,
