Entity,Code,Year,Cereal yield index,Change to land area used for cereal production since 1961,Total population (Gapminder)
Afghanistan,AFG,1961,100,100,9169000
Afghanistan,AFG,1962,97,103,9351000
Afghanistan,AFG,1963,88,103,9543000
Afghanistan,AFG,1964,97,104,9745000
Afghanistan,AFG,1965,99,104,9956000
Afghanistan,AFG,1966,91,104,10175000
Afghanistan,AFG,1967,110,94,10400000
Afghanistan,AFG,1968,115,92,10637000
Afghanistan,AFG,1969,118,93,10894000
Afghanistan,AFG,1970,99,96,11174000
Afghanistan,AFG,1971,88,103,11475000
Afghanistan,AFG,1972,90,118,11791000
Afghanistan,AFG,1973,115,101,12109000
Afghanistan,AFG,1974,117,101,12413000
Afghanistan,AFG,1975,118,103,12689000
Afghanistan,AFG,1976,122,102,12943000
Afghanistan,AFG,1977,110,102,13171000
Afghanistan,AFG,1978,116,102,13341000
Afghanistan,AFG,1979,119,96,13411000
Afghanistan,AFG,1980,121,91,13357000
Afghanistan,AFG,1981,120,88,13172000
Afghanistan,AFG,1982,119,84,12883000
Afghanistan,AFG,1983,122,80,12538000
Afghanistan,AFG,1984,120,77,12204000
Afghanistan,AFG,1985,119,73,11938000
Afghanistan,AFG,1986,118,71,11736000
Afghanistan,AFG,1987,122,75,11605000
Afghanistan,AFG,1988,115,70,11618000
Afghanistan,AFG,1989,111,69,11869000
Afghanistan,AFG,1990,108,68,12412000
Afghanistan,AFG,1991,104,71,13299000
Afghanistan,AFG,1992,98,68,14486000
Afghanistan,AFG,1993,102,79,15817000
Afghanistan,AFG,1994,102,83,17076000
Afghanistan,AFG,1995,109,81,18111000
Afghanistan,AFG,1996,108,81,18853000
Afghanistan,AFG,1997,121,82,19357000
Afghanistan,AFG,1998,124,84,19738000
Afghanistan,AFG,1999,115,76,20171000
Afghanistan,AFG,2000,72,73,20780000
Afghanistan,AFG,2001,90,63,21607000
Afghanistan,AFG,2002,150,68,22601000
Afghanistan,AFG,2003,131,91,23681000
Afghanistan,AFG,2004,120,80,24727000
Afghanistan,AFG,2005,161,91,25654000
Afghanistan,AFG,2006,139,90,26433000
Afghanistan,AFG,2007,172,91,27101000
Afghanistan,AFG,2008,131,82,27722000
Afghanistan,AFG,2009,183,96,28395000
Afghanistan,AFG,2010,180,89,29186000
Afghanistan,AFG,2011,149,85,30117000
Afghanistan,AFG,2012,182,95,31161000
