season,episode,scene,utterance,emotion
1,1,4,1,Mad
1,1,4,3,Neutral
1,1,4,4,Joyful
1,1,4,5,Neutral
1,1,4,6,Neutral
1,1,4,7,Neutral
1,1,4,8,Scared
1,1,4,10,Joyful
1,1,4,11,Joyful
1,1,4,12,Sad
1,1,4,13,Mad
1,1,4,14,Scared
1,1,4,15,Neutral
1,1,4,16,Sad
1,1,4,17,Sad
1,1,4,18,Mad
1,1,4,19,Mad
1,1,5,1,Mad
1,1,5,2,Sad
1,1,5,3,Sad
1,1,5,4,Powerful
1,1,5,5,Joyful
1,1,5,6,Joyful
1,1,5,7,Powerful
1,1,5,8,Peaceful
1,1,5,9,Powerful
1,1,7,1,Sad
1,1,7,2,Mad
1,1,7,3,Mad
1,1,7,4,Sad
1,1,7,5,Sad
1,1,7,6,Scared
1,1,7,7,Powerful
1,1,7,8,Scared
1,1,7,9,Mad
1,1,8,1,Sad
1,1,8,2,Neutral
1,1,8,3,Sad
1,1,8,4,Neutral
1,1,8,5,Scared
1,1,8,6,Neutral
1,1,8,7,Sad
1,1,8,8,Neutral
1,1,8,9,Sad
1,1,8,10,Neutral
1,1,8,11,Neutral
1,1,8,12,Joyful
1,1,8,13,Neutral
1,1,8,14,Neutral
1,1,10,1,Peaceful
1,1,10,2,Scared
1,1,10,3,Joyful
1,1,10,4,Peaceful
1,1,10,5,Sad
1,1,12,1,Joyful
1,1,12,2,Neutral
1,1,12,3,Neutral
1,1,12,4,Neutral
1,1,12,5,Mad
1,1,12,6,Neutral
1,1,12,7,Neutral
1,1,12,8,Neutral
1,1,12,9,Neutral
1,1,13,1,Mad
1,1,13,2,Mad
1,1,13,3,Neutral
1,1,13,4,Mad
1,1,13,5,Peaceful
1,1,13,6,Mad
1,1,13,7,Peaceful
1,1,13,8,Sad
1,1,13,9,Joyful
1,1,13,11,Neutral
1,1,13,12,Neutral
1,1,13,13,Mad
1,1,13,14,Neutral
1,1,13,15,Joyful
1,1,13,16,Neutral
1,1,13,17,Joyful
1,1,13,18,Neutral
1,1,13,19,Neutral
1,1,13,20,Neutral
1,1,13,21,Neutral
1,1,15,1,Neutral
1,1,15,2,Joyful
1,1,15,3,Scared
1,1,15,4,Joyful
1,1,15,5,Mad
1,1,15,6,Neutral
1,1,15,7,Mad
1,1,15,8,Peaceful
1,1,15,9,Joyful
1,1,15,10,Neutral
1,1,15,11,Peaceful
1,1,15,12,Scared
1,1,15,13,Neutral
1,1,15,14,Joyful
1,1,15,15,Peaceful
1,1,15,16,Scared
1,1,15,17,Mad
1,1,15,18,Neutral
1,2,1,1,Joyful
1,2,1,2,Neutral
1,2,1,3,Joyful
1,2,1,4,Powerful
1,2,1,5,Powerful
1,2,1,6,Joyful
1,2,1,7,Neutral
1,2,1,8,Mad
1,2,1,9,Sad
1,2,1,10,Joyful
1,2,2,1,Scared
1,2,2,2,Sad
1,2,2,3,Scared
1,2,2,4,Mad
1,2,2,5,Neutral
1,2,2,6,Mad
1,2,2,8,Scared
1,2,2,9,Joyful
1,2,2,10,Scared
1,2,2,12,Neutral
1,2,2,13,Neutral
1,2,2,14,Scared
1,2,2,15,Joyful
1,2,2,16,Joyful
1,2,2,17,Neutral
1,2,2,18,Peaceful
1,2,2,19,Mad
1,2,2,20,Scared
1,2,2,21,Neutral
1,2,2,22,Scared
1,2,6,1,Neutral
1,2,6,3,Neutral
1,2,6,4,Neutral
1,2,6,5,Mad
1,2,6,6,Neutral
1,2,6,7,Neutral
1,2,6,8,Neutral
1,2,6,9,Neutral
1,2,6,10,Neutral
1,2,6,11,Neutral
1,2,6,12,Neutral
1,2,6,13,Neutral
1,2,6,14,Neutral
1,2,6,15,Joyful
1,2,6,16,Scared
1,2,7,1,Neutral
1,2,7,2,Neutral
1,2,7,3,Scared
1,2,7,4,Neutral
1,2,7,5,Scared
1,2,7,6,Peaceful
1,2,7,7,Sad
1,2,7,8,Neutral
1,2,7,9,Neutral
1,2,7,10,Neutral
1,2,7,12,Sad
1,2,7,13,Neutral
1,2,8,1,Scared
1,2,8,2,Mad
1,2,8,3,Scared
1,2,8,4,Powerful
1,2,8,5,Mad
1,2,8,6,Powerful
1,2,8,7,Mad
1,2,8,8,Neutral
1,2,8,9,Scared
1,2,8,10,Neutral
1,2,8,11,Powerful
1,2,8,12,Powerful
1,2,9,1,Neutral
1,2,9,2,Scared
1,2,9,3,Joyful
1,2,9,4,Scared
1,2,9,5,Scared
1,2,9,6,Mad
1,2,9,7,Neutral
1,2,9,8,Neutral
1,2,9,9,Scared
1,2,9,10,Mad
1,2,9,11,Scared
1,2,9,12,Mad
1,2,9,13,Mad
1,2,9,14,Mad
1,2,9,15,Peaceful
1,2,9,16,Mad
1,2,9,17,Neutral
1,2,9,18,Scared
1,2,9,19,Joyful
1,2,9,20,Scared
1,2,9,21,Sad
1,2,9,22,Sad
1,2,9,23,Sad
1,2,9,25,Scared
1,2,10,1,Mad
1,2,10,2,Mad
1,2,10,3,Powerful
1,2,10,4,Powerful
1,2,10,5,Powerful
1,2,10,6,Mad
1,2,10,7,Neutral
1,2,10,8,Mad
1,2,10,9,Powerful
1,2,10,10,Mad
1,2,10,11,Mad
1,2,10,12,Mad
1,2,10,13,Mad
1,2,10,14,Neutral
1,2,10,15,Powerful
1,2,10,16,Mad
1,2,10,17,Mad
1,2,10,18,Neutral
1,2,10,19,Neutral
1,2,10,20,Neutral
1,2,10,21,Sad
1,2,10,23,Joyful
1,2,10,24,Joyful
1,2,10,25,Joyful
1,2,11,1,Joyful
1,2,11,2,Neutral
1,2,11,3,Joyful
1,2,11,4,Joyful
1,2,11,5,Mad
1,2,11,6,Neutral
1,2,11,7,Neutral
1,2,11,8,Sad
1,2,11,9,Neutral
1,2,11,10,Neutral
1,2,11,11,Powerful
1,2,11,12,Mad
1,2,11,13,Joyful
1,2,11,14,Joyful
1,2,11,15,Mad
