expedition_id,peak_id,peak_name,year,season,basecamp_date,highpoint_date,termination_date,termination_reason,highpoint_metres,members,member_deaths,hired_staff,hired_staff_deaths,oxygen_used,trekking_agency
ANN260101,ANN2,Annapurna II,1960,Spring,1960-03-15,1960-05-17,NA,Success (main peak),7937,10,0,9,0,TRUE,NA
ANN269301,ANN2,Annapurna II,1969,Autumn,1969-09-25,1969-10-22,1969-10-26,Success (main peak),7937,10,0,0,0,FALSE,NA
ANN273101,ANN2,Annapurna II,1973,Spring,1973-03-16,1973-05-06,NA,Success (main peak),7937,6,0,8,0,FALSE,NA
ANN278301,ANN2,Annapurna II,1978,Autumn,1978-09-08,1978-10-02,1978-10-05,"Bad weather (storms, high winds)",7000,2,0,0,0,FALSE,NA
ANN279301,ANN2,Annapurna II,1979,Autumn,NA,1979-10-18,1979-10-20,"Bad weather (storms, high winds)",7160,3,0,0,0,FALSE,NA
ANN280101,ANN2,Annapurna II,1980,Spring,1980-03-25,1980-04-24,1980-05-01,Accident (death or serious injury),7000,6,1,2,0,FALSE,NA
ANN280102,ANN2,Annapurna II,1980,Spring,1980-04-09,1980-05-08,NA,Accident (death or serious injury),7250,7,0,2,0,FALSE,NA
ANN281302,ANN2,Annapurna II,1981,Autumn,1981-09-04,1981-09-23,NA,"Bad weather (storms, high winds)",6400,19,0,0,0,FALSE,NA
ANN281301,ANN2,Annapurna II,1981,Autumn,1981-09-04,1981-10-11,1981-10-17,Accident (death or serious injury),7400,9,1,3,0,FALSE,NA
ANN282301,ANN2,Annapurna II,1982,Autumn,1982-09-14,1982-10-04,1982-10-08,"Bad weather (storms, high winds)",7350,5,0,0,0,FALSE,NA
ANN283101,ANN2,Annapurna II,1983,Spring,1983-04-11,1983-05-05,NA,Accident (death or serious injury),7450,5,1,0,0,FALSE,NA
ANN283301,ANN2,Annapurna II,1983,Autumn,1983-08-19,1983-10-08,1983-10-16,Success (main peak),7937,5,0,3,0,FALSE,Kunga
ANN283302,ANN2,Annapurna II,1983,Autumn,1983-09-01,1983-10-08,1983-10-26,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7300,6,0,4,0,FALSE,NA
ANN283401,ANN2,Annapurna II,1983,Winter,1983-11-25,1983-12-11,1983-12-15,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5950,4,0,2,0,FALSE,Sherpa Cooperative Trekking (SCT)
ANN284101,ANN2,Annapurna II,1984,Spring,1984-03-13,1984-04-02,1984-04-05,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6000,3,0,0,0,FALSE,NA
ANN284301,ANN2,Annapurna II,1984,Autumn,1984-08-23,1984-09-03,1984-09-26,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5100,4,0,2,0,FALSE,NA
ANN285301,ANN2,Annapurna II,1985,Autumn,1985-09-07,1985-10-05,1985-10-11,"Bad weather (storms, high winds)",7020,8,0,5,0,FALSE,NA
ANN286102,ANN2,Annapurna II,1986,Spring,1986-03-26,1986-04-30,1986-05-02,"Bad weather (storms, high winds)",7000,7,0,0,0,FALSE,Remote Adventure
ANN286101,ANN2,Annapurna II,1986,Spring,1986-03-23,1986-05-04,1986-05-08,"Bad weather (storms, high winds)",7250,9,0,0,0,FALSE,Mountain Travel
ANN287301,ANN2,Annapurna II,1987,Autumn,1987-09-15,1987-10-13,1987-10-21,"Route technically too difficult, lack of experience, strength, or motivation",7500,2,0,0,0,FALSE,Jai Himal Trekking
ANN290301,ANN2,Annapurna II,1990,Autumn,1990-09-22,1990-10-10,1990-10-12,"Bad weather (storms, high winds)",7200,7,0,4,0,FALSE,Yangrima
ANN450201,ANN4,Annapurna IV,1950,Summer,1950-06-04,1950-06-17,NA,"Bad weather (storms, high winds)",7300,6,0,5,0,FALSE,NA
ANN452301,ANN4,Annapurna IV,1952,Autumn,NA,NA,NA,"Bad weather (storms, high winds)",5700,6,0,6,0,FALSE,NA
ANN453101,ANN4,Annapurna IV,1953,Spring,NA,NA,NA,Did not attempt climb,NA,2,0,0,0,FALSE,NA
