peak_id,peak_name,peak_alternative_name,height_metres,climbing_status,first_ascent_year,first_ascent_country,first_ascent_expedition_id
AMAD,Ama Dablam,Amai Dablang,6814,Climbed,1961,"New Zealand, USA, UK",AMAD61101
AMPG,Amphu Gyabjen,NA,5630,Climbed,1953,UK,AMPG53101
ANN1,Annapurna I,NA,8091,Climbed,1950,France,ANN150101
ANN2,Annapurna II,NA,7937,Climbed,1960,"UK, Nepal",ANN260101
ANN3,Annapurna III,NA,7555,Climbed,1961,India,ANN361101
ANN4,Annapurna IV,NA,7525,Climbed,1955,W Germany,ANN455101
ANNE,Annapurna I East,NA,8026,Climbed,1974,Spain,ANNE74101
ANNM,Annapurna I Middle,NA,8051,Climbed,1980,W Germany,ANNM80301
ANNS,Annapurna South,"Annapurna Dakshin, Moditse",7219,Climbed,1964,"Japan, Nepal",ANNS64301
APIM,Api Main,NA,7132,Climbed,1960,"Japan, Nepal",APIM60101
APIW,Api West,NA,7076,Unclimbed,NA,NA,NA
BARU,Baruntse,NA,7152,Climbed,1954,New Zealand,BARU54101
BAUD,Baudha,NA,6672,Climbed,1970,Japan,BAUD70101
BHEM,Bhemdang Ri,Morimoto,6150,Climbed,1964,"Japan, Nepal",BHEM64101
BHRI,Bhrikuti,Damodar Himal,6476,Climbed,1982,"Japan, Nepal",BHRI82101
BOBA,Bobaye,NA,6808,Climbed,1996,Slovenia,BOBA96301
CHAM,Chamlang,NA,7321,Climbed,1962,"Japan, Nepal",CHAM62101
CHAN,Changla,Changla Himal,6563,Climbed,2010,Japan,CHAN10301
CHMN,Chamar North,Peak 23,7165,Climbed,1953,"New Zealand, Nepal",CHMN53101
CHEO,Cheo Himal,NA,6820,Climbed,1991,"Japan, Nepal",CHEO91301
CHOY,Cho Oyu,NA,8188,Climbed,1954,"Austria, Nepal",CHOY54301
CHOB,Chobuje,"Chobutse, Tsoboje",6686,Climbed,1972,W Germany,CHOB72101
CHOL,Cholatse,"Tsolatse, Jobo Lhaptshan",6423,Climbed,1982,"USA, UK",CHOL82101
CHOP,Cho Polu,NA,6700,Climbed,1984,Spain,CHOP84301
CHUL,Chulu Central,Chulu East,6584,Climbed,1955,W Germany,CHUL55201
CHUG,Chukyima Go,Chugimago,6258,Climbed,2014,Slovenia,CHUG14301
CHUR,Churen Himal Central,NA,7385,Climbed,1970,Japan,CHUR70301
CHUW,Chulu West,NA,6419,Climbed,1952,Japan,CHUW52301
TAPL,Taple Shikhar,Cross Peak,6447,Climbed,1998,"Japan, Nepal",TAPL98301
CTSE,Changtse,Everest North Peak,7583,Climbed,1982,W Germany,CTSE82301
DHA1,Dhaulagiri I,NA,8167,Climbed,1960,"Switzerland, Austria, W Germany, Nepal",DHA160101
DHA2,Dhaulagiri II,NA,7751,Climbed,1971,"Austria, USA, Nepal",DHA271101
DHA3,Dhaulagiri III,"Nalu, Naula",7715,Climbed,1973,W Germany,DHA373301
DHA4,Dhaulagiri IV,NA,7661,Climbed,1975,Japan,DHA475101
DHA5,Dhaulagiri V,NA,7618,Climbed,1975,"Japan, Nepal",DHA575101
DHA6,Dhaulagiri VI,NA,7268,Climbed,1970,Japan,DHA670101
DHAM,Dhampus,"Thapa Peak, Marpha Peak",6012,Climbed,1960,Austria,DHAM60101
