id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
10093,"Abakanowicz, Magdalena",Female,born 1930,1930,NA,Polska,NA,http://www.tate.org.uk/art/artists/magdalena-abakanowicz-10093
0,"Abbey, Edwin Austin",Male,1852–1911,1852,1911,"Philadelphia, United States","London, United Kingdom",http://www.tate.org.uk/art/artists/edwin-austin-abbey-0
2756,"Abbott, Berenice",Female,1898–1991,1898,1991,"Springfield, United States","Monson, United States",http://www.tate.org.uk/art/artists/berenice-abbott-2756
1,"Abbott, Lemuel Francis",Male,1760–1803,1760,1803,"Leicestershire, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/lemuel-francis-abbott-1
622,"Abrahams, Ivor",Male,born 1935,1935,NA,"Wigan, United Kingdom",NA,http://www.tate.org.uk/art/artists/ivor-abrahams-622
2606,Absalon,Male,1964–1993,1964,1993,"Tel Aviv-Yafo, Yisra'el","Paris, France",http://www.tate.org.uk/art/artists/absalon-2606
9550,"Abts, Tomma",Female,born 1967,1967,NA,"Kiel, Deutschland",NA,http://www.tate.org.uk/art/artists/tomma-abts-9550
623,"Acconci, Vito",Male,born 1940,1940,NA,"New York, United States",NA,http://www.tate.org.uk/art/artists/vito-acconci-623
624,"Ackling, Roger",Male,1947–2014,1947,2014,"Isleworth, United Kingdom",NA,http://www.tate.org.uk/art/artists/roger-ackling-624
625,"Ackroyd, Norman",Male,born 1938,1938,NA,"Leeds, United Kingdom",NA,http://www.tate.org.uk/art/artists/norman-ackroyd-625
2411,"Adam, Robert",Male,1728–1792,1728,1792,"Kirkcaldy, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/robert-adam-2411
626,"Adams, Harry William",Male,1868–1947,1868,1947,"Worcester, United Kingdom","Worcester, United Kingdom",http://www.tate.org.uk/art/artists/harry-william-adams-626
627,"Adams, Norman",Male,1927–2005,1927,2005,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/norman-adams-627
628,"Adams, Robert",Male,1917–1984,1917,1984,"Northampton, United Kingdom",NA,http://www.tate.org.uk/art/artists/robert-adams-628
629,"Adeney, Bernard",Male,1878–1966,1878,1966,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/bernard-adeney-629
630,"Adler, Jankel",Male,1895–1949,1895,1949,"Tuszyn, Polska","Aldbourne, United Kingdom",http://www.tate.org.uk/art/artists/jankel-adler-630
2608,"Adshead, Mary",Female,1904–1995,1904,1995,"London, United Kingdom","Hampstead, United Kingdom",http://www.tate.org.uk/art/artists/mary-adshead-2608
631,"Adzak, Roy",Male,1927–1987,1927,1987,"Reading, United Kingdom","Paris, France",http://www.tate.org.uk/art/artists/roy-adzak-631
632,Afro,Male,1912–1976,1912,1976,"Udine, Italia","Zürich, Schweiz",http://www.tate.org.uk/art/artists/afro-afro-basaldella-632
633,"Agar, Eileen",Female,1899–1991,1899,1991,"Ayacucho, Argentina","London, United Kingdom",http://www.tate.org.uk/art/artists/eileen-agar-633
2,"Agasse, Jacques Laurent",Male,1767–1849,1767,1849,"Genève, Schweiz","London, United Kingdom",http://www.tate.org.uk/art/artists/jacques-laurent-agasse-2
3098,"Ahtila, Eija-Liisa",Female,born 1959,1959,NA,"Hämeenlinna, Suomi",NA,http://www.tate.org.uk/art/artists/eija-liisa-ahtila-3098
8208,"Ai, Weiwei",Male,born 1957,1957,NA,"Beijing, Zhonghua",NA,http://www.tate.org.uk/art/artists/ai-weiwei-8208
634,"Aitchison, Craigie",Male,1926–2009,1926,2009,"Edinburgh, United Kingdom",NA,http://www.tate.org.uk/art/artists/craigie-aitchison-634
