ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
Grand Total,0,210,187,23135,4813,983,244,7,29579,48,2487
Unbranded,0,98,65,13060,186,743,230,5,14387,48,2487
The Coca-Cola Company,0,0,2,464,1607,17,0,0,2090,48,2487
SUZA Group of Companies,0,0,0,0,1125,0,0,0,1125,48,2487
Knjaz Miloš a.d.,0,0,0,0,713,0,0,0,713,48,2487
Slammers Energy Drink,0,0,0,710,0,0,0,0,710,48,2487
Trebjesa brewery,0,0,0,643,0,0,0,0,643,48,2487
Redbull,0,0,0,536,0,0,0,0,536,48,2487
Heineken International,0,0,0,441,0,0,0,0,441,48,2487
Philip Morris,0,0,10,411,0,0,0,0,421,48,2487
Ola,0,0,0,359,0,0,0,0,359,48,2487
Red Bull,0,0,0,323,0,0,0,0,323,48,2487
McDonald's Corporation,0,0,0,301,0,1,6,0,308,48,2487
PepsiCo,0,0,2,216,63,0,0,0,281,48,2487
"Mars, Incorporated",0,0,2,186,0,7,0,0,195,48,2487
Morshynska Company,0,0,0,45,124,1,0,0,170,48,2487
Aqua Bianca,0,0,0,0,162,0,0,0,162,48,2487
"Reynolds American, Inc.",0,0,0,161,0,0,0,0,161,48,2487
Antaflu,0,0,0,123,0,0,0,0,123,48,2487
Rauch,0,0,0,0,109,0,0,0,109,48,2487
Imperial Brands,0,0,0,109,0,0,0,0,109,48,2487
Nestlé,0,0,0,88,19,0,0,0,107,48,2487
Haribo,0,0,0,95,0,0,0,0,95,48,2487
Ferrero Group,0,0,2,81,0,8,0,0,91,48,2487
Spa,0,0,0,90,0,0,0,0,90,48,2487
Чернігівське,0,0,0,35,53,0,0,0,88,48,2487
Loewenbrau Beer,0,0,0,83,0,0,0,0,83,48,2487
Molson Coors Europe,0,0,0,77,0,0,0,0,77,48,2487
Feldschlösschen,0,0,0,72,0,0,0,0,72,48,2487
Bavaria,0,0,0,69,0,0,0,0,69,48,2487
Mondelez International,0,0,0,64,0,4,0,0,68,48,2487
Roshen,0,0,0,56,0,12,0,0,68,48,2487
British American Tobacco,0,0,0,68,0,0,0,0,68,48,2487
Хлібний Дар,0,0,0,67,0,0,0,0,67,48,2487
Perfetti van Melle,0,0,0,66,0,0,0,0,66,48,2487
Albert Heijn,0,0,0,59,0,0,0,0,59,48,2487
Jumbo,0,0,0,59,0,0,0,0,59,48,2487
Danone,0,20,0,8,7,20,0,0,55,48,2487
Caprison,0,0,0,54,0,0,0,0,54,48,2487
Agrokor,0,0,0,54,0,0,0,0,54,48,2487
Aa Drink,0,0,0,52,0,0,0,0,52,48,2487
Cedevita,0,0,0,0,49,0,0,0,49,48,2487
Bullit,0,0,0,47,0,0,0,0,47,48,2487
Shake,0,0,0,47,0,0,0,0,47,48,2487
Union Laško (Heineken),0,1,0,23,22,0,0,0,46,48,2487
Grolsch,0,0,0,46,0,0,0,0,46,48,2487
Steviasun Corporation,0,0,0,44,0,0,0,0,44,48,2487
Lidl,0,0,0,41,0,1,0,0,42,48,2487
Diva Voda,0,0,0,0,41,0,0,0,41,48,2487
Хортиця,0,0,0,40,0,0,0,0,40,48,2487
Goldenpower,0,0,0,39,0,0,0,0,39,48,2487
Beer Market,0,0,0,11,27,0,0,0,38,48,2487
Коблево,0,0,0,35,0,0,0,0,35,48,2487
Hertog Jan,0,0,0,34,0,0,0,0,34,48,2487
Оболонь,0,0,0,17,17,0,0,0,34,48,2487
Cesu Premium,0,0,0,32,0,0,0,0,32,48,2487
Carlsberg,0,0,0,31,0,0,0,0,31,48,2487
Icetea,0,0,0,31,0,0,0,0,31,48,2487
Jupiler,0,0,0,31,0,0,0,0,31,48,2487
Sourcy,0,0,0,30,0,0,0,0,30,48,2487
Wicky,0,0,0,30,0,0,0,0,30,48,2487
Garage,0,0,0,30,0,0,0,0,30,48,2487
Zajecar Beer,0,0,0,30,0,0,0,0,30,48,2487
Srna,0,29,0,0,0,0,0,0,29,48,2487
Рудь,0,0,5,19,0,0,5,0,29,48,2487
Nemiroff,0,0,0,28,0,0,0,0,28,48,2487
Ооо «Vegetus»,0,1,0,27,0,0,0,0,28,48,2487
Атб,0,11,15,0,0,0,0,0,26,48,2487
Розумний Вибір,0,2,0,2,14,8,0,0,26,48,2487
Козацька Рада,0,0,0,26,0,0,0,0,26,48,2487
Migros,0,0,0,17,8,0,0,0,25,48,2487
Parlament,0,0,0,24,0,0,0,0,24,48,2487
Saskia,0,0,0,19,0,5,0,0,24,48,2487
Implek,0,24,0,0,0,0,0,0,24,48,2487
Sportlife,0,0,0,24,0,0,0,0,24,48,2487
Heets,0,0,0,23,0,0,0,0,23,48,2487
Aldaris,0,0,0,23,0,0,0,0,23,48,2487
Fernandes,0,0,0,23,0,0,0,0,23,48,2487
Reckitt Benckiser,0,0,0,11,0,12,0,0,23,48,2487
Fishdream,0,0,0,22,0,0,0,0,22,48,2487
Carlsberg Serbia,0,0,0,22,0,0,0,0,22,48,2487
Cesu Alus,0,0,0,22,0,0,0,0,22,48,2487
Сан Санич,0,0,0,22,0,0,0,0,22,48,2487
Taksi,0,0,0,22,0,0,0,0,22,48,2487
Бомба (Фоп Скачков),0,0,0,22,0,0,0,0,22,48,2487
Ld,0,0,0,22,0,0,0,0,22,48,2487
Chocomel,0,0,0,22,0,0,0,0,22,48,2487
Apps,0,0,0,0,21,0,0,0,21,48,2487
Gulpener,0,0,0,21,0,0,0,0,21,48,2487
Київхліб,0,0,7,14,0,0,0,0,21,48,2487
Повна Чаша,0,0,0,12,8,0,0,0,20,48,2487
Lm,0,0,0,20,0,0,0,0,20,48,2487
Shabo,0,0,0,20,0,0,0,0,20,48,2487
Villa Krim,0,0,0,20,0,0,0,0,20,48,2487
Aroma Kava,0,0,0,19,0,0,0,0,19,48,2487
Solo Cup Co.,0,0,0,0,19,0,0,0,19,48,2487
Мороша,0,0,0,19,0,0,0,0,19,48,2487
