ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,Grand Total,number of events,number of volunteers
Grand Total,0,48,191,1291,344,2974,105,4953,50,797
Unbranded,0,10,25,462,22,2876,60,3455,50,797
PepsiCo,0,0,15,64,50,10,0,139,50,797
The Coca-Cola Company,0,0,0,7,86,24,0,117,50,797
Anheuser-Busch InBev,0,0,0,68,0,0,0,68,50,797
The Hershey Company,0,0,6,44,0,0,0,50,50,797
Philip Morris,0,0,0,47,0,0,0,47,50,797
Nestlé,0,2,0,9,25,0,0,36,50,797
"Mars, Incorporated",0,0,3,30,0,0,0,33,50,797
"Reynolds American, Inc.",0,0,1,32,0,0,0,33,50,797
Kraft Heinz Company,0,1,2,18,8,0,0,29,50,797
Corona,0,0,0,22,3,0,0,25,50,797
Starbucks,0,0,0,8,7,9,0,24,50,797
Swisher International Inc,0,0,0,20,0,0,0,20,50,797
Anheuser-Busch,0,0,0,16,0,0,0,16,50,797
Unilever,0,0,1,12,3,0,0,16,50,797
7-Eleven,0,0,0,15,0,0,0,15,50,797
Alpura,0,0,0,0,0,14,0,14,50,797
General Paint,0,4,0,9,0,0,0,13,50,797
Toyo Suisan,0,0,0,0,0,0,13,13,50,797
Zoom (Fish Bate),0,0,0,13,0,0,0,13,50,797
Bimbo Marinela,0,0,13,0,0,0,0,13,50,797
Spitz,0,0,0,12,0,0,0,12,50,797
Bimbo,0,0,0,1,11,0,0,12,50,797
Ameyal,0,0,0,1,11,0,0,12,50,797
Smci Holding,0,0,12,0,0,0,0,12,50,797
Bocadin,0,0,0,11,0,0,0,11,50,797
Danone,0,0,0,11,0,0,0,11,50,797
Tonayan,0,0,0,0,1,10,0,11,50,797
Mondelez International,0,0,4,6,0,0,0,10,50,797
McDonald's Corporation,0,0,0,5,1,2,2,10,50,797
Costeña,0,0,0,10,0,0,0,10,50,797
Dominos,0,0,0,9,0,0,0,9,50,797
Jarritos,0,0,0,0,2,7,0,9,50,797
CostCo,0,0,1,0,8,0,0,9,50,797
Société Bic,0,0,0,9,0,0,0,9,50,797
Wilson,0,0,0,9,0,0,0,9,50,797
Safari,0,9,0,0,0,0,0,9,50,797
Solo Cup,0,0,0,0,8,0,0,8,50,797
Dart,0,0,0,0,0,0,8,8,50,797
Valladolid,0,0,0,0,0,0,8,8,50,797
Malboro,0,0,0,8,0,0,0,8,50,797
Bubaloo,0,0,0,8,0,0,0,8,50,797
Miller,0,0,0,8,0,0,0,8,50,797
Heineken International,0,0,0,6,1,0,0,7,50,797
Colgate-Palmolive,0,0,0,7,0,0,0,7,50,797
P&G,0,2,1,2,2,0,0,7,50,797
Mc Cormick,0,0,0,5,0,1,0,6,50,797
Cam 2 oil,0,0,0,0,6,0,0,6,50,797
Stig,0,0,0,6,0,0,0,6,50,797
Pacifico,0,0,0,6,0,0,0,6,50,797
M&M/Mars,0,0,6,0,0,0,0,6,50,797
Anheiser Busch,0,0,0,6,0,0,0,6,50,797
Ampm,0,0,0,6,0,0,0,6,50,797
Gol,0,0,0,0,0,0,6,6,50,797
Red Cola,0,0,0,0,6,0,0,6,50,797
General Mills,0,0,6,0,0,0,0,6,50,797
Barrilito Vero,0,0,0,6,0,0,0,6,50,797
Takis Barcel,0,0,0,6,0,0,0,6,50,797
Dixi,0,0,0,0,0,5,0,5,50,797
Gamesa,0,0,0,5,0,0,0,5,50,797
PAX Labs,0,0,0,5,0,0,0,5,50,797
Nutrileche,0,0,0,0,5,0,0,5,50,797
Quick-Mate Ez,0,0,5,0,0,0,0,5,50,797
Jack in the Box,0,0,0,5,0,0,0,5,50,797
Whiteclaw Seltzer,0,0,0,5,0,0,0,5,50,797
Mamut,0,0,0,0,5,0,0,5,50,797
Hershy Co,0,0,5,0,0,0,0,5,50,797
World Centric,0,0,0,4,0,0,0,4,50,797
Tootsie,0,0,0,4,0,0,0,4,50,797
Snyders-Lance,0,0,4,0,0,0,0,4,50,797
SEE ATTACHED,0,0,0,0,4,0,0,4,50,797
Haribo,0,0,0,4,0,0,0,4,50,797
Prudence,0,0,0,4,0,0,0,4,50,797
Lagunitas,0,0,0,4,0,0,0,4,50,797
Karat,0,0,0,0,4,0,0,4,50,797
Dollar Tree,0,4,0,0,0,0,0,4,50,797
Icee,0,0,0,4,0,0,0,4,50,797
Boing,0,0,0,4,0,0,0,4,50,797
1.2.3,0,0,0,2,2,0,0,4,50,797
Ipia,0,0,3,0,0,0,0,3,50,797
Tootsie Roll Industries,0,0,2,1,0,0,0,3,50,797
Salsa Valentina,0,0,0,0,3,0,0,3,50,797
Salsabritas,0,0,0,3,0,0,0,3,50,797
Kimberly-Clark,0,0,0,2,0,1,0,3,50,797
Smcl Holding Inc.,0,0,3,0,0,0,0,3,50,797
Johnson & Johnson,0,0,0,2,1,0,0,3,50,797
Greenware,0,0,0,2,1,0,0,3,50,797
Tanimura & Antle,0,0,3,0,0,0,0,3,50,797
Chips,0,0,0,3,0,0,0,3,50,797
Amazon / Whole Foods,0,0,2,1,0,0,0,3,50,797
Ferara Candy Co.,0,0,3,0,0,0,0,3,50,797
Zote,0,0,0,3,0,0,0,3,50,797
